Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310)
0.0,0.34780920956456496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4675133684048743e-22,0.34780920956456496,1.5511283908058278e-22,1.9344640288740307e-36,7.060926945044739e-38,1.439180855727869e-58,8.6649514130777428e-52,0.0,0.0,9.1430172892353596e-23,1.2153829281656847e-40,154.0,0.0,0.99999999999999956,1.0,19.0,2.78530399338638e-17,1.2702304484829723e-16,2.0073521769107548e-16,2.0073546423383998e-16,3.2865839696009341e-26,3.9984129953585432e-28,3.9984036011687422e-28,2.4778111704657008e-28,4.7438618564636745e-26,5.4002475459379874e-41,5.6111328184148863e-31,2.9971443070125495e-31,5.7444832398714729e-43,5.7444832398632629e-43,7.0907972165420787e-55,1.3213097372876822e-42,1.1185924750769211e-55,4.0992876650340465e-32,8.2246799807379923e-99,7.7385259927779326e-99,7.7385259927779424e-99,8.826529713951179e-46,2.2835524606877459e-48,6.6929193579907401e-41,7.1303633025023336e-46
9.70903743153365e-22,0.34780920956456496,4.3431594942591471e-22,5.6452733138669703e-36,4.2647998748092909e-37,2.1748901111389806e-57,1.0287030885643655e-50,0.0,0.0,2.5600448436362949e-22,7.3409128927824826e-40,154.0,0.0,0.99999999999999845,1.0,19.0,7.7988511814818537e-17,3.5566452530998247e-16,5.6205860953371404e-16,5.6205929985265265e-16,1.9850967164036153e-25,2.4150414491757952e-27,2.4150274324465524e-27,1.4965979464652291e-27,2.8652925595209546e-25,6.411115955311732e-40,3.3891242223120262e-30,1.810275161428737e-30,6.8198505023518047e-42,6.8198505023334408e-42,1.5861829708855404e-53,1.5686589192134653e-41,2.5022466217424109e-54,2.4759697496753412e-31,8.7640347545959949e-97,8.245999954878163e-97,8.2459999548781817e-97,1.0478857569452915e-44,2.7110334813190255e-47,7.9456224888723748e-40,8.4651667291236576e-45
2.2192085557791197e-21,0.34780920956456496,9.9272217011771021e-22,1.3981988015933443e-35,2.0533175556224119e-36,2.3396475400176616e-56,1.0099868173705523e-49,0.0,0.0,5.8515310836633873e-22,3.5343335650892856e-39,154.0,0.0,0.99999999999999645,1.0,19.0,1.7825945557672754e-16,8.1294748517235406e-16,1.2847053932138021e-15,1.2847069710818816e-15,9.5573861650692798e-25,1.162738499019117e-26,1.162723253316777e-26,7.2054748762734464e-27,1.3795150251849788e-24,6.2943489561550485e-39,1.6317174235792015e-29,8.7156956446898458e-30,6.695769664321002e-41,6.6957696642847172e-41,3.1340302416555233e-52,1.5401186270096623e-40,4.9440176542979262e-53,1.1920728529840645e-30,1.9944892568664765e-94,1.876596656979536e-94,1.876596656979544e-94,1.0288205155047604e-43,2.6617087481482879e-46,7.8006115842036861e-39,8.3111496562149207e-44
4.715818181030629e-21,0.34780920956456496,2.1095346115058281e-21,3.4315801948403596e-35,8.967377220241973e-36,2.1505391830933997e-55,8.933219121146295e-49,0.0,0.0,1.2434503606123869e-21,1.5435363290824086e-38,154.0,0.0,0.99999999999999245,1.0,19.0,3.788013431005439e-16,1.727513400653101e-15,2.729998960553221e-15,2.7300023135067543e-15,4.1739616222452736e-24,5.0779845037834928e-26,5.0778432649288032e-26,3.1468201788026041e-26,6.0247045300707328e-24,5.5670620991612479e-38,7.1261386792231536e-29,3.8063732697998651e-29,5.9223324408241954e-40,5.9223324407596299e-40,5.5768393139411085e-51,1.3622174809311015e-39,8.7976152377885952e-52,5.2060953345122611e-30,3.370598670706526e-92,3.171365388754282e-92,3.1713653887543093e-92,9.0998012099735328e-43,2.3542512448090045e-45,6.8987563342294562e-38,7.3511155510671272e-43
9.70903743153365e-21,0.3478092095645649,4.3431594943001717e-21,8.9624967926811386e-35,3.7437034662943571e-35,1.8398315615333684e-54,7.508908977379816e-48,0.0,0.0,2.5600448820670036e-21,6.4439603779240755e-38,154.0,0.0,0.99999999999998446,1.0,19.0,7.7988511814816966e-16,3.556645214638611e-15,5.6205860951490308e-15,5.6205929982221627e-15,1.7425468034492931e-23,2.1199585698494273e-25,2.1198372148372252e-25,1.3137354756609655e-25,2.5151955314227194e-23,4.6790839845712786e-37,2.9750226201762006e-28,1.589085911482587e-28,4.9780772636619238e-39,4.978077263553023e-39,9.4061544605347712e-50,1.1450258668131095e-38,1.483846391688732e-50,2.1734423199281727e-29,4.9352989196563291e-90,4.6435775083477677e-90,4.6435775083478488e-90,7.64893132541494e-42,1.9788900254808088e-44,5.7974812796867068e-37,6.1790518591590078e-42
1.9695475932539688e-20,0.3478092095645649,8.8104092599612905e-21,2.5880945233844665e-34,1.5294250200312558e-34,1.5212083366984836e-53,6.1562572644769786e-47,0.0,0.0,5.1932339928263174e-21,2.6325681162783149e-37,154.0,0.0,0.99999999999996847,1.0,19.0,1.5820526682433934e-15,7.2149087747057002e-15,1.1401760364008541e-14,1.1401774367115664e-14,7.118872195607308e-23,8.6607224820138639e-25,8.6597168862949796e-25,5.3670380490866612e-25,1.0275394324972001e-22,3.8355937914165037e-36,1.2153938128751683e-27,6.4919344539531736e-28,4.0813285032646873e-38,4.0813285030858198e-38,1.544963638654838e-48,9.3876137586408085e-38,2.4372221316818227e-49,8.8792210533533078e-29,6.7486038138526479e-88,6.3496994595332961e-88,6.3496994595335171e-88,6.2710560726187986e-41,1.6224136022902166e-43,4.7509308861000588e-36,5.0659539699593932e-41
3.9668352934551764e-20,0.347809209564565,1.7744908791573256e-20,8.3144303098859244e-34,6.1821804651003606e-34,1.2370213928462309e-52,4.9854967508284251e-46,0.0,0.0,1.0459612485745262e-20,1.0641261566037955e-36,154.0,0.0,0.99999999999993638,1.0,19.0,3.186387768433731e-15,1.453143562322415e-14,2.2964108900399106e-14,2.2964137102753668e-14,2.877561901395804e-22,3.5008024992427651e-24,3.4999839176864492e-24,2.1694425664849017e-24,4.1534785874654568e-22,3.105188755816235e-35,4.9128161158712487e-27,2.6241437030513395e-27,3.3051656371333636e-37,3.3051656368434095e-37,2.5044524537699912e-47,7.6023328614660518e-37,3.9508420299330825e-48,3.5891231160376836e-28,8.9256745844741959e-86,8.3980853889727394e-86,8.3980853889733238e-86,5.0784638154488983e-40,1.3138725988884226e-42,3.8438772983488554e-35,4.1025310423450468e-40
7.961410693857592e-20,0.347809209564565,3.561390785595609e-20,2.9137686276571584e-33,2.4858275748894911e-33,9.977026272434441e-52,4.0127615161037769e-45,0.0,0.0,2.0992370557184426e-20,4.2788047380048815e-36,154.0,0.0,0.99999999999987232,1.0,19.0,6.3950579688139664e-15,2.9164488233798233e-14,4.6088805967866448e-14,4.60888625654359e-14,1.1570549354840476e-21,1.4076572870316232e-23,1.406996835035658e-23,8.723232947165488e-24,1.6700954015005252e-21,2.4977586848966522e-34,1.975421752421931e-26,1.0551566413217004e-26,2.6602848470368082e-36,2.6602848465698468e-36,4.0333428842521221e-46,6.1190186324793116e-36,6.3627090578390663e-47,1.4431706192142595e-27,1.1612547334591286e-83,1.0926139327248511e-83,1.0926139327250033e-83,4.0875895070168046e-39,1.0575189716615903e-41,3.0881878781215673e-34,3.3020580769884053e-39
1.5950561494662421e-19,0.34780920956456496,7.1351905989357346e-20,1.0826653578953574e-32,9.9692803895865264e-33,8.0140910356413701e-51,3.2199884029934246e-44,0.0,0.0,4.2057891042467842e-20,1.715992286127591e-35,154.0,0.0,0.99999999999974409,1.0,19.0,1.2812398369572672e-14,5.8430589109095763e-14,9.233820008154595e-14,9.2338313456442677e-14,4.6403074030113442e-21,5.6453353044881461e-23,5.6400309876129101e-23,3.4984064098359595e-23,6.6978289601055948e-21,2.001783179246825e-33,7.9223247528205802e-26,4.2316500598610844e-26,2.134711049832406e-35,2.1347110490828297e-35,6.4744067031796054e-45,4.9101267011458771e-35,1.0213556415065263e-45,5.7877596552204349e-27,1.4985377154704298e-81,1.4099603984116192e-81,1.4099603984120118e-81,3.2800331633356995e-38,8.4859237412819039e-41,2.4689788698832649e-33,2.6496682648107205e-38
