Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071),C7H9(1285),C7H9(1286),S(1297),S(1298),S(1341),S(1367),C7H9(1335),S(1421),C7H9(1412),S(1422),C6H6(1400),CH3(19),S(1504),S(389),C5H7O(508),S(1153),S(1801),S(1800),S(1859),S(1878),S(2149),S(2338),S(2426),CH4(31),S(2143),S(2688),S(2668),S(1371),S(309)
0.0,0.31795014926022563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0112802717576117e-21,0.31795014926022563,1.8051080315991578e-23,6.0807264680101082e-38,3.3681085227362749e-38,5.8077524730150464e-59,3.2847083301084778e-51,0.0,0.0,3.9275369622255393e-23,2.1345336911611704e-40,154.0,0.0,0.99999999999999922,1.0,19.0,4.8148667204039871e-17,3.9194998405743716e-17,3.1713200844897494e-16,3.1713206577165931e-16,7.9770067147961261e-26,5.5067381395802864e-27,5.5066438505790764e-27,3.765707514566199e-27,8.9852211226913718e-26,3.2522632643217888e-39,3.7434811325717082e-30,6.2624207124072326e-31,4.7355437377218721e-42,4.7355437376572091e-42,5.6231060596951092e-53,4.3262642159068172e-42,8.4317309024824186e-54,2.713542095836328e-31,5.3097229195705978e-96,5.0678082723997858e-96,5.0678082723997924e-96,4.9191362965549422e-44,2.6130687063081635e-47,4.4477665088132443e-39,2.4539620073232173e-44,1.8171926408637249e-48,1.6979234538407468e-56,1.7356708835635405e-68,6.9407071491410377e-80,1.0633192622550919e-81,1.4427157527734956e-93,6.2000922804959724e-97,9.1654647023410651e-95,7.5237819126672354e-83,2.9708264586934187e-91,3.8408224159465907e-42,6.2535359526372025e-40,1.0858754089820111e-50,4.1036913724996881e-52,4.8790385510257984e-52,6.1964445122565983e-57,1.214964828034649e-62,6.4131088280087341e-63,7.7090072452689099e-70,9.1060930603346661e-82,6.0613863203012747e-71,1.0525098951252668e-81,3.9775885807725296e-83,7.1974454608493328e-82,1.0816159905729885e-83,1.0816159905713744e-83,3.2629680011783601e-96,7.5320174960228495e-71,1.5203818627241768e-74,1.1849085089664814e-85,5.1258178251161899e-96,1.0287483922719681e-96,3.9045770839745795e-108,6.4288446436593751e-109,5.1984089609771132e-122,7.566394827196349e-76,8.6721739714812614e-85,1.2881066673745022e-95,1.5952787417286305e-123,6.3792984444328662e-135,3.2845561911171408e-135,6.8864694125817444e-87,7.298160611164256e-43
8.431584760921313e-21,0.31795014926022563,5.0543024885006743e-23,2.7938705725820792e-37,2.0343375477402557e-37,8.7766756648089821e-58,3.8996057529819634e-50,0.0,0.0,1.0997103670019827e-22,1.2892583668643808e-39,154.0,0.0,0.999999999999998,1.0,19.0,1.3481626817131114e-16,1.0974599497436263e-16,8.8796962363928355e-16,8.8796978413060177e-16,4.8181120351589375e-25,3.3260698361830625e-26,3.325957317479709e-26,2.2744873348218729e-26,5.4270735349268212e-25,3.8609893817465593e-38,2.2610626040094723e-29,3.7825021102028359e-30,5.6220375252993648e-41,5.6220375251547162e-41,1.257866317443558e-51,5.136140857030887e-41,1.8861444706589549e-52,1.6389794258443623e-30,5.6579218050838069e-94,5.4001429759568651e-94,5.400142975956879e-94,5.8399987038912617e-43,3.1022351680338345e-46,5.279976887671996e-38,2.9133423903096457e-43,2.1573710853388808e-47,3.7981868192041494e-55,7.1622944444022034e-67,5.2247910619132657e-78,8.0044019406550032e-80,1.9692998779063312e-91,8.4630956277937857e-95,1.251081131837539e-92,5.6637151870282413e-81,2.2802611086181062e-89,4.5598243543726523e-41,3.7771357152269861e-39,1.2891512854665889e-49,4.8719023757223608e-51,5.7923939719150933e-51,7.4154300718093381e-56,2.7177422591669846e-61,1.4345447496433203e-61,1.7376889411589766e-68,3.7857520325137728e-80,1.3662983626182206e-69,4.3756865340507884e-80,1.6536326260259274e-81,2.9922542371003062e-80,4.4966927730455479e-82,4.4966927730333065e-82,2.4744035224284495e-94,3.1081087013484388e-69,6.273898309979917e-73,8.9196954777684189e-84,6.996716052092106e-94,1.4042364816311063e-94,9.632556916374157e-106,1.5859902666225119e-106,2.3135955857079318e-119,3.0633721882209086e-74,6.4066369559138803e-83,9.7680874402201043e-94,7.0999220772119091e-121,5.1168679685337838e-132,2.6345593503249095e-132,2.8629814027172784e-85,8.6643762637020833e-42
1.9272193739248717e-20,0.31795014926022563,1.1552691402395844e-22,1.1530535071210922e-36,9.7944595842302648e-37,9.4415474613736163e-57,3.8286560629343429e-49,0.0,0.0,2.5136237788761663e-22,6.2072242348832426e-39,154.0,0.0,0.99999999999999545,1.0,19.0,3.0815147010585164e-16,2.5084798586472121e-16,2.0296448539485158e-15,2.0296452207283149e-15,2.3197135217958278e-24,1.6013594508048014e-25,1.6012486821123479e-25,1.0950677392716866e-25,2.6129022677104984e-24,3.7905356234180211e-37,1.0886043132560963e-28,1.8211119430313244e-29,5.5197497803040801e-40,5.51974978001828e-40,2.4853318068361874e-50,5.0426935077705514e-40,3.7267036085648934e-51,7.8909804140803434e-30,1.2876106235627159e-91,1.22894619334483e-91,1.228946193344836e-91,5.7337453994321331e-42,3.045792883777622e-45,5.1830411656107192e-37,2.860334070907856e-42,2.1181196867177056e-46,7.5045769753722237e-54,2.8333324073782902e-65,4.1310851172588714e-76,6.3288398211562776e-78,3.1110111034268423e-89,1.3369616855849713e-92,1.9764005637509997e-90,4.4781292190553264e-79,2.3399872220927488e-87,4.4768625527260113e-40,1.8185282547780736e-38,1.2656963764711842e-48,4.7832625964869059e-50,5.6870054879015956e-50,7.405510239194863e-55,5.3694312075392931e-60,2.8342369007096983e-60,3.4905237704440586e-67,1.5221743428078587e-78,2.7445055320443919e-68,1.7593744950094445e-78,6.6488917024293922e-80,1.2031250959720251e-78,1.8080295814072969e-80,1.8080295813974594e-80,1.9883201837427783e-92,1.2295369902945099e-67,2.4818917647438683e-71,7.0525349631225334e-82,1.1053096486348348e-91,2.2183494653907768e-92,3.0407117478547311e-103,5.0064997037548383e-104,1.4596983002200494e-116,1.2792532824459975e-72,5.3424144045710992e-81,7.8491989030522591e-92,4.4794968713857857e-118,6.4537560951609864e-129,3.3228927480732059e-129,1.1511492354182188e-83,8.5067359653695017e-41
4.095341169590352e-20,0.31795014926022563,2.4549469230554726e-22,4.6464138664013137e-36,4.2774978239920222e-36,8.6784092750839287e-56,3.3864029336484572e-48,0.0,0.0,5.3414508838858419e-22,2.7108580574332873e-38,154.0,0.0,0.99999999999999023,1.0,19.0,6.5482187397492457e-16,5.3305195865792198e-16,4.3129953142814413e-15,4.3129960934430864e-15,1.0130798208833267e-23,6.9935574353537915e-25,6.9925764678840715e-25,4.7824484818694298e-25,1.1411230466547135e-23,3.3523182837238536e-36,4.7542210373766273e-28,7.9532743033446347e-29,4.882156171034222e-39,4.8821561705256548e-39,4.422514916998593e-49,4.4602052252213811e-39,6.6314698724535767e-50,3.4461984610800613e-29,2.1760050300260292e-89,2.0768647364457419e-89,2.0768647364457621e-89,5.0714328907045738e-41,2.6939693128356096e-44,4.5827917349275333e-36,2.5299281769469136e-41,1.8734528085314613e-45,1.3353993294343539e-52,1.0111961761551493e-63,2.9527268048212048e-74,4.5235899172279651e-76,4.4501998033839973e-87,1.912480050854482e-90,2.8271737037587749e-88,3.2007794091778875e-77,1.8746265674441123e-85,3.9597341618114949e-39,7.9419906572781232e-38,1.1194941111437822e-47,4.2307415160649782e-49,5.0300897055017118e-49,6.7724487512250528e-54,9.5532951391593618e-59,5.0427233562998276e-59,6.415495253949691e-66,5.6084896061974135e-77,5.0443324186681917e-67,6.4824552231727096e-77,2.4497781490294773e-78,4.4329459112225876e-77,6.6617329444326374e-79,6.6617329443600629e-79,1.4668528810873358e-90,4.3881303064308432e-66,8.8576953100406601e-70,5.0408570363854629e-80,1.5811093962993581e-89,3.1732765428728577e-90,8.702126572854204e-101,1.432795987073241e-101,8.3562930977481632e-114,4.6037337551574385e-71,3.852532476023638e-79,5.7906267407580272e-90,2.5643647582734535e-115,7.3897218539688248e-126,3.8048003050521009e-126,4.2414435439566722e-82,7.5241115733785141e-40
8.431584760921314e-20,0.31795014926022563,5.0543024888346658e-22,1.8617244429001723e-35,1.7857711388600308e-35,7.4245627415425997e-55,2.8464757135181761e-47,0.0,0.0,1.0997106218950421e-21,1.1317300057346035e-37,154.0,0.0,0.99999999999997979,1.0,19.0,1.348162681713038e-15,1.0974598682942602e-15,8.8796962338051323e-15,8.8796978369502952e-15,4.2294086731228825e-23,2.9196725598836181e-24,2.9188475724389822e-24,1.9965780687564158e-24,4.763963915907161e-23,2.8172073888414586e-35,1.9847936955990914e-27,3.3203354604470197e-28,4.1037464329449001e-38,4.1037464320871285e-38,7.4592169975156273e-48,3.7490711119508476e-38,1.1184942939250337e-48,1.4387200186435901e-28,3.1861506867476803e-87,3.0409874586698856e-87,3.0409874586699454e-87,4.2628449302099584e-40,2.2644435306628097e-43,3.849508494063417e-35,2.1265488014460087e-40,1.5747498561379482e-44,2.2523459981251069e-51,3.416603102936885e-62,1.9969304317992015e-72,3.0593058430695376e-74,6.0217665884043879e-85,2.5878632486596639e-88,3.8255690849788286e-86,2.1646885169132866e-75,1.3372809381034436e-83,3.3283950418025839e-38,3.315624759774349e-37,9.4100225450959433e-47,3.5561930279382881e-48,4.2280897059782388e-48,6.0667192718977824e-53,1.6108572995904969e-57,8.5030979932548476e-58,1.1510116351005275e-64,2.0139159488799996e-75,9.0500967955423979e-66,2.327739472557318e-75,8.7965855864255865e-77,1.5917985432804985e-75,2.3921200454830386e-77,2.3921200454308986e-77,1.0538351251826938e-88,1.4826500479537783e-64,2.9928149783559124e-68,3.4091339708614549e-78,2.1394707133515606e-87,4.2939041609911789e-88,2.3555211794130575e-98,3.878341165036774e-99,4.5242739419665687e-111,1.5552280567737949e-69,2.6053461631703871e-77,4.160175798754657e-88,1.3884013542814991e-112,8.0023049478535454e-123,4.1202054570252219e-123,1.5230341302043349e-80,6.3244690512220353e-39
1.7104071943583237e-19,0.3179501492602257,1.0253013620982713e-21,7.4495344976939616e-35,7.2954577854788582e-35,6.1387735315507215e-54,2.3337127675434012e-46,0.0,0.0,2.2308421389260486e-21,4.6234874110527304e-37,154.0,0.0,0.99999999999995903,1.0,19.0,2.7348442971891353e-15,2.2262755437667004e-15,1.8013098068283886e-14,1.8013101316277659e-14,1.7278513194058694e-22,1.1927815065278259e-23,1.1921050946764231e-23,8.1566726352355221e-24,1.9462345622950384e-22,2.3087038068543475e-34,8.1085298648578509e-27,1.356465374913893e-27,3.3644992623550391e-37,3.364499260946148e-37,1.2251783628509102e-46,3.0737147980328042e-37,1.8371301455122032e-47,5.8776407164498929e-28,4.3567915557666934e-85,4.1582931203614517e-85,4.1582931203616152e-85,3.4949378305872513e-39,1.8565276173633819e-42,3.1517975271686326e-34,1.7434596247149755e-39,1.2910748884213124e-43,3.6994845493957991e-50,1.1233041951651006e-60,1.3136473585893009e-70,2.0125132934640029e-72,7.9243051835350717e-83,3.4054820833742804e-86,5.0342134126170882e-84,1.4240042153746344e-73,9.0274434365277684e-82,2.7288191629844023e-37,1.3545408995261283e-36,7.714905004097678e-46,2.9155816747623721e-47,3.466437197223133e-47,5.5873002802078789e-52,2.6443753821273874e-56,1.3959168224192612e-56,2.1170380835317354e-63,7.403397895271093e-74,1.6645704511884484e-64,8.5570283263038537e-74,3.2336112502243151e-75,5.8516501045392917e-74,8.7937351057446471e-76,8.7937351053614212e-76,7.7455985563141079e-87,4.874628791697798e-63,9.8397203796817289e-67,2.2426420845339515e-76,2.8154230298619175e-85,5.650536154018442e-86,6.2001177394915235e-96,1.0208431163883284e-96,2.3818517185078666e-108,5.1077118600605572e-68,1.7120545830614496e-75,3.0576938356710852e-86,7.3093853161160458e-110,8.4260171345903982e-120,4.3383652596980934e-120,5.5988670741976798e-79,5.1851816923135206e-38
3.4449046308907084e-19,0.31795014926022563,2.065043588763747e-21,2.9799730413638177e-34,2.9489406815977668e-34,4.9919510926003815e-53,1.8899011052266527e-45,0.0,0.0,4.4931069730604237e-21,1.868888394324296e-36,154.0,0.0,0.99999999999991751,1.0,19.0,5.5082075281408135e-15,4.4839063195107846e-15,3.6279901718966854e-14,3.6279908244202333e-14,6.9842502758786228e-22,4.8214135526416347e-23,4.8159378293080624e-23,3.2970572966694951e-23,7.8669901315974895e-22,1.8680095099596065e-33,3.2775974124624239e-26,5.483049921052771e-27,2.724658731100604e-36,2.7246587288167316e-36,1.9860660510433162e-45,2.4891735965629495e-36,2.9780668385177162e-46,2.3758363509653605e-27,5.7622738965835332e-83,5.499740714042489e-83,5.4997407140429221e-83,2.8302912751238409e-38,1.5034641966675155e-41,2.5455310445122005e-33,1.4118768383549676e-38,1.0455456167266385e-42,5.9970222035805536e-49,3.6434092306802642e-59,8.5233899483546109e-69,1.3057869348610149e-70,1.0284216870735735e-80,4.4196577036645376e-84,6.533385012368887e-82,9.2394226949650529e-72,5.9323544049925415e-80,2.2098682072378721e-36,5.4752708801493262e-36,6.2477300818037168e-45,2.3611132662604739e-46,2.8072006831968181e-46,5.5183142024670215e-51,4.2819123394336557e-55,2.2605119091976647e-55,4.1661420464182905e-62,2.9086064372565581e-72,3.2757261165765776e-63,3.3618206450688694e-72,1.2703095838028818e-73,2.2989695146483941e-72,3.4548449778796739e-74,3.4548449775788184e-74,6.0807659000463384e-85,1.5810740234414108e-61,3.1914894077480272e-65,1.4551025591638248e-74,3.6538756863962314e-83,7.3333052582337472e-84,1.6093967927697967e-93,2.6498564177636696e-94,1.2365727442439752e-105,1.6553807143636079e-66,1.1099675259565164e-73,2.4004756086377375e-84,3.7947730285922543e-107,8.7490941418193311e-117,4.5047102897987944e-117,2.1996593121794071e-77,4.1990943357858396e-37
6.913899503955478e-19,0.3179501492602257,4.144528043038163e-21,1.1919842576904741e-33,1.1857560784579946e-33,4.0261932845945735e-52,1.5211568276292053e-44,0.0,0.0,9.0176438416186022e-21,7.514724949553343e-36,154.0,0.0,0.99999999999983435,1.0,19.0,1.1054933990042101e-14,8.9991655701969343e-15,7.2813508947234659e-14,7.2813521977276582e-14,2.8083355003592562e-21,1.9386691792655339e-22,1.9342661665647607e-22,1.3257320800101142e-22,3.1632812105608533e-21,1.5009053333561824e-32,1.3179075016219187e-25,2.2047102543042738e-26,2.193042383380052e-35,2.1930423797019482e-35,3.1984953406396624e-44,2.0035029190983238e-35,4.7960838856315477e-45,9.5531334579744724e-27,7.4968762892574631e-81,7.1553134224962015e-81,7.1553134224973288e-81,2.278064658898341e-37,1.210118781329267e-40,2.0378816222707077e-32,1.1363659479314698e-37,8.4154558773729942e-42,9.6580139936152675e-48,1.1737721712678442e-57,5.4924363450997443e-67,8.4144356473820281e-69,1.3254925894963556e-78,5.6963244286760769e-82,8.4204930506917545e-80,5.9538448135140361e-70,3.8470172875068268e-78,1.7786937038576293e-35,2.2015823332078069e-35,5.0287166892570293e-44,1.9004287804910265e-45,2.2594631806929275e-45,6.0410403776089549e-50,6.8806891131646605e-54,3.6330045786842515e-54,9.0746645398445755e-61,1.2639281113951723e-70,7.1351661202712745e-62,1.460855837752947e-70,5.5192859052012872e-72,9.9901637495153408e-71,1.5013038727927039e-72,1.5013038725315528e-72,5.278287737620457e-83,5.093639632025441e-60,1.0281806245000478e-63,9.3766224666548264e-73,4.7093394523177093e-81,9.4516141762495111e-82,4.1486879688676162e-91,6.8307795361589263e-92,6.3753413453983421e-103,5.3306335532374155e-65,7.1493375164638426e-72,2.0836850452398534e-82,1.956453714544043e-104,9.021521390514988e-114,4.6449769083651901e-114,9.5586272840748651e-76,3.3797960584125866e-36
1.3851889250085016e-18,0.31795014926022563,8.3034969553608502e-21,4.7678903295870357e-33,4.7554122193897688e-33,3.2340636373596816e-51,1.2206325556802884e-43,0.0,0.0,1.8066746379892545e-20,3.0137463536532121e-35,154.0,0.0,0.99999999999966804,1.0,19.0,2.2148386913836402e-14,1.8029674868370554e-14,1.4588072311137778e-13,1.4588074895348098e-13,1.1262674856314656e-20,7.774930460502549e-22,7.7396724769934677e-22,5.316777321786363e-22,1.26861650785952e-20,1.2001805879037117e-31,5.2853985097692609e-25,8.8418741714753291e-26,1.7597783942816577e-34,1.7597783883774961e-34,5.1342843680962152e-43,1.6076840423161053e-34,7.6987737617135987e-44,3.8312337780304657e-26,9.6743216365640533e-79,9.2335528544552677e-79,9.2335528544581813e-79,1.8280034382768355e-36,9.7104410726602162e-40,1.617916567950631e-31,9.1180536073702197e-37,6.752865570783002e-41,1.5503234091424343e-46,3.7687321400657597e-56,3.5271991588427603e-65,5.4036839915394429e-67,1.7024877457977942e-76,7.3164669156107741e-80,1.0815101433951928e-77,3.8235120291196422e-68,2.4783201853866489e-76,1.4272889031457098e-34,8.8293297851823063e-35,4.0352284122458013e-43,1.5249734672102188e-44,1.8130509881509566e-44,7.414373795536276e-49,1.0996551425761279e-52,5.8079073880980593e-53,2.216010424617838e-59,6.1572261363580259e-69,1.7423897468490816e-60,7.1164093223588549e-69,2.6879279709639013e-70,4.8667529084520886e-69,7.3136906103103666e-71,7.3136906077691348e-71,5.1362354342347228e-81,1.6354602515214676e-58,3.30127106796738e-62,6.0215969490824619e-71,6.0487688364607288e-79,1.213984001338657e-79,1.0657443991767444e-88,1.7547414202605469e-89,3.2755122836163278e-100,1.7111444776383216e-63,4.5901374761140942e-70,2.0276077196149845e-80,1.0051835389353864e-101,9.2701558646702817e-111,4.7729931690657225e-111,4.6565424378173108e-74,2.7120728813796481e-35
