Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533)
5.862444825356028e-19,0.6373761490644001,1.8176415148081083e-19,4.8391759309943742e-32,4.7400554165392702e-32,6.1983249428100136e-50,3.0185324661959428e-43,0.0,0.0,6.4741576733821009e-20,4.9211531976389161e-35,154.0,0.0,0.99999999999947919,1.0,19.0,4.1049913950804831e-14,1.6174048673369318e-13,1.5903305150631846e-13,1.5903329789195216e-13,4.6793301003165708e-20,1.9349226022502528e-22,1.9285727070704447e-22,1.2092028528584481e-22,6.6120406456939086e-20,2.3630725116329703e-32,2.5498159330858512e-25,2.2811267966427846e-25,3.9511133289322413e-34,3.9511133261505338e-34,2.4041479728645193e-43,1.5520034069245295e-33,3.7755906706324712e-44,1.8666526153127007e-26,1.0297739711134483e-78,9.700835563147487e-79,9.700835563155837e-79,2.0922600800092672e-37,8.7629561059039878e-40
1.1729982999821835e-18,0.6373761490643999,3.6368622155065037e-19,1.9170901758531559e-31,1.8972574612572612e-31,4.9636895162105652e-49,2.416661370733667e-42,0.0,0.0,1.2953947604942106e-19,1.9697447810100127e-34,154.0,0.0,0.99999999999895783,1.0,19.0,8.2135492466209608e-14,3.2362126470363128e-13,3.1820427208724785e-13,3.1820476483478238e-13,1.8729503654413427e-19,7.7447329073963897e-22,7.6940385931259244e-22,4.8399611527639471e-22,2.646537790276498e-19,1.8762843956301773e-31,1.0205908727224504e-24,9.1304519491760098e-25,3.163293100988552e-33,3.1632930965342039e-33,3.8497611850836194e-42,1.2425457017602021e-32,6.0458611827647799e-43,7.471475092588692e-26,1.3207874235158217e-76,1.244228536479443e-76,1.2442285364815854e-76,1.6750802601279374e-36,7.0156931214611884e-39
2.3465059348753453e-18,0.6373761490644,7.275303620670997e-19,7.6311751827339206e-31,7.5915011417103152e-31,3.9729674226001562e-48,1.9340635704273426e-41,0.0,0.0,2.5913549818744357e-19,7.8815529374171143e-34,154.0,0.0,0.99999999999791522,1.0,19.0,1.6430664949676815e-13,6.4738212892751315e-13,6.3654671208449408e-13,6.3654769685712528e-13,7.4942319432019477e-19,3.0989019167917824e-21,3.0585728962623809e-21,1.9366136690782887e-21,1.0589585507841183e-18,1.4772010286318213e-30,4.0836928583628866e-24,3.653370055789397e-24,2.5315958569983874e-32,2.5315958498685568e-32,6.1620996020392886e-41,9.9441306271508838e-32,9.6773052397440903e-42,2.98956323712221e-25,1.692323121784663e-74,1.5942283244983122e-74,1.5942283245038021e-74,1.3405733187460795e-35,5.6146866843761212e-38
4.693521204661668e-18,0.6373761490644,1.4552186446070786e-18,3.0450304585580063e-30,3.0370947890685385e-30,3.1791852618820862e-47,1.5475447099294881e-40,0.0,0.0,5.1832843649077549e-19,3.1531408735168981e-33,154.0,0.0,0.99999999999583,1.0,19.0,3.2864896355688118e-13,1.2949010905231223e-12,1.2732315874205365e-12,1.2732335535509703e-12,2.9981734516792537e-18,1.239762519637535e-20,1.2078790691451391e-20,7.747705913098528e-21,4.2365134111847308e-18,1.1447306416344737e-29,1.6337430466130266e-23,1.4615858992266926e-23,2.0256613024893019e-31,2.0256612910793378e-31,9.8612841497938268e-40,7.9567972202913399e-31,1.5486807033862583e-40,1.1960199598366239e-24,3.7943301723770608e-72,3.5743934218271159e-72,3.5743934218516925e-72,1.0726623661405096e-34,4.4926023744972603e-37
9.387551744234315e-18,0.6373761490644001,2.9105952157153576e-18,1.2165240113634121e-29,1.214936791255787e-29,2.5436804637717139e-46,1.2381533239584902e-39,0.0,0.0,1.0367178892065644e-18,1.2613641866476011e-32,154.0,0.0,0.99999999999165956,1.0,19.0,6.5733359167309109e-13,2.5899279464003047e-12,2.5466013194588225e-12,2.5466052383186154e-12,1.1993611294197191e-17,4.9594534007728183e-20,4.7103477592538286e-20,3.0993267443248296e-20,1.6947350083420737e-17,8.6141121925724954e-29,6.5355039676574043e-23,5.8468192870344437e-23,1.6206828799397284e-30,1.6206828616821984e-30,1.5779399223846395e-38,6.3660131532201e-30,2.4781309647451353e-39,4.7844691751344332e-24,4.8739421693313446e-70,4.5914261652680951e-70,4.591426165331338e-70,8.5821142351258351e-34,3.594423098690158e-36
1.8775612823379607e-17,0.6373761490644,5.8213483820451989e-18,4.8631194672798218e-29,4.8599449402047668e-29,2.0350895772802073e-45,9.9056968732009866e-39,0.0,0.0,2.0735110990744669e-18,5.0457035501675905e-32,154.0,0.0,0.99999999998331857,1.0,19.0,1.3147028478894459e-12,5.1799373896551609e-12,5.0933407090002152e-12,5.0933484991111357e-12,4.7975928780264801e-17,1.983861858178234e-19,1.7935286490378053e-19,1.2397748675190817e-19,6.7791496712131348e-17,6.1556610411043702e-28,2.6143078988967146e-22,2.338822778164835e-22,1.2966078020264609e-29,1.2966077728137939e-29,2.5247489116718572e-37,5.093005846811555e-29,3.9651784388123404e-38,1.9138655226629235e-23,6.2394050616285848e-68,5.8777405795547701e-68,5.8777405797166974e-68,6.8660181283109809e-33,2.8756748891094994e-35
3.755173498167019e-17,0.6373761490643999,1.1642854811158007e-17,1.9446524599504842e-28,1.9440175453294269e-28,1.6281494206121577e-44,7.9247456679707911e-38,0.0,0.0,4.1471547365541863e-18,2.0183556789721516e-31,154.0,0.0,0.99999999996663669,1.0,19.0,2.6294413602578964e-12,1.0359779208219741e-11,1.01868191899424e-11,1.0186834624476492e-11,1.9190387095927943e-16,7.9356070804788581e-19,6.5390358799964463e-19,4.9591501647504848e-19,2.7116620705332849e-16,4.0516549079879767e-27,1.0457443869688765e-21,9.3554806182466592e-22,1.0373107768812629e-28,1.0373107301425788e-28,4.0394341888804604e-36,4.0744270682913497e-28,6.3443419413531312e-37,7.6556176629409178e-23,7.986820568548807e-66,7.5238678919246515e-66,7.5238678923392066e-66,5.4929461658716531e-32,2.3005943547587152e-34
5.632785713996078e-17,0.6373761490644,1.7464361336723934e-17,4.1320144072909495e-28,4.1310620299762381e-28,4.8336563361088182e-44,2.2659958113248788e-37,0.0,0.0,6.2208555917764567e-18,4.2890805394198791e-31,154.0,0.0,0.99999999994995481,1.0,19.0,3.9441798725620877e-12,1.5539443964891877e-11,1.52802973727441e-11,1.528032038633893e-11,4.0779266043201571e-16,1.686326331035008e-18,1.3057927802231935e-18,1.0538183446690204e-18,5.7622385854394432e-16,1.0435244545349347e-26,2.2222200527009734e-21,1.9880514053047332e-21,2.9660784426518521e-28,2.96607827062639e-28,1.4867412422423066e-35,1.1650263844895484e-27,2.3351338216505924e-36,1.626828461737794e-22,4.1209112178455906e-65,3.8820443434259562e-65,3.8820443436804701e-65,1.5706491839378376e-31,6.5783018185000933e-34
7.510397929825135e-17,0.6373761490644,2.3285867958742976e-17,7.04839780082812e-28,7.0471279597796188e-28,1.0532436890209859e-43,4.7796576259853885e-37,0.0,0.0,8.2946136647399314e-18,7.3167670216664456e-31,154.0,0.0,0.99999999993327293,1.0,19.0,5.2589183848020198e-12,2.0718931665724053e-11,2.0373775257405434e-11,2.0373805812320428e-11,6.9563983736940273e-16,2.8766829371172642e-18,2.1074017563418515e-18,1.7976841797654264e-18,9.8296097536843899e-16,2.0145757016000785e-26,3.7908577612125402e-21,3.3913922536126802e-21,6.2563392997197493e-28,6.2563388634357358e-28,3.770601935208485e-35,2.4573629908208076e-27,5.9223820520722834e-36,2.775186627204825e-22,2.2481227920091975e-64,2.1178113060793858e-64,2.1178113062210693e-64,3.3129659872654721e-31,1.3875590029218366e-33
1.126562236148325e-16,0.6373761490643999,3.4928881429150582e-17,1.4592133325628791e-27,1.4590228553864928e-27,3.0573185217530525e-43,1.3054772730371912e-36,0.0,0.0,1.2442264097198245e-17,1.5148752057193261e-30,154.0,0.0,0.99999999989990918,1.0,19.0,7.8883954091310715e-12,3.1077491546946397e-11,3.056073032701128e-11,3.0560775945368583e-11,1.440208490847443e-15,5.9558236022208792e-18,3.9926359342601825e-18,3.7218482610747131e-18,2.0350599072265315e-15,4.808900186244367e-26,7.8485134092543659e-21,7.0214679247044886e-21,1.7088060732133425e-27,1.7088059206488038e-27,1.3185385897423726e-34,6.7117373805465589e-27,2.0710679927265834e-35,5.74568902662468e-22,3.1222860677835373e-63,2.9413040786937982e-63,2.9413040789176207e-63,9.0487741693781092e-31,3.7898668281314823e-33
