Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314)
1.3874245436066327e-18,0.6538675984080936,8.0609070912769216e-20,3.5173457878872296e-32,3.4988828928371598e-32,4.0955066088593109e-50,4.783058022479171e-43,0.0,0.0,4.4746593372891254e-20,5.6361350798970245e-35,154.0,0.0,0.99999999999947764,1.0,19.0,5.1901651934404913e-14,1.0479720808660119e-13,1.8285456594700465e-13,1.8285469098365707e-13,6.9048085854868362e-20,4.9634868907202995e-22,4.932798641070833e-22,3.2230751428391055e-22,8.8575692970079689e-20,1.0939391006400676e-31,4.9223600185731569e-25,2.987909732160796e-25,9.0094054697600119e-34,9.0094054550955484e-34,1.2708381639285074e-42,2.6286978170315041e-33,1.956082148202749e-43,3.5990568091680701e-26,1.2351843998328752e-77,1.170065940085133e-77,1.1700659400862155e-77,8.8590807678254053e-37,2.136214035684609e-39,1.3854665305846887e-31
2.77605449515732e-18,0.6538675984080936,1.6128817588558365e-19,1.4041591762811261e-31,1.400464993168101e-31,3.2797315944032743e-49,3.8293547242730827e-42,0.0,0.0,8.9532206869528797e-20,2.2559260345343108e-34,154.0,0.0,0.99999999999895473,1.0,19.0,1.0384839652889071e-13,2.0968514295217787e-13,3.6586799672571656e-13,3.6586824628136748e-13,2.7637192408506729e-19,1.9866882545240122e-21,1.9622587392888949e-21,1.2900692183492138e-21,3.5453314006074446e-19,8.6487330043175638e-31,1.9702268039844235e-24,1.1959425582111383e-24,7.2130024439959204e-33,7.2130024205137613e-33,2.0349881939530867e-41,2.1045540275195289e-32,3.1322768445202128e-42,1.4405606615967877e-25,1.5842466968636613e-75,1.5007258033829492e-75,1.5007258033857251e-75,7.092651394673515e-36,1.7102701294412026e-38,1.0694019842713752e-30
5.553314398258695e-18,0.6538675984080936,3.2264638617593026e-19,5.6110741400198542e-31,5.6036841694896423e-31,2.6251220998608367e-48,3.0646476019648942e-41,0.0,0.0,1.7910386559423892e-19,9.0266680932380914e-34,154.0,0.0,0.99999999999790901,1.0,19.0,2.0774188571738949e-13,4.194600461033673e-13,7.318948552983907e-13,7.3189535208361867e-13,1.1058447757900002e-18,7.9493406092154148e-21,7.7560460961709509e-21,5.1619508938454684e-21,1.4185906259420313e-18,6.7526676478166927e-30,7.8834734958886616e-24,4.7853279689335706e-24,5.7725940762086433e-32,5.7725940386221839e-32,3.2572787023417674e-40,1.6842786983265161e-31,5.0136726544664148e-41,5.7641190369434693e-25,2.0298931070626897e-73,1.9228779016222717e-73,1.9228779016293861e-73,5.6762768448916966e-35,1.3687358756800236e-37,7.9834547163842149e-30
1.1107834204461444e-17,0.6538675984080938,6.4536280813549406e-19,2.2433167178439006e-30,2.2418385631465049e-30,2.1006415828284812e-47,2.4521837141981655e-40,0.0,0.0,3.5824890996938057e-19,3.6112754022351878e-33,154.0,0.0,0.99999999999581757,1.0,19.0,4.1552886409249585e-13,8.3900598612151955e-13,1.4639485605047416e-12,1.4639495449921498e-12,4.4240758891960353e-18,3.1802537216848006e-20,3.0290265051068548e-20,2.065111385912315e-20,5.6752563490545032e-18,5.1511201258683639e-29,3.1539026928157514e-23,1.914442748425049e-23,4.6189522275285067e-31,4.6189521673788535e-31,5.2126177860500614e-39,1.3476722332778072e-30,8.0234759688135514e-40,2.3060229306325038e-24,4.5511902073515106e-71,4.3112531624033445e-71,4.311253162435191e-71,4.5418841050269688e-34,1.0951966372736756e-36,5.6273283134556515e-29
2.221687381686694e-17,0.6538675984080936,1.290795657570104e-18,8.9710405986452359e-30,8.9680841273715231e-30,1.6807453227466337e-46,1.9619332508942452e-39,0.0,0.0,7.1654590642240258e-19,1.444644034419446e-32,154.0,0.0,0.99999999999163469,1.0,19.0,8.3110282083514378e-13,1.6780824013059462e-12,2.9280559231614594e-12,2.9280578595334867e-12,1.769755743039156e-17,1.2722049006985476e-19,1.1563739012898691e-19,8.2610770723692396e-20,2.2702633879971713e-17,3.7682414415053461e-28,1.2616637168279383e-22,7.6583939137915212e-23,3.6955124953361686e-30,3.6955123990898719e-30,8.3407533435249025e-38,1.0782295545986499e-29,1.2838763258197681e-38,9.2248422851434488e-24,5.8461535211378683e-69,5.537946496525891e-69,5.5379464966078422e-69,3.6338526181651096e-33,8.7624046718212908e-36,3.6295843765916772e-28
4.443495304167793e-17,0.6538675984080936,2.5816613785012514e-18,3.5879709682644459e-29,3.5873796567917269e-29,1.3447122369183918e-45,1.5696211270487162e-38,0.0,0.0,1.4331675301382628e-18,5.7789417505182506e-32,154.0,0.0,0.99999999998326894,1.0,19.0,1.6622507342901799e-12,3.3561733745474435e-12,5.8562704574510268e-12,5.8562742274155589e-12,7.0791619201578253e-17,5.0890257091532686e-19,4.2354622279557957e-19,3.3045326936211603e-19,9.0812317961189821e-17,2.5710138182452872e-27,5.0468599586743992e-22,3.0634819571771367e-22,2.9565501118240535e-29,2.9565499578315543e-29,1.3344976709039783e-36,8.626076289907697e-29,2.0542732309281465e-37,3.6900869382400151e-23,7.483986213995543e-67,7.0894332675336292e-67,7.0894332677434559e-67,2.907220629905408e-32,7.0102559727563734e-35,2.0848831239764687e-27
8.887111149129993e-17,0.6538675984080936,5.1633929086112408e-18,1.4350993497964105e-28,1.434981084955991e-28,1.0758532235528329e-44,1.2557267298313068e-37,0.0,0.0,2.8665213008006264e-18,2.3117281096991701e-31,154.0,0.0,0.99999999996653732,1.0,19.0,3.3245465610792147e-12,6.7121079107608861e-12,1.1712698761935182e-11,1.1712706060197091e-11,2.8316030952633216e-16,2.0356509279586979e-18,1.446419526807593e-18,1.3218139097505587e-18,3.6324136038639222e-16,1.5850368997733397e-26,2.0187848661910711e-21,1.2254175042100107e-21,2.3652958535546198e-28,2.3652956071904557e-28,2.1349602455263013e-35,6.9007534060497327e-28,3.2868139569293465e-36,1.4760647109511717e-22,9.5799586279357501e-65,9.074906813263107e-65,9.0749068138002919e-65,2.3258325529685012e-31,5.608337034945916e-34,1.0610558544120311e-26
1.3330726994092193e-16,0.6538675984080936,7.7451245269689142e-18,3.049530492450476e-28,3.0493530926807867e-28,3.1940513270748361e-44,3.5906155584290832e-37,0.0,0.0,4.2999855946853617e-18,4.9126054861681457e-31,154.0,0.0,0.99999999994980571,1.0,19.0,4.9868423877472118e-12,1.006779505494331e-11,1.7569126302324862e-11,1.7569137095179741e-11,6.0170173923772507e-16,4.325782976329497e-18,2.7711818194949695e-18,2.8088331066670492e-18,7.7187003599985255e-16,3.9557343533729328e-26,4.2899432553126971e-21,2.6040274702778958e-21,6.763308439983858e-28,6.7633075332482579e-28,7.8576022453504376e-35,1.9731516236444479e-27,1.2097537631478571e-35,3.1366561465689164e-22,4.942912875342507e-64,4.6823243704203545e-64,4.6823243707501576e-64,6.6504698959387922e-31,1.6036435075816974e-33,2.4413487572457212e-26
1.7774342839054392e-16,0.6538675984080935,1.032685623357426e-17,5.2020905431827566e-28,5.2018540068356291e-28,6.959896631782445e-44,7.5736737671504136e-37,0.0,0.0,5.733560411784463e-18,8.3805953551866163e-31,154.0,0.0,0.99999999993307409,1.0,19.0,6.6491382142941708e-12,1.3423234825331899e-11,2.3425553078620566e-11,2.3425567410376464e-11,1.0264080815170338e-15,7.3792982126705367e-18,4.3198372309169553e-18,4.7914937808543143e-18,1.3166883044672678e-15,7.4561098966881882e-26,7.3181610701606937e-21,4.4421779561643185e-21,1.4265823211951398e-27,1.4265820912388104e-27,1.9927468648314768e-34,4.161876977827124e-27,3.0681643152659301e-35,5.3507829466249641e-22,2.6965574634984362e-63,2.5543959699013027e-63,2.554395970084898e-63,1.4027819368394375e-30,3.3825597484864303e-33,4.3552553970448319e-26
2.666157452897879e-16,0.6538675984080935,1.5490319853896804e-17,1.0770166302298334e-27,1.0769811487650003e-27,2.0203692695265281e-43,2.0686123845171108e-36,0.0,0.0,8.6009694371759381e-18,1.7351851020380725e-30,154.0,0.0,0.99999999989961097,1.0,19.0,9.9737298671040207e-12,2.013353385152752e-11,3.5138404837931767e-11,3.5138426518766829e-11,2.1249590391295688e-15,1.5277940729684819e-17,7.7753740266769137e-18,9.9200023710268171e-18,2.7259223350653148e-15,1.7243215177601478e-25,1.5151368560458508e-20,9.1969919654896548e-21,3.8964516710397762e-27,3.8964508669405503e-27,6.9680620813838339e-34,1.136702804001749e-26,1.0729301900063617e-34,1.1078149997059341e-21,3.7450897907469455e-62,3.5476500693592624e-62,3.547650069649293e-62,3.8314491454810057e-30,9.2388504502984237e-33,9.4398868082800002e-26
