Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326)
0.0,0.7257831932350438,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.111925613577441e-22,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,2.0408685559616784e-17,7.6986396426526748e-17,7.6986396426541169e-17,2.4634939480088837e-29,2.463490168178609e-29,2.2411904050924665e-16,1.9561375434746965e-26,5.7510161153423968e-19,3.2114994733321771e-26,1.4509601227031505e-29,1.517922351128147e-42,1.4108919054397285e-31,1.7880465196537747e-42,9.6810790707044466e-32,1.0257043924861786e-43,1.0257043924863986e-43,1.9331417485147529e-56,2.6688341866695364e-57
3.1133917180168347e-22,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999999889,1.0,19.0,5.7144319566926951e-17,2.1556190999414788e-16,2.1556190999423493e-16,1.4879503445914906e-28,1.4879458571830769e-28,6.2753331325542667e-16,1.1815070759909071e-25,1.6102845120087416e-18,1.9397456814529572e-25,8.7637991399343081e-29,1.8020681810952768e-41,8.5217871080424491e-31,2.1227375730160209e-41,5.8473717586975883e-31,1.2177162547578542e-42,1.2177162547583463e-42,4.324360762340861e-55,5.9700753211292106e-56
7.116323926895622e-22,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999999745,1.0,19.0,1.3061558758154709e-16,4.92712937128882e-16,4.9271293712930108e-16,7.1638404007217024e-28,7.1637963432087568e-28,1.4343618580659302e-15,5.6884479724072727e-25,3.6806503118092287e-18,9.3390404618548054e-25,4.2193920350316776e-28,1.7692616668746128e-40,4.1028736597984646e-30,2.0840501354435601e-40,2.8152577937490082e-30,1.1955610398765054e-41,1.1955610398774776e-41,8.5442081344982159e-54,1.1795862786133099e-54
1.5122188344653198e-21,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999999456,1.0,19.0,2.7755812361078662e-16,1.0470149913963176e-15,1.047014991398148e-15,3.1286373138802136e-27,3.1285983457383522e-27,3.0480189449595093e-15,2.4842946760618136e-24,7.8213819068161339e-18,4.0786043243168576e-24,1.8427193539842814e-27,1.564857114652848e-39,1.7918327186475142e-29,1.8432009879749388e-39,1.2294970419672246e-29,1.0574602004662434e-40,1.0574602004679734e-40,1.5203961807230107e-52,2.0990107560649572e-53
3.1133917180168346e-21,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999998879,1.0,19.0,5.7144319566926268e-16,2.1556190999230595e-15,2.1556190999307008e-15,1.3061444911523488e-26,1.3061117364670202e-26,6.2753331078369627e-15,1.0371441218143381e-23,1.610284507845367e-17,1.7027370146272128e-23,7.6929905539336269e-27,1.3152981662382688e-38,7.4805488712929734e-29,1.5491234309338618e-38,5.1329081231773401e-29,8.8885901523772812e-40,8.888590152406464e-40,2.5643703667412597e-51,3.5402884323147371e-52
6.315737485119864e-21,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999997724,1.0,19.0,1.1592133397862029e-15,4.3728273169440256e-15,4.3728273169752416e-15,5.3360264304512239e-26,5.3357578940797743e-26,1.2729961389953044e-14,4.2370721330369206e-23,3.2665771348223659e-17,6.9562362672860669e-23,3.1428376500926938e-26,1.078264934682666e-37,3.0560482932503021e-28,1.2697403011417747e-37,2.0969604509375989e-28,7.2874032327356899e-39,7.2874032327836248e-39,4.2119859691332972e-50,5.8149343623338998e-51
1.2720429019325923e-20,0.7257831932350436,154.0,0.0,0.0,0.0,0.99999999999995426,1.0,19.0,2.3347536280200357e-15,8.8072437508558968e-15,8.8072437509820656e-15,2.1569071986204639e-25,2.1566897411539697e-25,2.5639217779629917e-14,1.7126922878951268e-22,6.5791623593743291e-17,2.811821898160131e-22,1.2703852219246157e-25,8.7305150011357054e-37,1.2353035781202879e-27,1.027743122369703e-36,8.4762494174299433e-28,5.9015280762647089e-38,5.9015280763424132e-38,6.8278105728986495e-49,9.4262591236899473e-50
2.5529812087738045e-20,0.7257831932350439,154.0,0.0,0.0,0.0,0.9999999999999083,1.0,19.0,4.6858342044875093e-15,1.7676076618159445e-14,1.7676076618666683e-14,8.6728289790932502e-25,8.6710788571893627e-25,5.1457729860762485e-14,6.886660256260948e-22,1.3204332690870119e-16,1.1306212009363258e-21,5.1081630563908502e-25,7.024577701836994e-36,4.9671013246693614e-27,8.2637239964875577e-36,3.4082626105355069e-27,4.7500632166461133e-37,4.750063216771253e-37,1.0995977826440796e-47,1.5180699529469433e-48
5.114857822456228e-20,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999981637,1.0,19.0,9.3879953574216929e-15,3.5413742350686259e-14,3.5413742352719791e-14,3.4781923205006204e-24,3.4767882225758563e-24,1.0309475123014314e-13,2.7618586908086684e-21,2.6454672883429159e-16,4.534296558305844e-21,2.0486018157735546e-24,5.6327726698601273e-35,1.9920297642996485e-26,6.6176021690122037e-35,1.366865744844068e-26,3.8116265820706987e-36,3.8116265822715763e-36,1.7650977689866601e-46,2.4368384140239631e-47
1.0238611049821077e-19,0.7257831932350436,154.0,0.0,0.0,0.0,0.99999999999963252,1.0,19.0,1.8792317663287004e-14,7.0889073807422422e-14,7.0889073815561522e-14,1.3930911421813738e-23,1.3919665791106793e-23,2.0636878279736774e-13,1.1061839857901327e-20,5.2955351386817221e-16,1.8160835875903411e-20,8.2050924089050762e-24,4.5066624388320167e-34,7.9785092215725793e-26,5.2806039796895008e-34,5.4745925112283455e-26,3.0539396091700382e-35,3.0539396094919668e-35,2.8287582066596197e-45,3.905295199196969e-46
2.0486117504550774e-19,0.7257831932350438,154.0,0.0,0.0,0.0,0.9999999999992647,1.0,19.0,3.7600962275005389e-14,1.4183973668765427e-13,1.4183973672018692e-13,5.5759950570116868e-23,5.5669984948711899e-23,4.1291680124567972e-13,4.427618194451648e-20,1.0595670086667439e-15,7.2690663021277671e-20,3.2841750285826133e-23,3.5978483192562757e-33,3.1934827818677732e-25,4.1936221402567832e-33,2.1912637228611323e-25,2.4450086114214271e-34,2.445008611936932e-34,4.5296967169887367e-44,6.2535599063905632e-45
4.0981130414010163e-19,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999852918,1.0,19.0,7.5218251498393245e-14,2.8374106231539172e-13,2.8374106244520577e-13,2.2311243201876864e-22,2.2239351650635482e-22,8.2601265939783163e-13,1.7716235637163671e-19,2.1195936971872134e-15,2.9085726414272301e-19,1.3140975999637041e-22,2.8631447661165321e-32,1.2778089500819044e-24,3.3028936778252712e-32,8.7679091317046576e-25,1.9567499740653333e-33,1.9567499748904768e-33,7.2504582466654473e-43,1.0009766416934776e-43
8.197115623292894e-19,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999705802,1.0,19.0,1.5045282994497324e-13,5.6754371304183354e-13,5.6754371355831524e-13,8.9259500248051446e-22,8.8685984005419844e-22,1.652203660724867e-12,7.087644361950011e-19,4.2396458699221435e-15,1.1636178760285699e-18,5.2572445280305734e-22,2.2654026208406809e-31,5.1120667948944181e-24,2.5613716895980585e-31,3.5077345743028741e-24,1.5656972730225888e-32,1.5656972743430848e-32,1.1603073092310747e-41,1.6018878622484376e-42
1.639512078707665e-18,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999999411571,1.0,19.0,3.0092198683735046e-13,1.1351490123933976e-12,1.1351490144368215e-12,3.5706705333357488e-21,3.5250585761089139e-21,3.3045828034748137e-12,2.8352856793499242e-18,8.4797453981734342e-15,4.654845716938672e-18,2.1030677125200487e-21,1.7729098414121424e-30,2.0449922898368082e-23,1.9299952503679857e-30,1.4032080159757937e-23,1.2526767426711331e-31,1.2526767447841349e-31,1.8566739532199486e-40,2.563279229200194e-41
