Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664)
0.0,0.48741055657742527,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2336764346845898e-21,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,5.0275569069578545e-17,2.3989679597092694e-16,2.3989652739493827e-16,1.1699713212113644e-27,1.1699609593244978e-27,1.1122743902688821e-16,9.8217371535859296e-26,8.5651286205576398e-20,1.2766398273112703e-25,7.5576963713612433e-28,4.2116428920073825e-40,1.2614575398187513e-30,5.4409667128202303e-40,5.7749070691148321e-31,3.2022128484950034e-42,3.2022128485063965e-42,1.0088234889075233e-53,1.3046957393792001e-54,8.8038769266324993e-32,6.4885362920780025e-97,6.1418037783375441e-97,6.1418037783375566e-97,4.5584677094134434e-45,2.6857674405838018e-22,6.3276639651572192e-40,3.0188588470400449e-45,6.4183793814908613e-42,4.9379342464792886e-42,2.9688592398647809e-60,8.8523984500553979e-48,1.4926108777154149e-76,4.2384396810696311e-61,9.627677716769869e-58,2.522832159741924e-69,1.3052736887126634e-81,1.4275507528768387e-93,7.0905906788659369e-95,2.771941594527136e-71,2.571068811639057e-107,5.5620547234430452e-111,3.2616738158704572e-108,4.9258402531921915e-100,1.5120364656280633e-96,1.2519655140053478e-39,6.105814712853921e-51
3.454294017116851e-21,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999999822,1.0,19.0,1.4077159339481957e-16,6.71711028712355e-16,6.7171027670203334e-16,7.0666267799751518e-27,7.0664961258735272e-27,3.1143682852837679e-16,5.9323292288940814e-25,2.3982360100629188e-19,7.7109045415289548e-25,4.5648486039479626e-27,4.9999623467240344e-39,7.6192035400173006e-30,6.4591274301069088e-39,3.4880438697099711e-30,3.8016670936859876e-41,3.801667093711473e-41,2.2566977775263019e-52,2.9185521774462993e-53,5.3175416636574942e-31,6.9140389295283994e-95,6.5445685297004649e-95,6.5445685297004862e-95,5.4118141714006138e-44,7.5201488393395471e-22,3.8219090376595299e-39,3.5839884452142207e-44,7.6198999877357194e-41,5.8623155266722008e-41,6.6412193653158903e-59,1.0509567439807675e-46,6.15930058009028e-75,9.4812221683703119e-60,1.1434428339405904e-56,1.0410539838646185e-67,9.825776666986544e-80,1.948600162934838e-91,9.6786234215105986e-93,6.2030283243391464e-70,6.3428053142451374e-105,1.3721549766640916e-108,8.0465213559043484e-106,6.7237491248404181e-98,2.0639227693736923e-94,7.5618717045011143e-39,7.2488232269208096e-50
7.895529181981375e-21,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999999589,1.0,19.0,3.2176364204530014e-16,1.5353394941702494e-15,1.5353377753010479e-15,3.4022766018704103e-26,3.4021443690016101e-26,7.1185560454371328e-16,2.8561611464550582e-24,5.4816822913043418e-19,3.7124685946744986e-24,2.1977780982605055e-26,4.9087806745079268e-38,3.6683185250609923e-29,6.3407873732608859e-38,1.6793429756455115e-29,3.7324992960592053e-40,3.7324992961095603e-40,4.4588544608011394e-51,5.7665672684625925e-52,2.5601674102219252e-30,1.5734734916362074e-92,1.4893906731855854e-92,1.4893906731855952e-92,5.3133518179807435e-43,1.718891165967065e-21,1.8400846851164234e-38,3.5187794603366343e-43,7.481262963758035e-40,5.7556561243774225e-40,1.3121930325094232e-57,1.0318355633080469e-45,2.4365580575805511e-73,1.8733299185539828e-58,1.1235814143849071e-55,4.118306461001722e-66,7.7689469805270483e-78,3.0783110085785493e-89,1.5289854529044519e-90,1.2266109574600303e-68,2.0022352721078754e-102,4.3314866985042352e-106,2.540047304224749e-103,1.0621876856453037e-95,3.2604924821065579e-92,3.6407157145907711e-38,7.1169376287464949e-49
1.6777999511710424e-20,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999999123,1.0,19.0,6.8374773934625522e-16,3.2625964249861942e-15,3.2625927724383749e-15,1.4858635777191218e-25,1.4857449183123649e-25,1.512693144623822e-15,1.2473606001040916e-23,1.1648574794695645e-18,1.6213325567670817e-23,9.5982743241382424e-26,4.3413838218831446e-37,1.602051074813481e-28,5.6068924832558155e-37,7.3341319772273262e-29,3.3013533579766117e-39,3.3013533580662159e-39,7.9342930574777787e-50,1.0261298290284055e-50,1.1180923696380937e-29,2.6591006398031268e-90,2.5170043938060576e-90,2.5170043938060907e-90,4.6995997391701613e-42,3.6526437391611301e-21,8.0361332775482427e-38,3.1123176522252021e-42,6.61709231619562e-39,5.0908126207807287e-39,2.3349773912901798e-56,9.126468705430491e-45,8.6959026377439506e-72,3.3334905962329653e-57,9.9547159125724065e-55,1.4697943691173092e-64,5.552918630379418e-76,4.4034236778282428e-87,2.1871639115453387e-88,2.1862533945640578e-67,5.7301407405653365e-100,1.2396161112142002e-103,7.26928683584593e-101,1.5194249062963428e-93,4.6640283445557121e-90,1.5899962026454525e-37,6.2948507351962076e-48
3.454294017116852e-20,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999998201,1.0,19.0,1.407715933948142e-15,6.7171102862187482e-15,6.7171027664702235e-15,6.2031879430888618e-25,6.2021835788081718e-25,3.1143681769817871e-15,5.2074848732193677e-23,2.3982359565112098e-18,6.7687441491402724e-23,4.0070905553542947e-25,3.6485604738303651e-36,6.6882478693120621e-28,4.710473111755673e-36,3.0618557275510269e-28,2.7749864185417637e-38,2.7749864186928945e-38,1.3382344200187587e-48,1.730717919561224e-49,4.667815546102454e-29,3.8935090752601012e-88,3.6854488705942397e-88,3.6854488705943362e-88,3.950296844020727e-41,7.52014892206064e-21,3.3549274719287775e-37,2.6160855862723794e-41,5.5620647129274896e-38,4.2791346841062364e-38,3.9382806583676935e-55,7.6713468572841743e-44,2.9381489644127429e-70,5.6224190132723104e-56,8.3957427847265956e-54,4.9661028927165782e-63,3.7554414929095317e-74,5.9584719997366979e-85,2.9595505405914615e-86,3.699466039599066e-66,1.5510540986127566e-97,3.355435474923875e-101,1.967673797302003e-98,2.0560026613087871e-91,6.3111079767370533e-88,6.6379211539843389e-37,5.2912013350053397e-47
7.007282149008472e-20,0.48741055657742516,154.0,0.0,0.0,0.0,0.99999999999996358,1.0,19.0,2.8556523231518217e-15,1.3626138007086794e-14,1.3626122753562692e-14,2.53420467892553e-24,2.5333785108341951e-24,6.3177180504887206e-15,2.1274274141972628e-22,4.864992816048038e-18,2.7652527492923871e-22,1.6370272133946604e-24,2.990270778258147e-35,2.7323674837858486e-27,3.8579058716750655e-35,1.2508679703805864e-27,2.2751015230466744e-37,2.275101523294907e-37,2.198053809615608e-47,2.8427093162189302e-48,1.9069549574792705e-28,5.324044321656366e-86,5.0395395908902665e-86,5.0395395908905322e-86,3.2386920570713946e-40,1.5255159433905184e-20,1.3705973573388936e-36,2.144816933462826e-40,4.5601165522284662e-37,3.508293036729268e-37,6.468637808883235e-54,6.2894336358369667e-43,9.6599909682477024e-69,9.2348394090533287e-55,6.9295896793591431e-53,1.6327458577650569e-61,2.4704546681488906e-72,7.8410135653084224e-83,3.894601827182566e-84,6.1159058144027022e-65,4.0826291303311913e-95,8.8320575004112031e-99,5.1792320117143415e-96,2.7055837306928827e-89,8.3050626509209665e-86,2.7118073808792372e-36,4.3380465334925605e-46
1.411325841279171e-19,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999992661,1.0,19.0,5.7515251015588032e-15,2.7444193442436845e-14,2.7444162723862714e-14,1.0243660489693417e-23,1.0236960514706812e-23,1.2724417032666681e-14,8.5994011679412669e-22,9.7985061569358861e-18,1.117759297601725e-21,6.6171255195198172e-24,2.4199167767539015e-34,1.1044666213326663e-26,3.1177333061877562e-34,5.0562083311112715e-27,1.8424361985574201e-36,1.8424361989598149e-36,3.563139155746632e-46,4.6081540957895026e-47,7.7082168325871987e-28,7.0415582805839336e-84,6.6652735388202525e-84,6.6652735388209547e-84,2.6227768134558521e-39,3.0725181041776339e-20,5.5401737911653388e-36,1.7369152619129162e-39,3.6929003777804283e-36,2.8411064788161549e-36,1.0485940645906227e-52,5.0933464212280633e-42,3.1331949167645946e-67,1.49700700909067e-53,5.6866761250920393e-52,5.2957711669176523e-60,1.6029150135805624e-70,1.0176121526382047e-80,5.0544411337838114e-82,1.0042281450515236e-63,1.0597495448173402e-92,2.2925837138061514e-96,1.3443960703010724e-93,3.5113253035556869e-87,1.0778367634390806e-83,1.0961559009706184e-35,3.5130625512542305e-45
2.832521094035819e-19,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999985267,1.0,19.0,1.154327065837125e-14,5.5080304287610595e-14,5.50802426489231e-14,4.1189308240279803e-23,4.1135367891412867e-23,2.5537811937679721e-14,3.4577809163277605e-21,1.9665531325968561e-17,4.4944603616166598e-21,2.6607168951987135e-23,1.9450573042772352e-33,4.4410116887839385e-26,2.4990241339267775e-33,2.0330791305214872e-26,1.4829529396441839e-35,1.4829529402922291e-35,5.7383232196494877e-45,7.4212894447907839e-46,3.0994400852808466e-27,9.1612603616400804e-82,8.6717035971033496e-82,8.6717035971051801e-82,2.1110389657423606e-38,6.1665226594246963e-20,2.2276796219272004e-35,1.3979994250136351e-38,2.9723671204569002e-35,2.2867693735118536e-35,1.6887284163377783e-51,4.0995683082705485e-41,1.00940047926006e-65,2.4108827963072393e-52,4.6977281348852229e-51,1.7061026380514619e-58,1.0329118499081072e-68,1.3115608688149188e-78,6.5144733081355082e-80,1.6585499472107819e-62,2.7318138524265405e-90,5.9098039147085762e-94,3.4655503837194332e-91,4.5256112745560331e-85,1.3891820362717062e-81,4.4075946634938002e-35,2.8276183659238377e-44
5.674911599549114e-19,0.48741055657742527,154.0,0.0,0.0,0.0,0.9999999999997049,1.0,19.0,2.3126761771990106e-14,1.1035252587599484e-13,1.1035240243688528e-13,1.651875479609794e-22,1.6475505535799169e-22,5.1164589510340096e-14,1.3867244220835484e-20,3.9399575613063702e-17,1.8024791328189557e-20,1.0670663396671781e-22,1.5564666444753623e-32,1.7810443007559386e-25,1.9888198313961859e-32,8.1535566189777857e-26,1.1899763388938402e-34,1.1899763399340961e-34,9.2112714431499e-44,1.1912810991623925e-44,1.2430140991353972e-26,1.1822121153774087e-79,1.1190374084852246e-79,1.1190374084856966e-79,1.6939758303323357e-37,1.2354532704610146e-19,8.9339924967829575e-35,1.1217726567267522e-37,2.3851368133335693e-34,1.8349879390112143e-34,2.710783110507457e-50,3.2896453813293562e-40,3.2409732543944475e-64,3.86999809905863e-51,3.9631733560948106e-50,5.4779339810423932e-57,6.6332808477805881e-67,1.6845942572237092e-76,8.367316065875098e-78,2.794839797777632e-61,7.0176844395621752e-88,1.5181539306277204e-91,8.9024427043982146e-89,5.8127834491271967e-83,1.7842923936216733e-79,1.7676425916481684e-34,2.2689856536718258e-43
