Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664)
1.1359692610575703e-18,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999940936,1.0,19.0,4.6293743999203634e-14,2.2089696864604198e-13,2.2089672176417516e-13,6.6161180190750131e-22,6.5815431705731001e-22,1.0241809570624483e-13,5.5541277734040768e-20,7.8867639983387951e-17,7.2193142726437597e-20,4.2738300355003116e-22,1.2402012260204115e-31,7.1334669562468176e-25,1.5676737646294269e-31,3.2656755111062172e-25,9.5342914263854534e-34,9.534291443056639e-34,1.4762026055363407e-42,1.9091552812003646e-43,4.9785399163924626e-26,1.5193872277497224e-77,1.4381946553761152e-77,1.4381946553773287e-77,1.3572420644747394e-36,2.4730556533746325e-19,3.5782576323855576e-34,8.9872898365702877e-37,1.9110109350642259e-33,1.4702225874586523e-33,4.3443212275341941e-49,2.635719447278052e-39,1.0388578587822069e-62,6.202079059629033e-50,3.4855003973968894e-49,1.7558882521462197e-55,4.2525578240122306e-65,2.1599964465987191e-74,1.0728620799797299e-75,4.9037215553188554e-60,1.7996352620730904e-85,3.8931978350836976e-89,2.2829075305204592e-86,7.453185444249169e-81,2.287829973411796e-77,7.0797903181778504e-34,1.8179496250056578e-42
2.272925463262888e-18,0.4874105565774253,154.0,0.0,0.0,0.0,0.99999999999881828,1.0,19.0,9.2627708453533996e-14,4.4198585256822182e-13,4.4198535942421731e-13,2.6481713888437628e-21,2.6206220287968718e-21,2.0492491230076406e-13,2.2230961303693914e-19,1.5780367190869121e-16,2.889603962711795e-19,1.7106449166195839e-21,9.8209485145933919e-31,2.8552457180081068e-24,1.2156626021422331e-30,1.3071212568095407e-24,7.6332303456958426e-33,7.6332303723913747e-33,2.3638391320290808e-41,3.057133705315634e-42,1.9927134057074534e-25,1.9487650556709923e-75,1.8446275159887045e-75,1.8446275159918171e-75,1.086618930239121e-35,4.948261914707976e-19,1.4322361245083507e-33,7.1944284999637957e-36,1.5299691652766103e-32,1.1770708286421494e-32,6.9565742545429306e-48,2.1101781771697584e-38,3.3271424254139339e-61,9.9313792474789518e-49,3.2871191793618743e-48,5.6235547679057977e-54,2.7239565410805515e-63,2.7671705419007478e-72,1.3744431633843899e-73,9.212459828158311e-59,4.6110396142414072e-83,9.9751823619931644e-87,5.8489731890546217e-84,9.5482754884302308e-79,2.9309380267888121e-75,2.8337611553441094e-33,1.4554650712339553e-41
4.546837867673524e-18,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999763611,1.0,19.0,1.8529563736180786e-13,8.841636140113951e-13,8.8416263076615088e-13,1.059613472717234e-20,1.0377767092822406e-20,4.0993776230363391e-13,8.8952608203138428e-19,3.1567534849886646e-16,1.1562154494626711e-18,6.844800764623796e-21,7.6919246672156172e-30,1.1424701205297471e-23,9.1522645714610204e-30,5.2301875736391762e-24,6.1089040866242086e-32,6.1089041293541701e-32,3.7836552027325738e-40,4.8933978617862377e-41,7.9734492061469186e-25,2.4969499749991095e-73,2.3635186893633655e-73,2.3635186893713416e-73,8.696254172554605e-35,9.8986804193990524e-19,5.7308144790328961e-33,5.7563404492495474e-35,1.2244378253677068e-31,9.4201247868558678e-32,1.1135049431135595e-46,1.6887838505491746e-37,1.06513339153386e-59,1.5896585046346638e-47,3.4255555159232195e-47,1.8002844201544735e-52,1.7440676501925542e-61,3.5434846272993494e-70,1.7600354461604689e-71,1.9100079123462809e-57,1.1809301712710279e-80,2.5547371996338872e-84,1.4978175014289126e-81,1.2226997334160269e-76,3.7531961749185526e-73,1.1338735618736543e-32,1.1648143706472758e-40
9.094662676494795e-18,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999999527167,1.0,19.0,3.7063149517680836e-13,1.7685191118367743e-12,1.7685171575374163e-12,4.2391436849416143e-20,4.0677155588766479e-20,8.1996032958863395e-13,3.5586680159143624e-18,6.3141715264509167e-16,4.6255944852271527e-18,2.7383603168863671e-20,5.9021589036150929e-29,4.570623777911282e-23,6.5433181998446861e-29,2.0924155525048675e-23,4.8880512902506191e-31,4.888051358631587e-31,6.0549942364754784e-39,7.8310072780853545e-40,3.1898988458587697e-24,5.5983707732649026e-71,5.2992066669131138e-71,5.2992066669488218e-71,6.9583250399209183e-34,1.9799541356878405e-18,2.2927024860600739e-32,4.6037258633256785e-34,9.7973230132891558e-31,7.5375003488276789e-31,1.7819704915309725e-45,1.3512836380576859e-36,3.409143624152927e-58,2.5439425003714922e-46,4.0129843703243467e-46,5.7620575784090066e-51,1.1164294967899475e-59,4.5365873259931517e-68,2.2533058273687832e-69,4.4502441709414938e-56,3.023801767483491e-78,6.5414703182221652e-82,3.8343859435931121e-79,1.5653773242647614e-74,4.8050730169663025e-71,4.5362324649007951e-32,9.3202842175496427e-40
1.819031229413734e-17,0.48741055657742516,154.0,0.0,0.0,0.0,0.9999999999905429,1.0,19.0,7.4130321080061995e-13,3.5372300112958596e-12,3.5372261474295525e-12,1.6957953319887617e-19,1.5636443123681891e-19,1.6399929334671529e-12,1.423570628721921e-17,1.2628945648618372e-15,1.8503722235690203e-17,1.0954287191847799e-19,4.3627857940177917e-28,1.8283978010732808e-22,4.3092387296778475e-28,8.3703430267053296e-23,3.9108121180142728e-30,3.9108122274321299e-30,9.6887013427727874e-38,1.2530814461125774e-38,1.276063357231027e-23,7.1912913695085423e-69,6.8070052383464372e-69,6.8070052384383201e-69,5.5671892934983061e-33,3.9601358944223219e-18,9.1715845470543975e-32,3.6797812777450681e-33,7.8385387193462325e-30,6.030523669174321e-30,2.8514430238881802e-44,1.0811295117364244e-35,1.0910407065556156e-56,4.070630382202173e-45,5.2461171420512748e-45,1.8440113725340969e-49,7.1457547980776501e-58,5.807329600615639e-66,2.8844787704712943e-67,1.1581120471815048e-54,7.7415998773256153e-76,1.6747611195083744e-79,9.8127093859964603e-77,2.0038593547288784e-72,6.1510208699103263e-69,1.8146405718443242e-31,7.4569345481704968e-39
3.6381611529422426e-17,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999998108535,1.0,19.0,1.4826466420234863e-12,7.0746514537079522e-12,7.0746438726123174e-12,6.7834561714491489e-19,5.7983474266926041e-19,3.2800080199900445e-12,5.6944147823629841e-17,2.5258246054788654e-15,7.4016608169542081e-17,4.381856757608942e-19,3.026643946891802e-27,7.3138847785453772e-22,2.5383559624575588e-27,3.3482731565329132e-22,3.1287978771069283e-29,3.1287980521753729e-29,1.5501830591599859e-36,2.0050092971129353e-37,5.1044609127922968e-23,9.2059718895285487e-67,8.7140258531692432e-67,8.7140258534045042e-67,4.4539639912795127e-32,7.9205376968436371e-18,3.6688056733313786e-31,2.9383017273420166e-32,6.2710264211009808e-29,4.8245692991848311e-29,4.5625414754382443e-43,8.6494460100374508e-35,3.491514176084906e-55,6.5130464469033901e-44,7.4539284558847857e-44,5.9008848715620531e-48,4.5733260778441285e-56,7.433455946621438e-64,3.6921697242716352e-65,3.2803483672065019e-53,1.9818699570152033e-73,4.28743435335343e-77,2.5099497153259372e-74,2.5649773111649567e-70,7.873385467878738e-67,7.2588569481706163e-31,5.9658295768631049e-38
7.276420999999261e-17,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999996217026,1.0,19.0,2.9653335043701901e-12,1.4149493087201759e-11,1.4149478304572424e-11,2.7134367350057332e-18,2.0204835698573318e-18,6.5598377203527082e-12,2.2777327022791858e-16,5.0515855553377947e-15,2.960621159212351e-16,1.7527492521766923e-18,1.9088401887772089e-26,2.9256102426307588e-21,1.3229939196131537e-26,1.3393362743987035e-21,2.5030971610691154e-28,2.5030974411568562e-28,2.4800743949102111e-35,3.2080228721583765e-36,2.0418257438240059e-22,1.1784205060607997e-64,1.1154484165899532e-64,1.1154484166501821e-64,3.5632575659583445e-31,1.5841494441479864e-17,1.4675701836989387e-30,2.3416863358273127e-31,5.0167766150653161e-28,3.859621185452904e-28,7.3002538612912311e-42,6.9197199929758183e-34,1.1173141608293266e-53,1.042020042067123e-42,1.1174348609251168e-42,1.8881653337162383e-46,2.9267492892671367e-54,9.5142450043823458e-62,4.7256901463649856e-63,9.8160898008729353e-52,5.0732802411635533e-71,1.0975177245289037e-74,6.4142067574812998e-72,3.2830014674051462e-68,1.0077321351125654e-64,2.9036013245143128e-30,4.7727749693101867e-37
1.0914680847056278e-16,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999994325517,1.0,19.0,4.4480203666178655e-12,2.1224333604350679e-11,2.1224311718127731e-11,5.7660861892322902e-18,3.9198741970549233e-18,9.8394669602849692e-12,4.8400941163901952e-16,7.5772473777121593e-15,6.2912057412394852e-16,3.7245717144219993e-18,4.8152445347638013e-26,6.2169543136824228e-21,3.0721220888616447e-26,2.846106265484823e-21,7.1573361673855026e-28,7.1573371982491018e-28,9.1278741765803893e-35,1.1807591255624532e-35,4.3389054425589545e-22,6.0802244652799306e-64,5.7553112156000567e-64,5.7553112159698311e-64,1.0188755962309424e-30,2.3762604325894616e-17,3.1186322260379937e-30,6.6810623329404966e-31,1.4344664360376192e-27,1.1035964863592759e-27,2.686993854796783e-41,1.9786193271479518e-33,5.1012845108752953e-53,3.83518167299718e-42,4.0511458124302565e-42,8.6204229848217436e-46,1.6080034213055938e-53,6.1378639230544799e-61,3.0486542640033454e-62,4.4214062767620798e-51,3.7674353447032897e-70,8.1502062566745379e-74,4.7610720262716836e-71,2.1179477926121222e-67,6.5011179156042025e-64,6.1701889936038286e-30,1.3647233427889969e-36
1.4552940694113295e-16,0.4874105565774253,154.0,0.0,0.0,0.0,0.99999999992434008,1.0,19.0,5.9307072287665123e-12,2.8299173109458577e-11,2.8299144113278839e-11,9.8362933670712489e-18,6.1737218246466545e-18,1.31188957520388e-11,8.256473520513397e-16,1.0102810076492374e-14,1.0731851977594335e-15,6.353633990052478e-18,9.1490739435071208e-26,1.0605418643539677e-20,5.5119551597111957e-26,4.8551371332795506e-21,1.5096944058704303e-27,1.5096946673089019e-27,2.3149199463787557e-34,2.9946408721591135e-35,7.4016850978660323e-22,3.3170065752724992e-63,3.1397533520264108e-63,3.1397533522322577e-63,2.1491120103371105e-30,3.1683867350073378e-17,5.3200789477438277e-30,1.4064239537641085e-30,3.0256639545764855e-27,2.3277729089202397e-27,6.8148223884903989e-41,4.1734949630296653e-33,1.5205531724930394e-52,9.7265038857876284e-42,1.018279022781702e-41,2.569427646938761e-45,5.5285086883554085e-53,2.3969464491034305e-60,1.1905544388393897e-61,1.3067536513236058e-50,1.6498742003881511e-69,3.5692248599619611e-73,2.084142966128295e-70,8.2710103168936819e-67,2.53880373463155e-63,1.052564840309914e-29,2.8786058847488291e-36
2.182946038822733e-16,0.4874105565774253,154.0,0.0,0.0,0.0,0.99999999988650989,1.0,19.0,8.8960809528313947e-12,4.2448849979538235e-11,4.244880651345066e-11,2.0364851501659594e-17,1.1278302942309523e-17,1.9677282933947191e-11,1.7093398350299668e-15,1.5153702849113751e-14,2.2218180732266326e-15,1.3154201011006565e-17,2.1378477840748948e-25,2.1957215073566462e-20,1.2021754356010386e-25,1.0051973913073388e-20,4.1234570835074609e-27,4.123457997704546e-27,8.0947419099294285e-34,1.0472265490149167e-34,1.5324295065707815e-21,4.6067949087741215e-62,4.3606183569895655e-62,4.3606183573147483e-62,5.8699185170717011e-30,4.7526752808037726e-17,1.1014730864169156e-29,3.8286657592109987e-30,8.2638213005512176e-27,6.357711771865751e-27,2.3831866430763741e-40,1.1399147033507057e-32,6.6557856423676928e-52,3.4011945918536917e-41,3.5262450802996727e-41,1.1246298146232753e-44,2.9732009315756369e-52,1.5589992577847089e-59,7.7434919089536374e-61,5.6639626630012945e-50,1.2800407185122468e-68,2.769160874897872e-72,1.6157380914371058e-69,5.379662759656931e-66,1.6512647986765408e-62,2.1792081650041541e-29,7.8623898720592632e-36
2.9105980082341363e-16,0.48741055657742516,154.0,0.0,0.0,0.0,0.99999999984867971,1.0,19.0,1.186145467653211e-11,5.6598523691272438e-11,5.6598465168592123e-11,3.4635327220720064e-17,1.7123216880651752e-17,2.6234933098179667e-11,2.9070418336271332e-15,2.0204231141242134e-14,3.7786038523352243e-15,2.2371514902790984e-17,3.9322551476887782e-25,3.7343497136072323e-20,2.1089033840731123e-25,1.7095801778531363e-20,8.6276674862344047e-27,8.6276697704260302e-27,2.0225207198770568e-33,2.6167030910789054e-34,2.6062656178239048e-21,2.1176849995162192e-61,2.0045207719844926e-61,2.0045207721531159e-61,1.2281870725199944e-29,6.3370201415417706e-17,1.8733447963295928e-29,7.9873403467708001e-30,1.729027932270662e-26,1.3302152643569406e-26,5.9549501752369749e-40,2.3850874199397947e-32,1.939180785465671e-51,8.4982171049728192e-41,8.7607908473240121e-41,3.2764959026446141e-44,9.9087408444201218e-52,5.8527808666297961e-59,2.9070547678434008e-60,1.6409852353360898e-49,5.3462928361974235e-68,1.1565851567837254e-71,6.74496590822478e-69,2.019647808307919e-65,6.1991634946491777e-62,3.7062682315059232e-29,1.6450777849499414e-35
3.6382499776455397e-16,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999981084953,1.0,19.0,1.4826828399842655e-11,7.074819431702106e-11,7.0748119811205152e-11,5.2914996262871739e-17,2.3463515925966298e-17,3.2791793682493849e-11,4.4411477147589584e-15,2.5254368944557318e-14,5.7726509710668289e-15,3.417807309777963e-17,6.3550735719430567e-25,5.7052428893499423e-20,3.2898413214335392e-25,2.611854762407945e-20,1.5706358424857026e-26,1.5706363270718838e-26,4.2907054460707977e-33,5.5515510408433778e-34,3.9817892991562064e-21,7.8185496499865018e-61,7.4007442979290718e-61,7.400744298605556e-61,2.2358731569722624e-29,7.9214253397081856e-17,2.8620888513538625e-29,1.4497302528217572e-29,3.1475533590265266e-26,2.4215476478194802e-26,1.2634102395691962e-39,4.3419661578827877e-32,4.7082324315756624e-51,1.8028932328623842e-40,1.8508932943896236e-40,7.9548139144422858e-44,2.7126990802934439e-51,1.7851592236090645e-58,8.8668205142879683e-60,3.9672047827543155e-49,1.7987990524755575e-67,3.8914203593392976e-71,2.268217334517928e-68,6.1602108604121253e-65,1.8908095922159762e-61,5.6623460567025579e-29,2.994804558053236e-35
5.093553916468347e-16,0.48741055657742527,154.0,0.0,0.0,0.0,0.99999999973518916,1.0,19.0,2.0757575845268707e-11,9.9047527067320828e-11,9.9047416806829841e-11,1.0175372083936193e-16,3.6711646239250657e-17,4.5903097069320167e-11,8.539465697322449e-15,3.5353448732695239e-14,1.1099688214941353e-14,6.5720701081565977e-17,1.3151401534141655e-24,1.0970967440246754e-19,6.4915470386567981e-25,5.0225090332376433e-20,4.146948160124172e-26,4.1469499351346777e-26,1.571627297383026e-32,2.0338274473119578e-33,7.6568492952841423e-21,9.5849685465347372e-60,9.0727698455815527e-60,9.0727698469719288e-60,5.9033910451517549e-29,1.1090420538314037e-16,5.5038721835555561e-29,3.7968518521645268e-29,8.3099063894130566e-26,6.3931669968585274e-26,4.6287616811807719e-39,1.1464090727793247e-31,2.435712631982061e-50,6.6040730937958915e-40,6.7328250852366628e-40,4.1145554241626117e-43,2.0259437352722498e-50,1.9753468229510036e-57,9.8114765562040765e-59,2.0345583380530313e-48,3.0334384398007437e-66,6.5624090063177483e-70,3.8119696751845607e-67,6.8168683301675773e-64,2.0922533196361539e-60,1.0888502228658797e-28,7.907176588580018e-35
