Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925)
0.0,0.7083014679339023,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0056871491120353e-23,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,1.0613486383398073e-17,4.5583536659797183e-17,4.5583194104134209e-17,2.8551153243298628e-30,2.8551356470056522e-30,3.5808798891713412e-16,6.0156430316939672e-27,2.1586310309475165e-18,1.1671986764730914e-26,1.5748480481138287e-30,4.9929560832785517e-44,1.3167423897406764e-31,5.5080907173915116e-44,3.57771846203621e-32,1.1667401403533861e-44,1.1667401403534321e-44,4.0309255643793914e-58,5.844585701502063e-59,6.843713712819609e-34,9.6368109156344982e-104,8.917099737414348e-104,8.917099737414353e-104,5.1274138025197208e-49,3.4255566451682523e-22,3.6667632233871802e-41,6.9133967139952079e-49,1.2388047259466569e-43,6.3846945404263e-44,6.6132547877750353e-64,1.45271324605743e-50,7.0189689639987504e-81,3.4125871284540414e-65,6.5417252565489688e-59,1.0911213701293974e-74,1.6642049275969703e-88,2.1698328025301488e-102,1.2660990786616307e-102,2.9378796705028126e-74,5.1361498923003728e-117,3.8967442882763657e-121,1.9930689419202088e-117,3.8524229690026778e-108,2.1567817354405824e-105,6.5940587179535441e-40,4.1302059814533479e-53,9.917064464451481e-53
5.615924017513699e-23,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999999878,1.0,19.0,2.9717761873514589e-17,1.2763390264741764e-16,1.2763294349156631e-16,1.724489655892911e-29,1.7245012698768382e-29,1.0026463689097269e-15,3.6334483909670207e-26,6.0441668864205677e-18,7.0498800055557177e-26,9.5120822102869973e-30,5.9276262410911683e-43,7.9531240337972454e-31,6.5391708350704035e-43,2.1609419510690448e-31,1.3851538946270064e-43,1.3851538946271099e-43,9.0170192488844555e-57,1.3074104430242754e-57,4.1336030825433969e-33,1.0268769847130984e-101,9.5018617371504988e-102,9.5018617371505115e-102,6.0873036236085254e-48,9.5915586065154484e-22,2.2147249869421328e-40,8.2075845326562424e-48,1.4707089705784928e-42,7.5799093580571392e-43,1.4793586430070105e-62,1.7246611657192195e-49,2.8963971961087061e-79,7.6338663737105661e-64,7.7663398070701383e-58,4.5025690547016466e-73,1.2527791155149385e-86,2.9618279438939348e-100,1.7282288416632848e-100,6.5719222037364353e-73,1.2670908066361611e-114,9.6134182893897306e-119,4.9169112703241236e-115,5.2585683045299761e-106,2.944013200216167e-103,3.9828114656428611e-39,4.9033805411744947e-52,1.1773538930823985e-51
1.2836397754317026e-22,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999999711,1.0,19.0,6.792631285374754e-17,2.9173463462260062e-16,2.9173244226639246e-16,8.3026753631163415e-29,8.3027245477813565e-29,2.2917631286619182e-15,1.7493489933524004e-25,1.381523859643675e-17,3.3942137506711197e-25,4.5796581234342191e-29,5.8197548257787446e-42,3.8290868690112244e-30,6.4201237010626997e-42,1.0404005287588901e-30,1.3599523075942529e-42,1.3599523075944568e-42,1.7816110531134721e-55,2.5832227176585506e-56,1.9901519476884698e-32,2.3369317574765021e-99,2.16240141509284e-99,2.1624014150928461e-99,5.9765674275312569e-47,2.1923562529387205e-21,1.0662947453851848e-39,8.0582550666163168e-47,1.4439507883607506e-41,7.4419999552763027e-42,2.9229633853327597e-61,1.6932825596040379e-48,1.1457859271792077e-77,1.5083277372596184e-62,7.6250460647599104e-57,1.7811768378152048e-71,9.9053776013074056e-85,4.6789764434230607e-98,2.7301862877159267e-98,1.2985023333789129e-71,3.9998411444395745e-112,3.0346965534390811e-116,1.5521274266407629e-112,8.3072743218329712e-104,4.6508334291834505e-101,1.9175522751792716e-38,4.8141680919605701e-51,1.1559330335508916e-50
2.7277345227923684e-22,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999999378,1.0,19.0,1.4434341481421317e-16,6.1993609857273466e-16,6.1993143981589272e-16,3.6259964618628635e-28,3.626012027544675e-28,4.8699966472343204e-15,7.6398666475212102e-25,2.9357382012749444e-17,1.4823423185911074e-24,2.000057020607739e-28,5.1474649559274484e-41,1.6722628346041729e-29,5.6783968488007978e-41,4.5437024467731746e-30,1.2028624150952531e-41,1.2028624150956161e-41,3.1702816754136195e-54,4.5967068041021201e-55,8.6915164152863546e-32,3.9493113579851618e-97,3.6543627950744271e-97,3.6543627950744468e-97,5.2862128127513093e-46,4.6587570375840193e-21,4.65678929395068e-39,7.1274351755058586e-46,1.2771581198363519e-40,6.582364681204248e-41,5.201257170877147e-60,1.4976892481543123e-47,4.0892285882110717e-76,2.683992173557295e-61,6.744280392508537e-56,6.3569022758439359e-70,7.079959507085168e-83,6.6931325612080858e-96,3.9054479032886492e-96,2.3106200006083446e-70,1.1447048333097168e-109,8.6849481961847047e-114,4.4419957941868243e-110,1.1883301601333214e-101,6.6528748409152557e-99,8.3744545717842647e-38,4.2580771585940915e-50,1.0224096771333867e-49
5.615924017513699e-22,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999998712,1.0,19.0,2.971776187351431e-16,1.2763390264720753e-15,1.276329434914285e-15,1.5137821449272368e-27,1.5137837003332476e-27,1.0026463680651208e-14,3.1894939329470245e-24,6.0441668830496141e-17,6.1884873778928598e-24,8.3498443466281059e-28,4.3266833272011517e-40,6.9813681471066878e-29,4.7728162562057834e-40,1.8969063285600674e-29,1.0110783377816956e-40,1.0110783377823077e-40,5.3471434152982001e-53,7.7530178908346755e-54,3.6285370105418611e-31,5.7826617713449313e-95,5.3507921048003836e-95,5.3507921048004401e-95,4.4433830063746254e-45,9.5915586071584051e-21,1.9441178612635065e-38,5.9910384323459961e-45,1.0735283538575726e-39,5.5328741296408722e-40,8.772680450454832e-59,1.258898055619516e-46,1.3816579187786843e-74,4.5269479367196064e-60,5.6689967525154577e-55,2.147854993190038e-68,4.7881831824972542e-81,9.0567869237036969e-94,5.2846420085598626e-94,3.897213467420504e-69,3.0985283103264127e-107,2.3508762924200655e-111,1.2023754176070706e-107,1.607984446537198e-99,9.0023123423094967e-97,3.4961699322439064e-37,3.5791704201500291e-49,8.5939693756478914e-49
1.1392303006956362e-21,0.7083014679339023,154.0,0.0,0.0,0.0,0.9999999999999738,1.0,19.0,6.0284602657699828e-16,2.5891448822670466e-15,2.5891254251086356e-15,6.1842939968366554e-27,6.1842599571118949e-27,2.0339397732573313e-14,1.3030123411566805e-23,1.2261024240647474e-16,2.528199017151316e-23,3.4111838623506782e-27,3.5471597635079479e-39,2.8521166830812656e-28,3.9126849463019342e-39,7.749481297411277e-29,8.2894310808806589e-40,8.2894310808907144e-40,8.7826990885043273e-52,1.2734355156450551e-52,1.4823757650557309e-30,7.907300839196669e-93,7.3167556003933513e-93,7.3167556003935063e-93,3.6429548887849073e-44,1.9457161747442327e-20,7.9423558142770865e-38,4.9118147898810295e-44,8.8014340366403587e-39,4.5361844901515775e-39,1.4409153982714542e-57,1.0321206854120737e-45,4.542588948113173e-73,7.435527818820412e-59,4.6478232852280942e-54,7.061679491542687e-67,3.1498278234007159e-79,1.1918226173764196e-91,6.9542939716224612e-92,6.4012344595716203e-68,8.1558386129551772e-105,6.1878991495076747e-109,3.1648507249633811e-105,2.1160177980568623e-97,1.1846540664720301e-94,1.428299494530856e-36,2.9344201547355779e-48,7.0458553056450373e-48
2.2945060985841686e-21,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999994715,1.0,19.0,1.2141828422606886e-15,5.2147565938421504e-15,5.2147174054876045e-15,2.4997905117603172e-26,2.4997440958258192e-26,4.0965265776770825e-14,5.2669842080009496e-23,2.4694738932037289e-16,1.0219384634683485e-22,1.3788550557158416e-26,2.8723930476809054e-38,1.1528711635555069e-27,3.1680137228627081e-38,3.1324642439185642e-28,6.7129962072214275e-39,6.712996207237729e-39,1.4237133605213422e-50,2.0642938436475207e-51,5.9919998538659395e-30,1.0458162324565272e-90,9.6771097134466252e-91,9.677109713447034e-91,2.9501597347670493e-43,3.9188368032550795e-20,3.210427208265383e-37,3.9777141863837674e-43,7.1276294644506266e-38,3.673519802976144e-38,2.3357859539006376e-56,8.3583809057979977e-45,1.4733778366514873e-71,1.2053312716858579e-57,3.7639881184957884e-53,2.2904391515347346e-65,2.0437160668085113e-77,1.5467561071380446e-89,9.0253335645300707e-90,1.0376837835588612e-66,2.1170546503064653e-102,1.606226624983041e-106,8.2151718148809594e-103,2.7461833718387221e-95,1.5374527093840328e-92,5.7734149222818837e-36,2.3763695211685215e-47,5.70591627953182e-47
4.6050576943612334e-21,0.7083014679339021,154.0,0.0,0.0,0.0,0.99999999999989397,1.0,19.0,2.4368564736279916e-15,1.0465980016933005e-14,1.0465901366206612e-14,1.0051547702082779e-25,1.0051098451895762e-25,8.2217001626579109e-14,2.1178311779997349e-22,4.9562168219593292e-16,4.1091696015391424e-22,5.544315522047655e-26,2.3116477952318167e-37,4.6356442341450963e-27,2.5489598934305049e-37,1.2595500953685513e-27,5.4032033648980768e-38,5.4032033649243294e-38,2.292846447671264e-49,3.3244815860130414e-50,2.4093567874806978e-29,1.3606355904733703e-88,1.2590185044383726e-88,1.2590185044384792e-88,2.3745453788572355e-42,7.8650780620930183e-20,1.2908986611074784e-36,3.2016091783298808e-42,5.7369362650185564e-37,2.9567683173019427e-37,3.7617112706261977e-55,6.7275521156468018e-44,4.7466829630386446e-70,1.9411489633576508e-56,3.0296821980784788e-52,7.3789552592084562e-64,1.316962765699539e-75,1.9935548045860797e-87,1.1632407338153523e-87,1.6712095777096236e-65,5.4573286313082686e-100,4.1405204348923526e-104,2.1177009798121639e-100,3.5394507491134868e-93,1.9815640110092323e-90,2.3214647478053265e-35,1.9127089299247709e-46,4.5926177880553778e-46
9.226160885915363e-21,0.7083014679339023,154.0,0.0,0.0,0.0,0.9999999999997875,1.0,19.0,4.8822037363622843e-15,2.0968426862877301e-14,2.0968269287488884e-14,4.0311201942525022e-25,4.0307294000569286e-25,1.6472047237184865e-13,8.4934501907834375e-22,9.9297026413810773e-16,1.6479607864267092e-21,2.2235184896972148e-25,1.8544640416164682e-36,1.859100664611787e-26,2.0438837677354176e-36,5.0513592297133998e-27,4.3357304182364953e-37,4.3357304182786372e-37,3.6805262449075149e-48,5.3365291732979083e-49,9.662598329070861e-29,1.7558281508610688e-86,1.6246966844256071e-86,1.6246966844258818e-86,1.905423189510708e-41,1.5757560587033877e-19,5.1770810046783497e-36,2.5690877257069788e-41,4.6035300246124412e-36,2.3726203492127132e-36,6.0383796831772414e-54,5.3984368863028788e-43,1.524060352566545e-68,3.1159739840231335e-55,2.4312849959094178e-51,2.3692277859945296e-62,8.4574399104076163e-74,2.5605622740824095e-85,1.4940900204895259e-85,2.6828279004833545e-64,1.4019196958986981e-97,1.0636481759554917e-101,5.4401085483575202e-98,4.5461424291701737e-91,2.545161055476736e-88,9.3101119388408861e-35,1.5348284577627278e-45,3.6852864822327989e-45
