Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930),S(1932),C4H9(23),C3H6(1916),S(1984),S(87),S(2214),S(2218)
0.0,0.40571605018619067,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6090230973798824e-23,0.40571605018619067,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,1.3283765949386584e-17,9.9239161472351381e-17,9.9238646208415009e-17,1.4086364605918404e-29,1.4086430564027826e-29,4.3025632055879996e-16,9.3801058659654447e-27,2.5139780811672635e-18,1.8088736208737889e-26,7.7885250081952179e-30,3.1518295710515835e-43,2.2730554143472796e-31,3.4853541057462773e-43,9.6831059526790866e-32,4.02812236262698e-44,4.0281223626273419e-44,3.161366066056268e-57,4.5753737268953026e-58,3.3182455062412488e-33,2.60856133734557e-102,2.4145689950803741e-102,2.4145689950803761e-102,8.3182407054912792e-48,7.2399119052312688e-22,1.9111151011886578e-40,7.5019810545173497e-48,2.4028653811704791e-43,1.2460313090394215e-43,5.0547456525727407e-63,8.8157593335003161e-50,6.7146058182449606e-80,6.8063591784776105e-64,4.1599396600319396e-58,2.7805999245816689e-73,5.4665379287670044e-87,1.6170610427495019e-100,5.2346048487400021e-101,5.188756611172147e-73,4.8224150390432751e-115,9.5481902028551285e-119,1.0596983478072795e-115,3.2320326041791597e-106,1.6088755221937744e-103,1.7279170245360025e-39,2.4526804974922768e-52,3.251944628485632e-52,9.6375411411757431e-53,4.4602285621529823e-56,3.2073344075945344e-49,3.4084268746085653e-36,1.0445379176638429e-48,8.9678767316988894e-49,7.0382025754326312e-62,6.3646969286147773e-62,5.3827311500489757e-63,8.4119999663212735e-66,5.8578873106784002e-75,1.1007428515387426e-51,5.6625299849432443e-63,8.7044968010830944e-64,6.4149138798580226e-119,5.4878785243008058e-66,1.4404195503278504e-71,6.4459061999403954e-85,8.6668547796685247e-89,1.0502060133130245e-23,1.9822518633808731e-22,1.8261629050072919e-36,1.0894755254984726e-53,1.1275871319653397e-37,1.1275871319653401e-37,3.6415141667023594e-53,1.8198737317401659e-45,7.9990942418941801e-58,1.0450148071768719e-67
7.305264672663671e-23,0.40571605018619067,154.0,0.0,0.0,0.0,0.99999999999999822,1.0,19.0,3.7194544658282406e-17,2.7786965212251258e-16,2.7786820938351575e-16,8.5081642219596343e-29,8.5081998732508567e-29,1.2047176974741743e-15,5.6655839426881215e-26,7.0391386269184462e-18,1.0925596669393084e-25,4.7042691047456138e-29,3.7418430874432353e-42,1.3729254702205608e-30,4.137784716755283e-42,5.8485959954149664e-31,4.7821868689079747e-43,4.7821868689087832e-43,7.071849433495676e-56,1.0234928011521683e-56,2.0042202857697461e-32,2.779624529299609e-100,2.5729106348104798e-100,2.5729106348104849e-100,9.8754549868016237e-47,2.0271753334862564e-21,1.1543135211362455e-39,8.9063518431761939e-47,2.8526817803616807e-42,1.4792883700066001e-42,1.1307263834997266e-61,1.0466069480729418e-48,2.7708008917992078e-78,1.5225611578426051e-62,4.9386875095635697e-57,1.1474266353855316e-71,4.1150884920304233e-85,2.2072884393617539e-98,7.1452359940661083e-99,1.1607057031040309e-71,1.1896898524055843e-112,2.3555591694997237e-116,2.6142759553067438e-113,4.411724736738197e-104,2.1961152032171842e-101,1.0436618828191771e-38,2.9118222866169347e-51,3.8607086623605784e-51,1.14416888288756e-51,5.2969587033457157e-55,3.8077474038898116e-48,2.0586898322618137e-35,1.2400754158350069e-47,1.0646663255863125e-47,1.5744177630740738e-60,1.4237572438217676e-60,1.2040954273339243e-61,1.8817259887944525e-64,2.4172402355956489e-73,1.3068019133387191e-50,1.2557605378673164e-61,1.9471611124625352e-62,1.2368208504140023e-116,1.2276129707137924e-64,3.223192940472703e-70,2.6607525369356263e-83,3.5785720886708155e-87,2.9405768372765008e-23,5.5503052174663769e-22,1.1030023946243668e-35,1.2934271469321656e-52,6.8106262770705817e-37,6.8106262770705851e-37,4.3232056187089991e-52,2.1605540943175743e-44,1.7893653848374691e-56,4.0842076011767405e-66
1.6697747823231247e-22,0.40571605018619067,154.0,0.0,0.0,0.0,0.99999999999999589,1.0,19.0,8.5016102076073925e-17,6.3513063342254977e-16,6.351273357335316e-16,4.0963148273784443e-28,4.0963277268925134e-28,2.7536404509430614e-15,2.7277347852902406e-25,1.6089459717021244e-17,5.2602044884740793e-25,2.2649030720767226e-28,3.6737447122995492e-41,6.6100451442439476e-30,4.0624429463450593e-41,2.8158472110342721e-30,4.6951794258693933e-42,4.6951794258709927e-42,1.3972782764988979e-54,2.0222493015318127e-55,9.649457932150018e-32,6.3257750763509156e-98,5.8553426176103656e-98,5.8553426176103851e-98,9.6957976285110686e-46,4.6335436194985173e-21,5.5575227145287522e-39,8.7443089164303285e-46,2.800779887784184e-41,1.4523740935528463e-41,2.2341247901104295e-60,1.027564907912127e-47,1.0961012782054134e-76,3.0083298986156672e-61,4.8488478177603999e-56,4.5391143447111161e-70,3.2536830378719736e-83,3.4869815626791536e-96,1.1287743698566432e-96,2.2933658105688566e-70,3.7555045164880087e-110,7.435841292358887e-114,8.2525080723531075e-111,6.9694574317780461e-102,3.4693305535372519e-99,5.0247827073421678e-38,2.8588443878587157e-50,3.7904666571724052e-50,1.1233517910976888e-50,5.2043460105397696e-54,3.7384689705922833e-47,9.9117053513353037e-35,1.2175133967809007e-46,1.0452957118437848e-46,3.1107841867127359e-59,2.8131043887856026e-59,2.3790896569462995e-60,3.7179528917463637e-63,9.5620702722164088e-72,1.2830258677288577e-49,2.4351924764713879e-60,3.847262216424689e-61,5.6126002722800902e-114,2.425541209379911e-63,6.3729487379961588e-69,1.0532941360114559e-81,1.4168080720585933e-85,6.7213184852035761e-23,1.2686411925637109e-21,5.3104817277606386e-35,1.2698952328673791e-51,3.2790233797551006e-36,3.2790233797551053e-36,4.2445489127081366e-51,2.1212448217028488e-43,3.5354844635672031e-55,1.5622088008427738e-64
3.54827141243664e-22,0.40571605018619067,154.0,0.0,0.0,0.0,0.99999999999999123,1.0,19.0,1.8065921691165642e-16,1.3496525960214834e-15,1.3496455884328211e-15,1.7889683049282531e-27,1.7889701911465652e-27,5.851485956433383e-15,1.1912734444273503e-24,3.4190101891628566e-17,2.2972694974485819e-24,9.8914267572413102e-28,3.2493517601526809e-40,2.8867803755205058e-29,3.5930804953681254e-40,1.2297544559852771e-29,4.152833030955818e-41,4.1528330309586641e-41,2.4863820342187072e-53,3.5984845827918922e-54,4.2141717929268641e-31,1.0690280226254548e-95,9.8952701680788468e-96,9.8952701680789101e-96,8.5758300961897218e-45,9.8462801918670502e-21,2.4271161787897238e-38,7.7342419664635251e-45,2.4772580923044504e-40,1.2846084378139244e-40,3.975505695197076e-59,9.0886952424514088e-47,3.9119076051704937e-75,5.3531668779634603e-60,4.288777906952441e-55,1.6199790867673811e-68,2.3255986517503772e-81,4.9880178984909549e-94,1.614676378124516e-94,4.0809467261021183e-69,1.0747781909119379e-107,2.1280480641196634e-111,2.3617640646354988e-108,9.9695905449621021e-100,4.9627686828297197e-97,2.1944546211519106e-37,2.5286154856562452e-49,3.3526248304236061e-49,9.9359193242336712e-50,4.6098747952138491e-53,3.3066334495638583e-46,4.3287021307255897e-34,1.0768768114937581e-45,9.24552219524849e-46,5.5354742479851236e-58,5.0057689512807249e-58,4.2334629301487323e-59,6.61582500294807e-62,3.4124260860531071e-70,1.1348218501718506e-48,4.1776206090948438e-59,6.8459974946018652e-60,1.8984415223003081e-111,4.3160668226541758e-62,1.1356276322129969e-67,3.7643379069656966e-80,5.0637964895452246e-84,1.4282801781058219e-22,2.6958625341977485e-21,2.3192268893586752e-34,1.1232082661461319e-50,1.4320356575958704e-35,1.4320356575958741e-35,3.7542554453031844e-50,1.8762170224465127e-42,6.2912056919279439e-54,5.4799456918354739e-63
7.30526467266367e-22,0.40571605018619067,154.0,0.0,0.0,0.0,0.9999999999999819,1.0,19.0,3.7194544658281927e-16,2.7786965212147872e-15,2.7786820938284319e-15,7.4685905138474744e-27,7.4685670709115021e-27,1.2047176961624225e-14,4.9733321251825261e-24,7.0391386218450105e-17,9.590647928322652e-24,4.1294759564951469e-27,2.731219026122491e-39,1.205173980056442e-28,3.0200252345578668e-39,5.1339827760657492e-29,3.4907063894619124e-40,3.4907063894667126e-40,4.1936467094462205e-52,6.0693702113431266e-53,1.7593337674095394e-30,1.5652925076206833e-93,1.4488855228452787e-93,1.4488855228452972e-93,7.2085046622925986e-44,2.0271753337980155e-20,1.0132732269018801e-37,6.5010959854234287e-44,2.0822846915402729e-39,1.0797907949086685e-39,6.7052714271625871e-58,7.6395959862364933e-46,1.3217451662737193e-73,9.0289020002601424e-59,3.6050215419225435e-54,5.4735454673944391e-67,1.5728041555455304e-79,6.7495158894407989e-92,2.1848926953120317e-92,6.8831968323497886e-68,2.9092476617860545e-105,5.760280900301109e-109,6.3929064706845681e-106,1.3490310416723479e-97,6.7153500172243065e-95,9.1614160640105632e-37,2.1254536761691906e-48,2.8180831771099839e-48,8.3517387877781344e-49,3.886131418234121e-52,2.7794246235022581e-45,1.8071479288929004e-33,9.0517984665763705e-45,7.7714184895467969e-45,9.3363863886356941e-57,8.4429609781254194e-57,7.140354007260761e-58,1.115830775736087e-60,1.1528405284372804e-68,9.5388614317055022e-48,6.5729228035205697e-58,1.1546775200536352e-58,5.562021393019312e-109,7.2794947644248277e-61,1.9207862748472134e-66,1.2754035416239632e-78,1.7157269620800503e-82,2.9405768372769481e-22,5.5503052174653855e-21,9.6823157223433893e-34,9.4412435048222681e-50,5.9784669736792262e-35,5.9784669736792583e-35,3.1556779126370871e-49,1.5770734578949225e-41,1.0611037905012387e-52,1.8354862267601089e-61
1.4819251193117731e-21,0.40571605018619067,154.0,0.0,0.0,0.0,0.99999999999996336,1.0,19.0,7.5451790592513659e-16,5.6367843715831413e-15,5.6367551046077797e-15,3.0511629189221576e-26,3.0511277489760331e-26,2.4438558948846705e-14,2.0317684467985869e-23,1.4279395478252076e-16,3.9180926096716449e-23,1.6870256684621526e-26,2.2391250386154743e-38,4.9235289443546684e-28,2.475711522696555e-38,2.0973994817362529e-28,2.8618919976488967e-39,2.8618919976567815e-39,6.8880772850678565e-51,9.9689587871270813e-52,7.1874524963424253e-30,2.1404051020866734e-91,1.9812283968270958e-91,1.981228396827146e-91,5.9099687297154359e-43,4.1122699635710532e-20,4.1395517559074407e-37,5.3299905954615096e-43,1.7071827947628673e-38,8.8527773099449117e-39,1.1013428454061932e-56,6.2634023544424614e-45,4.3456089260773621e-72,1.4830001476635951e-57,2.9556887426515325e-53,1.7995823504916441e-65,1.0346433142353013e-77,8.8819852162035823e-90,2.8751965232445038e-90,1.1305946423326369e-66,7.6576197677883578e-103,1.5162016213907617e-106,1.6827183788006189e-103,1.7752493618594112e-95,8.8370248403339653e-93,3.7427373917588053e-36,1.7425753381644615e-47,2.3104348440049088e-47,6.8472599042359168e-48,3.2045407176863931e-51,2.2787401821455043e-44,7.3827889472691857e-33,7.4212112679155489e-44,6.371478406957041e-44,1.5335042637628028e-55,1.3867588704066525e-55,1.1728052896807702e-56,1.8326738988465685e-59,3.7893601657274942e-67,7.8205349147998365e-47,9.5142349752078262e-57,1.8965612262668658e-57,1.5214888619747161e-106,1.1955991575171254e-59,3.1725858238126416e-65,4.2163869964256674e-77,5.6721473744818026e-81,5.9651701556199879e-22,1.1259190583998918e-20,3.9555418987575309e-33,7.7405023362720678e-49,2.4423988313213543e-34,2.4423988313213804e-34,2.5872154108083581e-48,1.2929801035020152e-40,1.7428661502420622e-51,6.0083336788030713e-60
2.9847224234025856e-21,0.40571605018619056,154.0,0.0,0.0,0.0,0.99999999999992628,1.0,19.0,1.5196628246097377e-15,1.1352960072246844e-14,1.1352901126118987e-14,1.2333288356516872e-25,1.2332939290835875e-25,4.9221322830654844e-14,8.212732896243572e-23,2.8759909155237245e-16,1.5837556743575676e-22,6.8192274740267337e-26,1.8131503583265929e-37,1.9901691175299037e-27,2.0044296687821161e-37,8.4780240503449352e-28,2.3176343392099956e-38,2.3176343392227782e-38,1.116587001594188e-49,1.616011175251946e-50,2.905283216501498e-29,2.8308906481386023e-89,2.620364217475045e-89,2.6203642174751782e-89,4.7860463378543053e-42,8.2824592253187962e-20,1.6732730063658285e-36,4.3163634833874996e-42,1.3825208861420824e-37,7.16920857503299e-38,1.7853242125785547e-55,5.0722656162632578e-44,1.4094878387126159e-70,2.4040073504290786e-56,2.3937136799351696e-52,5.8369027330317311e-64,6.7131194419008042e-76,1.1527104671481498e-87,3.7314508489129421e-88,1.8328317805430487e-65,1.9877292014056875e-100,3.9356862702841073e-104,4.3679215012684451e-101,2.3039314678870601e-93,1.1468754770636255e-90,1.5128742949432068e-35,1.4111826880628739e-46,1.8710500290191073e-46,5.545088363138754e-47,2.6250121814674342e-50,1.8453827989035729e-43,2.9842413330387238e-32,6.0098892900422461e-43,5.1597884055218533e-43,2.485876481412903e-54,2.2479958705521328e-54,1.9011679137782595e-55,2.9705791634535694e-58,1.2284691404170929e-65,6.3332719342127848e-46,1.2452289958717719e-55,3.0744072567455104e-56,4.0251316208051704e-104,1.9379231164857478e-58,5.2002470581525743e-64,1.3825854018836582e-75,1.8599547913381673e-79,1.2014356792309229e-21,2.2676961317058999e-20,1.5988932791496534e-32,6.2684596755433919e-48,9.8725665821729038e-34,9.8725665821731142e-34,2.0951941177611731e-47,1.0470888105156301e-39,2.8252610959952589e-50,1.9445217675241598e-58
5.99031703158421e-21,0.40571605018619067,154.0,0.0,0.0,0.0,0.99999999999985201,1.0,19.0,3.0499526619788052e-15,2.2785311473282226e-14,2.2785193168951433e-14,4.9591610037830908e-25,4.9588542626264969e-25,9.8786850223723881e-14,3.3023037625607754e-22,5.7720936365891751e-16,6.3682118832820922e-22,2.7419813671357697e-25,1.4591378872055591e-36,8.0023824728100607e-27,1.6125901931776581e-36,3.408976182811958e-27,1.8654337457514483e-37,1.8654337457720332e-37,1.7982289144412667e-48,2.6025361682619217e-49,1.1682016034566768e-28,3.6830663447077146e-87,3.4091656866435055e-87,3.4091656866438519e-87,3.8522266431052212e-41,1.6622837757620947e-19,6.7281571725324767e-36,3.4741830916545205e-41,1.1127730813232124e-36,5.7704027451975181e-37,2.8752096061689479e-54,4.0826006450455605e-43,4.5408528244509675e-69,3.8715798193962748e-55,1.9268626824777531e-51,1.8804360150953344e-62,4.3259081813077276e-74,1.4856843964207845e-85,4.80932416283955e-86,2.9520062099129645e-64,5.1239542246829553e-98,1.0145385241208014e-101,1.1259595314569212e-98,2.9694490837951479e-91,1.4781639011181589e-88,6.0832010011119171e-35,1.1358425973123478e-45,1.5059838253737966e-45,4.4631691489241698e-46,2.1609578352099915e-49,1.4853244909582214e-42,1.1999503147746987e-31,4.837281744974213e-42,4.1530465999444492e-42,4.0034273950736809e-53,3.620327990102969e-53,3.0617723141041755e-54,4.7831754078759667e-57,3.9538140580268057e-64,5.0975682338097146e-45,1.4451816411437422e-54,4.9512374019049977e-55,1.0474274524446546e-101,3.1203386977300013e-57,8.5595547928947959e-63,4.5508990824962068e-74,6.1222294580082226e-78,2.4112730065700339e-21,4.5512502783151186e-20,6.4290795535645887e-32,5.0454017695323971e-47,3.9697156015635845e-33,3.9697156015637535e-33,1.6863945037416924e-46,8.4278816925275823e-39,4.5499957723480609e-49,6.2576670477936907e-57
1.200150624794746e-20,0.4057160501861907,154.0,0.0,0.0,0.0,0.99999999999970346,1.0,19.0,6.1105323367164003e-15,4.5650014274184975e-14,4.5649777253856439e-14,1.9888453659331808e-24,1.9885889068981971e-24,1.9791790352767291e-13,1.324371496617286e-21,1.156429902139374e-15,2.5539377686134873e-21,1.0996571598238439e-24,1.1704760451776774e-35,3.2093132724952419e-26,1.2928013419646455e-35,1.367151919391776e-26,1.4968930999308773e-36,1.4968930999639206e-36,2.8865555616707948e-47,4.1776468907434053e-48,4.6850109208084673e-28,4.7528020099697207e-85,4.3993477204485872e-85,4.3993477204494839e-85,3.0911693463111226e-40,3.3303594857451897e-19,2.6982919561096422e-35,2.7878103182319187e-40,8.9293031063106521e-36,4.6303847587750764e-36,4.615348181708007e-53,3.2760299043471721e-42,1.4579726118918806e-67,6.2147428843666984e-54,1.5464967606197505e-50,6.0376855436917795e-61,2.7780669711549477e-72,1.9082431621983696e-83,6.1771934680171544e-84,4.7395455540896663e-63,1.3162799345992956e-95,2.6062230794374776e-99,2.892448721439627e-96,3.8140206296516987e-89,1.8985836857000108e-86,2.439635679079321e-34,9.1144215121845789e-45,1.2084571511905422e-44,3.5814115555724208e-45,1.8112586453814532e-48,1.1918791524505668e-41,4.8123374525809868e-31,3.8816139522325899e-41,3.3325583462900434e-41,6.4263874566629005e-52,5.8114280209958662e-52,4.914822640290412e-53,7.675325967978552e-56,1.2670144496921562e-62,4.0904774726981918e-44,1.4848082452141402e-53,7.9478302966471989e-54,2.7033851175255248e-99,5.0068237434320609e-56,1.4333005459333667e-61,1.5233052305345977e-72,2.0492779136849066e-76,4.830947661253307e-21,9.1183585715223782e-20,2.5783484485783745e-31,4.0486172034399199e-46,1.5920335060945018e-32,1.5920335060946373e-32,1.3532253838346823e-45,6.7628442869109748e-38,7.3037504859990486e-48,2.0081032075155532e-55
