Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505)
0.0,1.276366137713209,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1704000034859072e-23,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,1.145190414939114e-17,2.7286756023698151e-17,2.7286551422841767e-17,1.0261683247880755e-30,1.0261755788553508e-30,3.8519393076698642e-16,7.0011809356522295e-27,2.3165993668409305e-18,1.3577950362823305e-26,5.6612433050146925e-31,1.9395012519951389e-44,1.4483805920349271e-31,2.1399887153546971e-44,2.3096685685401459e-32,8.1387314298316517e-45,8.1387314298318459e-45,1.6885605152058433e-58,2.4479678389238531e-59,2.4565166355172492e-34,2.8159046905777871e-104,2.6056697060942212e-104,2.605669706094223e-104,1.104811177400927e-49,2.046008569427417e-22,1.3129857080026964e-41,1.4885481272839452e-49,1.5549338610023179e-43,8.0176853007627925e-44,2.764737919228307e-64,5.626358610264492e-51,3.1661513649187259e-81,7.9233835026742175e-66,2.5226575020586907e-59,2.7377436432123366e-75,4.5154888484196136e-89,3.5351876805301081e-103,3.7082469689445781e-103,6.8003579335443847e-75,9.0335427667715903e-118,3.806123272858838e-122,6.311415065220094e-118,6.2644174810278655e-109,3.5141769452713942e-106,4.2466157542578959e-40,1.597029432862349e-53,6.8910839065006237e-53,2.0137648433024482e-53,9.6731913420698802e-57,6.7761407503356698e-50,8.3515645679786249e-37,2.152609846943971e-49,1.8571141123894385e-49,3.8529955063520403e-63
6.077120009760541e-23,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999999878,1.0,19.0,3.2065331618295182e-17,7.6402916866349597e-17,7.6402343983953468e-17,6.1980566817111235e-30,6.1980979282696248e-30,1.0785430060797909e-15,4.228713284912223e-26,6.4864782268847573e-18,8.201082018715273e-26,3.4193909561044497e-30,2.3025711787756416e-43,8.7482187755945893e-31,2.5405801399072711e-43,1.3950398153977123e-31,9.6623019534925359e-44,9.662301953492968e-44,3.7772423293657955e-57,5.4760061366924689e-58,1.4837360478526215e-33,3.0005649620133053e-102,2.7765432718114231e-102,2.7765432718114267e-102,1.3116399787331237e-48,5.7288239944126836e-22,7.9304336763712708e-41,1.7672043259532309e-48,1.8460174796931929e-42,9.518595988607902e-43,6.1846081357983366e-63,6.6796129421055987e-50,1.3065212259577365e-79,1.7724397150023466e-64,2.9948998182318021e-58,1.1297441223253995e-73,3.3991667213437422e-87,4.8255411336813515e-101,5.0617675494429966e-101,1.5212132719089617e-73,2.228579577033447e-115,9.3898520948667259e-120,1.5570292912410045e-115,8.5509474928585014e-107,4.7968614209209445e-104,2.5649559155710866e-39,1.8959933426913373e-52,8.1810948127666399e-52,2.390741619539851e-52,1.1487209021597862e-55,8.0446342901674321e-49,5.0443449990560675e-36,2.5555784102651268e-48,2.2047658742274914e-48,8.6189968267868271e-62
1.389056002230981e-22,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999999711,1.0,19.0,7.3292186556103168e-17,1.7463523855163157e-16,1.7463392910616296e-16,2.9840974884704459e-29,2.9841147312894914e-29,2.4652411564343136e-15,2.0359434157550837e-25,1.482623594589302e-17,3.9484679648640101e-25,1.6462895529116352e-29,2.26066806584997e-42,4.211890761193011e-30,2.4943260119721013e-42,6.7165161973067069e-31,9.4865053546006087e-43,9.4865053546014626e-43,7.4631943199025041e-56,1.0819665338994827e-56,7.1435503760872013e-33,6.8285838074943067e-100,6.3187628552384226e-100,6.3187628552384409e-100,1.2877794798487505e-47,1.3094454844446877e-21,3.8181624389238431e-40,1.7350516638115334e-47,1.8124309081091485e-41,9.345413985150291e-42,1.2219743480736348e-61,6.5580835961230326e-49,5.1684680411697836e-78,3.5020523355463144e-63,2.9404121629395442e-57,4.4691686390762544e-72,2.6876269820230065e-85,7.6231953605462428e-99,7.9963763296474567e-99,3.0056628241933698e-72,7.0349845013531045e-113,2.9641226494838694e-117,4.9150934529376237e-113,1.3508442152201252e-104,7.5778883064436604e-102,1.234915861337172e-38,1.8614975069355375e-51,8.0322473982213342e-51,2.347244293824005e-51,1.1284980235201054e-54,7.8982696318349157e-48,2.4286349763636512e-35,2.5090820375149498e-47,2.1646522093972536e-47,1.7029685299777751e-60
2.951744004740834e-22,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999999389,1.0,19.0,1.5574589643171883e-16,3.7109988192211154e-16,3.7109709935052617e-16,1.3032337724671354e-28,1.303239004730256e-28,5.2386374560590212e-15,8.8914997848416228e-25,3.1505751379591974e-17,1.7243996954120526e-24,7.1897789954400669e-29,1.9995175647215432e-41,1.8394433514249817e-29,2.2061486154793609e-41,2.9332790820376773e-30,8.3907065548757883e-42,8.3907065548773087e-42,1.3280355524052928e-54,1.9253016374118234e-55,3.119776127110047e-32,1.1540004753503875e-97,1.0678429882590586e-97,1.0678429882590645e-97,1.139027784412608e-46,2.7825716544769901e-21,1.6674918492169373e-39,1.5346335072683268e-46,1.6030746127611279e-40,8.2659128346948866e-41,2.174438062559825e-60,5.8005506728356341e-48,1.8445895319387258e-76,6.2317232399141426e-62,2.6007643932542776e-56,1.5950167072625694e-70,1.9210060303735596e-83,1.0904747532184019e-96,1.14385714812687e-96,5.3484226432489252e-71,2.0133251367788159e-110,8.4829737715838397e-115,1.4066386525297005e-110,1.9323412855497719e-102,1.0839937178667923e-99,5.3932020078969465e-38,1.6464734640852527e-50,7.1044318575347186e-50,2.0761109870395017e-50,9.9934810003837825e-54,6.9859300117777438e-47,1.0606487001286009e-34,2.219254647631175e-46,1.9146103653008752e-46,3.030341508131694e-59
6.077120009760541e-22,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999998734,1.0,19.0,3.2065331618294873e-16,7.6402916866273637e-16,7.6402343983902979e-16,5.4407444579028903e-28,5.4407470954647681e-28,1.0785430050971078e-14,3.7120261289897766e-24,6.4864782229719599e-17,7.1990292763703557e-24,3.0015911985830558e-28,1.680685153250239e-40,7.6793138948347993e-29,1.8543091731675843e-40,1.2245862750325075e-29,7.0528944373466787e-41,7.0528944373492429e-41,2.2399260650848626e-53,3.2473026181072184e-54,1.3024451201540718e-31,1.6897108959087314e-95,1.5635573562771119e-95,1.5635573562771299e-95,9.5742204663727284e-46,5.7288239946434533e-21,6.9614502243109626e-39,1.2899518632683246e-45,1.347480803954499e-39,6.947997793270528e-40,3.6675076150615816e-59,4.8757123499126439e-47,6.2324511303649896e-75,1.0510718649204018e-60,2.1861044529957458e-55,5.3892044292933218e-69,1.299178157032729e-81,1.4755717699454719e-94,1.5478059548380634e-94,9.0209175867299517e-70,5.4497410479550958e-108,2.2962050350618884e-112,3.8075401444611528e-108,2.614740270433837e-100,1.4668019815851275e-97,2.2515556728980126e-37,1.3839601540139942e-49,5.9717030438549678e-49,1.7450963642816659e-49,8.4203838756951835e-53,5.8720950540472203e-46,4.4279995339001061e-34,1.865417251288079e-45,1.6093453759561201e-45,5.1111138717387237e-58
1.2327872019799954e-21,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999997424,1.0,19.0,6.5046815568540341e-16,1.5498877421426443e-15,1.5498761208151463e-15,2.2227216381194114e-27,2.2227070203534803e-27,2.1879015223445749e-14,1.516483792767246e-23,1.3158284386089367e-16,2.941038355310198e-23,1.2262479433698137e-27,1.3778782990984385e-39,3.1372502940708866e-28,1.5201243859351188e-39,5.002834506137384e-29,5.7823889776330744e-40,5.7823889776372865e-40,3.6790852754826833e-52,5.3337042967102833e-53,5.3209132932197071e-31,2.3105367240103445e-93,2.1380324294074841e-93,2.1380324294075331e-93,7.849526625848458e-45,1.1621328675383805e-20,2.8439795633687308e-38,1.0575803612805743e-44,1.1047461735203292e-38,5.6963883665108414e-39,6.0238922705933119e-58,3.997403562586642e-46,2.0490935737049845e-73,1.7263892115877199e-59,1.7923091561274766e-54,1.7718530560039736e-67,8.5464305441829592e-80,1.9417701013014793e-92,2.0368262574257417e-92,1.4816953401346349e-68,1.4344619105681855e-105,6.0439952419254499e-110,1.0022074605023473e-105,3.440852274478924e-98,1.9302295492555667e-95,9.1983395882721363e-37,1.134654149581715e-48,4.8959629397368877e-48,1.4307354084711867e-48,6.9367656138404084e-52,4.8142982126248948e-45,1.8089822916467458e-33,1.5293817660910438e-44,1.3194385717479862e-44,8.3950198631493847e-57
2.482937603987878e-21,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999994815,1.0,19.0,1.3100978346902918e-15,3.1216048890970943e-15,3.1215814827638143e-15,8.9845962434554755e-27,8.9844102678663626e-27,4.4066185498997349e-14,6.1298699443069495e-23,2.6501896684691734e-16,1.1888147242492151e-22,4.9566902411304482e-27,1.1157623235626457e-38,1.268126727715596e-27,1.2307927588297962e-38,2.0222256957961056e-28,4.6827285125848044e-39,4.6827285125916331e-39,5.963955733590706e-51,8.6461644950716647e-52,2.1507982272135356e-30,3.0559060048409505e-91,2.8277525614201326e-91,2.8277525614202612e-91,6.3567510668934505e-44,2.3406338038494221e-20,1.1495820110046224e-37,8.5645581504829723e-44,8.946520923010751e-38,4.6130829803361649e-38,9.7649889578326297e-57,3.2372010446619387e-45,6.6461858890828797e-72,2.7985516989892525e-58,1.4514724283551589e-53,5.7469637493582175e-66,5.5452165555125312e-78,2.5200434317811344e-90,2.643408006093852e-90,2.4019144250294098e-67,3.723509498469638e-103,1.5688727011771353e-107,2.6014833389356429e-103,4.4655632361179263e-96,2.5050660190174639e-93,3.7181159303426608e-36,9.1887234817879672e-48,3.9648777076526242e-47,1.1586465872059042e-47,5.6713887681009288e-51,3.8987433663704681e-44,7.3121956540709158e-33,1.2385330056299985e-43,1.0685155641355458e-43,1.3608688902867706e-55
4.9832384080036436e-21,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999989586,1.0,19.0,2.629357192699984e-15,6.2650391829845328e-15,6.2649922066468951e-15,3.6126666334518369e-26,3.6124898141829559e-26,8.8440525772509598e-14,2.4647937356475708e-22,5.3189121171366644e-16,4.7801717031475532e-22,1.9930633406984837e-26,8.9793504304923911e-38,5.0990817861275054e-27,9.9025752345518871e-38,8.1312805818658847e-28,3.7690672950040013e-38,3.7690672950149988e-38,9.6047667199432532e-50,1.3924381325188048e-50,8.6482650761635058e-30,3.975817492874953e-89,3.6789836079453629e-89,3.6789836079456984e-89,5.1164666400035574e-43,4.6976356771233907e-20,4.6224187071625321e-37,6.8934985832820028e-43,7.2009383445112095e-37,3.7130104993184301e-37,1.5726213678948529e-55,2.6055810308588026e-44,2.1411573150734086e-70,4.5069814804066727e-57,1.1682938305473918e-52,1.8514610299001939e-64,3.5733161942033052e-76,3.2479876166322586e-88,3.4069874992835431e-88,3.8682813743046938e-66,9.5984366556766851e-101,4.0442297254491301e-105,6.7060846402072841e-101,5.75549370317999e-94,3.2286838021447163e-91,1.495038062695707e-35,7.3958840582481123e-47,3.1912784877418413e-46,9.3257950752701595e-47,4.6514593437061532e-50,3.1380476103231342e-43,2.940201712176977e-32,9.9687911214210407e-43,8.6003428473555707e-43,2.1916373748243061e-54
9.983840016035173e-21,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999979139,1.0,19.0,5.267875908719031e-15,1.255190777067357e-14,1.2551813654356031e-14,1.4488409001964332e-25,1.4486881494057484e-25,1.7718920520917023e-13,9.8849252152184079e-22,1.0656356970259718e-15,1.9170626376613589e-21,7.9930753759087667e-26,7.2033171399690313e-37,2.0449598487977225e-26,7.9399160496025811e-37,3.2610071935701413e-27,3.0244391365168705e-37,3.0244391365345229e-37,1.5417777301528942e-48,2.2351715659000812e-49,3.4683410987155493e-29,5.130581858633467e-87,4.7475334546952818e-87,4.7475334546961479e-87,4.1056423972889277e-42,9.4116394262788644e-20,1.8537966453980168e-36,5.5315937959806285e-42,5.7782994836045211e-36,2.979457068560869e-36,2.5244055786304579e-54,2.0908146834848818e-43,6.8748070974265697e-69,7.2347033935968114e-56,9.3751840430656029e-52,5.9446530684053062e-63,2.2947578839718064e-74,4.1717812380444227e-86,4.3760039156994908e-86,6.2096802224229753e-65,2.4657187175031392e-98,1.0389122870927174e-102,1.7227091030020734e-98,7.3924729763732607e-92,4.1469870270784661e-89,5.9957713033088172e-35,5.9347311789982893e-46,2.5607999618706455e-45,7.4833621733353909e-46,3.8715372060577428e-49,2.5180852045058363e-42,1.1791523902223129e-31,7.9993270507661138e-42,6.9012335037852525e-42,3.5180632977064298e-53
