Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505)
1.9985043232098233e-20,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999958245,1.0,19.0,1.0544913340755775e-14,2.5125644945708318e-14,2.5125456549546198e-14,5.8029207125338031e-25,5.8016534553755024e-25,3.5468655964103617e-13,3.9591259790919173e-21,2.1331246499658121e-15,7.6782497864795692e-21,3.2013992845736857e-25,5.7681433754975298e-36,8.1905057734550864e-26,6.351559533704224e-36,1.3061038096116256e-26,2.4232317301710752e-36,2.4232317301993657e-36,2.4708643435198773e-47,3.5821025561881322e-48,1.389145516649044e-28,6.593859501062308e-85,6.1015630272712855e-85,6.1015630272735109e-85,3.2895101055398569e-41,1.8839646935019968e-19,7.4248559423320111e-36,4.4319988999972913e-41,4.6296711017832019e-35,2.3871913057557411e-35,4.0456311893215736e-53,1.6751960461675582e-42,2.2036427931237829e-67,1.1594388825111035e-54,7.5121356283680457e-51,1.9054921683470674e-61,1.4711578835895856e-72,5.3490889062077401e-84,5.6109447417900525e-84,9.9524231500466273e-64,6.3231685414635329e-96,2.6642202635439756e-100,4.4177684877615364e-96,9.4786838169795979e-90,5.3172975853744132e-87,2.4014358988550561e-34,4.7550068787435432e-45,2.0517561192138295e-44,5.9957945026516228e-45,3.3247338020793019e-48,2.0175318042346319e-41,4.7227599863270428e-31,6.4091959533889758e-41,5.5293848703626886e-41,5.6380742501956227e-52
3.998744966422436e-20,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999916445,1.0,19.0,2.1098988204823868e-14,5.0273119294404856e-14,5.0272742339014112e-14,2.3226805679867577e-24,2.3216487932957506e-24,7.0968125073894762e-13,1.5846821243264334e-20,4.2681024851064099e-15,3.0733008363474095e-20,1.2813939971303299e-24,4.6127850161183358e-35,3.2783367562135969e-25,5.0691142731224386e-35,5.2278190421129562e-26,1.9400588123671375e-35,1.9400588124124395e-35,3.956601819759912e-46,5.7360310700197511e-47,5.5602022847062264e-28,8.45727993661439e-83,7.8258607974262741e-83,7.8258607974319828e-83,2.6336082701593501e-40,3.7695661994222773e-19,2.9718773572639775e-35,3.5482819577075578e-40,3.7065518205909628e-34,1.9112045080333375e-34,6.4782809744800069e-52,1.3411754278011419e-41,7.0575905183320961e-66,1.8566125621549216e-53,6.0152045729560309e-50,6.1027047825412123e-60,9.4234592965264198e-71,6.8527333116927598e-82,7.1881975836611475e-82,1.5939224781223861e-62,1.6201314015245179e-93,6.8263038937567221e-98,1.1319258854255669e-93,1.2143169403665024e-87,6.8120053602304836e-85,9.6120019165933463e-34,3.8068967475683942e-44,1.6426523358683931e-43,4.800278591028147e-44,3.0185477365349611e-47,1.6152512257699991e-40,1.8903347806862174e-30,5.1312537983707938e-40,4.4268699976130478e-40,9.0282640221198239e-51
7.99922625284766e-20,1.2763661377132092,154.0,0.0,0.0,0.0,0.99999999999832845,1.0,19.0,4.2207137932938475e-14,1.0056806798630885e-13,1.0056731391430024e-13,9.2937476890132834e-24,9.2854242010236543e-24,1.4196705618714959e-12,6.3407922787007449e-20,8.5380578724312994e-15,1.2297205801776076e-19,5.1272448779843002e-24,3.6832751485211425e-34,1.3117616771469454e-24,4.0314621480846346e-34,2.0918085709328057e-25,1.5526366727287849e-34,1.5526366728012978e-34,6.3331382598228266e-45,9.1813847813401374e-46,2.2248051641000326e-27,1.083630134038652e-80,1.0027264851854097e-80,1.002726485186873e-80,2.1076870325070857e-39,7.5407692279510809e-19,1.1891380534827769e-34,2.8396847426056882e-39,2.9663677946742818e-33,1.5295443787298966e-33,1.0369468522031359e-50,1.0733479527602334e-40,2.2593788465075813e-64,2.971788249576015e-52,4.8154777584816008e-49,1.9536862700748094e-58,6.0335895491398137e-69,8.7752743382274411e-80,9.2048534434396288e-80,2.5520761313409807e-61,4.1493287346873361e-91,1.7482890094624631e-95,2.8989765982217787e-91,1.5549947636576736e-85,8.7231201249540708e-83,3.8460527867500335e-33,3.0466743866120579e-43,1.3146209201071831e-42,3.8416774365054507e-43,2.9867540335295779e-46,1.2926903465325441e-39,7.5638013928786046e-30,4.1065624836802685e-39,3.5428414120220279e-39,1.4451099983158487e-49
1.600018882569811e-19,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999665656,1.0,19.0,8.4423437389081333e-14,2.0115796534818258e-13,2.0115645705027389e-13,3.7181042365282849e-23,3.7114219576723696e-23,2.8396488998835514e-12,2.5367295089024448e-19,1.7077967515256e-14,4.9196825039045394e-19,2.051231654497017e-23,2.9338970244004239e-33,5.2479004886246047e-24,3.1859113553387266e-33,8.3685963806560162e-25,1.2423452369491361e-33,1.2423452370651801e-33,1.013507870287394e-43,1.4693203241912472e-44,8.9006693651643321e-27,1.3877499180524024e-78,1.2841407358434972e-78,1.284140735847245e-78,1.6864698609192406e-38,1.508317535176166e-18,4.757326579137496e-34,2.2721484860313188e-38,2.3735446769701488e-32,1.2238677634070123e-32,1.6594525652130031e-49,8.5884144117328313e-40,7.2315325252586747e-63,4.7558256150475373e-51,3.8554918284093465e-48,6.2531065635562263e-57,3.8623198708602822e-67,1.123476288147439e-77,1.1784742208470913e-77,4.0865920047075122e-60,1.0624571325060428e-88,4.4765846738125509e-93,7.4229495712953406e-89,1.9908207092238201e-83,1.1167991167031785e-80,1.5386715537241393e-32,2.4378023975207272e-42,1.0518961782449097e-41,3.0739186906680624e-42,3.3036248821071239e-45,1.0343462145774481e-38,3.026013078364808e-29,3.2858738408732977e-38,2.834811407523704e-38,2.3126458185970956e-48
3.200211397139901e-19,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999999331268,1.0,19.0,1.688560363010217e-13,4.0233775998436832e-13,4.0233474326382629e-13,1.4873627284663537e-22,1.4820142744532321e-22,5.679604438895952e-12,1.0147741547930443e-18,3.4157782273606287e-14,1.9680327118958705e-18,8.2055930950419432e-23,2.3263619162050992e-32,2.0993307308635522e-23,2.4874095340274201e-32,3.3477109868384899e-24,9.9397055791032907e-33,9.939705580960185e-33,1.6217761542594457e-42,2.3511511690186514e-43,3.5605575100333197e-26,1.7767701722626348e-76,1.6441168015618092e-76,1.6441168015714068e-76,1.3493039962854191e-37,3.0167987866394697e-18,1.9030855427343298e-33,1.8178421724244808e-37,1.8990156327684025e-31,9.7918696778057327e-32,2.6553942209481233e-48,6.8713839135226242e-39,2.314333676062509e-61,7.6100851073077103e-50,3.0884914631738201e-47,2.0012018657550067e-55,2.4721455918686221e-65,1.4382026394327639e-75,1.5086074852839343e-75,6.5470189803089031e-59,2.7201807851127851e-86,1.1461280959129074e-90,1.9004625585128247e-86,2.5485217354463294e-81,1.4296549538386147e-78,6.1551871232586429e-32,1.9504270833324645e-41,8.4159637426183695e-41,2.4593573401698914e-41,4.105308130136892e-44,8.2755159344994926e-38,1.2105037402311166e-28,2.628948549126408e-37,2.2680644558948304e-37,3.7006076142877959e-47
6.400596426280081e-19,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999998662503,1.0,19.0,3.3772123412352104e-13,8.046973489078867e-13,8.0469131545735207e-13,5.9496929346215529e-22,5.9070024340978069e-22,1.1359510968877555e-11,4.0592599344515027e-18,6.8317393681120026e-14,7.8724475779771291e-18,3.2823697565603679e-22,1.8284673011357043e-31,8.397662144368815e-23,1.8981287003633298e-31,1.3391388802226616e-23,7.9521419370670492e-32,7.9521419400382256e-32,2.5949693197421835e-41,3.7620315647285323e-42,1.4242809601257949e-25,3.981781990095612e-74,3.684502798068826e-74,3.6845027981117707e-74,1.0794944426282014e-36,6.0337613963708309e-18,7.6126522201968489e-33,1.4542640418902593e-36,1.5192839792480296e-30,7.8338642776040034e-31,4.2488468653649848e-47,5.4973680961183419e-38,7.4062570236975365e-60,1.2176723490361657e-48,2.4769989698456932e-46,6.4041659852248337e-54,1.5822536169011884e-63,1.8409937621944946e-73,1.931116591920709e-73,1.0500745529667979e-57,6.9640213696639043e-84,2.9342390337954184e-88,4.8653552443228227e-84,3.2622753922856187e-79,1.8300521716840707e-76,2.4621750302602596e-31,1.5604157211378797e-40,6.7330830781158095e-40,1.9675614981680418e-40,5.6239327192133781e-43,6.6206638675796998e-37,4.8422119667345688e-28,2.1032584883165388e-36,1.8145376944059684e-36,5.9212665271378842e-46
1.280136648456044e-18,1.2763661377132092,154.0,0.0,0.0,0.0,0.99999999997324973,1.0,19.0,6.7545162976299416e-13,1.6094165253705255e-12,1.609404458910088e-12,2.3799255344346319e-21,2.3459822986318797e-21,2.2719305836697099e-11,1.623735522973592e-17,1.3663654405947696e-13,3.1490402170694073e-17,1.3129737815968186e-21,1.413056378338345e-30,3.359131213485636e-22,1.3896581652413759e-30,5.3566644668607225e-23,6.3618645115494283e-31,6.3618645163034165e-31,4.1520420621259046e-40,6.019398302581993e-41,5.6972397647005649e-25,5.1139969166079229e-72,4.7321867450567986e-72,4.7321867451672921e-72,8.6361605264893391e-36,1.2067687043052567e-17,3.0451230718909931e-32,1.1633128880463796e-35,1.2154549937103274e-29,6.2672348198493732e-30,6.7983278957573055e-46,4.3979988620406659e-37,2.3700645348571081e-58,1.9483150596646061e-47,1.9913880454505338e-45,2.049376362842453e-52,1.01266415509966e-61,2.3565233682548161e-71,2.4718831211795962e-71,1.6881565661077798e-56,1.7828285380056264e-81,7.5118166816113767e-86,1.2455175775921315e-81,4.1758043222955347e-77,2.3425178476822449e-74,9.8489004523136611e-31,1.2483621745193703e-39,5.3865822440346048e-39,1.574058116227029e-39,8.2424865972259341e-42,5.2965557335554294e-36,1.9369241733875795e-27,1.682646416313114e-35,1.4516645973508691e-35,9.4742455484919794e-45
2.560290660112116e-18,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999994649913,1.0,19.0,1.3509124210198379e-12,3.2188548728441469e-12,3.2188307420782956e-12,9.519798504804751e-21,9.2517535303184626e-21,4.5438822803994603e-11,6.4949962752873105e-17,2.7327455507012299e-13,1.2596265950501199e-16,5.251941884161684e-21,1.0582466895351293e-29,1.3436645649374311e-21,9.494092717733835e-30,2.1426875545766538e-22,5.0895519441638274e-30,5.0895519517702583e-30,6.643305562065265e-39,9.6311428494764237e-40,2.27891909864266e-24,6.546243201765112e-70,6.057501761613227e-70,6.0575017618961123e-70,6.9090104129122777e-35,2.4135540045292123e-17,1.218061803915101e-31,9.3045987922694473e-35,9.7237387177580667e-29,5.0138387832390824e-29,1.087746301649268e-44,3.5184408379358583e-36,7.5843061955470374e-57,3.117310942961704e-46,1.6087164621887051e-44,6.5580226376057243e-51,6.4810705533884235e-60,3.0163595970982954e-69,3.1640205984875211e-69,2.7266677462237284e-55,4.5640560959175718e-79,1.9230314805707087e-83,3.1883273502588074e-79,5.3450488009878209e-75,2.9984325256427364e-72,3.9396002202546006e-30,9.9870153888320019e-39,4.3092976199514353e-38,1.2592159285458299e-38,1.2582980590822227e-40,4.2371331522590874e-35,7.747775346447762e-27,1.3461326075336912e-34,1.1613454372656667e-34,1.5158915756199957e-43
5.12059868342426e-18,1.2763661377132092,154.0,0.0,0.0,0.0,0.99999999989299793,1.0,19.0,2.7018340034451147e-12,6.4377315466391207e-12,6.4376832934656564e-12,3.807938392017583e-20,3.5989800941652989e-20,9.0877565667087854e-11,2.5980022144300563e-16,5.4654941811205916e-13,5.0385135643026827e-16,2.1007821057985141e-20,7.5021395384668623e-29,5.3746728851971809e-21,5.8637953909608691e-29,8.5707935817200856e-22,4.071665608437378e-29,4.0716656206075924e-29,1.062920860354964e-37,1.5409872449963744e-38,9.1157228388226389e-24,8.3792927840273938e-68,7.7536961746980709e-68,7.7536961754222672e-68,5.5272411222959768e-34,4.8271252885275656e-17,4.8722734723759596e-31,7.4405015842322608e-34,7.779010522319542e-28,4.0110811056873673e-28,1.7404051700876346e-43,2.8147693587841332e-35,2.4269939466786909e-55,4.9876242894158562e-45,1.3119203444925872e-43,2.0985375803633893e-49,4.1478276347111917e-58,3.8608871434655091e-67,4.0498907351699829e-67,4.4445619138719756e-54,1.1683823823785552e-76,4.9228936421056973e-81,8.1609408686748435e-77,6.8415736877844764e-73,3.8379409420842186e-70,1.575848074306413e-29,7.9896588700967909e-38,3.4474276448719211e-37,1.0073059135143567e-37,1.9647700229001515e-39,3.3894679077468484e-34,3.0991257725299934e-26,1.0769116743531318e-33,9.2908182562518342e-34,2.4254195811350496e-42
7.680906706736404e-18,1.276366137713209,154.0,0.0,0.0,0.0,0.99999999983949672,1.0,19.0,4.0527555857819811e-12,9.6566081999046615e-12,9.6565358299039693e-12,8.0918806335236712e-20,7.5031555032729094e-20,1.3631601746054384e-10,5.5207489969457872e-16,8.1982312217955445e-13,1.0706830252809817e-15,4.4641608212509004e-20,2.0069620876884555e-28,1.1421178296547979e-20,1.4646618616386541e-28,1.8212963269342026e-21,1.1642436415057654e-28,1.1642436459851915e-28,3.9122339892315109e-37,5.6718548474964766e-38,1.9370940122867907e-23,4.323406851975473e-67,4.0006220157086806e-67,4.0006220161532991e-67,1.5804499937131801e-33,7.2406972560763742e-17,1.0353598934028887e-30,2.1269927424784444e-33,2.2243098398500124e-27,1.1469179975544411e-27,6.4058559059579028e-43,8.0484933766364035e-35,1.1080802844538735e-54,1.8357627381543154e-44,3.7922433268657446e-43,9.581112730763839e-49,2.2789307220588896e-57,2.4907936965996997e-66,2.6127265636257331e-66,1.6503862288678264e-53,8.6765826030330717e-76,3.6558154930301525e-80,6.06022695839934e-76,4.4137402051908896e-72,2.4759903235458856e-69,3.348682125009488e-29,2.2845464251172316e-37,9.8574526768478315e-37,2.88015015501025e-37,7.1916857079547308e-39,9.691349623633346e-34,6.5856519293352589e-26,3.0792976944867404e-33,2.6565973326501127e-33,8.9271277770715187e-42
