Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31)
0.0,0.8159851675283779,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.286302886614341e-20,0.8159851675283779,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,1.3943544916458088e-16,2.8755163401531262e-16,2.8755160519186154e-16,3.6604159208407839e-26,3.659783006764249e-26,1.363405872006901e-17,5.1316735947295717e-25,1.0647231997521515e-21,4.2902801263370237e-25,2.8202799357419912e-26,1.9565741359703777e-37,1.0711388236678827e-29,3.0140116651360149e-37,1.1851974514209193e-30,8.0109949045681735e-41,8.0109949054444944e-41,7.8571086229847206e-51,9.0610043414483143e-52,7.3636919923385205e-31,1.2360213075580958e-92,1.2005351465951224e-92,1.2005351465951249e-92,1.3452668079797735e-42,4.1775624549905841e-23,7.1652888290427398e-40,2.6230865766285163e-43,5.9821713645352486e-41,7.155372126420251e-41,3.7141619713656422e-58,2.0535194007212758e-46,5.1788584274326143e-74,8.1523837201923917e-59,4.9692665424170384e-58,6.1618959026846634e-66,8.4841917882892239e-77,2.6285307332760293e-87,2.1572069262807087e-89,3.9823198506505102e-70,2.3808376992144705e-100,9.6602209024743223e-104,2.2441951940709016e-101,1.7357913965264416e-94,2.9914232080221597e-90,2.3358638301479019e-40,2.9734604148660375e-50,4.2693339797277466e-52,1.1429871730381076e-51,6.0982783002284524e-57,6.0939014829539102e-49,6.6682649840724784e-37,9.3572413887452102e-47,4.0136628113424744e-47,3.9365632767941124e-57,2.5546152602083275e-57,2.3896104518843426e-58,3.3891231226635425e-61,4.2915430214220442e-68,1.9893750394218496e-49,3.1179453337570895e-59,9.4034714055829906e-59,3.3479431480389621e-108,1.5893356497544397e-61,1.819328216730466e-69,1.945223842505978e-80,9.6498022020926462e-85,3.170883128259494e-25,1.2606888422660922e-23
1.7601648082520155e-19,0.8159851675283779,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,3.9041925766081682e-16,8.0514457503295434e-16,8.0514449441860723e-16,2.2108912156586816e-25,2.2101397208742481e-25,3.8175361286447946e-17,3.0995306391778479e-24,2.981224813825373e-21,2.5913290190348093e-24,1.7034490484106642e-25,2.3225452793162478e-36,6.4696784934215537e-29,3.5767310581182186e-36,7.1585926052287025e-30,9.5106531481364826e-40,9.5106531500967771e-40,1.7576034804087432e-49,2.0269103738527854e-50,4.4476699625006522e-30,1.3170766180572649e-90,1.2792633598367402e-90,1.279263359836745e-90,1.5971007612558908e-41,1.1697175351140841e-22,4.3278346016778243e-39,3.114108022158231e-42,7.1020333990066145e-40,8.4948572562492076e-40,8.3084317630517708e-57,2.4379382318871848e-45,2.1370704307656547e-72,1.8236555196807892e-57,6.7553181001103343e-57,2.5427234492381089e-64,6.3866874450574563e-75,3.587931292345655e-85,2.94457665531277e-87,1.0142790230877716e-68,5.8735051505377539e-98,2.3831678144187287e-101,5.5363860184984961e-99,2.3693465756912795e-92,4.0832777038300771e-88,1.410861752933832e-39,3.5300922030275289e-49,5.0685530828841565e-51,1.3569519033635666e-50,1.172347755025146e-55,7.2346790425618088e-48,4.027632048719026e-36,1.1108916949710504e-45,4.7650204871212312e-46,8.8059339969351537e-56,5.7145718595242063e-56,5.3454629832085271e-57,7.5800003721616682e-60,1.7708095882895077e-66,2.3617860445894448e-48,5.7767090792579644e-58,2.1035131623090236e-57,6.4549672338130624e-106,3.554756537745114e-60,6.4774697616473115e-68,1.2660773175869607e-78,6.2807243115828279e-83,8.8784727591504968e-25,3.5299287583449541e-23
4.0232338474331784e-19,0.8159851675283779,154.0,0.0,0.0,0.0,0.99999999999999523,1.0,19.0,8.9238687465325073e-16,1.8403304562288492e-15,1.8403302723976781e-15,1.064448948986777e-24,1.0637112594337573e-24,8.7257953900227871e-17,1.4922903632891826e-23,6.8142274600492963e-21,1.247613194829713e-23,8.2013735614765379e-25,2.2796545062183099e-35,3.1148716969279134e-28,3.5084749776557481e-35,3.4465541867015569e-29,9.3376156528074141e-39,9.3376156566806221e-39,3.4727270412495121e-48,4.0048331045930839e-49,2.1413616300645311e-29,2.9973582218126297e-88,2.9113040933998118e-88,2.9113040933998341e-88,1.5680430009607701e-40,2.6736403052110177e-22,2.083666214843396e-38,3.0574065935765805e-41,6.9728175630966032e-39,8.340300100621228e-39,1.6416061070967865e-55,2.3935822114686786e-44,8.4540380990313819e-71,3.6032354981135125e-56,8.4451721492680025e-56,1.0058759735165627e-62,5.0497610393357959e-73,5.6680513221599513e-83,4.6517088107232981e-85,2.5378630393340574e-67,1.8540906994546622e-95,7.5229512621246587e-99,1.7476557440263206e-96,3.742986417033252e-90,6.4505771442144631e-86,6.7926920109384486e-39,3.4658654549138694e-48,4.9763350114405513e-50,1.3322581966740707e-49,2.100728755745432e-54,7.1030490947291354e-47,1.9391314548773977e-35,1.0906800478998458e-44,4.6783253651372051e-45,1.7399039096770667e-54,1.1291029739930861e-54,1.0561734010060486e-55,1.4971044684837383e-58,7.0042054867681102e-65,2.3188155392705714e-47,8.2878116536776526e-57,4.1561625552231141e-56,2.9292157233536873e-103,7.0213362142799857e-59,2.3209679518298525e-66,9.0602457858803018e-77,4.4945971821768114e-81,2.0293652021028153e-24,8.0684085905022636e-23
8.549371925795504e-19,0.8159851675283779,154.0,0.0,0.0,0.0,0.99999999999999001,1.0,19.0,1.8963221086379654e-15,3.910702215265446e-15,3.9107018264581391e-15,4.6487282112660927e-24,4.642207279549857e-24,1.8542308905190138e-16,6.517222178706286e-23,1.4480230424807769e-20,5.4486530127214675e-23,3.5817550103451395e-24,2.0152012828616423e-34,1.3603463036841308e-27,3.0975629515749295e-34,1.5052007612064079e-28,8.2590152901033771e-38,8.2590152969955446e-38,6.179527737734485e-47,7.1263857080381904e-48,9.351888816763557e-29,5.0654028767198149e-86,4.9199752042994605e-86,4.919975204299532e-86,1.3869162777876846e-39,5.6814866088724134e-22,9.0999191206987211e-38,2.7041647883778153e-40,6.167376493230086e-38,7.3768989825932746e-38,2.921150356052122e-54,2.1170963571432544e-43,3.0171861470259268e-69,6.4117632535720043e-55,1.0694404673924828e-54,3.5898989120586417e-61,3.6093570537777718e-71,8.1079604089319014e-81,6.6541159791824553e-83,6.4244653277771503e-66,5.3061683428274074e-93,2.1529715859647276e-96,5.0014708003785742e-94,5.3542186571298522e-88,9.2273377804921556e-84,2.9665470569202476e-38,3.0655187395388329e-47,4.4015111415495273e-49,1.1783579863786591e-48,3.5475135323347301e-53,6.2825634778878925e-46,8.4686965040380657e-35,9.6469414063277785e-44,4.1379257956803581e-44,3.0960651313375801e-53,2.0091779615939791e-53,1.8794041155225537e-54,2.661960936771942e-57,2.4990774317659286e-63,2.0509660769664825e-46,9.4872219083059911e-56,7.3955798953521455e-55,9.9079650724892829e-101,1.248600741313912e-57,7.8521915634159861e-65,6.1353418296424803e-75,3.043631538934626e-79,4.3124010545166092e-24,1.7145368254815237e-22
1.7601648082520156e-18,0.8159851675283777,154.0,0.0,0.0,0.0,0.99999999999997957,1.0,19.0,3.9041925766067838e-15,8.0514457199366855e-15,8.0514449269883401e-15,1.9407525138484298e-23,1.9352783457851343e-23,3.8175315905190758e-16,2.7208103819869849e-22,2.9812227043572887e-20,2.2747040500313379e-22,1.4953119646927561e-23,1.6920047322506856e-33,5.6791780217350751e-27,2.5942444744531268e-33,6.2839168685502815e-28,6.9421999780631973e-37,6.9421999896878278e-37,1.042266161240568e-45,1.2019688329647702e-46,3.9042294821904644e-28,7.4168655762456951e-84,7.2039274302341961e-84,7.2039274302344055e-84,1.1657866995313291e-38,1.1697182270065303e-21,3.7990382140989677e-37,2.272884389961289e-39,5.1840487342329063e-37,6.20072471255736e-37,4.9269470369222571e-53,1.7795470486938819e-42,1.0194390066222409e-67,1.0814369816725317e-53,1.4414198075666054e-53,1.2129450361028381e-59,2.4410085839123832e-69,1.0971242610489218e-78,9.0039809142088071e-81,1.7276451402242725e-64,1.4362910403242143e-90,5.8277340764401289e-94,1.3537633884590688e-91,7.2450321274337007e-86,1.2485922027081383e-81,1.2384749961167917e-37,2.5767532024349711e-46,3.6997339444950186e-48,9.9046524207729008e-48,5.8239676487330152e-52,5.2808680975503002e-45,3.5355140714037864e-34,8.1088353526683249e-43,3.4781759441373482e-43,5.2219632924902152e-52,3.3887707714747089e-52,3.1698896713608737e-53,4.4828618767803388e-56,8.439267441621356e-62,1.7239605548314932e-45,9.3147662984868501e-55,1.2473425070463378e-53,2.9028185928330963e-98,2.1032242812114536e-56,2.580510139353972e-63,4.0343412735158519e-73,2.0013863773819341e-77,8.8784727594972448e-24,3.529928758343458e-22
3.570620039596946e-18,0.815985167528378,154.0,0.0,0.0,0.0,0.99999999999995859,1.0,19.0,7.9199335125419736e-15,1.6332932675821193e-14,1.6332931097685843e-14,7.9286072386855069e-23,7.8838445877632821e-23,7.7441249784019137e-16,1.1115385229274853e-21,6.0476183038141014e-20,9.292897427208887e-22,6.1088352808170736e-23,1.3841127989083903e-32,2.3201295195642807e-26,2.1115932986639976e-32,2.5671850716877943e-27,5.691634945389157e-36,5.6916349644825969e-36,1.7119203270543529e-44,1.9742365036816344e-45,1.5950051300377257e-27,1.0141936234669617e-81,9.8507613338406357e-82,9.8507613338412127e-82,9.5578236967740206e-38,2.3728585807931431e-21,1.5520319799640437e-36,1.8632363442370629e-38,4.2501917337644106e-36,5.0837232186007982e-36,8.0925252934028285e-52,1.4589801794924e-41,3.3516924094784974e-66,1.7762614933223653e-52,2.0714003181511826e-52,3.9878934901828053e-58,1.6057752155743183e-67,1.4437522623659614e-76,1.1848719675610097e-78,4.9535622799294535e-63,3.7805500601275024e-88,1.5339537651734512e-91,3.5630548524218009e-89,9.5340450739452589e-84,1.6430753400990187e-79,5.059574434593678e-37,2.1125779406535663e-45,3.0332631516459388e-47,8.1201758852960231e-47,9.4354625206675612e-51,4.3295664276038418e-44,1.4443728490239025e-33,6.6481128566524211e-42,2.851618755547459e-42,8.5770802638163025e-51,5.566061146966773e-51,5.2065530773697664e-52,7.3404693971525378e-55,2.7716590655332638e-60,1.4134069992740082e-44,8.3218179163666506e-54,2.0486648092733462e-52,7.940649291694746e-96,3.4456393907075584e-55,8.3650383916700813e-62,2.6160687955884453e-71,1.2978288907835547e-75,1.8010616170070699e-23,7.1607126240646854e-22
7.191530502286806e-18,0.8159851675283779,154.0,0.0,0.0,0.0,0.99999999999991662,1.0,19.0,1.5951415384402571e-14,3.2895906374945212e-14,3.289590331762928e-14,3.2048697872601189e-22,3.1688102771926285e-22,1.5597279705829238e-15,4.4930059519742106e-21,1.2180394605579077e-19,3.7563289611924181e-21,2.4692872729392182e-22,1.115909972383744e-31,9.378334399748945e-26,1.6857134966334367e-31,1.0376972450452845e-26,4.6092335011586912e-35,4.6092335321098159e-35,2.7750805004197243e-43,3.200319485604577e-44,6.4472657122521717e-27,1.3413681353456585e-79,1.3028574678861047e-79,1.3028574678862569e-79,7.7401734231485417e-37,4.7791441745584661e-21,6.2735687681066608e-36,1.5085544844891446e-37,3.4419079676594718e-35,4.1169219055138381e-35,1.3118332200594171e-50,1.181519965095405e-40,1.0871133961799859e-64,2.8793899514144036e-51,3.1184109903347534e-51,1.2934608320859388e-56,1.0418794596325695e-65,1.8737078596610449e-74,1.5377319068556015e-76,1.4889958917909359e-61,9.8133530797307911e-86,3.9817565601343655e-89,9.247393763506607e-87,1.2373325959460463e-81,2.1323902044392709e-77,2.0451608587327505e-36,1.710820363456705e-44,2.4564114750530117e-46,6.575513414644338e-46,1.518945200844985e-49,3.5061817088919094e-43,5.8383859094147159e-33,5.3838137008570715e-41,2.3093147594148806e-41,1.3903783894134535e-49,9.0228086985866047e-50,8.4400461703407604e-51,1.1826462866959875e-53,8.9704923033395057e-59,1.1446135993497648e-43,7.050539125133505e-53,3.3206530008721389e-51,2.100715875265012e-93,5.5568524846912236e-54,2.6938180444490961e-60,1.6850208799612918e-69,8.3597539694688252e-74,3.6274902993666385e-23,1.4422280355496578e-21
1.4433351427666527e-17,0.8159851675283777,154.0,0.0,0.0,0.0,0.99999999999983269,1.0,19.0,3.2014379128084626e-14,6.6021852931922825e-14,6.6021847271709843e-14,1.2886640249122728e-21,1.2599425130558495e-21,3.1303460968376751e-15,1.8066095064614641e-20,2.444588762080391e-19,1.5103963100037648e-20,9.9288824993591882e-22,8.9026654937182833e-31,3.7709869547970216e-25,1.319249272213808e-30,4.1725349289529488e-26,3.7099120464124769e-34,3.7099120962577815e-34,4.4691296696926059e-42,5.1540063292149725e-43,2.5924171526966392e-26,1.7451566661640164e-77,1.6950532335226869e-77,1.6950532335230834e-77,6.2299649341377014e-36,9.5917349068571589e-21,2.5225803256058531e-35,1.2136647177138939e-36,2.7703349111736818e-34,3.313642487958284e-34,2.1126669494846071e-49,9.5099004041079775e-40,3.5022805976270389e-63,4.6371478985214627e-50,4.8295645052373264e-50,4.1670379230906997e-55,6.7138012307658194e-64,2.4149396981253938e-72,1.9819150629872957e-74,4.6075589790877457e-60,2.5296680699829617e-83,1.0264098802264009e-86,2.3830563733045295e-84,1.5947439789540264e-79,2.7483440070828436e-75,8.2235016766792467e-36,1.3770170261897231e-43,1.9771277539732261e-45,5.2918764357066815e-45,2.4375751089688916e-48,2.8220584421260052e-42,2.3475892306295716e-32,4.3333609166348193e-40,1.8587373567678899e-40,2.239150960736039e-48,1.4530902821056852e-48,1.3592431804536124e-49,1.8815996705595136e-52,2.8775961028133894e-57,9.212845497699774e-43,5.8077045210940368e-52,5.346775859223389e-50,5.4665228802034077e-91,8.8581574510884235e-53,8.6468791782341014e-59,1.0817058657575081e-67,5.3670698981853865e-72,7.2803476650652905e-23,2.8945415818318127e-21
2.891699327842597e-17,0.815985167528378,154.0,0.0,0.0,0.0,0.99999999999966493,1.0,19.0,6.414030661529217e-14,1.322737427524177e-13,1.3227373323664591e-13,5.1681189404981464e-21,4.9423562457943087e-21,6.2715310732613468e-15,7.2452445644865021e-20,4.8976635300349018e-19,6.0573082429470049e-20,3.9819155200182007e-21,7.020001700009051e-30,1.5123343830717824e-24,1.0029429388706196e-29,1.6733730845505701e-25,2.9769706634932317e-33,2.9769707435042878e-33,7.1737761852633868e-41,8.2732909647179643e-42,1.0396752000024476e-25,2.2520320930430595e-75,2.1873762713601346e-75,2.1873762713611571e-75,4.9991544831052053e-35,1.9216994550524025e-20,1.0116722809888369e-34,9.7300610032485437e-36,2.2229999413757652e-33,2.6589662594863609e-33,3.3912983074326646e-48,7.631095885087678e-39,1.1245088390449087e-61,7.4435824080271e-49,7.5980856474728599e-49,1.3379366427299282e-53,4.3115168439207788e-62,3.1017704223546058e-70,2.5455896638807605e-72,1.4489878350144111e-58,6.4983451380795195e-81,2.6366960552872029e-84,6.1180267514100337e-82,2.0483046010127509e-77,3.5299979511303601e-73,3.2979918292277686e-35,1.1049693778640328e-42,1.5865110328247811e-44,4.2453245959083439e-44,3.9055086374951071e-47,2.2644894641332752e-41,9.4148822799557505e-32,3.477248058429037e-39,1.4915195620350914e-39,3.5942992488998243e-47,2.3325148824449437e-47,2.1818855752322816e-48,2.9490696110684626e-51,9.1609418947258611e-56,7.3927274423487429e-42,4.7151851496623292e-51,8.5794435160169908e-49,1.4108963497704772e-88,1.3935809863861995e-51,2.7709717793579886e-57,6.9317636288084662e-66,3.4399451115134926e-70,1.4586062400380695e-22,5.7991686743792275e-21
