Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359)
0.0,0.40232008578751116,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.050362497922631e-22,0.40232008578751116,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,1.8734978191527788e-17,1.2711388563990387e-16,1.2711388563994455e-16,6.9208499385216357e-29,6.9208400067478461e-29,1.9958173823176546e-16,1.6426432933648888e-26,5.0049371388953685e-19,2.6847622031789231e-26,4.0834755741442505e-29,3.9793572278151645e-42,2.1353398363454961e-31,4.6957944644557007e-42,1.4602605356528628e-31,1.4406274493226679e-43,1.4406274493231948e-43,4.6279499417023631e-56,6.3809821903269628e-57,3.4439775494541812e-47,1.3545993774772175e-100,1.2655585028674824e-100,1.2655585028674834e-100
2.941014994183367e-22,0.40232008578751116,154.0,0.0,0.0,0.0,0.99999999999999867,1.0,19.0,5.245793893627777e-17,3.5591887979137388e-16,3.5591887979161961e-16,4.1801933628507589e-28,4.1801815718638757e-28,5.5882886690618915e-16,9.9215654898090607e-26,1.4013823986557881e-18,1.6215963703744126e-25,2.4664192464678557e-28,4.724270476795293e-41,1.289745261090375e-30,5.5747710902833152e-41,8.8199736353301036e-31,1.710312907832977e-42,1.7103129078341549e-42,1.0352538893907827e-54,1.427400191804392e-55,5.2045388727254145e-46,1.4434307536108841e-98,1.3485507921425619e-98,1.3485507921425643e-98
6.722319986704839e-22,0.40232008578751116,154.0,0.0,0.0,0.0,0.999999999999997,1.0,19.0,1.1990386042577752e-16,8.135288680928863e-16,8.1352886809406959e-16,2.012583162097628e-27,2.0125715856684787e-27,1.2773231236840203e-15,4.7768066939327933e-25,3.2031597672486317e-18,7.8072884816594481e-25,1.1874746964882409e-27,4.6382692708273954e-40,6.2095682431581371e-30,5.4731821309885705e-40,4.2464376376587417e-30,1.6791953549215281e-41,1.6791953549238553e-41,2.0454872269131863e-53,2.8203022404501475e-54,5.598805422564511e-45,3.2849106738513081e-96,3.06898608073734e-96,3.0689860807373512e-96
1.4284929971747783e-21,0.40232008578751116,154.0,0.0,0.0,0.0,0.99999999999999356,1.0,19.0,2.5479570340477633e-16,1.7287488446902005e-15,1.7287488446953677e-15,8.7894794216696802e-27,8.7893770300286178e-27,2.7143116349556161e-15,2.0861569792953605e-24,6.8067145006756809e-18,3.4096479926795399e-24,5.1860139742764937e-27,4.102412151280929e-39,2.7118815911930636e-29,4.8406809062513411e-39,1.8545308802586916e-29,1.4852292751348511e-40,1.485229275138993e-40,3.639835218451753e-52,5.0185771449540087e-53,5.1462667725288987e-44,5.5513538179211447e-94,5.1864508012559072e-94,5.1864508012559444e-94
2.941014994183367e-21,0.40232008578751116,154.0,0.0,0.0,0.0,0.99999999999998679,1.0,19.0,5.2457938936277103e-16,3.5591887978619854e-15,3.5591887978835583e-15,3.6694346371766528e-26,3.6693485717811801e-26,5.5882886483625442e-15,8.7092947119181971e-24,1.401382395249523e-17,1.4234609153035412e-23,2.165058745013247e-26,3.4481824717453575e-38,1.1321571803612372e-28,4.0684017380980308e-38,7.7423013598474798e-29,1.2484246975096417e-39,1.2484246975166273e-39,6.1391140653363936e-51,8.464563872943962e-52,4.4027395713638159e-43,8.1284048259715272e-92,7.5941064297699381e-92,7.5941064297700471e-92
5.966058988200545e-21,0.40232008578751116,154.0,0.0,0.0,0.0,0.99999999999997313,1.0,19.0,1.0641467612787484e-15,7.2200687041141858e-15,7.2200687042023141e-15,1.4990837798909073e-25,1.49901321983509e-25,1.1336242638631342e-14,3.558031054181347e-23,2.8428042795996132e-17,5.8153022817480505e-23,8.8449713953827255e-26,2.8267952673954258e-37,4.6252314917590399e-28,3.3347309937010563e-37,3.1629827304897396e-28,1.0235339936315449e-38,1.023533993643019e-38,1.0083513155240981e-49,1.3903071537156668e-50,3.6402702181259265e-42,1.1114906048606168e-89,1.038429818607886e-89,1.0384298186079155e-89
1.2016146976234899e-20,0.4023200857875112,154.0,0.0,0.0,0.0,0.99999999999994593,1.0,19.0,2.1432815051106564e-15,1.4541828516253125e-14,1.4541828516609321e-14,6.0595363203881793e-25,6.0589649319507574e-25,2.2832150472988708e-14,1.4382130296720158e-22,5.7256480242445131e-17,2.350638143886529e-22,3.5752788413606887e-25,2.2888347131132169e-36,1.8695925169794559e-27,2.6992720456169279e-36,1.2785281913416438e-27,8.2888436490489505e-38,8.2888436492349477e-38,1.6345808925803633e-48,2.2537477950727491e-49,2.9602072851182947e-41,1.4700527276492711e-87,1.3734228437403737e-87,1.3734228437404523e-87
2.411632295230361e-20,0.40232008578751116,154.0,0.0,0.0,0.0,0.99999999999989142,1.0,19.0,4.3015509927742839e-15,2.9185348139069328e-14,2.9185348140501332e-14,2.4365129029710448e-24,2.4360530403897878e-24,4.5823965556982544e-14,5.7829912533636147e-22,1.1491335417313199e-16,9.4518124543891847e-22,1.4376038849353463e-24,1.8416460855749844e-35,7.5175492583498708e-27,2.1705519720004112e-35,5.1409056251478976e-27,6.671582481069833e-37,6.6715824813693714e-37,2.6324419986700868e-47,3.6295913012995803e-48,2.3875144160248235e-40,1.9125789012843829e-85,1.7868607731407547e-85,1.7868607731409599e-85
4.831667490444103e-20,0.40232008578751116,154.0,0.0,0.0,0.0,0.9999999999997824,1.0,19.0,8.618089968100783e-15,5.8472387378856213e-14,5.8472387384597354e-14,9.7715064927463148e-24,9.7678170356390583e-24,9.180759338608674e-14,2.3192380757961652e-21,2.3022709818566126e-16,3.7905994266814688e-21,5.7654344621564526e-24,1.4768314268907889e-34,3.0148734633482999e-26,1.7384390862735917e-34,2.0617330878877884e-26,5.3535247782105658e-36,5.3535247786913935e-36,4.2256519643600559e-46,5.8262977321773907e-47,1.9177814170785655e-39,2.4680817539538668e-83,2.3058491694645998e-83,2.3058491694651283e-83
