Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507)
0.0,0.46976212935230116,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.708255366777709e-23,0.46976212935230116,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,1.0048116606510695e-17,6.5717699278987708e-17,6.5717163446010013e-17,5.3165356125342308e-30,5.3165770996287587e-30,3.7915072733800739e-16,5.4602032411382784e-27,2.489925502718598e-18,1.0774073663534179e-26,2.9132916527435677e-30,8.2863004617799893e-44,1.4738565782895825e-31,9.0812242639334055e-44,4.9746512075514593e-32,1.4579131354332383e-44,1.4579131354333122e-44,6.462986704999917e-58,9.4183986330394768e-59,1.3366562675658692e-33,1.9323157676141013e-103,1.7863303280294217e-103,1.7863303280294232e-103,1.30338351408893e-48,5.3583298055788705e-22,7.8258008833146412e-41,1.8048533731101495e-48,1.0825914849832062e-43,5.486475886220159e-44,1.14131946314402e-63,2.6861756078645819e-50,1.1468111050950562e-80,8.6246210126628497e-65,1.4174416409650928e-58,2.4669184716535884e-74,3.2861901444760202e-88,5.5167478105155309e-102,2.3308424253414049e-102,8.3057479554820043e-74,1.2142626946169072e-116,1.3524701418036082e-120,3.2248379315244315e-117,1.0513175930371594e-107,5.4691750462220999e-105,1.0018662959503971e-39,8.1051243873276667e-53,1.4270933320456718e-52,3.9958171367357418e-53,2.1502566079397036e-56,1.3904464428114272e-49,1.9522779587758809e-36,4.0951514257461808e-49,3.5857207727773075e-49,1.5895642285183726e-62,1.450428714575524e-62
4.7831150269775854e-23,0.46976212935230116,154.0,0.0,0.0,0.0,0.99999999999999856,1.0,19.0,2.8134726498229918e-17,1.840095579811387e-16,1.8400805764881041e-16,3.2111875099666544e-29,3.2112114824652106e-29,1.0616220364929669e-15,3.2979627575089565e-26,6.9717914073795288e-18,6.5075404925012295e-26,1.7596281582049409e-29,9.8374788866653722e-43,8.9020937326532397e-31,1.0781177673105995e-42,3.0046893293599752e-31,1.7308344743856787e-43,1.7308344743858444e-43,1.4457442737368772e-56,2.1068581005328236e-57,8.0734038560981859e-33,2.0590323980954705e-101,1.9034735837479854e-101,1.9034735837479879e-101,1.5473879321392287e-47,1.5003323455707447e-21,4.7267837335672046e-40,2.1427219140793426e-47,1.2852526109225401e-42,6.5135441718695894e-43,2.5530859862770215e-62,3.189027681656469e-49,4.7323481358897335e-79,1.9293063522828645e-63,1.682787621559827e-57,1.017987574902843e-72,2.4737781269753879e-86,7.5303825564326131e-100,3.1816091190779514e-100,1.857963549618928e-72,2.9955947025834757e-114,3.336605100886043e-118,7.9556980986351203e-115,1.4350526679856378e-105,7.4654455452288536e-103,6.0512724275383161e-39,9.6224036726221764e-52,1.6942452036291543e-51,4.7438341008995687e-52,2.553340172641534e-55,1.6507380154168008e-48,1.1791758870999592e-35,4.8617637726033196e-48,4.2569677014386744e-48,3.5557915962563462e-61,3.2445510168474696e-61
1.0932834347377339e-22,0.46976212935230116,154.0,0.0,0.0,0.0,0.99999999999999667,1.0,19.0,6.4307946281668295e-17,4.2059327538533306e-16,4.2058984605434073e-16,1.5460485561189239e-28,1.5460589920072973e-28,2.4265646545890694e-15,1.5878271023151654e-25,1.5935523215771219e-17,3.1331006209456169e-25,8.4718521253956838e-29,9.6584590516071442e-42,4.285974929342349e-30,1.05849145072495e-41,1.4466285711543058e-30,1.699343550658933e-42,1.6993435506592602e-42,2.856547055185275e-55,4.1627965703366147e-56,3.8869964260820522e-32,4.685875983603578e-99,4.3318605184449814e-99,4.3318605184449928e-99,1.5192394784088426e-46,3.4293310756311016e-21,2.275742896934999e-39,2.1037370592184068e-46,1.2618686347429065e-41,6.3950362922001707e-42,5.0444676771078166e-61,3.1310062885258317e-48,1.8720698611031873e-77,3.8119968943876058e-62,1.6521727834652078e-56,4.0270712929253794e-71,1.9559487120530457e-84,1.1896200085682475e-97,5.0261800634123762e-98,3.6710270098545594e-71,9.4562347773166014e-112,1.0532774279288937e-115,2.5113860942765544e-112,2.2670393628491778e-103,1.1793615167535736e-100,2.9134271886206326e-38,9.4473329858281275e-51,1.6634199872884867e-50,4.6575244426965593e-51,2.5080612380673617e-54,1.6207043691253306e-47,5.6772243041101679e-35,4.7733085017178563e-47,4.1795161327413414e-47,7.0256449904705922e-60,6.4106860534797329e-60
2.3232272988176843e-22,0.46976212935230116,154.0,0.0,0.0,0.0,0.99999999999999289,1.0,19.0,1.3665438584854473e-16,8.9376071019329145e-16,8.9375342286511949e-16,6.752000227856163e-28,6.7520360880487826e-28,5.1564498899260132e-15,6.9344581140978745e-25,3.3862986828833895e-17,1.3683073548450491e-24,3.6998803981756327e-28,8.5427335149308963e-41,1.8717978540932217e-29,9.3620419348849192e-41,6.3178070335732207e-30,1.503050126101949e-41,1.5030501261025315e-41,5.0830728565036057e-54,7.4074740782546269e-55,1.6975534598091758e-31,7.9189232569372962e-97,7.3206527712977398e-97,7.3206527712977762e-97,1.3437520323232837e-45,7.2873285358903836e-21,9.93876712249999e-39,1.8607315653361958e-45,1.1161085170358983e-40,5.6563371780236429e-41,8.9763607065722429e-60,2.7693396046817075e-47,6.6812843599923899e-76,6.7832550660068727e-61,1.461331528355075e-55,1.4372353773363995e-69,1.3980325604412571e-82,1.7017153413934628e-95,7.1897981379960832e-96,6.532411185128657e-70,2.7062574288126829e-109,3.0143591403848129e-113,7.1872763224620358e-110,3.2429310501853959e-101,1.6870408799930181e-98,1.2723701958537786e-37,8.3560590382732361e-50,1.4712761404635157e-49,4.1195276103355791e-50,2.2204450377987839e-53,1.4334946549879643e-46,2.4793930076349388e-34,4.2219373136103135e-46,3.6967346878859299e-46,1.2501759876049111e-58,1.1407473302650587e-58
4.783115026977586e-22,0.46976212935230116,154.0,0.0,0.0,0.0,0.99999999999998535,1.0,19.0,2.8134726498229626e-16,1.8400955798074872e-15,1.8400805764855497e-15,2.8188271817095705e-27,2.8188340326321318e-27,1.0616220357178854e-14,2.89499975651855e-24,6.9717914040076464e-17,5.7124138525917013e-24,1.5446272335568119e-27,7.1805743628446567e-40,7.8143875750804363e-29,7.8690321994015576e-40,2.6375600702283648e-29,1.2634041965484724e-40,1.2634041965494547e-40,8.5733453183135803e-53,1.249378772778872e-53,7.0869515306389354e-31,1.1595048006412528e-94,1.0719048230089363e-94,1.0719048230089474e-94,1.1295053109764361e-44,1.5003323456963226e-20,4.1492396289535024e-38,1.5640569317391294e-44,9.3815645883778349e-40,4.7544922164198652e-40,1.5139944344207349e-58,2.3277968029614359e-46,2.2574549806859788e-74,1.1440959324707867e-59,1.2283429407287833e-54,4.8560970952690967e-68,9.4549080646442612e-81,2.3026698740985709e-93,9.7288489858142152e-94,1.1017916083730598e-68,7.3253958676427364e-107,8.1593894790120603e-111,1.9454780261728567e-107,4.3881602598068823e-99,2.2828131804734241e-96,5.3118951010999761e-37,7.0237711119117626e-49,1.2366962459850264e-48,3.4627111523482285e-49,1.8699393098595621e-52,1.2049386226115997e-45,1.0350977737335855e-33,3.5487927026263293e-45,3.1073282501264001e-45,2.1086045307285437e-57,1.9240371049694158e-57
9.702890483297387e-22,0.46976212935230116,154.0,0.0,0.0,0.0,0.99999999999997025,1.0,19.0,5.707330232497943e-16,3.7327653190289944e-15,3.7327348837219019e-15,1.1515828797698852e-26,1.1515790428898789e-26,2.1535761278000347e-14,1.1827018612069394e-23,1.414277684030305e-16,2.3337074485868705e-23,6.3103062453464055e-27,5.8868917644257601e-39,3.1924323002891162e-28,6.4509699481635914e-39,1.0775293501474223e-28,1.0358150919900176e-39,1.035815091991631e-39,1.4081745390946964e-51,2.0521083845064255e-52,2.8952509418023529e-30,1.5855247368257826e-92,1.4657391771592007e-92,1.4657391771592305e-92,9.2603699849958491e-44,3.0435313301326019e-20,1.6950997750539576e-37,1.282308260067235e-43,7.6915734546624444e-39,3.8980199707324727e-39,2.4867404048129523e-57,1.9084684586230807e-45,7.4220180746672344e-73,1.8791816534099047e-58,1.0070791681413652e-53,1.5965790491585236e-66,6.2197565822058467e-79,3.0301851939539508e-91,1.2802622939050314e-91,1.8097123931175728e-67,1.9281653508195198e-104,2.1476879345800651e-108,5.120819808453368e-105,5.7745742900924391e-97,3.0040548920595412e-94,2.1700824716558211e-36,5.7585119157843057e-48,1.0139182986745302e-47,2.8389397710446471e-48,1.5388641158982379e-51,9.8788146666437621e-45,4.2287121497474387e-33,2.9095146661949344e-44,2.5475754362925307e-44,3.4633892671209882e-56,3.1602367137030851e-56
1.954244139593699e-21,0.46976212935230105,154.0,0.0,0.0,0.0,0.99999999999994016,1.0,19.0,1.1495045397847706e-15,7.5181047974444752e-15,7.5180434981765697e-15,4.6548821220925663e-26,4.6548129664146546e-26,4.3374843064906593e-14,4.7806700139099823e-23,2.8484747689081394e-16,9.4332186213965438e-23,2.5507266749073622e-26,4.7670710314893241e-38,1.2904321773113228e-27,5.223291411274233e-38,4.3555459153618857e-28,8.3882991680218392e-39,8.3882991680479913e-39,2.2827115977417561e-50,3.3265561179941855e-51,1.1703067217580341e-29,2.0970082464986895e-90,1.9385803767870637e-90,1.9385803767871433e-90,7.4992889131142574e-43,6.1299292998920057e-20,6.8518643160964392e-37,1.0384462986852869e-42,6.2288355927559749e-38,3.1567176310658291e-38,4.0311133572379268e-56,1.5455272381730522e-44,2.4073137718308593e-71,3.0462349388838204e-57,8.1557406514457468e-53,5.1784667542844414e-65,4.0355909817777867e-77,3.9325965940281622e-89,1.661533805450613e-89,2.9336748418642212e-66,5.0050420483885174e-102,5.5748707425850959e-106,1.3292385511300749e-102,7.4942849201220333e-95,3.8986844964231604e-92,8.7718203166656242e-36,4.6633922486830499e-47,8.2109732291934937e-47,2.2990469665372335e-47,1.2555655989835165e-50,8.0001199919208576e-44,1.7093130621849353e-32,2.3562004102301e-43,2.0630926386204061e-43,5.6143032290114093e-55,5.1228798684508445e-55
3.92215432212162e-21,0.4697621293523012,154.0,0.0,0.0,0.0,0.99999999999987987,1.0,19.0,2.3070475728546414e-15,1.5088783754165285e-14,1.5088660727013756e-14,1.8717076282183432e-25,1.8716366800642489e-25,8.7053006419772042e-14,1.9222863809363937e-22,5.7168689291388257e-16,3.7930557079959308e-22,1.0256359754034932e-25,3.8364922934976785e-37,5.1887710211228968e-27,4.2027574103394228e-37,1.7513458561362261e-27,6.7516329357794194e-38,6.7516329358215395e-38,3.6762366158523418e-49,5.3573160610596312e-50,4.7057518562428857e-29,2.7282652201730559e-88,2.5221462182303939e-88,2.5221462182306004e-88,6.0360806237345248e-42,1.2302725242958183e-19,2.7551045076711532e-36,8.358316399962864e-42,5.0135087680769045e-37,2.5408009709062765e-37,6.4919837899091768e-55,1.2439747791027452e-43,7.7554819839382527e-70,4.9058677958395506e-56,6.564695012906793e-52,1.6683121647024932e-63,2.600519327104932e-75,5.0685734503509607e-87,2.1414874198249157e-87,4.7247638181254931e-65,1.2901962465633013e-99,1.4370865694013371e-103,3.4265015161070606e-100,9.6590974260861281e-93,5.0248654439790241e-90,3.5271103693812386e-35,3.7535037873381564e-46,6.6089055458224337e-46,1.8504729073414586e-46,1.0256455922738444e-49,6.4391921606451705e-43,6.8730726444586212e-32,1.8964750738029658e-42,1.6605564404958523e-42,9.0416622047526737e-54,8.2502400073785689e-54
7.857974687177461e-21,0.46976212935230116,154.0,0.0,0.0,0.0,0.9999999999997593,1.0,19.0,4.6221336389940597e-15,3.0230141667166357e-14,3.0229895184399551e-14,7.5063847295716914e-25,7.5057541882214357e-25,1.7440933225371491e-13,7.7092281069874234e-22,1.1453657211500266e-15,1.5211849787546912e-21,4.1132589716402099e-25,3.0778035435362471e-36,2.0809292460468762e-26,3.3702003885557585e-36,7.0236801913330983e-27,5.4177602276853897e-37,5.4177602277530023e-37,5.9011738028750675e-48,8.5996786965119105e-49,1.8872169642600225e-28,3.5206817388429353e-86,3.2546960858424488e-86,3.2546960858429831e-86,4.8435747554503565e-41,2.4648317143280042e-19,1.10492013405095e-35,6.7070179651982946e-41,4.0230250250866281e-36,2.0388327541789142e-36,1.0421071741550084e-53,9.9821141741906097e-43,2.490122618113132e-68,7.8750043679248172e-55,5.2681481595799493e-51,5.3566005420019129e-62,1.6700347746366818e-73,6.5101787298130584e-85,2.7505699558068513e-85,7.5848410522543476e-64,3.3143533572734915e-97,3.6916966496736818e-101,8.8022535686799294e-98,1.2406341042389581e-90,6.4540392786866155e-88,1.4145290119225116e-34,3.0119504013520021e-45,5.3032304098630761e-45,1.4848878026924375e-45,8.471808775210623e-49,5.1670455350930926e-42,2.7564095359008184e-31,1.5218018090479094e-41,1.3324919651954969e-41,1.4513870052075056e-52,1.3243462071677406e-52
