Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815)
0.0,0.36302899346310213,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.347773414112199e-20,0.36302899346310213,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,6.232523611742935e-17,2.9458524752671353e-16,2.9458519912831994e-16,3.1777120074116134e-26,3.1774928337304026e-26,7.3930563329194991e-18,1.0507651596186817e-25,6.6387376003391546e-22,9.0243227501252666e-26,2.4220610744239487e-26,6.844162381969227e-38,1.0017482434673688e-29,1.0431829197395911e-37,5.5921793160896653e-31,1.5407798666687053e-41,1.5407798668100947e-41,1.2668192708939318e-51,1.4707394334842963e-52,6.9356085925053775e-31,3.8382748236912835e-94,3.7221472213403703e-94,3.722147221340374e-94,7.821792574250816e-43,4.8422612886570929e-23,7.3449014940687758e-40,2.2137181739664198e-43,5.6244304619981529e-42,6.5489186677007234e-42,6.6830017701514083e-59,8.6452688625838249e-47,4.1651966329650703e-75,2.3201995623171712e-59,2.3851955338445626e-58,7.1465755953902659e-67,3.8228229853236421e-78,9.9864404466359512e-89,4.2019937834924148e-91,1.3472317593218384e-70,3.8930969693815168e-102,2.4581165857950179e-105,1.7151644720822921e-103,6.86709757133076e-96,1.1314969846976775e-91,1.2763746185272178e-40,1.3768346010703868e-50,1.0468879374641158e-52,2.6020575556044095e-52,9.0200147731633293e-58,1.4811979950348416e-49,3.6117783378563377e-37,1.9990563976873733e-47,8.7633360866836976e-48,7.2051587440251067e-58,4.7265371297561681e-58,4.4041145358804675e-59,6.2562738144149546e-62,3.2283443197650044e-69,9.134293778631433e-50,7.1067651049934973e-60,1.6866571434332824e-59,4.6396740886611599e-110,2.9653927788843715e-62,2.2811882995521404e-70,9.827058651805678e-82
6.573765559514157e-20,0.36302899346310213,154.0,0.0,0.0,0.0,0.99999999999999811,1.0,19.0,1.7451066112880035e-16,8.2483869289338181e-16,8.2483855745633268e-16,1.9193380521827811e-25,1.9190775605048431e-25,2.0700557083545593e-17,6.3466213981570521e-25,1.8588464932196266e-21,5.4506907985610218e-25,1.4629248776640869e-25,8.1249444110354935e-37,6.0505593894199319e-29,1.2382466826601573e-36,3.3776763064752289e-30,1.8292138573409941e-40,1.8292138576572764e-40,2.8338238537968555e-50,3.2899852486455068e-51,4.1891075891421691e-30,4.0899796738448922e-92,3.9662367020662345e-92,3.9662367020662413e-92,9.2860322139022802e-42,1.3558332057667247e-22,4.4363206267382216e-39,2.62811958425798e-42,6.6773236845863748e-41,7.7748760561134648e-41,1.4949607639739706e-57,1.0263663191666849e-45,1.7187800531368694e-73,5.190193515124773e-58,3.0752694838597476e-57,2.9490543756153035e-65,2.877725673409092e-76,1.3631441750484511e-86,5.7357007035479087e-89,3.2613353068932273e-69,9.6042355175365023e-100,6.0641518018251476e-103,4.2312887615654619e-101,9.3735542090113569e-94,1.5444877802418169e-89,7.7093026938071876e-40,1.6345780379037463e-49,1.2428653378158764e-51,3.0891605996985086e-51,1.4906390554631888e-56,1.7584781786868611e-48,2.1815141154957711e-36,2.3732797527824421e-46,1.0403832598327403e-46,1.6117651473514688e-56,1.0573074276687162e-56,9.8518280410890399e-58,1.3993997671892434e-60,1.332147869614579e-67,1.084423356879884e-48,1.4405505900369008e-58,3.7729806179034221e-58,8.9454757431701643e-108,6.6330492722215818e-61,7.013884955426079e-69,5.5369484519480554e-80
1.5025749850318073e-19,0.36302899346310213,154.0,0.0,0.0,0.0,0.99999999999999578,1.0,19.0,3.9888151115153513e-16,1.8853455829011557e-15,1.8853452737005053e-15,9.2407865131454715e-25,9.238227749503704e-25,4.7315555990282002e-17,3.0556248352614625e-24,4.2487918200897122e-21,2.6242728419644803e-24,7.0433534351055095e-25,7.9761758078834816e-36,2.9130838903187701e-28,1.2152520189770706e-35,1.6262057444544811e-29,1.7959330114479557e-39,1.795933012072876e-39,5.5991576061175179e-49,6.5004562922885689e-50,2.0168749776040099e-29,9.3078367934425947e-90,9.0262267421720514e-90,9.0262267421720811e-90,9.1170815249903346e-41,3.0990475393397106e-22,2.1358975409101203e-38,2.5802893448717083e-41,6.5558356508217978e-40,7.6334190219114145e-40,2.9537905470816916e-56,1.0076925380050721e-44,6.7993229636112634e-72,1.025494721694254e-56,3.5352364865993758e-56,1.1666165226011644e-63,2.2753310407323032e-74,2.1534335951763685e-84,9.0610008926770084e-87,7.5146504023522313e-68,3.0317714484266721e-97,1.9142723425294009e-100,1.3356872510103588e-98,1.4807917649573473e-91,2.439912031523592e-87,3.7116973875314949e-39,1.6048384094979569e-48,1.2202525131295044e-50,3.0329516828455418e-50,2.3526989063656856e-55,1.7264841318553449e-47,1.0503051397944831e-35,2.3301001292332679e-45,1.0214544530910112e-45,3.1845761393458938e-55,2.0890612099295545e-55,1.9465551986234231e-56,2.7645299823229213e-59,5.2695170381134915e-66,1.0646932812595099e-47,2.3602485929504516e-57,7.4547568378866899e-57,4.0593898089701504e-105,1.3103990143318547e-59,2.2121549846621723e-67,3.4860459428666575e-78
3.1929718431925903e-19,0.36302899346310213,154.0,0.0,0.0,0.0,0.99999999999999101,1.0,19.0,8.476232111969757e-16,4.0063593600152731e-15,4.0063587045414392e-15,4.0356942448583457e-24,4.0334309677011394e-24,1.0054554342569373e-16,1.3344714955090993e-23,9.0286819158246033e-21,1.1460887683682528e-23,3.0760173895558072e-24,7.0531606007628897e-35,1.2722202674633346e-27,1.0740487475511061e-34,7.1020677245684693e-29,1.5884824089444854e-38,1.5884824100564972e-38,9.9633989780938285e-48,1.1567214121013808e-48,8.8082229011523525e-29,1.572983267368792e-87,1.5253924137259655e-87,1.525392413725976e-87,8.063955376345334e-40,6.5854769255695001e-22,9.328026823746378e-38,2.2822117158119924e-40,5.7985617881668954e-39,6.7516719776157042e-39,5.2561124577360653e-55,8.9129263735991895e-44,2.4266300694929542e-70,1.8248128600897185e-55,4.0446515894695161e-55,4.1635710430143726e-62,1.6263113090332282e-72,3.0804162117997271e-82,1.2961464940339077e-84,1.7200178613492657e-66,8.6765400993678252e-95,5.4784013553440508e-98,3.8225380318061667e-96,2.1182241404753812e-89,3.4902142302010043e-85,1.6209957622793861e-38,1.4194613971494656e-47,1.0792994477730076e-49,2.6826033892359902e-49,3.6627077660839395e-54,1.5270553575312424e-46,4.5869584802523714e-35,2.0609471671467707e-44,9.0346489472994329e-45,5.6667824231558033e-54,3.7173724631611705e-54,3.4637909547767177e-55,4.9177320077966689e-58,1.8804187299998657e-64,9.4170914817140788e-47,3.1220327614739985e-56,1.326528049109129e-55,1.3730737597179692e-102,2.3311426783796637e-58,6.8906444779104712e-66,2.172099429974156e-76
6.573765559514157e-19,0.3630289934631021,154.0,0.0,0.0,0.0,0.99999999999998157,1.0,19.0,1.7451066112877408e-15,8.248386902644334e-15,8.2483855596336671e-15,1.6848229022307015e-23,1.6829212100758989e-23,2.0700547678428909e-16,5.5711545614390934e-23,1.8588459875273776e-20,4.7846939340379264e-23,1.2841766241944969e-23,5.9257879583611087e-34,5.3112691712066397e-27,9.0141304331375976e-34,2.964973467211877e-28,1.3352151756296925e-37,1.3352151775052625e-37,1.6804719140229527e-46,1.9509795515674046e-47,3.6772596655527467e-28,2.3031939892914109e-85,2.2335104965756364e-85,2.233510496575667e-85,6.7782403936683686e-39,1.3558338574364347e-21,3.894268505714195e-37,1.9182944238955157e-39,4.8740395589275951e-38,5.6751859357497315e-38,8.8652019082510124e-54,7.4918516484870075e-43,8.1990345576679711e-69,3.0778129089139876e-54,4.9437225887011142e-54,1.4067762391914787e-60,1.0998748813986436e-70,4.1682498299501272e-80,1.7538741624477251e-82,4.1930095317172676e-65,2.3485950776014715e-92,1.4829121236054643e-95,1.0346827591936671e-93,2.8662645130244427e-87,4.7227659747319841e-83,6.7673381981856237e-38,1.1931428301836007e-46,9.0721608197380608e-49,2.2548762838732021e-48,5.7396889482365801e-53,1.2835815264221658e-45,1.9149648667904507e-34,1.7323502591941512e-43,7.5941667946665089e-44,9.5578545848814422e-53,6.2698908482247408e-53,5.8421896657926478e-54,8.2890747063960654e-57,6.3519256702910262e-63,7.9156327827397078e-46,3.470831647677109e-55,2.2373628601105593e-54,4.0228079266046011e-100,3.9296468248263894e-57,2.159187747459536e-64,1.3611253682528402e-74
1.333535299215729e-18,0.36302899346310213,154.0,0.0,0.0,0.0,0.99999999999996259,1.0,19.0,3.5400734114688083e-15,1.6732441941558042e-14,1.6732439243459544e-14,6.8830512818299721e-23,6.8674754480578806e-23,4.1992517745269683e-16,2.2759974064271784e-22,3.7708006866093869e-20,1.954702721729046e-22,5.2462798364623112e-23,4.8537032512460993e-33,2.1698267520313824e-26,7.3676413235090779e-33,1.211288403350848e-27,1.094690067457843e-36,1.0946900705384691e-36,2.7601770382688986e-45,3.2044891808704766e-46,1.5022805549454279e-27,3.1494229442840889e-83,3.0541366627938693e-83,3.0541366627939531e-83,5.5572110094117276e-38,2.7504073377295064e-21,1.5909365109297298e-36,1.5726647348498008e-38,3.9960304452869399e-37,4.6528583750109346e-37,1.4561120750663921e-52,6.1422725993529275e-42,2.6956631774074614e-67,5.0553146399960966e-53,6.5851042823606542e-53,4.6251704143390284e-59,7.2353411156139402e-69,5.4851799822405922e-78,2.307998762095803e-80,1.1131372615672094e-63,6.1818856849550969e-90,3.9032668350392169e-93,2.7233765597354197e-91,3.7718414916589013e-85,6.214891728629524e-81,2.7646784539633875e-37,9.7821057378032054e-46,7.4379033176164231e-48,1.8486616668104079e-47,9.0694489031918536e-52,1.0523568438831471e-44,7.8232562837251319e-34,1.4202853801593584e-42,6.2261567191988669e-43,1.5698797477196292e-51,1.0298310756102032e-51,9.5958138793756998e-53,1.3597126824065276e-55,2.0873332248944535e-61,6.4897139494024271e-45,3.3817613479437458e-54,3.6748075949101303e-53,1.1004375904018135e-97,6.44735237495013e-56,6.8217469433847492e-63,8.5994770147926761e-73
2.6858527857443554e-18,0.36302899346310213,154.0,0.0,0.0,0.0,0.99999999999992462,1.0,19.0,7.1300070118290898e-15,3.3700551834424425e-14,3.3700546505676987e-14,2.7822393641192175e-22,2.7696518769912517e-22,8.4576391459541607e-16,9.1999372178843579e-22,7.59470651354544e-20,7.901213889239253e-22,2.120629632974357e-22,3.9231992499917461e-32,8.770786601861865e-26,5.9300860008086461e-32,4.8962213728108771e-27,8.8650839218633181e-36,8.8650839718014891e-36,4.4743557861512245e-44,5.1946131368945178e-45,6.0724581610801308e-27,4.1654132906462749e-81,4.0393880630623817e-81,4.0393880630626051e-81,4.5003735707855702e-37,5.5395589004520231e-21,6.4308258862598226e-36,1.2734730414925413e-37,3.2360863664506531e-36,3.7680022108236206e-36,2.3604204204582454e-51,4.9741715666650559e-41,8.7433188944587393e-66,8.1948754021806806e-52,9.4337510768714809e-52,1.5001615899016907e-57,4.6945319951283336e-67,7.1186992907843588e-76,2.9953345570130487e-78,3.1805139467930066e-62,1.6046634656778826e-87,1.0131908064997066e-90,7.0688051291432063e-89,4.8951189568909633e-83,8.0657235502401937e-79,1.1175272241587907e-36,7.9218027628585226e-45,6.0234033204032682e-47,1.4970582814378313e-46,1.4412396217726039e-50,8.5222449226692097e-44,3.1622852449183391e-33,1.1501838812921306e-41,5.0421030716170522e-42,2.5448403294536044e-50,1.6693993234393912e-50,1.5555227195462364e-51,2.1984352019313398e-54,6.7634726089302945e-60,5.2555385358733292e-44,3.018052198427544e-53,5.9568022455234358e-52,2.9112313618133745e-95,1.0428477555084364e-54,2.1677014384528468e-61,5.4645939003141032e-71
5.3904877588016086e-18,0.3630289934631021,154.0,0.0,0.0,0.0,0.99999999999984868,1.0,19.0,1.4309874212542237e-14,6.7636770883619575e-14,6.763676060837471e-14,1.1187261999044899e-21,1.1086372065080822e-21,1.6974387321127579e-15,3.6992476984509454e-21,1.5242503882532353e-19,3.1770376908570419e-21,8.5269540007485574e-22,3.1457962154313614e-31,3.5266946729740654e-25,4.7154466131184389e-31,1.9687490620422511e-26,7.1353906854179534e-35,7.1353907658415055e-35,7.2057794064081572e-43,8.36575814428568e-44,2.441708690073771e-26,5.4193167677145613e-79,5.2553544952431756e-79,5.2553544952437556e-79,3.6222921965587617e-36,1.1117880434442253e-20,2.5858117430189958e-35,1.0248222311878273e-36,2.6046795069782e-35,3.0328109417841572e-35,3.801384315081543e-50,4.0036459662789141e-40,2.8167766439899303e-64,1.3197570112998858e-50,1.4194763067288277e-50,4.8329617090800769e-56,3.0251327665451704e-65,9.1750024559966003e-74,3.8605650834720345e-76,9.5543709844216033e-61,4.1364826370896585e-85,2.6117914073650134e-88,1.8219812049987361e-86,6.309121539393298e-81,1.039558357841689e-76,4.4935277347671318e-36,6.3761559133565804e-44,4.8481531782412136e-46,1.2049050134047236e-45,2.2977422365104768e-49,6.8594221735936519e-43,1.2715409662290075e-32,9.257679823035523e-41,4.0583231028657652e-41,4.0983791921991618e-49,2.6885121886744613e-49,2.5051211878835741e-50,3.522236204893955e-53,2.1746111675515984e-58,4.2301145108495085e-43,2.5578186306264918e-52,9.5925403470552498e-51,7.5756617842664507e-93,1.6721271103603985e-53,6.9111087068144228e-60,3.484155238827813e-69
1.0799757704916116e-17,0.36302899346310213,154.0,0.0,0.0,0.0,0.99999999999969691,1.0,19.0,2.866960861393887e-14,1.3550920606189698e-13,1.3550918712682136e-13,4.4865923305127639e-21,4.4063106669974302e-21,3.4007777401413568e-15,1.4835584909595912e-20,3.0538041481178889e-19,1.2741296681331598e-20,3.4196863351240822e-21,2.5053565262665338e-30,1.4143622638421997e-24,3.6945717903826805e-30,7.8955641421522074e-26,5.7257014937238682e-34,5.7257016228204179e-34,1.1566766965507628e-41,1.3428874743728165e-42,9.7923436982288758e-26,6.9933408891655617e-77,6.7817562719117448e-77,6.7817562719132452e-77,2.9066614005239922e-35,2.2274597136601159e-20,1.0370301228967542e-34,8.2206711022911014e-36,2.0900843120375744e-34,2.4336316824204401e-34,6.1020636913440209e-49,3.2126736613774378e-39,9.0440790483347437e-63,2.1184945515791322e-49,2.1985249304880696e-49,1.5517570725796591e-54,1.9427115115866821e-63,1.1784517538766399e-71,4.9585705474405245e-74,2.9566381554185565e-59,1.0626070516199309e-82,6.7093429494031559e-86,4.6793624128070118e-84,8.1035388064166683e-79,1.3352251163464091e-74,1.802105533371276e-35,5.116463354097841e-43,3.8903282304748588e-45,9.6676775032066784e-45,3.66953648552473e-48,5.5042190631611205e-42,5.0994478054665417e-32,7.4287039219428776e-40,3.2565485422475216e-40,6.5787815211497562e-48,4.3156447753983405e-48,4.02127367284112e-49,5.5961807143443387e-52,6.9545684608094133e-57,3.3944002928067481e-42,2.1077598932046757e-51,1.539588550459286e-49,1.9552600370004447e-90,2.6608491200589585e-52,2.2073073738710792e-58,2.2253562895307445e-67
