Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429)
0.0,0.9836421736813815,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444361367863626e-22,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,2.9559461475137899e-17,8.3208491108707999e-17,8.3208186985893364e-17,2.5669856649329204e-29,2.5669897342057464e-29,3.6438707602100519e-16,4.1589329272744846e-26,1.0205927753368942e-18,6.945471310296128e-26,1.5017946875091766e-29,2.1524078989047915e-42,2.792841814899338e-31,2.5184604067668165e-42,1.5438376394412914e-31,2.244197318494027e-43,2.2441973184944882e-43,4.0504563442739731e-56,5.6194851476309728e-57,4.0071485050127801e-33,1.8488463061599631e-100,1.725216178308418e-100,1.7252161783084206e-100,1.3950526480934204e-47,3.0412282954332092e-22,9.8996027255726328e-41,1.4649733362416769e-47,2.0530439162331842e-42,1.2293581764141853e-42,3.466682671019892e-62,2.3689830371792444e-49,1.0247327286051129e-78,1.6569805959679528e-63,2.6173555552807945e-58,2.4536088507570906e-72,2.1551669027434243e-85,1.4231654798325404e-98,5.2746639389276252e-99,5.3285662462609222e-73,1.1095796033767201e-112,7.7343322937406953e-117,4.5212557678027766e-113,1.3543944249267946e-104,1.4483515064865552e-101,1.2847202667883543e-39,3.9633822436412239e-52,5.3488267915943757e-52,2.2743965045565227e-52,4.0740711007274344e-56,5.6855133221838208e-49,2.7311762018462809e-36,3.5023004776697412e-48,2.6604746688264884e-48
4.044211830018153e-22,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,8.2766492130386017e-17,2.3298377510425009e-16,2.3298292356041726e-16,1.5504593416111619e-28,1.5504587009608956e-28,1.0202838124925784e-15,2.5119954873213814e-25,2.8576597702692019e-18,4.1950646701623321e-25,9.0708399108997009e-29,2.5553203339566989e-41,1.6868764559331513e-30,2.9898547885226075e-41,9.3247793422092883e-31,2.6643110565114089e-42,2.664311056512441e-42,9.0607088143685499e-55,1.2570563492784592e-55,2.42031769702834e-32,1.970089209682809e-98,1.838351714759415e-98,1.8383517147594205e-98,1.656209612600285e-46,8.5154392274726422e-22,5.9793600464629949e-40,1.7392162856078892e-46,2.4373737366828898e-41,1.4594940266382285e-41,7.7548304677777469e-61,2.8124566617373488e-48,4.2285882971113619e-77,3.7066059557718047e-62,3.1073419097186771e-57,1.0124903326709999e-70,1.6223586503700968e-83,1.9426171935283281e-96,7.1999026136185049e-97,1.1919853293138186e-71,2.7373277080494027e-110,1.9080639306773003e-114,1.1153916770823799e-110,1.8487448818469831e-102,1.9769960546745522e-99,7.7597104113915693e-39,4.705327399623777e-51,6.3501271633019856e-51,2.7001635134998484e-51,4.8461986616129272e-55,6.7498413889743632e-48,1.6496304259104464e-35,4.157931126904767e-47,3.1585155268225514e-47
9.243912754327207e-22,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999999999645,1.0,19.0,1.8918055344088185e-16,5.3253434309480586e-16,5.3253239670912914e-16,7.4647943135001083e-28,7.4647596697643873e-28,2.332077283970781e-15,1.2094176941228099e-24,6.531793757437412e-18,2.019743055149321e-24,4.3672189487931054e-28,2.508789844587814e-40,8.1215839937365515e-30,2.9353270985303499e-40,4.48947985547111e-30,2.6158363944220694e-41,2.615836394424108e-41,1.7902433716010474e-53,2.4837315127389731e-54,1.1652787852586482e-31,4.4834620969071425e-96,4.183658381254688e-96,4.1836583812547121e-96,1.6260777810955403e-45,1.9463861092590133e-21,2.878804472920354e-39,1.7075727372708037e-45,2.3930279866870457e-40,1.4329398891862284e-40,1.5322238203677684e-59,2.761286628130393e-47,1.6727874785895717e-75,7.3236351403526192e-61,3.0508435581397811e-56,4.005314642587022e-69,1.2827513617194413e-81,3.068861850234547e-94,1.1374091884912398e-94,2.3551897075127804e-70,8.6409376350703684e-108,6.0232061637131087e-112,3.5209630343893914e-108,2.9205664700175191e-100,3.1231720745028017e-97,3.7359665358054026e-38,4.6197183431042574e-50,6.2345924968779549e-50,2.6510365139111539e-50,4.7780677723286495e-54,6.6270342442584357e-47,7.942260394898384e-35,4.0822814361991288e-46,3.1010492739585673e-46
1.9643314602945314e-21,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999999999245,1.0,19.0,4.0200867606187205e-16,1.1316354790738034e-15,1.1316313430052092e-15,3.2600717943358299e-27,3.2600289362735435e-27,4.9556642210674098e-15,5.2818448059762894e-24,1.3880061720988215e-17,8.8207485445998909e-24,1.9072792505702896e-27,2.2189271660607307e-39,3.5469091007984151e-29,2.5960322371047368e-39,1.9606738020654728e-29,2.3136776674440116e-40,2.3136776674476393e-40,3.1856424127125268e-52,4.4196675169228729e-53,5.0890786013758621e-31,7.5768527367519377e-94,7.0701977111657033e-94,7.0701977111657853e-94,1.4382479236541213e-44,4.1360704826979638e-21,1.2572495464814855e-38,1.510328525481538e-44,2.1166061515236219e-39,1.2674191029474624e-39,2.7265104219569203e-58,2.4423267519982742e-46,5.9700596919632318e-74,1.3032022560715165e-59,2.6985021213593123e-55,1.4294689249050296e-67,9.1685741326574138e-80,4.3899086378207063e-92,1.6270274339464628e-92,4.1910327904291969e-69,2.4729265538062349e-105,1.7237664854701595e-109,1.0076548290450294e-105,4.1777768447312332e-98,4.4675976751155429e-95,1.6315947388055753e-37,4.086088557728059e-49,5.5144264451128001e-49,2.3448117115577463e-49,4.261798385328974e-53,5.8615366380726851e-46,3.4685937762718259e-34,3.6107316992556843e-45,2.7428429645196261e-45
4.044211830018153e-21,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999999998435,1.0,19.0,8.2766492130384639e-16,2.3298377510233412e-15,2.3298292355919943e-15,1.3610157994313547e-26,1.3609747342119455e-26,1.0202838071821565e-14,2.2050662275448564e-23,2.8576597604947328e-17,3.6824888711904347e-23,7.9625154100763808e-27,1.8650258491773232e-38,1.48076472654826e-28,2.1817324412898766e-38,8.1854271640930345e-29,1.9447854889943314e-39,1.9447854890004495e-39,5.3730515026630301e-51,7.4544152435106132e-52,2.124590137366445e-30,1.1094181414306346e-91,1.0352326852315469e-91,1.035232685231571e-91,1.208934255290696e-43,8.5154392312376708e-21,5.2487693680987498e-38,1.269521754659958e-43,1.7791350012017322e-38,1.0653421212171351e-38,4.5986583418290461e-57,2.0529227962690956e-45,2.0171482398449725e-72,2.1980414767629997e-58,2.2683638927500735e-54,4.8298533114070049e-66,6.2007122872735669e-78,5.9401854107888509e-90,2.201604958911427e-90,7.069121935549789e-68,6.6938035780300067e-103,4.6659529680553154e-107,2.7275548465958736e-103,5.6531402185596485e-96,6.0453099872599884e-93,6.8115868543711467e-37,3.4346036379037354e-48,4.6352076729160825e-48,1.9709554231468997e-48,3.642274019826777e-52,4.9269745564502819e-45,1.4480696221532429e-33,3.035037554958893e-44,2.3055247803128521e-44
8.203972569465395e-21,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999999996814,1.0,19.0,1.6789774117877712e-15,4.7262422948885904e-15,4.7262250207440635e-15,5.5601936286885026e-26,5.5598365019309317e-26,2.0697185679573464e-14,9.0084149889268565e-23,5.7969669200295665e-17,1.5044168528545252e-22,3.2529473453766949e-26,1.5288704556128325e-37,6.0494070533216432e-28,1.7880783485452712e-37,3.3440140803451777e-28,1.594452642818871e-38,1.5944526428289207e-38,8.8252530642420574e-50,1.2243899369226417e-50,8.6796439478712792e-30,1.517035466933527e-89,1.4155931306487771e-89,1.4155931306488432e-89,9.9115742860843221e-43,1.7274176734964307e-20,2.1442935513085189e-37,1.0408300205678373e-42,1.4586423578384229e-37,8.7343183206836576e-38,7.5533101355496902e-56,1.6831101407332598e-44,6.6319420868222339e-71,3.6102899789667346e-57,1.8599225894025851e-53,1.5879502144340165e-64,4.0790359592125739e-76,7.8169506092162034e-88,2.8971885614813066e-88,1.1612146542168132e-66,1.7619193026429501e-100,1.2281558886756549e-104,7.1793719217313553e-101,7.4392152547714677e-94,7.9552886519906915e-91,2.7827554865551167e-36,2.8158955720834067e-47,3.8002232594656573e-47,1.6159081623045188e-47,3.0845111700417536e-51,4.0394311346976861e-44,5.9158368996912422e-33,2.4883071548803007e-43,1.8902085087548163e-43
1.6523494048359882e-20,0.9836421736813814,154.0,0.0,0.0,0.0,0.99999999999993583,1.0,19.0,3.3816023927555238e-15,9.5190513824837937e-15,9.5190165909621993e-15,2.247519164152262e-25,2.2472217301774913e-25,4.168588052005163e-14,3.6413453335092372e-22,1.1675581170071263e-16,6.0810933927091366e-22,1.3148933189731717e-25,1.2378106305881332e-36,2.4452670395036024e-27,1.4470003624262181e-36,1.3517039573810598e-27,1.291229089051987e-37,1.2912290890682781e-37,1.4306114994169147e-48,1.9847888332916643e-49,3.5084508593272989e-29,2.006424630440972e-87,1.8722574296581884e-87,1.8722574296583636e-87,8.0266501727976446e-42,3.4791651769006469e-20,8.6675773880453339e-37,8.4289013960300342e-42,1.1812463879679533e-36,7.0732773611189606e-37,1.2244241224568728e-54,1.3630262295118874e-43,2.1510545190274347e-69,5.8524356423196745e-56,1.5065064093289414e-52,5.1504784756728354e-63,2.6466177173527798e-74,1.0144894184537233e-85,3.7599919533316755e-86,1.8827332088380991e-65,4.5735075052053024e-98,3.1879897912294368e-102,1.8635869318094204e-98,9.6546665720093504e-92,1.032443028249104e-88,1.1248342600480167e-35,2.2803852408400363e-46,3.077519261015178e-46,1.3086040437385614e-46,2.6572215655107534e-50,3.2712356055393781e-43,2.3912758607168579e-32,2.0150956446310114e-42,1.5307398572157073e-42
3.316253700614885e-20,0.9836421736813817,154.0,0.0,0.0,0.0,0.9999999999998711,1.0,19.0,6.7868523546906448e-15,1.9104669557133091e-14,1.9104599731054463e-14,9.0371757062657665e-25,9.0347489240500225e-25,8.3663268700905488e-14,1.4641689134864031e-21,2.3432809394042787e-16,2.4451808576561591e-21,5.2871281386874977e-25,9.958017403392336e-36,9.8323111133706758e-27,1.1630141661034983e-35,5.4351421618893905e-27,1.0392935051336201e-36,1.0392935051598561e-36,2.3039555461472485e-47,3.1964411736162878e-48,1.4107326598327247e-28,2.610413451835728e-85,2.4358582453309232e-85,2.435858245331379e-85,6.4605464986703569e-41,6.982660194344635e-20,3.4851947548787167e-36,6.784297101658712e-41,9.5076984101308275e-36,5.6931888728468213e-36,1.9718973025215674e-53,1.0970820900630169e-42,6.9299086660263296e-68,9.425166565224448e-55,1.2130388859395261e-51,1.6592951432365621e-61,1.705470059723418e-72,1.3075364611058189e-83,4.8461092678478421e-84,3.0332246969303889e-64,1.1789554129251888e-95,8.217977143566157e-100,4.8039367868408675e-96,1.2443529117890552e-89,1.330676179612399e-86,4.5229090872442615e-35,1.8354524301263292e-45,2.4770551396771217e-45,1.0532779274773161e-45,2.3952085409472981e-49,2.6329742712754296e-42,9.6152150619391535e-32,1.6219242791505847e-41,1.2320726082213452e-41
6.64406229217268e-20,0.9836421736813814,154.0,0.0,0.0,0.0,0.99999999999974176,1.0,19.0,1.3597352278559346e-14,3.8275905904267943e-14,3.8275766009862977e-14,3.6243116531230015e-24,3.6223515568279106e-24,1.6761803906220372e-13,5.8719719688149165e-21,4.6947264737538436e-16,9.8062684725708717e-21,2.1203748034263864e-24,7.9827340653728425e-35,3.9431964325258994e-26,9.3059632576297053e-35,2.1797350990789277e-26,8.3396758524661418e-36,8.339675852887288e-36,3.6983583537929916e-46,5.1309958127563639e-47,5.6576689317306907e-28,3.3686002738535613e-83,3.1433460268802099e-83,3.1433460268813869e-83,5.1841817498354806e-40,1.398965027177484e-19,1.3977189826982459e-35,5.4439454223946295e-40,7.6293289091272478e-35,4.5684253516511377e-35,3.1653318805579017e-52,8.8033928537840455e-42,2.2250483396697621e-66,1.5129477206204937e-53,9.7414395375334296e-51,5.3276478590068794e-60,1.0952403960712431e-70,1.6794261108101679e-81,6.2244401466947447e-82,4.8726602111651994e-63,3.0285890010255919e-93,2.1110955996860789e-97,1.2340692479722038e-93,1.5982719042205241e-87,1.7091472307375294e-84,1.8138888357166852e-34,1.4728349812419865e-44,1.9876805900808823e-44,8.4518847682249709e-45,2.3335668560577035e-48,2.1127948539818037e-41,3.8561312893421917e-31,1.3014920807588011e-40,9.8866067451607175e-41
