Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327)
4.801196688653082e-18,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999959144,1.0,19.0,6.5247796842234785e-14,1.4937071730904086e-13,1.4937071796307657e-13,9.6794665276335198e-22,9.5376201381358061e-22,4.4630051927086342e-14,9.5631691346603647e-20,1.4400144725409098e-17,1.0508557948902003e-19,6.6847986179297822e-22,4.7614484107318447e-31,6.2451773780961763e-25,6.2956095439401013e-31,2.5952944561657901e-25,1.8607141771497559e-33,1.8607141838136718e-33,6.663915641788096e-42
9.60656470370812e-18,0.8982260618340567,154.0,0.0,0.0,0.0,0.99999999999918243,1.0,19.0,1.3055228160491209e-13,2.9887120615854929e-13,2.9887120872113913e-13,3.8743090644844606e-21,3.7622803307944311e-21,8.929846811376449e-14,3.8277447957595843e-19,2.8812717308137421e-17,4.2061452049471749e-19,2.675657404677546e-21,3.7326992480257786e-30,2.4996983527147819e-24,4.7401866608621879e-30,1.0387941223925178e-24,1.4897027124225076e-32,1.4897027230933305e-32,1.0670822595093923e-40
1.9217300733818197e-17,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999836442,1.0,19.0,2.6116125112919023e-13,5.9787217459098988e-13,5.9787218441996775e-13,1.5502282073065725e-20,1.462933503213441e-20,1.7863406767999757e-13,1.531584427827934e-18,5.7637612982135697e-17,1.6829926865076617e-18,1.0706081610240214e-20,2.8676682691071277e-29,1.0002048312773744e-23,3.3879639792412271e-29,4.1565294749100579e-24,1.1922148839092722e-31,1.192214900989138e-31,1.7079865737110256e-39
3.843877279403835e-17,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999672851,1.0,19.0,5.2237919017344014e-13,1.1958740763684649e-12,1.195874112548443e-12,6.2019217134479004e-20,5.5384791702190737e-20,3.5730033572006625e-13,6.1272383870061637e-18,1.1528640638157419e-16,6.7329604600692796e-18,4.2831032170581507e-20,2.1238462449296632e-28,4.00146974053113e-23,2.2298247260660945e-28,1.6628823615637079e-23,9.5395298689023451e-31,9.5395301422230077e-31,2.7332066517532915e-38
7.688171691447866e-17,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999999345657,1.0,19.0,1.0448150682447154e-12,2.3918777526787493e-12,2.3918778757286925e-12,2.4809701398183763e-19,1.9987753015611641e-19,7.1461314851931795e-13,2.4510175188075625e-17,2.305800015244166e-16,2.6933184248346481e-17,1.713359481719505e-19,1.4778889508849554e-27,1.6007174693823713e-22,1.3123738444219102e-27,6.6520701158495753e-23,7.6323475791320886e-30,7.6323480164487038e-30,4.3731661456110636e-37
1.5376760515535927e-16,0.8982260618340563,154.0,0.0,0.0,0.0,0.9999999999869128,1.0,19.0,2.089686824318366e-12,4.7838846703576809e-12,4.7838850297826207e-12,9.9242808009875599e-19,6.6676441638007304e-19,1.4291598897029466e-12,9.8038505825242736e-17,4.6115122629146853e-16,1.0773032508194707e-16,6.853546994091181e-19,9.36002563059346e-27,6.403124959751544e-22,6.8343423699236663e-27,2.6609357743896909e-22,6.1061664125599717e-29,6.106167112171168e-29,6.9961119828027537e-36
2.306534933962399e-16,0.8982260618340563,154.0,0.0,0.0,0.0,0.99999999998036904,1.0,19.0,3.1345585803231168e-12,7.1758912053803691e-12,7.1758918115302118e-12,2.1089343848551245e-18,1.2592784549180295e-18,2.1436277551794077e-12,2.0832523544961403e-16,6.9170648664531653e-16,2.2891969995731196e-16,1.4563712360244687e-18,2.3659033093051873e-26,1.3606795447337846e-21,1.5864713672612821e-26,5.6545553906369001e-22,1.7460029966588743e-28,1.7460032541419987e-28,2.5748312454860572e-35
3.8442526987800116e-16,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999996728139,1.0,19.0,5.2243020920570194e-12,1.195990297313522e-11,1.1959903885801905e-11,5.8306460834859233e-18,2.7185696995632675e-18,3.5722480529499376e-12,5.7589983343099272e-16,1.1527531585424046e-15,6.3283172002770771e-16,4.0263064377328551e-18,8.1630546348435562e-26,3.7619160844772648e-21,4.8220841440600128e-26,1.5633355168842333e-21,8.0240903021385533e-28,8.0240922826303973e-28,1.9804918447132306e-34
5.228198687115863e-16,0.8982260618340563,154.0,0.0,0.0,0.0,0.99999999995550248,1.0,19.0,7.1050712523949165e-12,1.6265512606768147e-11,1.6265513549718212e-11,1.0382691242112148e-17,4.158946646724875e-18,4.8577515778210955e-12,1.0254347576780496e-15,1.5676435953230499e-15,1.1268064406485491e-15,7.1694785811844806e-18,1.5876990562772332e-25,6.6988788418094314e-21,8.8928954622063034e-26,2.7838480818917656e-21,1.8062222395803221e-27,1.8062227849377467e-27,5.453574242467371e-34
6.612144675451715e-16,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999994372357,1.0,19.0,8.9858404124971778e-12,2.0571121288611831e-11,2.0571121940361236e-11,1.6207561319010545e-17,5.6723011758437238e-18,6.1429855228563781e-12,1.6006018127983702e-15,1.9824794561966688e-15,1.7588329419038995e-15,1.1191355310270039e-17,2.6297307889943118e-25,1.0457060443825847e-20,1.4191089281595673e-25,4.3456359874075067e-21,3.4138866758761349e-27,3.4138879039867643e-27,1.2281106296954354e-33
7.996090663787567e-16,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999993194488,1.0,19.0,1.0866609572376856e-11,2.4876729099168071e-11,2.4876729128264023e-11,2.3234748111015357e-17,7.2268757827582306e-18,7.42796487076809e-12,2.2944186142686914e-15,2.3972637706407901e-15,2.5212385797833975e-15,1.6043198267003821e-17,3.9297124726360979e-25,1.4990968353780736e-20,2.0648750503773555e-25,6.2297944194461857e-21,5.7061918797507865e-27,5.7061942397993196e-27,2.3600485343871729e-33
1.076398264045927e-15,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999990838717,1.0,19.0,1.4628147891628621e-11,3.3487942779258098e-11,3.3487940761246381e-11,4.0030979064058194e-17,1.0384277119523406e-17,9.9973431057733738e-12,3.9525640276816732e-15,3.2267148670352456e-15,4.3433037257035396e-15,2.7639423860475939e-17,7.1210866999851323e-25,2.5827808209979622e-20,3.6208092295986709e-25,1.0733270762178894e-20,1.2182091582787094e-26,1.2182097684369414e-26,6.1015823201269946e-33
1.3531874617130973e-15,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999988482946,1.0,19.0,1.8389686210057631e-11,4.2099153345305549e-11,4.2099147948422421e-11,6.1271450834475917e-17,1.3587988471222614e-17,1.2565780664242936e-11,6.0490923685672584e-15,4.0559754799402313e-15,6.6470891394993619e-15,4.23030081741767e-17,1.1272781543346954e-24,3.9532032019517736e-20,5.6052782933494154e-25,1.6428358074593084e-20,2.2151835592460678e-26,2.2151848511355438e-26,1.2918894765788078e-32
1.6299766593802676e-15,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999986127175,1.0,19.0,2.2151224527608082e-11,5.0710360620052855e-11,5.0710350388252369e-11,8.7257596975960539e-17,1.680762886710835e-17,1.5133214085503729e-11,8.6135781767042766e-15,4.8850327328969819e-15,9.4650930192829282e-15,6.0241564377375884e-17,1.645138601416622e-24,5.6298114575715222e-20,8.0472883759674223e-25,2.3395879201850698e-20,3.6643485955675419e-26,3.6643510391397777e-26,2.4435722360282198e-32
2.1835550547146083e-15,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999981415666,1.0,19.0,2.9674301160023796e-11,6.7932765159876194e-11,6.7932740758424103e-11,1.5373426814755179e-16,2.324871895460675e-17,2.0265014136080066e-11,1.5171765022406367e-14,6.5425259795636347e-15,1.6671604327322092e-14,1.0612531865183384e-16,2.9948278956903274e-24,9.9188303563912337e-20,1.4329320016566014e-24,4.1219914388565266e-20,8.4524957072484922e-26,8.4525031087147779e-26,7.4014662860482056e-32
2.737133450048949e-15,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999976704157,1.0,19.0,3.7197377788870417e-11,8.515515639902791e-11,8.5155111842977328e-11,2.3948976667207861e-16,2.9690950728393013e-17,2.5392739979023356e-11,2.3628652432331842e-14,8.1991937298714543e-15,2.5964516558208842e-14,1.6530698114439326e-16,4.7618181911499602e-24,1.5451687900332135e-19,2.2469180385270229e-24,6.4213100013648117e-20,1.623738921090123e-25,1.6237406609660601e-25,1.7398759371531501e-31
3.84429024071763e-15,0.8982260618340565,154.0,0.0,0.0,0.0,0.9999999996728115,1.0,19.0,5.2243531035849292e-11,1.1959989897734249e-10,1.195997961171967e-10,4.688752638301956e-16,4.2571657549025842e-17,3.5635977615389428e-11,4.623453349776316e-14,1.1510053217753431e-14,5.0805153362589479e-14,3.235691832134318e-16,9.5485070791315676e-24,3.0251335790478652e-19,4.4323106931926135e-24,1.2571716731634778e-19,4.4661575501220268e-25,4.4661643718856956e-25,6.8217636682216867e-31
6.0586038220549925e-15,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999948435281,1.0,19.0,8.2335837486947996e-11,1.8848922465222525e-10,1.8848893308041533e-10,1.1591499277106668e-15,6.8331168993648373e-17,5.6073701929636868e-11,1.1416567586043102e-13,1.8121881397969896e-14,1.2545178316200116e-13,7.995577616114698e-16,2.4132815128195398e-23,7.4786497899867711e-19,1.1030943481683854e-23,3.1079793459299928e-19,1.7771631124276291e-24,1.77716763146351e-24,4.5190358808828026e-30
8.272917403392355e-15,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999929589523,1.0,19.0,1.1242814388089973e-10,2.573783378581209e-10,2.573777612585951e-10,2.1581008936385913e-15,9.4090150144418111e-17,7.6446564354848643e-11,2.1232436584752804e-13,2.4720539465935801e-14,2.3331417349466662e-13,1.487989890931243e-15,4.5398463759438362e-23,1.3923615027586176e-18,2.0597589816782235e-23,5.7864391784071107e-19,4.4514557707362741e-24,4.4514706491105719e-24,1.4878374297819426e-29
1.0487230984729718e-14,0.8982260618340565,154.0,0.0,0.0,0.0,0.9999999991074392,1.0,19.0,1.4252045021770386e-10,3.262672388437199e-10,3.2626628065323035e-10,3.4657266665840361e-15,1.198492383884193e-16,9.675476011723434e-11,3.4061962229820542e-13,3.1306052242480872e-14,3.7429234905216664e-13,2.3886162431923272e-15,7.3345420450903369e-23,2.2359977426739672e-18,3.3128766378834491e-23,9.2925532017062777e-19,8.925330268009636e-24,8.9253667596680266e-24,3.6491658388098652e-29
1.270154456606708e-14,0.8982260618340563,154.0,0.0,0.0,0.0,0.99999999891898461,1.0,18.999999999999993,1.726127564973601e-10,3.9515592786834432e-10,3.9515449126852528e-10,5.0820230424449615e-15,1.4560829174098935e-16,1.1699849093456812e-10,4.9895743879144306e-13,3.7878445443320228e-14,5.4828301019699729e-13,3.5011776384472171e-15,1.0797359445958876e-22,3.2787666373281396e-18,4.8620852207861424e-23,1.3626316384486605e-18,1.5669802560003051e-23,1.5669878059556038e-23,7.5499552982072693e-29
1.7130171728741806e-14,0.8982260618340563,154.0,0.0,0.0,0.0,0.99999999854207966,1.0,18.999999999999986,2.3279736888522919e-10,5.3293267099671742e-10,5.3292998618064717e-10,9.2406080518129692e-15,1.971261512654056e-16,1.5729330307628736e-10,9.0541340049524715e-13,5.0983968356787796e-14,9.9492009963226977e-13,6.3611436530009917e-15,1.972731713575632e-22,5.9616737325225083e-18,8.8474313052801197e-23,2.4776760943759026e-18,3.7716674874566822e-23,3.7716910484614235e-23,2.3561004741033057e-28
2.155879889141653e-14,0.8982260618340562,154.0,0.0,0.0,0.0,0.99999999816518037,1.0,18.999999999999975,2.929819810445071e-10,6.7070856932211007e-10,6.707042460371371e-10,1.4633813749014368e-14,2.4864375669642112e-16,1.9733260962807039e-10,1.4309424803991514e-12,6.4037313941177951e-14,1.572401550983258e-12,1.0065809037954752e-14,3.1329628148165034e-22,9.4410209539619064e-18,1.4012892843214048e-22,3.9237709827310315e-18,7.436908196314141e-23,7.436964905704915e-23,5.6709390772491767e-28
2.5987426054091256e-14,0.8982260618340565,154.0,0.0,0.0,0.0,0.99999999778828674,1.0,18.999999999999961,3.5316659297519386e-10,8.0848362502917332e-10,8.0847727088342406e-10,2.1261594709775431e-14,3.0016090024932093e-16,2.371180949195176e-10,2.0747597313253857e-12,7.7038698059682957e-14,2.2798648193509525e-12,1.4612989351929778e-14,4.5604194198265452e-22,1.3716742771185779e-17,2.0355417987837322e-22,5.7009093930080721e-18,1.2960331300802777e-22,1.2960447918150566e-22,1.1661734779022619e-27
3.041605321676598e-14,0.8982260618340562,154.0,0.0,0.0,0.0,0.99999999741139844,1.0,18.99999999999995,4.1335120467729008e-10,9.4625784027784531e-10,9.4624906076551995e-10,2.9123904926777789e-14,3.5167794292194661e-16,2.7665141674101307e-10,2.836092574152203e-12,8.9988333787437693e-14,3.1164609505643977e-12,2.0000524297125136e-14,6.2550915637206039e-22,1.8788773881432551e-17,2.7871988622992944e-22,7.8090842139323441e-18,2.0736197094116514e-22,2.0736412555788008e-22,2.1546167149591801e-27
3.927330754211543e-14,0.898226061834056,154.0,0.0,0.0,0.0,0.99999999665763883,1.0,18.999999999999918,5.3372042739571226e-10,1.2218037576458409e-09,1.2217889358143077e-09,4.8551935978995535e-14,4.5471075957773233e-16,3.5496784417926998e-10,4.7083810712185366e-12,1.1573317064083841e-13,5.1738387821638803e-12,3.3288413227915728e-14,1.0446044142744881e-21,3.1321515091128098e-17,4.6415747617415997e-22,1.3018515635185152e-17,4.4557916004218315e-22,4.4558510411073275e-22,5.9440685495867521e-27
