Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011)
4.097302379524824e-20,0.3889951668893659,154.0,0.0,0.0,0.0,0.99999999999952027,1.0,19.0,1.3290727655333538e-14,9.9124353379250159e-14,9.9123840849117296e-14,1.499901059893511e-23,1.4993192779910764e-23,2.6705300588619646e-13,5.931933807769005e-21,1.0840344132942796e-15,1.0651018306547005e-20,8.5285669328489113e-24,2.4800982790346779e-34,1.011303259784838e-25,2.8118038790221431e-34,5.9682041236097372e-26,1.7747778442108841e-35,1.7747778443503994e-35,1.2219993923325864e-45,1.7315285157691287e-46,2.8827580556487984e-27,2.3793689186642673e-82,2.211228193371237e-82,2.211228193372142e-82,4.3313367180856284e-39,5.1253860169596686e-19,1.0315178526737513e-34,5.1460816953366802e-39,8.094402171366958e-35,4.5080626576739212e-35,1.4305967031440291e-51,4.3815910003421355e-41,9.8215011615581515e-66,1.5337970944307009e-52,9.5430942760184539e-50,4.1226271824267564e-59,5.8170230417593681e-70,1.4057221821681603e-80
8.198164535226473e-20,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999904021,1.0,19.0,2.6593002424170533e-14,1.9833482691406898e-13,1.9833380142542934e-13,6.0035130869065178e-23,5.9988259765901617e-23,5.3433799625699347e-13,2.3743193010702721e-20,2.1690105557858072e-15,4.2631828271866105e-20,3.4136492611619542e-23,1.9822621795233201e-33,4.0478484843337394e-25,2.240565715702463e-33,2.3888370072914102e-25,1.4209014155913655e-34,1.4209014158147723e-34,1.956790782425575e-44,2.7727015064997084e-45,1.1538544906427926e-26,3.0517770367075393e-80,2.8361198511947184e-80,2.8361198511970398e-80,3.4677030376518766e-38,1.0255225134571151e-18,4.128759687253444e-34,4.1199682719836581e-38,6.480443152180123e-34,3.6091910385702544e-34,2.2908186585807745e-50,3.5079369944177645e-40,3.1455249354815667e-64,2.4560731003189399e-51,7.6525591781040821e-49,1.3203504273072389e-57,3.7260769063753446e-68,1.8008745776263849e-78
1.639988884662977e-19,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999807998,1.0,19.0,5.3197551961810987e-14,3.9675577384220594e-13,3.9675372248718522e-13,2.4021872224420204e-22,2.398426455577904e-22,1.0689078756580659e-12,9.5003688692331028e-20,4.3389625693028546e-15,1.7058282513644857e-19,1.365904256310309e-22,1.5811168382181732e-32,1.619666580662737e-24,1.7764171204142543e-32,9.5584596251798554e-25,1.1371529723220804e-33,1.1371529726796757e-33,3.1321383453713304e-43,4.4381276917922459e-44,4.6169209272633908e-26,3.9102377846883101e-78,3.6339165250101535e-78,3.6339165250161015e-78,2.7752163564347207e-37,2.0514903716165006e-18,1.6520417215335921e-33,3.2971849493199555e-37,5.1863235357766263e-33,2.8884494453287086e-33,3.6668017511435103e-49,2.8074157279779e-39,1.0069913374697163e-62,3.9313143863247341e-50,6.144030412826801e-48,4.2268962205499814e-56,2.385707142773139e-66,2.3061112367961741e-76
3.2803337469436367e-19,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999615963,1.0,19.0,1.0640665103695781e-13,7.9359766713346395e-13,7.9359356424722385e-13,9.6103130512404742e-22,9.5802157126931179e-22,2.1380472290982782e-12,3.8007653511034318e-19,8.6788655104731964e-15,6.8244222955566402e-19,5.464505676083754e-22,1.2567411345883194e-31,6.4797204280831253e-24,1.3953639498539046e-31,3.8240062529570098e-24,9.0989514939513779e-33,9.0989514996740673e-33,5.0124370550333078e-42,7.102447854887524e-43,1.8470690064350704e-25,5.0076423542494136e-76,4.6537717922584259e-76,4.6537717922736588e-76,2.2205947626640174e-36,4.1034262264836288e-18,6.6092430373920575e-33,2.6381820097148936e-36,4.1498459724389773e-32,2.3111979448519478e-32,5.8680766383212953e-48,2.2463591250318206e-38,3.2230498446596944e-61,6.2913762497791472e-49,4.9476154793918213e-47,1.3528897789128259e-54,1.527177204795821e-64,2.952455000665302e-74
6.561023471504956e-19,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999231892,1.0,19.0,2.1282484918671497e-13,1.5872814514637695e-12,1.5872732463134097e-12,3.8444380457305562e-21,3.8204084441970602e-21,4.2763243145322012e-12,1.5204292157794115e-18,1.7358667049361026e-14,2.7299899047890713e-18,2.1859795496773478e-21,9.923144820038329e-31,2.5920986724277115e-23,1.0768728399430559e-30,1.5297269866482854e-23,7.2798523340453583e-32,7.2798523432025767e-32,8.0207022667059366e-41,1.1365068230948668e-41,7.3888773377739857e-25,6.4114069983316827e-74,5.9583378623966341e-74,5.9583378624356414e-74,1.7766445261930632e-35,8.2072984904113088e-18,2.6439127043458845e-32,2.1106389530125739e-35,3.3201906608899222e-31,1.8491331685185442e-31,9.3898778766003663e-47,1.7972579329629673e-37,1.0314843820391764e-59,1.0067204622857492e-47,4.0088052405945829e-46,4.3296933241931282e-53,9.7749578256926771e-63,3.779541449582252e-72
1.3122402920627593e-18,0.38899516688936603,154.0,0.0,0.0,0.0,0.9999999999846374,1.0,19.0,4.2566124548408347e-13,3.174649011177668e-12,3.1746326046302138e-12,1.5378377621081184e-20,1.5187169665623994e-20,8.5528719996238728e-12,6.0819590693671452e-18,3.4718252753342666e-14,1.09203945099234e-17,8.7442690616154187e-21,7.7359278277351016e-30,1.036881302787623e-22,8.0439582404643343e-30,6.1191568945745377e-23,5.8241583037990825e-31,5.8241583184513352e-31,1.2833735058550914e-39,1.8185019935682929e-40,2.9556712003096825e-24,1.436810739365976e-71,1.3352769264978042e-71,1.3352769265152581e-71,1.4213831542520286e-34,1.6415045235040378e-17,1.0576083762004962e-31,1.6884200527942626e-34,2.6562764754052143e-30,1.4793755651374062e-30,1.5024569068969259e-45,1.4378745994257062e-36,3.3009235691223529e-58,1.6108278059499909e-46,3.2877395198557552e-45,1.3855688750317137e-51,6.2562810927846953e-61,4.8380534031324955e-70
2.624516181887287e-18,0.3889951668893659,154.0,0.0,0.0,0.0,0.99999999996927447,1.0,19.0,8.5133403807023741e-13,6.3493840953049625e-12,6.349351298001558e-12,6.1514759508110138e-20,6.000232363625098e-20,1.7105941426781219e-11,2.4328289072964347e-17,6.9437354666268994e-14,4.3682391051713793e-17,3.4977748325605004e-20,5.8871474548619866e-29,4.1476067369949837e-22,5.6777261305239149e-29,2.4477125228607102e-22,4.659437166605886e-30,4.6594371900499491e-30,2.0534366082827836e-38,2.9096726542861951e-39,1.1822925323835564e-23,1.8453661148840948e-69,1.7149612872967893e-69,1.7149612873416971e-69,1.1371336067037785e-33,3.283054759139334e-17,4.2305216556755414e-31,1.3504941465160699e-33,2.1250681792084046e-29,1.1835266274202107e-29,2.4039922789126333e-44,1.1503269754520044e-35,1.0563233388006115e-56,2.5773680691676027e-45,2.7591260443089603e-44,4.4338997272883577e-50,4.0040934953177869e-59,6.192823626932804e-68
5.249067961536342e-18,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999993854849,1.0,19.0,1.7026796232082126e-12,1.269885412608415e-11,1.2698788591695196e-11,2.4606152112932667e-19,2.3423274898658522e-19,3.4211976509621414e-11,9.7313808886575219e-17,1.3887528051308657e-13,1.7473073596660574e-16,1.3991210027883587e-19,4.2896365049658956e-28,1.6590572856470376e-21,3.6699175179523531e-28,9.7909494187758594e-22,3.7275938568834351e-29,3.7275938943939765e-29,3.2854980385117634e-37,4.6555209426306138e-38,4.729218224544475e-23,2.3621865939761723e-67,2.1952600802507055e-67,2.1952600803656781e-67,9.0971782973358976e-33,6.5661587772478487e-17,1.6922275409323067e-30,1.0799700598591826e-32,1.7000692133883998e-28,9.4682947211267224e-29,3.8464368490370026e-43,9.2027248916097397e-35,3.3802793407096424e-55,4.1237710557646068e-44,2.4135247231291435e-43,1.418842753392518e-48,2.5626113961833753e-57,7.9267893142950591e-66
7.873619741185396e-18,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999990782251,1.0,19.0,2.5540252083118551e-12,1.9048324022957341e-11,1.9048225792339795e-11,5.2288226751921608e-19,4.8949409650729749e-19,5.1317907821616638e-11,2.0679196712867518e-16,2.0831292838198187e-13,3.7130303522044485e-16,2.9731363817911515e-19,1.1644401316781271e-27,3.5255039227016709e-21,9.368180858548599e-28,2.0805829365650984e-21,1.0658620983317736e-28,1.0658621121381053e-28,1.2092773978812988e-36,1.7135431576258456e-37,1.0049618775301419e-22,1.2188021481715566e-66,1.132674154227994e-66,1.1326741542985812e-66,2.601234486889854e-32,9.849266342194285e-17,3.5959968636341067e-30,3.0873295468027768e-32,4.8611411794988846e-28,2.7073437365771081e-28,1.4157482658644414e-42,2.6314121480944152e-34,1.5433189593067551e-54,1.5178142637443304e-43,7.2398905404602788e-43,6.4779049016302334e-48,1.4079723849992191e-56,5.1138597160792421e-65
1.3122723300483507e-17,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999984637067,1.0,19.0,4.2567163783818096e-12,3.1747263307323198e-11,3.1747099821432954e-11,1.4456195949700694e-18,1.2978986799527008e-18,8.5529355367263174e-11,5.7171706632489858e-16,3.4718711221698595e-13,1.0265402711835774e-15,8.2198379858864059e-19,4.6531968324375537e-27,9.7469852994301843e-21,3.290195034165936e-27,5.7522160037934646e-21,4.8983230952672453e-28,4.8983232014926041e-28,9.3041123783478483e-36,1.3184125761938572e-36,2.778431923590231e-22,8.2161150201686196e-65,7.6355142287228233e-65,7.6355142295265504e-65,1.1954357978280291e-31,1.6415495659438811e-16,9.94192003674107e-30,1.4178291753113038e-31,2.2339951443769739e-27,1.2441919576919827e-27,1.0892930517229568e-41,1.2093034636210308e-33,2.0090615293070715e-53,1.1677900833978996e-42,3.7975118485075073e-42,8.4325672433551016e-47,3.1392612922245525e-55,1.9780677325072972e-63
1.7846916503851807e-17,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999979106402,1.0,19.0,5.7891384313338395e-12,4.3176308269289903e-11,4.3176086146973201e-11,2.5742225757323702e-18,2.2485872250594936e-18,1.1631932287984158e-10,1.0180555780391683e-15,4.7217297952847539e-13,1.8279584618345912e-15,1.4637071976106923e-18,9.717848146274893e-27,1.7356482475707125e-20,6.4513785917322441e-27,1.0243002570287881e-20,1.102608795708498e-27,1.1026088249631416e-27,2.5623658544305794e-35,3.6309549258156458e-36,4.9475691016473011e-22,4.6985747334278402e-64,4.3665447908957422e-64,4.3665447913966656e-64,2.6909189829227986e-31,2.2325113504880586e-16,1.7703654082843595e-29,3.1902772558634341e-31,5.0286905057874361e-27,2.8006579603515537e-27,2.9999593697754027e-41,2.7221329241861901e-33,6.568168236431429e-53,3.2161015129803346e-42,9.135676759048873e-42,2.7568066628501606e-46,1.1850383051550154e-54,8.4078189259626171e-63
2.2571109707220105e-17,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999973575737,1.0,19.0,7.3215604841684526e-12,5.4605352833668692e-11,5.4605072154288447e-11,4.0183999038006106e-18,3.4160364379912493e-18,1.4710893551136609e-10,1.5891935551886323e-15,5.9715789618488545e-13,2.8534589558511231e-15,2.2848628742790504e-18,1.7071695992701286e-26,2.7093686604637206e-20,1.0751563950057964e-26,1.5989481070631485e-20,2.0840038233967157e-27,2.0840038892862993e-27,5.7711535731678347e-35,8.1779803515794761e-36,7.7232300079088852e-22,1.4508599743926212e-63,1.3483333622193603e-63,1.3483333624035436e-63,5.0860187789683967e-31,2.8234743480414887e-16,2.7635706037589094e-29,6.0273678654800113e-31,9.5045280832526155e-27,5.2934123113592671e-27,6.7568114668471721e-41,5.1450120288971626e-33,1.739291092837096e-52,7.2435227215652494e-42,1.843213332189337e-41,7.3000998151742636e-46,3.6475651535376283e-54,2.9794490434081061e-62
2.7295302910588403e-17,0.3889951668893659,154.0,0.0,0.0,0.0,0.99999999968045072,1.0,19.0,8.853982536892154e-12,6.6034397037118582e-11,6.6034057861006522e-11,5.7606705765018557e-18,4.7736052350491344e-18,1.7789821292371034e-10,2.2782165928254031e-15,7.2214191485315717e-13,4.0906266697110937e-15,3.2755101736579127e-18,2.6735644793839813e-26,3.8840726919354437e-20,1.6141152437143106e-26,2.2922093591857509e-20,3.4833348794835729e-27,3.4833350061205257e-27,1.1091898789887807e-34,1.5717834839202343e-35,1.1071816855071737e-21,4.4714999399558324e-63,4.1555164909405384e-63,4.1555164915388273e-63,8.5010966326743055e-31,3.4144384914107225e-16,3.9617860536437828e-29,1.0070679408581198e-30,1.5886417186263355e-26,8.8477150652307631e-27,1.298642439737865e-40,8.5996963797211918e-33,3.7992871905875412e-52,1.3921685126756223e-41,3.26234240288171e-41,1.5946071008869706e-45,8.9664378353399119e-54,8.173238025748471e-62
3.6743689317325e-17,0.38899516688936603,154.0,0.0,0.0,0.0,0.99999999956983743,1.0,19.0,1.1918826642086622e-11,8.8892484659792126e-11,8.8892028588936554e-11,9.9250081091457563e-18,7.8834449696309139e-18,2.3947600329757723e-10,3.9250937393249648e-15,9.7210790436255841e-13,7.04765876161703e-15,5.6433238949360639e-18,5.1639867154991482e-26,6.6918177398153878e-20,2.942430042444618e-26,3.9492275205664851e-20,7.4365262294349484e-27,7.4365265569098182e-27,2.8682879870717399e-34,4.0645733402759528e-35,1.907553762494305e-21,2.823579716539573e-62,2.6240483588914108e-62,2.624048359294649e-62,1.8148904483363835e-30,4.5963693911610923e-16,6.8257414128540394e-29,2.1486476555723188e-30,3.3915538860754814e-26,1.8888779047197015e-26,3.3582550604780797e-40,1.835938016841742e-32,1.1699860090289566e-51,3.6000346739752786e-41,7.5928015148754699e-41,4.9104858215892696e-45,3.2444266292217865e-53,3.4374352644476254e-61
4.61920757240616e-17,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999945922413,1.0,19.0,1.4983670746871116e-11,1.1175057105764986e-10,1.1174999820573769e-10,1.5191219363218374e-17,1.1586729699890222e-17,3.0105255459515425e-10,6.0077114160752771e-15,1.2220705745957472e-12,1.0787079955516843e-14,8.637637689605047e-18,8.5866631199547395e-26,1.0242472851632242e-19,4.6777623395225904e-26,6.0446890142219098e-20,1.3522519456030902e-26,1.3522520149533806e-26,6.0742470829909778e-34,8.6077483272337067e-35,2.9197025840840176e-21,1.0136236615431155e-61,9.4199483428356984e-62,9.419948344455322e-62,3.300186238856864e-30,5.7783045263130726e-16,1.0447504583304085e-28,3.9048054532251722e-30,6.1671457875843461e-26,3.4347045051193449e-26,7.1119704863551742e-40,3.3384549957858985e-32,2.8386515328768456e-51,7.6238546007677014e-41,1.4884579270105948e-40,1.1913766877967431e-44,8.8955713611048915e-53,1.0529110308197565e-60
5.56404621307982e-17,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999934861084,1.0,19.0,1.8048514851217819e-11,1.3460865622670507e-10,1.3460796663604514e-10,2.163404141305455e-17,1.5844629885213491e-17,3.6262778279756811e-10,8.5556161720602308e-15,1.4720297004577037e-12,1.5361942231493537e-14,1.2300937454330383e-17,1.3043076043854134e-25,1.4586422010106002e-19,6.8487644091214481e-26,8.6083323833727839e-20,2.2368890838916141e-26,2.2368892150924738e-26,1.1491593032619592e-33,1.6284795103655688e-34,4.1579924805264613e-21,3.0871778496320616e-61,2.869019043875112e-61,2.8690190444120057e-61,5.4591592810625484e-30,6.9602441841442953e-16,1.4878480835390871e-28,6.4554844462011805e-30,1.0201616878269895e-25,5.6816460407448511e-26,1.3455020960148959e-39,5.5224573652260761e-32,6.0612656450898124e-51,1.4423165059340066e-40,2.643441511377862e-40,2.5438617174195252e-44,2.119828651575009e-52,2.7737215018422475e-60
7.45372349442714e-17,0.38899516688936603,154.0,0.0,0.0,0.0,0.99999999912738458,1.0,19.0,2.4178203058573209e-11,1.803248232113583e-10,1.8032389987032427e-10,3.8115815635699658e-17,2.5653388867585026e-17,4.857741955211199e-10,1.5073449361721875e-14,1.9719371196275764e-12,2.7064965710257797e-14,2.1672139220655413e-17,2.5218044972345774e-25,2.5698865952600805e-19,1.2523272218366532e-25,1.5166545950647168e-19,5.159794888007925e-26,5.1597952856412729e-26,3.4827684187657559e-33,4.9356098332676593e-34,7.3257383267363924e-21,2.557756600835503e-60,2.3770099348749474e-60,2.3770099355404127e-60,1.25925784561803e-29,9.3241373226934715e-16,2.6213702257252435e-28,1.486874936087451e-29,2.3531623886835469e-25,1.3105604654703949e-25,4.0780045999251569e-39,1.2738561417776558e-31,2.4356289202497616e-50,4.3711884150335009e-40,7.142249821486922e-40,1.0221593548268689e-43,1.1441351004937192e-51,2.0438636542984926e-59
9.343400775774459e-17,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999890615832,1.0,19.0,3.0307891264150125e-11,2.2604098602837965e-10,2.2603982828456526e-10,5.9377479383642748e-17,3.6891062877594337e-17,6.0891523362970818e-10,2.3481349847450272e-14,2.4718301406873721e-12,4.2161678671460916e-14,3.3760928728422267e-17,4.1758454315868577e-25,4.0033923406755536e-19,1.9968786285233392e-25,2.36267138055272e-19,9.9120544173634078e-26,9.9120553525668803e-26,8.1911780125100464e-33,1.1608471095732035e-33,1.1412166013735684e-20,1.1029505553859372e-59,1.0250093506285161e-59,1.0250093509721263e-59,2.4190599546438993e-29,1.1688048834302592e-15,4.0836365034154258e-28,2.8523504223907881e-29,4.5204154449931193e-25,2.5175813604648618e-25,9.5914910929656701e-39,2.4470996178807524e-31,6.9649861344740422e-50,1.0280551822274561e-39,1.5604787289405451e-39,2.922868393344429e-43,3.9492147844731219e-51,8.4505128070952676e-59
