Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011)
0.0,0.388995166889366,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.449720221030435e-23,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,1.4433891893287478e-17,1.0765025347827954e-16,1.0764969685514516e-16,2.6523728911417609e-29,2.6523846249145153e-29,2.9002283093705302e-16,1.0489826079133733e-26,1.1772746073046899e-18,1.8834891491036894e-26,1.5081621786289546e-29,8.3436866453167414e-43,1.7883535633995809e-31,9.4885256771473849e-43,1.0553964682262613e-31,5.9608167249452592e-44,5.9608167249462131e-44,8.3510052643961823e-57,1.1833067708672516e-57,5.0977691219658937e-33,1.0161084112563233e-101,9.4430399121270905e-102,9.4430399121271001e-102,1.4547254784683714e-47,5.5662314937013488e-22,1.8241002802679064e-40,1.7283878091044537e-47,2.7186078760339666e-43,1.5140901560558681e-43,9.7765336554699776e-63,1.4716129680673601e-49,1.4111342987412393e-79,1.048173162391899e-63,3.2000283574827132e-58,5.9232761644704488e-73,1.7854536574828617e-86,9.29040109565254e-100
1.2459216618885217e-22,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999999856,1.0,19.0,4.0414897301204913e-17,3.0142070973904757e-16,3.0141915119431981e-16,1.6020332262458857e-28,1.6020391582661219e-28,8.1206392652710249e-16,6.3358549511675676e-26,3.2963689001942409e-18,1.137627445945652e-25,9.109299558328508e-29,9.9055948543221909e-42,1.0801655522507014e-30,1.1264681519031278e-41,6.374594668081556e-31,7.0766816158488665e-43,7.076681615850998e-43,1.8680864729568053e-55,2.6470099139304114e-56,3.0790525496671671e-32,1.0827423622052435e-99,1.0062291806258772e-99,1.0062291806258786e-99,1.7270558944345828e-46,1.5585448182694103e-21,1.1017565693132884e-39,2.0519419835637644e-46,3.2275312701336824e-42,1.7975278331058702e-42,2.1869714725991867e-61,1.747098915688886e-48,5.8230851955289675e-78,2.344728966853321e-62,3.7990846694807616e-57,2.4442641533721963e-71,1.3440491039673651e-84,1.2681390633605616e-97
2.847820941459478e-22,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999999667,1.0,19.0,9.2376908117039653e-17,6.8896162226004267e-16,6.8895805987232248e-16,7.7131003673841702e-28,7.713117161542571e-28,1.8561461173206181e-15,3.0504414228682803e-25,7.5345574849377841e-18,5.4771864438988862e-25,4.3857356145674297e-28,9.725308368277016e-41,5.2005321617262983e-30,1.105952742350845e-40,3.069092929594371e-30,6.9479279745771312e-42,6.9479279745813446e-42,3.6910240681816535e-54,5.2300455296168328e-55,1.4824312606673319e-31,2.4640682857501896e-97,2.289942186363587e-97,2.2899421863635942e-97,1.6956362627995082e-45,3.5623881562000912e-21,5.3044836154877402e-39,2.0146087577365179e-45,3.1688093393942816e-41,1.7648234853913866e-41,4.3210870936635225e-60,1.7153120755771942e-47,2.3035545949254055e-76,4.632796573867056e-61,3.7299871642472225e-56,9.6692814125340522e-70,1.0627009371497643e-82,2.0033521915261791e-95
6.051619500601391e-22,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999999289,1.0,19.0,1.9630092974870862e-16,1.4640434472998701e-15,1.4640358772269411e-15,3.3685135716920965e-27,3.3685105683936486e-27,3.9443104973613142e-15,1.3322079110747154e-24,1.6010934650282626e-17,2.3920312176105548e-24,1.9153659659436831e-27,8.6018123367712894e-40,2.2712090248564628e-29,9.7816644324439116e-40,1.3403535146395022e-29,6.1453636107095332e-41,6.1453636107170322e-41,6.567980108349768e-53,9.306586576155612e-54,6.4741667848930671e-31,4.164166470243591e-95,3.869901060128035e-95,3.8699010601280596e-95,1.4997720824692271e-44,7.5700748325899727e-21,2.316607356422934e-38,1.7818985433075044e-44,2.8027759739630678e-40,1.5609663862219597e-40,7.6891436084482008e-59,1.5171741055542722e-46,8.2212227264194765e-75,8.2438198488393878e-60,3.2991728680234496e-55,3.4509003844120048e-68,7.5957475891889547e-81,2.8657321391126888e-93
1.2459216618885217e-21,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999998535,1.0,19.0,4.0414897301204444e-16,3.014207097370874e-15,3.014191511930632e-15,1.4062881068312156e-26,1.4062782134990913e-26,8.1206392512573712e-15,5.5617057783792879e-24,3.2963688964403333e-17,9.9862594527875845e-24,7.9962758628549194e-27,7.2301518485412545e-39,9.4818505871955351e-29,8.2214688746343299e-39,5.5957120744649952e-29,5.1655484006973361e-40,5.1655484007099829e-40,1.1077858414057992e-51,1.5696918528040374e-52,2.7028371884630621e-30,6.0972569833325304e-93,5.6663876029663613e-93,5.6663876029664337e-93,1.2606492040464021e-43,1.5585448187483814e-20,9.6713796903178235e-38,1.4977929447280509e-43,2.3559020841744535e-39,1.3120863018625825e-39,1.2968864564745621e-57,1.2752762523116061e-45,2.777765350389148e-73,1.3904411772735863e-58,2.7732233361185039e-54,1.1659816484106666e-66,5.1370095742658823e-79,3.877753376859104e-91
2.527441085545287e-21,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999997036,1.0,19.0,8.1984505953870807e-16,6.1145343974782755e-15,6.1145027813158292e-15,5.7451457766871969e-26,5.7450347573092107e-26,1.6473296734308139e-14,2.2721382806131378e-23,6.6869197526368846e-17,4.0797128231809389e-23,3.2667395984244881e-26,5.9274042146023208e-38,3.8736453474291731e-28,6.7394576406427521e-38,2.2860309659770029e-28,4.2350286681168598e-39,4.2350286681376325e-39,1.8195415595397767e-50,2.578223577798658e-51,1.1041971828915444e-29,8.3374831810768492e-91,7.7483057490209911e-91,7.7483057490211884e-91,1.0335565422043276e-42,3.1616194905727825e-20,3.9510741747409837e-37,1.2279809056232104e-42,1.9315108631602699e-38,1.0757276214810582e-38,2.1301398991448906e-56,1.0455485205837902e-44,9.1326847332967523e-72,2.2838041665542792e-57,2.2737704267168754e-53,3.8334931795139245e-65,3.379297036396042e-77,5.1029062665883582e-89
5.0904799328588174e-21,0.3889951668893659,154.0,0.0,0.0,0.0,0.99999999999994038,1.0,19.0,1.6512372325920026e-15,1.231518899755466e-14,1.2315125319997487e-14,2.3222797797302167e-25,2.3221778268319415e-25,3.3178611601444273e-14,9.1843461828029312e-23,1.3468021438519629e-16,1.6490851465432361e-22,1.3204683734383937e-25,4.7996618051801646e-37,1.5657893815841572e-27,5.4561697289360197e-37,9.2405026691336979e-28,3.4296360158705284e-38,3.4296360159042026e-38,2.949555240286571e-49,4.17941151009378e-50,4.4633415591763221e-29,1.1027119652691795e-88,1.0247876096960118e-88,1.0247876096960641e-88,8.3700094837099909e-42,6.3677688376041129e-20,1.5970873552053037e-36,9.9445038085325109e-42,1.5641875698405772e-37,8.7115211524185743e-38,3.4530485707303281e-55,8.4671229963320716e-44,2.9621644021912489e-70,3.7021452092497705e-56,1.8415435108328978e-52,1.2433844078720287e-63,2.1926033684896821e-75,6.6225885309309698e-87
1.0216557627485877e-20,0.388995166889366,154.0,0.0,0.0,0.0,0.99999999999988032,1.0,19.0,3.3140215786984598e-15,2.4716498197153787e-14,2.4716370397005851e-14,9.3377848552345103e-25,9.3369159255793154e-25,6.6589240939854999e-14,3.6929851808797617e-22,2.7030224704243683e-16,6.6308987999563187e-22,5.309545229826458e-25,3.8623746105879795e-36,6.2959702204846536e-27,4.3889980061598823e-36,3.7155654818502427e-27,2.7604694369959708e-37,2.7604694370502029e-37,4.7501676652753344e-48,6.7308133519765479e-49,1.7946900104461898e-28,1.4346584986348926e-86,1.3332767756715581e-86,1.3332767756716944e-86,6.7369120630339211e-41,1.2780067545196889e-19,6.4218180251633796e-36,8.0041954736350469e-41,1.2589942294864017e-36,7.011790064320512e-37,5.5610282724318568e-54,6.8150772103152651e-43,9.5430071997468202e-69,5.9621907709843504e-55,1.4825326690927617e-51,4.0057285315272267e-62,1.4129050987518627e-73,8.5356007047544417e-85
2.046871301674e-20,0.388995166889366,154.0,0.0,0.0,0.0,0.9999999999997603,1.0,19.0,6.6395902709108514e-15,4.9519116594137705e-14,4.9518860549602753e-14,3.7448693683929165e-24,3.7441527943458777e-24,1.3341049803323029e-13,1.4810522102770813e-21,5.4154630811526059e-16,2.6592869569705459e-21,2.1293650935576347e-24,3.0980119860470804e-35,2.5249656389723788e-26,3.5177256696850217e-35,1.4901079407884187e-26,2.2151028746290913e-36,2.2151028747161459e-36,7.62507072261751e-47,1.0804445948751031e-47,7.1975096365407571e-28,1.8513507923333908e-84,1.7205230494895246e-84,1.7205230494898766e-84,5.4059477596546431e-40,2.5604665014502888e-19,2.5754362608167838e-35,6.4228526000585733e-40,1.0102635676939597e-35,5.6265198683148896e-36,8.9266819618928861e-53,5.4686702624094294e-42,3.064059477696445e-67,9.5706361687976288e-54,1.190117740017505e-50,1.2861553661847464e-60,9.0735742365184752e-72,1.0963298371659222e-82
