Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810)
0.0,0.9248091893144569,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.515822859364309e-20,0.9248091893144569,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,9.9944312763769834e-17,2.0496260227765128e-16,2.0496253903036017e-16,5.8778169954745107e-27,5.8774500595835399e-27,3.1493229894759446e-17,3.0558180233897247e-25,5.7543116238308812e-21,3.0093148227062716e-25,4.2410092982351672e-27,1.2006446369447582e-38,2.735177633294488e-30,1.7323101764165917e-38,7.256721255943517e-31,2.0135887593009659e-41,2.0135887593476376e-41,4.1664421200779547e-52,5.0074938171376835e-53,1.9381155102881021e-31,1.6614140570058666e-94,1.5982126060144513e-94,1.5982126060144547e-94,5.7783031234915631e-44,6.3251531466786368e-23,3.8064047668055939e-40,2.1864924119123556e-44,3.0076390184420956e-41,3.0541163227778921e-41,3.8550182895554084e-59,3.874072454520557e-47,3.8528715363994745e-75
4.244304006220065e-20,0.9248091893144569,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,2.7984407573855276e-16,5.738952863446409e-16,5.7389510926596089e-16,3.5502014649645524e-26,3.5497648050942559e-26,8.8181041693998831e-17,1.845714050998408e-24,1.6112072320533651e-20,1.8176261183201929e-24,2.5615695992983387e-26,1.4253087089531344e-37,1.6520472903342617e-29,2.056157936065633e-37,4.3830596383494266e-30,2.3905325748730124e-40,2.3905325749774157e-40,9.3201638876549695e-51,1.1201563269625145e-51,1.170621768169794e-30,1.7703656033297724e-92,1.7030195528713436e-92,1.7030195528713504e-92,6.8600016306535311e-43,1.7710428936290039e-22,2.2990684931263795e-39,2.5957988031926377e-43,3.5706689804487506e-40,3.6258468351940234e-40,8.6235217130765814e-58,4.5992988177107857e-46,1.5898982275437458e-73
9.701266299931578e-20,0.9248091893144569,154.0,0.0,0.0,0.0,0.99999999999999645,1.0,19.0,6.3964360168810714e-16,1.3117606543475051e-15,1.3117602496609708e-15,1.7092691818309117e-25,1.7088399698308959e-25,2.0155665724716759e-16,8.8863182850825473e-24,3.6827592809167946e-20,8.7510869855139258e-24,1.2332854786732519e-25,1.3991719589800238e-36,7.9538965549863137e-29,2.0178151698614967e-36,2.1102545408676877e-29,2.3470390573170138e-39,2.3470390575232973e-39,1.8415071196249545e-49,2.2132400965416143e-50,5.6360399032545207e-30,4.0289378974849659e-90,3.8756740437216037e-90,3.8756740437216347e-90,6.735190351683569e-42,4.0480981017872251e-22,1.1069025271401478e-38,2.5485600918752136e-42,3.505703846934427e-39,3.5598777898854541e-39,1.7038625717456671e-56,4.5156188520715119e-45,6.289479278643195e-72
2.0615190887354603e-19,0.9248091893144569,154.0,0.0,0.0,0.0,0.99999999999999256,1.0,19.0,1.3592426535871701e-15,2.7874913898289119e-15,2.787490530146225e-15,7.4648275795708761e-25,7.4610298007348441e-25,4.2830785617226983e-16,3.8808883452057273e-23,7.8258630167351917e-20,3.8218292886238942e-23,5.3860815478058826e-25,1.2371879712601648e-35,3.4736755915623084e-28,1.7830773778980969e-35,9.2160359913211636e-29,2.0759294661881207e-38,2.0759294665551905e-38,3.2768627901830343e-48,3.9383423449178114e-49,2.4614066973805693e-29,6.8087269302615053e-88,6.5497177930905698e-88,6.5497177930906747e-88,5.9571996213187087e-41,8.6022087190474327e-22,4.8341342703087192e-38,2.2541537440021085e-41,3.1007551172335639e-38,3.1486713526477644e-38,3.03193240942689e-55,3.994013735785549e-44,2.2446704799721373e-70
4.2443040062200656e-19,0.9248091893144569,154.0,0.0,0.0,0.0,0.99999999999998479,1.0,19.0,2.7984407573851139e-15,5.7389528586955366e-15,5.7389510898976734e-15,3.1164185667870643e-24,3.1132268676794051e-24,8.8181012529756968e-16,1.6201942259520051e-22,1.6112069040738388e-19,1.5955382364071733e-22,2.2485828950675313e-24,1.0393195782253216e-34,1.4501911787235193e-27,1.4960034665393589e-34,3.8475136065468591e-28,1.744943799392897e-37,1.7449438000120133e-37,5.5269055619368131e-47,6.6425894855010651e-48,1.0275888429380992e-28,9.9694760233739784e-86,9.5902295931305526e-86,9.5902295931308626e-86,5.0073852421631964e-40,1.7710430757342905e-21,2.0181560021581415e-37,1.8947204259645734e-40,2.6063711159737832e-37,2.6466475929099358e-37,5.1137971651657696e-54,3.3572092004325782e-43,7.5842342309061826e-69
8.609873841189276e-19,0.9248091893144567,154.0,0.0,0.0,0.0,0.99999999999996925,1.0,19.0,5.6768369649802705e-15,1.1641875788052818e-14,1.1641872204524331e-14,1.2731586689204101e-23,1.2705440433596965e-23,1.788814148648843e-15,6.6190199223008832e-22,3.2684475298212411e-19,6.518292192632938e-22,9.1861937919080967e-24,8.5109595589629255e-34,5.9245041400896476e-27,1.2219787119613111e-33,1.5718348480823363e-27,1.4306103500483403e-36,1.4306103510652401e-36,9.0779508014008731e-46,1.0910471469966109e-46,4.1980357146858077e-28,1.3632415155402592e-83,1.3113827742088674e-83,1.3113827742089517e-83,4.1053569611686068e-39,3.5926878049034096e-21,8.2448266302919833e-37,1.5533544297941753e-39,2.1368598641214163e-36,2.1698809433136813e-36,8.3994271999162598e-53,2.7524429334758254e-42,2.4935302818638846e-67
1.7341013511127697e-18,0.9248091893144569,154.0,0.0,0.0,0.0,0.99999999999993805,1.0,19.0,1.1433629380167661e-14,2.3447721613333466e-14,2.3447714414272666e-14,5.1463108854109688e-23,5.1251760427938603e-23,3.6028201357564234e-15,2.675511945790183e-21,6.5829264651047151e-19,2.6347962133762599e-21,3.7132055734186548e-23,6.8762373429765094e-33,2.3947792894308301e-26,9.8232255525915514e-33,6.3536077588371017e-27,1.1585453497001497e-35,1.1585453513485853e-35,1.4715722922882627e-44,1.7686338884526506e-45,1.6969131545128641e-27,1.8030174000847468e-81,1.7344292505214184e-81,1.7344292505216417e-81,3.3246245102764099e-38,7.2359785492817397e-21,3.3326914373317542e-36,1.2578627184804301e-38,1.7304834717560273e-35,1.7572247816147037e-35,1.3615833448119826e-51,2.2289996444533431e-41,8.0877056985184907e-66
3.480329285100454e-18,0.9248091893144569,154.0,0.0,0.0,0.0,0.99999999999987566,1.0,19.0,2.2947214210530756e-14,4.7059413130714904e-14,4.7059398755749439e-14,2.0693089607271162e-22,2.0523622618701339e-22,7.2308238716104212e-15,1.0758101901259876e-20,1.3211875070839292e-18,1.059438594440072e-20,1.4930629608343695e-22,5.5087588402369394e-32,9.6293021270023404e-26,7.7920564503996172e-32,2.5547577260909768e-26,9.3249808402300919e-35,9.3249808667775551e-35,2.3699132682460363e-43,2.8483285714456567e-44,6.8232131438649639e-27,2.3457750504117019e-79,2.256539988141172e-79,2.2565399881417533e-79,2.6759470468499672e-37,1.4522565182198748e-20,1.3400611240832618e-35,1.0123021965429495e-37,1.3928419596106259e-34,1.4143656661470086e-34,2.1927880019194295e-50,1.7940928244410484e-40,2.6055621233826261e-64
6.972785153075821e-18,0.9248091893144567,154.0,0.0,0.0,0.0,0.99999999999975098,1.0,19.0,4.5974383871210176e-14,9.4282795637141305e-14,9.4282767126623475e-14,8.2988543573562205e-22,8.1638984714953728e-22,1.4486798390023436e-14,4.3144688335437661e-20,2.6469735223082566e-18,4.248811582859144e-20,5.9878448963520009e-22,4.379526819340494e-31,3.8617807783463638e-25,6.0763548112003768e-31,1.0245721048302988e-25,7.4827097839503999e-34,7.4827098265646782e-34,3.8042082274144021e-42,4.5721924459124671e-43,2.7364136324115325e-26,3.0270983890499047e-77,2.9119452702101608e-77,2.9119452702116607e-77,2.1472789873098988e-36,2.9095759024674039e-20,5.3742489148959244e-35,8.1209194357524117e-37,1.1176652468586741e-33,1.1349366239845968e-33,3.5199103735742015e-49,1.4396464907888761e-39,8.3659135414606755e-63
