Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258)
4.642737011956225e-22,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999999999976941,1.0,19.0,1.1714439103795662e-15,9.8379294693746662e-15,9.8379294693835456e-15,1.7752821081201378e-26,1.7752667143275314e-26,2.0537588691407317e-13,5.8615201543797748e-23,4.4085139869364654e-15,1.462393646778803e-22,8.8788291377396437e-27,8.0479060780036657e-39,1.0665119174783114e-26,8.049119727944861e-39
9.289507679005375e-22,0.4135214163261503,154.0,0.0,0.0,0.0,0.99999999999953859,1.0,19.0,2.3439055826270349e-15,1.9684406227542589e-14,1.9684406227578129e-14,7.1057549508300398e-26,7.1056317078859847e-26,4.1093020598128148e-13,2.3461356159545016e-22,8.8208581277952638e-15,5.8533856898704234e-22,3.5538455421647062e-26,6.4427449143250631e-38,4.2688270777556739e-26,6.4429328053926788e-38
1.8583049013103677e-21,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999999999907696,1.0,19.0,4.688828927120867e-15,3.9377359743700273e-14,3.9377359743842457e-14,2.8432275474992043e-25,2.8431289172847148e-25,8.2203884286757452e-13,9.3875984306904212e-22,1.7645546391723221e-14,2.3421167106786676e-21,1.4220011246169819e-25,5.1553964157909311e-37,1.7080868696351377e-25,5.1542932600594142e-37
3.717013168130028e-21,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999815359,1.0,19.0,9.3786756161041114e-15,7.8763266775302951e-14,7.8763266775871776e-14,1.1374761586373383e-24,1.1373972420356167e-24,1.6442561116476668e-12,3.7556506429443003e-21,3.5294922848420564e-14,9.369991905016217e-21,5.68893043344923e-25,4.1238885486113537e-36,6.8334597023635725e-25,4.1210029590783309e-36
7.434429701769348e-21,0.4135214163261503,154.0,0.0,0.0,0.0,0.99999999999630695,1.0,19.0,1.8758368994052923e-14,1.5753508083565783e-13,1.5753508083793298e-13,4.55027493886482e-24,4.5496435869890771e-24,3.2886906292378758e-12,1.5023825121982515e-20,7.0593675477180945e-14,3.7483017766797264e-20,2.2757573636373179e-24,3.297486572833064e-35,2.7336063322200871e-24,3.2919829132940122e-35
1.486926276904799e-20,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999999261369,1.0,19.0,3.751775574987983e-14,3.1507870894496728e-13,3.1507870895406566e-13,1.8201840379818028e-23,1.8196789979083101e-23,6.5775595845383932e-12,6.0097745049812959e-20,1.4119117959616465e-13,1.4993817001709327e-19,9.1033997688340688e-24,2.6350195916384859e-34,1.0934870172614324e-23,2.6255359899364938e-34
2.9738928903605274e-20,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999998522704,1.0,19.0,7.5036529261250753e-14,6.3016596511799839e-13,6.3016596515437242e-13,7.2808842709221777e-23,7.2768449005466561e-23,1.3155297175619843e-11,2.4039586440531597e-19,2.8238618327998366e-13,5.9976486569910179e-19,3.6414339081749368e-23,2.1031305786418654e-33,4.3740369796506737e-23,2.0875149584328394e-33
5.947826117271984e-20,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999999997045375,1.0,19.0,1.5007407628286109e-13,1.2603404772818148e-12,1.2603404774271508e-12,2.9123833256210133e-22,2.9091534635153391e-22,2.6310771079704519e-11,9.6159318608230208e-19,5.6477617243102951e-13,2.3990837343846413e-18,1.4565883127039237e-22,1.6746815628620802e-32,1.7496325263588241e-22,1.6496570756443958e-32
1.1895692571094898e-19,0.4135214163261503,154.0,0.0,0.0,0.0,0.99999999994090727,1.0,19.0,3.0014917032155588e-13,2.5206895008813108e-12,2.5206895014613676e-12,1.1649592482775654e-21,1.162378015333031e-21,5.2621713775561985e-11,3.8463918810331417e-18,1.1295560778667621e-12,9.5963826818088091e-18,5.8263823432277771e-22,1.3273728980336793e-31,6.9985651923440447e-22,1.2882628122199339e-31
2.379142547874072e-19,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999999988181421,1.0,19.0,6.002993583808418e-13,5.0413875451744924e-12,5.0413875474844436e-12,4.6598487856263377e-21,4.6392414859837584e-21,1.0524357871803738e-10,1.5385603235186749e-17,2.259115597272866e-12,3.8385619823007617e-17,2.3305584305489087e-21,1.042615367797128e-30,2.7994327885378928e-21,9.8359799049773627e-31
4.7582891294032375e-19,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999976362819,1.0,19.0,1.2005997344269982e-12,1.0082783622191096e-11,1.0082783631349155e-11,1.8639418379201961e-20,1.8475237669980937e-20,2.104872268060934e-10,6.1542463863431232e-17,4.5182334702242297e-12,1.5354260633994678e-16,9.3222421072666049e-21,8.0480961652543047e-30,1.1197742130991197e-20,7.2083838944049679e-30
7.137435710932403e-19,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999964544217,1.0,19.0,1.800900110400739e-12,1.5124179687691014e-11,1.5124179707032435e-11,3.9608778187025416e-20,3.9140432231314458e-20,3.1573079309731815e-10,1.3077774447455645e-16,6.7773501773153497e-12,3.2627806034060199e-16,1.9809766792382762e-20,2.2550398012381475e-29,2.3795206136709967e-20,1.962844363460328e-29
1.1895728873990732e-18,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999940907014,1.0,19.0,3.0015008620585596e-12,2.5206971773042203e-11,2.5206971825673256e-11,1.0950665622490812e-19,1.0736954571299996e-19,5.262175984929514e-10,3.6156184213210103e-16,1.129557892806143e-11,9.0206248027072883e-16,5.4768161993540102e-20,9.7744972011180716e-29,6.5786735676613169e-20,7.9026444950223295e-29
1.6178192720743228e-18,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999919633531,1.0,19.0,4.0820415383166243e-12,3.4281484613281445e-11,3.4281484706015572e-11,1.9499892918835919e-19,1.9020721270170825e-19,7.1565545906219662e-10,6.4383426140992939e-16,1.5361981036816738e-11,1.6063053758903957e-15,9.752583935582556e-20,2.1308305401718689e-28,1.17146659539543e-19,1.6567934507383773e-28
2.0460656567495725e-18,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999999898360048,1.0,19.0,5.1625822143270292e-12,4.3355997415157913e-11,4.3355997558377605e-11,3.0439609520715226e-19,2.9537663131026323e-19,9.0509303988968918e-10,1.0050339148434444e-15,1.9428379158372561e-11,2.5074642297507152e-15,1.5223915600521724e-19,3.8980973719492559e-28,1.8286753960381034e-19,2.9207394598797101e-28
2.474312041424822e-18,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999877086565,1.0,19.0,6.2431228901034938e-12,5.2430510181081582e-11,5.2430510384309292e-11,4.3637396466750335e-19,4.2135584744713825e-19,1.0945303564718091e-09,1.4407886041760598e-15,2.3494773513599309e-11,3.594630822168949e-15,2.1824582817346238e-19,6.3239183362984578e-28,2.6215385271517008e-19,4.5876500179663345e-28
3.3308048107753213e-18,0.4135214163261502,154.0,0.0,0.0,0.0,0.9999999983453961,1.0,19.0,8.4042042411229288e-12,7.0579535631749564e-11,7.0579535975898756e-11,7.5182457834912459e-19,7.1996034383224585e-19,1.4734043870303728e-09,2.4823190784526555e-15,3.1627553635018363e-11,6.1931505038791462e-15,3.7601342504330463e-19,1.2876821038344038e-27,4.5166216477387349e-19,8.8990171045180826e-28
4.1872975801258206e-18,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999791992655,1.0,19.0,1.0565285591277632e-11,8.8728560951870344e-11,8.8728561469790912e-11,1.1507426492575962e-18,1.0931374758620022e-18,1.8522774408335279e-09,3.7994344522216266e-15,3.9760319834580897e-11,9.479228354110588e-15,5.7552575176758758e-19,2.241387768697123e-27,6.9131373654181722e-19,1.4850000006001181e-27
5.04379034947632e-18,0.4135214163261502,154.0,0.0,0.0,0.0,0.999999997494457,1.0,19.0,1.2726366940508943e-11,1.0687758613447454e-10,1.0687758685935922e-10,1.638789573114466e-18,1.5440600753352188e-18,2.2311494516326878e-09,5.4108263139470272e-15,4.7893071168022811e-11,1.3499498112082752e-14,8.1961416860586993e-19,3.5507560014896926e-27,9.8450958671176194e-19,2.2627492810762341e-27
6.756775888177318e-18,0.4135214163261503,154.0,0.0,0.0,0.0,0.99999999664351802,1.0,19.0,1.7048529636149369e-11,1.4317563609096689e-10,1.431756373196457e-10,2.8872922386105202e-18,2.6719405475124124e-18,2.988890285462733e-09,9.5330171877383446e-15,6.4158528399003834e-11,2.3783973105719212e-14,1.4440305215505877e-18,7.4226012647709903e-27,1.7345507547460782e-18,4.3978431348322308e-27
8.469761426878317e-18,0.4135214163261503,154.0,0.0,0.0,0.0,0.99999999579257914,1.0,19.0,2.1370692328038601e-11,1.7947368551470425e-10,1.7947368735612412e-10,4.497874306824669e-18,4.0897614332487749e-18,3.7466268822005817e-09,1.4850674823548286e-14,8.0423925237783306e-11,3.7051024209377564e-14,2.2495327302835696e-18,1.306208705321587e-26,2.7021104777580089e-18,7.3099938875909183e-27
