Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436)
0.0,0.7504036552191804,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.271749433967572e-23,0.7504036552191804,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,2.2741009512582467e-17,8.647753997673478e-17,8.6477145420069466e-17,2.0349234339187128e-29,2.0349300484115635e-29,3.8343751709106193e-16,2.5520688841934679e-26,1.3621006007283126e-18,4.4643737191306616e-26,1.1689893625605459e-29,1.1086372295168062e-42,2.5796043468308581e-31,1.2737300788239415e-42,1.2982865241104384e-31,1.2539669114030382e-43,1.2539669114032316e-43,1.6950921359350602e-56,2.3836059397214195e-57,3.6295919642314218e-33,4.3332584437835015e-101,4.0329455297574897e-101,4.0329455297574954e-101,9.7954878784194896e-48,3.9455667687195022e-22,1.1358024783497237e-40,1.113869167018111e-47,1.0152436521445467e-42,5.8036622772198315e-43,1.7724666715010114e-62,1.650811707706538e-49,4.0307681437331984e-79,1.0288900622327827e-63,2.8123834974589447e-58,1.0008743145873556e-72,5.3946061160118934e-86,2.6938731237911739e-99,9.7013823558603363e-100,4.4746303204536847e-73,1.532007875844596e-113,1.2967478404030847e-117,5.1917968280519316e-114,3.104757091938542e-105,2.7215512277098699e-102,1.3828821490748619e-39,3.254107519135339e-52,4.4395513452849453e-52,1.6787449024020176e-52,4.08646607548398e-56,4.607980754568041e-49,2.8706929373355608e-36,2.3080592682972837e-48,1.823595614221475e-48,2.4651069797471434e-61,2.1455827599691103e-61,1.8316529482945091e-62,2.8233881161238497e-65,4.6663860450217449e-74,1.5499504650422102e-51
2.31608984151092e-22,0.7504036552191804,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,6.3674826635230856e-17,2.4213711193475316e-16,2.4213600717612774e-16,1.2290937540823148e-28,1.2290961921433601e-28,1.0736250476236715e-15,1.5414496057757458e-25,3.8138816814977944e-18,2.6964817258701691e-25,7.0606957490583834e-29,1.3161675100962783e-41,1.558081025337429e-30,1.5121507919960048e-41,7.8416506056178084e-31,1.4887095172158778e-42,1.4887095172163101e-42,3.7918533019707029e-55,5.3320311421058619e-56,2.1922735463960871e-32,4.6174231327000926e-99,4.2974164185238505e-99,4.2974164185238602e-99,1.1629234927759883e-46,1.1047586952649796e-21,6.8602469694199753e-40,1.3223854478848058e-46,1.2052972636273798e-41,6.8901078543799054e-42,3.9649370454876881e-61,1.9598436593883461e-48,1.6633077606648141e-77,2.3015919086381952e-62,3.3388724892031849e-57,4.1301463808415853e-71,4.060935018962947e-84,3.6771326926872079e-97,1.3242372073864103e-97,1.0009599974489016e-71,3.7794592109078739e-111,3.1990922697105035e-115,1.2808148392938268e-111,4.2379886808535566e-103,3.7149132621964233e-100,8.3526081804040602e-39,3.8632764467015395e-51,5.2706353551584732e-51,1.9930059408726627e-51,4.8567982724818073e-55,5.4705947367603953e-48,1.7338985341473766e-35,2.7401279632420917e-47,2.1649727131994567e-47,5.5143457072011571e-60,4.7995828080847765e-60,4.097334379156577e-61,6.3157718427349333e-64,1.9255553514024313e-72,1.8401011920938682e-50
5.293919637739246e-22,0.7504036552191804,154.0,0.0,0.0,0.0,0.99999999999999634,1.0,19.0,1.4554246088052738e-16,5.5345625585037343e-16,5.534537306879776e-16,5.9175573457668034e-28,5.9175532243812999e-28,2.4540001077636815e-15,7.4214163110779724e-25,8.717443840870833e-18,1.2982398767960708e-24,3.3994210651151012e-28,1.2922070677041237e-40,7.5014894383579955e-30,1.484592953369361e-40,3.775417212099299e-30,1.4616238319257738e-41,1.4616238319266282e-41,7.4920631322526808e-54,1.0535195009189168e-54,1.0554853431989606e-31,1.0508174705558455e-96,9.7799142964792181e-97,9.7799142964792659e-97,1.1417665711404158e-45,2.5251627321451138e-21,3.3029136073205837e-39,1.2983258167591197e-45,1.1833680003239429e-40,6.7647487468074498e-41,7.8340474528730045e-60,1.9241861265000881e-47,6.5798800913828886e-76,4.5475635339398567e-61,3.2781476877886447e-56,1.6338469579992733e-69,3.2108634360063132e-82,5.808976137096517e-95,2.0919730073589033e-95,1.9777416546510332e-70,1.1930644931118407e-108,1.0098621273509225e-112,4.0431569678579941e-109,6.6949923151265045e-101,5.8686602565236312e-98,4.02142128949754e-38,3.7929877242547524e-50,5.1747410419763168e-50,1.9567450357368542e-50,4.7797566752561783e-54,5.3710623208298865e-47,8.3479750617222877e-35,2.6902738828779412e-46,2.1255830479232899e-46,1.0895417861129009e-58,9.4831668184149647e-59,8.0956422730572391e-60,1.2478751951629814e-62,7.6169389889754086e-71,1.8066222620400457e-49
1.1249579230195898e-21,0.7504036552191804,154.0,0.0,0.0,0.0,0.99999999999999212,1.0,19.0,3.0927772937111943e-16,1.1760945436799475e-15,1.1760891777106104e-15,2.5843527610056581e-27,2.5843370266581063e-27,5.2147502243428699e-15,3.2411274786305185e-24,1.8524568150953222e-17,5.6697546157823115e-24,1.4846164892005631e-27,1.1429176163071054e-39,3.2760975181748454e-29,1.313024434805078e-39,1.648823885605939e-29,1.2927897269683004e-40,1.292789726969821e-40,1.3331726006870721e-52,1.8746816612968338e-53,4.609581794578693e-31,1.7758350702086032e-94,1.6527622806021913e-94,1.6527622806022075e-94,1.0098801540736875e-44,5.3659708062816863e-21,1.4424691477921793e-38,1.1483543793629088e-44,1.0466755943218864e-39,5.9833436539305911e-40,1.3940268870929274e-58,1.701920838171562e-46,2.3483124673231706e-74,8.0921509962516217e-60,2.8995252051450523e-55,5.8310871968026373e-68,2.2949923053067419e-80,8.3095560027448774e-93,2.9925009934089304e-93,3.5193334246844758e-69,3.4143996374784515e-106,2.8901010970631673e-110,1.1571003373937728e-106,9.5769740278687498e-99,8.3949322414136513e-96,1.7562603293125125e-37,3.3548546878240359e-49,4.5769998421505587e-49,1.730718797324218e-49,4.2477838818876145e-53,4.7506437406707601e-46,3.6457800303649879e-34,2.3795167827200849e-45,1.8800541344099227e-45,1.9387813909708828e-57,1.6874788628654251e-57,1.4405762875466035e-58,2.2204740002514852e-61,2.7181689804807757e-69,1.5979369314122927e-48
2.3160898415109203e-21,0.7504036552191804,154.0,0.0,0.0,0.0,0.99999999999998379,1.0,19.0,6.3674826635229944e-16,2.4213711193324307e-15,2.4213600717516076e-15,1.0789164045997057e-26,1.0788981905445613e-26,1.0736250442697914e-14,1.3531069185337103e-23,3.813881673646323e-17,2.3670109391208115e-23,6.1979815890340484e-27,9.6064923429598662e-39,1.3677062226194117e-28,1.1035395433864361e-38,6.8835151507046849e-29,1.0866676619299258e-39,1.0866676619324906e-39,2.248590438981652e-51,3.1619246267656449e-52,1.9244096594398087e-30,2.600213718734691e-92,2.4200080446240962e-92,2.4200080446241429e-92,8.4886533821502807e-44,1.1047586956060041e-20,6.0220247427987502e-38,9.6526087698281462e-44,8.7979390270405855e-39,5.0293608574311332e-39,2.3512301003662453e-57,1.4305670129010562e-45,7.9344170820424689e-73,1.364859908397565e-58,2.4372941115349384e-54,1.9701931193267641e-66,1.5521048431778892e-78,1.1244039922956496e-90,4.0492898331193394e-91,5.936031600517424e-68,9.2422165279136088e-104,7.8230315332878703e-108,3.1320795345020317e-104,1.2959041172018839e-96,1.1359566412784109e-93,7.3320411542818641e-37,2.8199575101741797e-48,3.8472441398078419e-48,1.4547733867669666e-48,3.6044047406852266e-52,3.9932022163100841e-45,1.5220413953292579e-33,2.0001272320080239e-44,1.5802987817039766e-44,3.2700381825668863e-56,2.8461797354628325e-56,2.4297424676894336e-57,3.7449743070036491e-60,9.1823052487468525e-68,1.3431622737480199e-47
4.698353678493581e-21,0.7504036552191804,154.0,0.0,0.0,0.0,0.99999999999996703,1.0,19.0,1.2916893403146429e-15,4.9119242706107365e-15,4.9119018598165288e-15,4.4077255542634595e-26,4.4075559802573191e-26,2.1779250820194677e-14,5.5278832531891109e-23,7.736731376886417e-17,9.6700119933319343e-23,2.5320777093455174e-26,7.8752959802700248e-38,5.5875261818808917e-28,9.0452444319990802e-38,2.8121405425750739e-28,8.909158029261348e-39,8.9091580293034741e-39,3.6933165064620573e-50,5.1934706801869319e-51,7.8618413782403114e-30,3.5555723182084246e-90,3.3091563017749586e-90,3.3091563017750859e-90,6.9595117767301577e-43,2.2410819261637604e-20,2.4601936023946918e-37,7.9137890281305501e-43,7.2130819428071006e-38,4.1233738803026758e-38,3.8619025002544073e-56,1.1728652683858075e-44,2.6086627418602268e-71,2.2417867655857487e-57,1.9983532478226401e-53,6.4775647263196712e-65,1.0210265366504691e-76,1.4796526230817574e-88,5.3286384291984562e-89,9.7504799090014043e-67,2.4327036713709235e-101,2.0591514098845577e-105,8.2441484182320553e-102,1.7053371752589181e-94,1.4948552615659524e-91,2.9953780500863962e-36,2.3119715413317016e-47,3.1542031661004882e-47,1.1927110407176869e-47,3.0106795717857072e-51,3.2738682794644834e-44,6.2180357295963739e-33,1.6398251465613899e-43,1.2956244188273019e-43,5.3710474962283893e-55,4.6748587165219294e-55,3.9908592982062172e-56,6.1505414513871963e-59,3.0177755868615746e-66,1.1012055824210202e-46
9.462881352458903e-21,0.7504036552191803,154.0,0.0,0.0,0.0,0.99999999999993361,1.0,19.0,2.6015714882392655e-15,9.8930305730607169e-15,9.8929854358780849e-15,1.7816731422749642e-25,1.7815276660588185e-25,4.386525133833491e-14,2.2344587804953288e-22,1.5582430727918982e-16,3.9087734339415088e-22,1.023506290567755e-25,6.376506675103011e-37,2.2585674122403622e-27,7.3214488028954749e-37,1.1367121695221027e-27,7.2148671573115775e-38,7.2148671573798656e-38,5.987025077721529e-49,8.4188397292293289e-50,3.1778819851289031e-29,4.7025847650152763e-88,4.3766759939345361e-88,4.3766759939348748e-88,5.6359934222290239e-42,4.5137283896876142e-20,9.9444959011501095e-37,6.4087869542546602e-42,5.841340735620333e-37,3.3392150548379696e-37,6.2603103739156499e-55,9.4981670290998624e-44,8.4611350733502266e-70,3.6340330871441722e-56,1.6185001299039317e-52,2.1009826756503372e-63,6.6247688106880823e-75,1.9203037845666827e-86,6.9155451643765211e-87,1.5807667022433021e-65,6.314698345512052e-99,5.3450496619823647e-103,2.1399769570685981e-99,2.2131988188614317e-92,1.9400338778858251e-89,1.2107796997794636e-35,1.872294495812203e-46,2.5543554690826201e-46,9.6588820167362655e-47,2.5281338697887522e-50,2.6512631598621888e-43,2.5134294595775189e-32,1.3279729176689577e-42,1.049230245625795e-42,8.7066993225039834e-54,7.5781472852431241e-54,6.469354896843894e-55,9.9683801205043342e-58,9.7805309816801892e-65,8.9178483125584128e-46
1.8991936700389546e-20,0.7504036552191804,154.0,0.0,0.0,0.0,0.99999999999986677,1.0,19.0,5.2213357840882524e-15,1.9855243177534186e-14,1.985515258772804e-14,7.1640293424331121e-25,7.1628257802323445e-25,8.8037251427202227e-14,8.9846603711871359e-22,3.1273829208193605e-16,1.5717005871148153e-21,4.1154737468502392e-25,5.130577836636734e-36,9.0816001702402205e-27,5.8871124206446264e-36,4.5706696388638466e-27,5.8071527669708824e-37,5.80715276708086e-37,9.6419188829302643e-48,1.3558281699974738e-48,1.2778123693998666e-28,6.118191704544385e-86,5.6941754583236877e-86,5.6941754583245706e-86,4.5363379661154249e-41,9.0590213263686827e-20,3.9986380717338238e-36,5.1583419205639687e-41,4.7016191553498914e-36,2.6876907505014936e-36,1.008203686362861e-53,7.6449511466438379e-43,2.7258673711489007e-68,5.852498110055723e-55,1.3030024643775643e-51,6.7685953970681114e-62,4.2689751678273341e-73,2.4750059193704571e-84,8.913181006140297e-85,2.5463296946351913e-64,1.6277983771540726e-96,1.3778431429919328e-100,5.5164145159057801e-97,2.8525071095083146e-90,2.5004352803588259e-87,4.8684919204654122e-35,1.506985495737625e-45,2.0559674521935028e-45,7.7743065833133204e-46,2.1797545561183906e-49,2.1339668374737039e-42,1.0106389311005675e-31,1.0688681329924152e-41,8.4451178253206634e-42,1.4021870450030648e-52,1.2204372106282943e-52,1.0418696611480214e-53,1.6047611924050109e-56,3.1460736628484008e-63,7.1778601560658104e-45
3.8050047396250833e-20,0.7504036552191803,154.0,0.0,0.0,0.0,0.99999999999973299,1.0,19.0,1.0460864375785188e-14,3.9779668384775475e-14,3.9779486890335308e-14,2.8730961838972717e-24,2.8721174409516513e-24,1.7638124781528437e-13,3.6032505692787673e-21,6.2656625281580876e-16,6.3032221600926791e-21,1.6504890158175848e-24,4.114096614421845e-35,3.6421278054584505e-26,4.7147128974069597e-35,1.8330429530860386e-26,4.6598743730004977e-36,4.6598743731770358e-36,1.5477413773353406e-46,2.1764044367534499e-47,5.1245991169425445e-28,7.8952022866294356e-84,7.3480317829633488e-84,7.3480317829656229e-84,3.6401255859517853e-40,1.814960723826427e-19,1.6036327161301703e-35,4.1392326989926848e-40,3.7727531881361532e-35,2.1567025130341567e-35,1.618390200385958e-52,6.1345918326033821e-42,8.7521884641652677e-67,9.3945546692056418e-54,1.0460472505406761e-50,2.173253821635879e-60,2.7415047999170297e-71,3.1789475523602049e-82,1.1448269567818578e-82,4.0892005594398788e-63,4.1816107065332793e-94,3.5395070654928734e-98,1.4170966374284684e-94,3.6638177269208219e-88,3.2116095373405961e-85,1.952483008471523e-34,1.209260953004896e-44,1.6497843146541029e-44,6.2383882667904601e-45,1.9816500995824957e-48,1.7123733393205027e-41,4.0531141319708281e-31,8.5769935826350871e-41,6.7766751980158817e-41,2.2508206175949406e-51,1.9590718565250861e-51,1.6724315420058014e-52,2.5740226956309578e-55,1.0070350569617836e-61,5.7597807275541677e-44
