Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620)
0.0,0.5207024686751367,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3707081158453672e-21,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,4.9074171421275208e-17,1.953022741503636e-16,1.9530216912292215e-16,2.30646110105872e-27,2.3064191845743113e-27,3.6135992862363633e-17,8.1850832419090283e-26,1.2310534776334045e-20,9.0889822993293335e-26,1.5862402035011975e-27,1.4653735809649936e-39,1.5158725699662948e-30,2.015459000030836e-39,3.8704518868637458e-31,3.5246677375061557e-42,3.5246677375383324e-42,2.8627263118924393e-53,3.5495926387527173e-54,1.0889892548086326e-31,2.010517627918531e-96,1.9205108276041384e-96,1.9205108276041409e-96,1.3417345573179132e-44,1.0502902748789309e-22,3.7195787039263403e-40
9.437982724367029e-21,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999999999867,1.0,19.0,1.374076799795701e-16,5.4684636760840523e-16,5.4684607353670702e-16,1.3931025049937402e-26,1.3930520192125075e-26,1.0118077944248656e-16,4.9437902547864478e-25,3.4469497251282217e-20,5.4897452828922963e-25,9.5808908110585687e-27,1.7396454689403784e-38,9.1558703222234693e-30,2.3925570823645628e-38,2.3377529396181919e-30,4.1844855378556506e-41,4.1844855379276288e-41,6.4038041632087852e-52,7.9402967290679368e-53,6.5774950989407835e-31,2.1423625486508168e-94,2.0464533183911144e-94,2.0464533183911191e-94,1.592907370030992e-43,2.9408127767176536e-22,2.2466255419021311e-39
2.157253194141035e-20,0.5207024686751367,154.0,0.0,0.0,0.0,0.999999999999997,1.0,19.0,3.1407469709615788e-16,1.249934554474039e-15,1.2499338823343762e-15,6.7071888811928551e-26,6.7066894782485979e-26,2.3127035031420596e-16,2.3802221717572355e-24,7.8787421711366124e-20,2.6430760137910379e-24,4.6127864846484956e-26,1.707896710129615e-37,4.4081574329025626e-29,2.3486120031702574e-37,1.1255274086287114e-29,4.1083527144910382e-40,4.1083527146332556e-40,1.26528375150903e-50,1.5688688195214078e-51,3.1667807528284627e-30,4.8755159089643883e-92,4.6572489409196855e-92,4.657248940919708e-92,1.5639259471900081e-42,6.7218578086216848e-22,1.0816534941910757e-38
4.5841630375496996e-20,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999999999356,1.0,19.0,6.6740873132932545e-16,2.6561109280035235e-15,2.6561094998101119e-15,2.9292055976358075e-25,2.9287622982582854e-25,4.9144948290353925e-16,1.0395055355662067e-23,1.6742326867228419e-19,1.1543007118657629e-23,2.0145250304091183e-25,1.5104418350981935e-36,1.9251581632791344e-28,2.0765833336614788e-36,4.9154738955805391e-29,3.6337914499324575e-39,3.6337914501855245e-39,2.2515046967778425e-49,2.7917182089001077e-50,1.3830163534467566e-29,8.2394063455901579e-90,7.8705448189105751e-90,7.8705448189106501e-90,1.3832748076164557e-41,1.4283947985336097e-21,4.7238650272115414e-38
9.437982724367029e-20,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999999998668,1.0,19.0,1.374076799795628e-15,5.4684636742554911e-15,5.4684607342831735e-15,1.2228856751434456e-24,1.2225124425607466e-24,1.0118077114657858e-15,4.3397308094540161e-23,3.4469495475712174e-19,4.8189780537628604e-23,8.4102453066270605e-25,1.2693256571343856e-35,8.0371563607589567e-28,1.7442542081066502e-35,2.0521135897523805e-28,3.0544206653202496e-38,3.0544206657470849e-38,3.7974913017564015e-48,4.7086407004703975e-49,5.7738210275536003e-29,1.2064305838863733e-87,1.1524211312224729e-87,1.1524211312224954e-87,1.1627258318554818e-40,2.9408128790390299e-21,1.9721206947110542e-37
1.9145622098001687e-19,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999999997302,1.0,19.0,2.7874129367281051e-15,1.1093169163532455e-14,1.1093163201315665e-14,4.9958869979364917e-24,4.9928251871878052e-24,2.0525240221246203e-15,1.7729214950199424e-22,6.9923829557880511e-19,1.9687096160281053e-22,3.4358595167475827e-24,1.0401917930486015e-34,3.2834406170454984e-27,1.4280169747241647e-34,8.3835535994108304e-28,2.504198600592544e-37,2.5041986012936227e-37,6.2373893675537046e-47,7.7339561448967148e-48,2.3587942842651643e-28,1.6496917749233948e-85,1.5758384169134085e-85,1.5758384169134708e-85,9.5327288930938267e-40,5.9656492207000284e-21,8.0567568136605648e-37
3.8560900845271e-19,0.5207024686751367,154.0,0.0,0.0,0.0,0.9999999999999456,1.0,19.0,5.6140852105925424e-15,2.2342580129186704e-14,2.2342568127726098e-14,2.0194173996672914e-23,2.0169382011741444e-23,4.1339560575798218e-15,7.1664309959910862e-22,1.4083248518302273e-18,7.9578377576446897e-22,1.3888292619564633e-23,8.416009889193489e-34,1.3272191932665386e-26,1.1531739115348872e-33,3.3887664040238497e-27,2.0279649506129805e-36,2.0279649517494588e-36,1.0111072093074327e-45,1.2537075071823011e-46,9.5346236306549413e-28,2.1818752938602282e-83,2.0841971580693192e-83,2.0841971580694819e-83,7.7198510309813228e-39,1.2015322626622641e-20,3.2566701538850289e-36
7.739145833980963e-19,0.5207024686751368,154.0,0.0,0.0,0.0,0.99999999999989075,1.0,19.0,1.1267429758319353e-14,4.4841402008962206e-14,4.4841377949928764e-14,8.1199885286891388e-23,8.1000523088646006e-23,8.2968177850416702e-15,2.8815894574298232e-21,2.8264974627654714e-18,3.1998105331920217e-21,5.5844206606139814e-23,6.7615217035326719e-33,5.3366899880975275e-26,9.229516918939726e-33,1.3626080648338971e-26,1.6322826181902527e-35,1.6322826200205138e-35,1.6283554248074262e-44,2.0190569306146568e-45,3.8338302229875876e-27,2.8386795671134391e-81,2.7115976348960898e-81,2.7115976348965154e-81,6.2136077411409476e-38,2.4114672328870337e-20,1.3094929331768762e-35
1.5505257332888689e-18,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999999978118,1.0,19.0,2.2574118853764725e-14,8.9839045562904637e-14,8.9838997471861375e-14,3.2564785607958688e-22,3.2405158779555427e-22,1.6622531866181695e-14,1.1556455111703992e-20,5.6628406783669757e-18,1.2832663132302645e-20,2.2396018777137018e-22,5.4058760929406487e-32,2.140251362655842e-25,7.3236386474760719e-32,5.4646677661929797e-26,1.3098039986720721e-34,1.3098040016100416e-34,2.6138660585429174e-43,3.2410323713647669e-44,1.5375373883823474e-26,3.6631655828044882e-79,3.4991730823429891e-79,3.4991730823440857e-79,4.9860289188314638e-37,4.8313383294975591e-20,5.2516538522355714e-35
