Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199)
0.0,0.5703450176715946,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3546205198889084e-21,0.5703450176715946,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,4.8595789321592419e-17,1.9536394859255449e-16,1.9536374902284443e-16,8.8801332367716619e-28,8.8800494268165307e-28,9.3831647727692806e-17,9.0270657105407122e-26,6.5289271829778438e-20,1.1505740348895005e-25,5.7811388284651659e-28,3.3248519482171525e-40,9.0701704138761246e-31,4.3288879444202896e-40,4.4506611696045594e-31,2.5437352797872193e-42,2.5437352797957152e-42,7.5273287623466953e-54,9.6832930795133251e-55,6.3074644330356767e-32,3.8420572630574743e-97,3.6408559140592233e-97,3.6408559140592295e-97,3.0347101002461938e-45,1.9957028782474375e-22,4.1273988539723124e-40,1.9347769849236024e-45,5.5913053398336998e-42,4.3867738346122343e-42
3.792937455688943e-21,0.5703450176715946,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,1.3606821010045839e-16,5.4701905605440148e-16,5.4701849726108483e-16,5.363600474903513e-27,5.3634956863453387e-27,2.627286129584534e-16,5.4523476774069272e-25,1.828099608206965e-19,6.9494671557439235e-25,3.4918078488820378e-27,3.9471848934672218e-39,5.4783829295863492e-30,5.1389444745043697e-39,2.6881993464142944e-30,3.0199225241268361e-41,3.019922524145841e-41,1.6838333235002537e-52,2.1661139258055704e-53,3.8097085175351766e-31,4.094010157375466e-95,3.8796145067963035e-95,3.8796145067963148e-95,3.6028085705277855e-44,5.5879680631800558e-22,2.4929489094827792e-39,2.2969667014128945e-44,6.6379976863346066e-41,5.2079778861611399e-41
8.669571327289013e-21,0.5703450176715946,154.0,0.0,0.0,0.0,0.99999999999999656,1.0,19.0,3.1101305165818902e-16,1.2503292709590918e-15,1.2503279937260481e-15,2.5823427450933452e-26,2.5822371237721339e-26,6.005225407036288e-16,2.625070690985745e-24,4.1785133759179993e-19,3.3458692709756779e-24,1.6811551660512877e-26,3.8752014889154785e-38,2.6376055557629347e-29,5.0447869021813166e-38,1.2942522680807173e-29,2.9649778420066772e-40,2.9649778420442271e-40,3.3269708480966515e-51,4.2798760833963188e-52,1.8342106570992163e-30,9.3170092369822591e-93,8.8290948987113698e-93,8.8290948987114226e-93,3.5372591430927326e-43,1.277249844939422e-21,1.2002475892557744e-38,2.2551743948537011e-43,6.5172254634506797e-40,5.1132235497234607e-40
1.8422839070489154e-20,0.5703450176715946,154.0,0.0,0.0,0.0,0.99999999999999267,1.0,19.0,6.609027347736446e-16,2.6569497006924609e-15,2.6569469866099023e-15,1.1277769209048191e-25,1.127682322713272e-25,1.2761103853285969e-15,1.1464373270111936e-23,8.8793408629107649e-19,1.4612290010772436e-23,7.3420462577314964e-26,3.427272930111448e-37,1.1519116419502857e-28,4.4608845705358555e-37,5.6523396849814751e-29,2.6224893238114903e-39,2.6224893238783072e-39,5.9201666897906875e-50,7.6158107725266106e-51,8.0104798296705423e-30,1.5745333718591462e-90,1.4920780056926026e-90,1.4920780056926209e-90,3.1286657828634076e-42,2.7141559287218247e-21,5.2417965705697119e-38,1.994674196956414e-42,5.7644120677700405e-39,4.5225882855406543e-39
3.792937455688943e-20,0.5703450176715946,154.0,0.0,0.0,0.0,0.99999999999998501,1.0,19.0,1.3606821010045338e-15,5.4701905598551799e-15,5.4701849721933244e-15,4.7082466406497011e-25,4.7074466763531991e-25,2.6272860311170027e-15,4.7861500756813972e-23,1.8280995643179082e-18,6.1003433238923336e-23,3.0651597578749301e-25,2.8803266993484151e-36,4.809004347929306e-28,3.7476716203816155e-36,2.3597405517496549e-28,2.2043602932674337e-38,2.2043602933801312e-38,9.9852258414116672e-49,1.2845177866388648e-49,3.3442176421392284e-29,2.3054636898271835e-88,2.1847308707430752e-88,2.1847308707431288e-88,2.629832158281224e-41,5.5879681224449084e-21,2.1883468957892519e-37,1.6766404587954679e-41,4.8453355917018232e-38,3.8015078951524804e-38
7.694244552968999e-20,0.5703450176715945,154.0,0.0,0.0,0.0,0.99999999999996969,1.0,19.0,2.7602408334662228e-15,1.1096672276964767e-14,1.1096660942623021e-14,1.9234723783590142e-24,1.9228146469346887e-24,5.329637148847707e-15,1.9552984022725939e-22,3.7084304428846893e-18,2.4921892055010044e-22,1.2522177533334822e-24,2.3606418719709397e-35,1.9646351876639852e-27,3.0693408524247025e-35,9.6403101166379538e-28,1.8072677498799624e-37,1.8072677500650682e-37,1.6400761487774272e-47,2.1098242718561245e-48,1.3662220258362833e-28,3.1525265844937112e-86,2.9874346667785331e-86,2.9874346667786813e-86,2.1560953122640331e-40,1.1335592614524195e-20,8.9401112118511145e-37,1.3746055841114962e-40,3.9724987245784867e-37,3.1167057429058128e-37
1.5496858747529113e-19,0.5703450176715946,154.0,0.0,0.0,0.0,0.99999999999993894,1.0,19.0,5.5593582983892454e-15,2.2349635706322297e-14,2.234961288053382e-14,7.7749828848354699e-24,7.7696501510068754e-24,1.073433868892477e-14,7.9036281862226309e-22,7.4690918900707513e-18,1.0073826494771278e-21,5.0616641978833227e-24,1.9103757529385352e-34,7.9413695271702271e-27,2.480421339625663e-34,3.8967674831154537e-27,1.4635722798180194e-36,1.4635722801180842e-36,2.6586334837121907e-46,3.4201159015142999e-47,5.5224878676309443e-28,4.1695181961435572e-84,3.951168330892847e-84,3.9511683308932365e-84,1.7460618938699554e-39,2.2830842017215244e-20,3.6137359748118661e-36,1.1131822318740622e-39,3.2170322403119768e-36,2.5239889433949145e-36
3.1102087136649337e-19,0.5703450176715947,154.0,0.0,0.0,0.0,0.99999999999987754,1.0,19.0,1.1157593228233866e-14,4.4855562545604969e-14,4.4855516744561049e-14,3.1262864181407972e-23,3.1219937299802414e-23,2.1543738987542237e-14,3.1780136649563784e-21,1.499041354465307e-17,4.0506407316313518e-21,2.0352727724467198e-23,1.5354947200214688e-33,3.1931897437751534e-26,1.9881220233393811e-33,1.5668730652873856e-26,1.1780102977175441e-35,1.1780102982007885e-35,4.2816452380048092e-45,5.5079907023776333e-46,2.2205680820608317e-27,5.4246574773416512e-82,5.1405783167772023e-82,5.1405783167782165e-82,1.4053825215522998e-38,4.5821342496727223e-20,1.4530674083526603e-35,8.9597140236924327e-39,2.5893470669842958e-35,2.0315256048032353e-35
6.231254391488978e-19,0.5703450176715946,154.0,0.0,0.0,0.0,0.99999999999975464,1.0,19.0,2.2354063087917407e-14,8.9867416146553845e-14,8.9867324425438027e-14,1.2537806768558137e-22,1.2503392028154554e-22,4.3162528458636241e-14,1.2745252449623564e-20,3.0033051894660118e-17,1.624487624979391e-20,8.1623529964953481e-23,1.22871421637086e-32,1.2806118935740343e-25,1.5821240378463167e-32,6.2838617843483751e-26,9.4527907383125143e-35,9.4527907460696516e-35,6.8729823427117694e-44,8.8415432415326302e-45,8.9054711765659614e-27,7.0002330889123122e-80,6.6336439821056022e-80,6.6336439821082187e-80,1.1277309704363608e-37,9.1802350152270765e-20,5.8274507425230649e-35,7.1893735045469619e-38,2.0777873793420174e-34,1.6301709092148293e-34
