Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999)
0.0,0.49858292890422784,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7532060303455314e-23,0.49858292890422784,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,9.4507842410953776e-18,5.7763874390973157e-17,5.7763434068617295e-17,4.4973843309101025e-30,4.4974170435630538e-30,3.2516679413520739e-16,4.7803638448003833e-27,1.9897636794911181e-18,9.3025493713155892e-27,2.4778480414561285e-30,6.9296728683367233e-44,1.1491070262719474e-31,7.6358243315040458e-44,4.0501593773950282e-32,1.1654351333563257e-44,1.1654351333563827e-44,4.999268474685824e-58,7.255020195676262e-59,1.0870646658593759e-33,1.1940204704018164e-103,1.1046657567580847e-103,1.1046657567580853e-103,1.0137308215491278e-48,4.4032235829918243e-22,5.9152275040590178e-41,1.3732505093732567e-48,8.7916387000435827e-44,4.5178187291138804e-44,8.3081387800279761e-64,2.0547227226307298e-50,7.8518427055116863e-81,6.0595742463280293e-65,9.5126942518836652e-59,1.7081870789620348e-74,2.2874289996579111e-88,3.705248276678584e-102,1.5454204513268899e-102,5.3198294185563721e-74
4.9089768849674884e-23,0.49858292890422784,154.0,0.0,0.0,0.0,0.99999999999999878,1.0,19.0,2.6462195875067044e-17,1.617388482947021e-16,1.6173761539211357e-16,2.7164201358664018e-29,2.7164389786610173e-29,9.1046702353220391e-16,2.8873397621367077e-26,5.5713383023872219e-18,5.6187398200357975e-26,1.4966202169951253e-29,8.2268938467063763e-43,6.9406064385134177e-31,9.0652083860846646e-43,2.4462962639457178e-31,1.3836045903201144e-43,1.3836045903202426e-43,1.1183163605381017e-56,1.6229189976276454e-57,6.5658705817909065e-33,1.2723214672010854e-101,1.1771070858879708e-101,1.1771070858879721e-101,1.203508912948671e-47,1.2329026032447544e-21,3.57279741248432e-40,1.6303229966786082e-47,1.0437433464284919e-42,5.3635543949949358e-43,1.858497412538725e-62,2.439366816306928e-49,3.2400848775915047e-79,1.3555107853049348e-63,1.1293476977112177e-57,7.0489237471378566e-73,1.7219295650007567e-86,5.0576751108874135e-100,2.1095035929795686e-100,1.1900252019537899e-72
1.1220518594211402e-22,0.49858292890422784,154.0,0.0,0.0,0.0,0.99999999999999711,1.0,19.0,6.0485019143010313e-17,3.6968879610206878e-16,3.6968597803904654e-16,1.3078393634237074e-28,1.3078475027924556e-28,2.0810674821406914e-15,1.3901298058838667e-25,1.2734487547427795e-17,2.7051813568203469e-25,7.205582103888769e-29,8.0771839694764451e-42,3.341603232145107e-30,8.900185835225916e-42,1.1777863469451554e-30,1.3584311914385351e-42,1.3584311914387882e-42,2.2096046752412229e-55,3.2066144537926744e-56,3.1611840483194777e-32,2.8955059726576505e-99,2.6788203182204995e-99,2.6788203182205056e-99,1.1816155534806955e-46,2.8180630931640719e-21,1.7201481582289244e-39,1.6006607687725668e-46,1.0247534067509657e-41,5.2659695100070439e-42,3.6720777035832333e-61,2.3949848054975252e-48,1.2817453561273016e-77,2.6782688561432208e-62,1.1088016139935033e-56,2.7884926227027397e-71,1.3614821277843067e-84,7.9899119219148379e-98,3.3325090159703831e-98,2.3512920315996451e-71
2.384360201269923e-22,0.49858292890422784,154.0,0.0,0.0,0.0,0.99999999999999389,1.0,19.0,1.2853066567889657e-16,7.8558869171643782e-16,7.8558270333267438e-16,5.7116781002046733e-28,5.7117054527620722e-28,4.4222683986156448e-15,6.071062080994282e-25,2.706078603450241e-17,1.1814237697869133e-24,3.1468670119614404e-28,7.1441258166727783e-41,1.4593659231031995e-29,7.8719543464892726e-41,5.1437024092780558e-30,1.2015170050816813e-41,1.2015170050821314e-41,3.9318734581581424e-54,5.7059990907763164e-55,1.3805721256418326e-31,4.8932770879368871e-97,4.5270879112771036e-97,4.5270879112771243e-97,1.0451269124898074e-45,5.9883840731154028e-21,7.5123389306546755e-39,1.41576629274236e-45,9.0638278315485391e-41,4.6576903956062492e-41,6.5342660751892565e-60,2.118336938121583e-47,4.5744581328482984e-76,4.7658427919671797e-61,9.8072486777789818e-56,9.9519459809470385e-70,9.7313187222328645e-83,1.1429324780114685e-95,4.7670522839894628e-96,4.1840084404998351e-70
4.908976884967488e-22,0.49858292890422784,154.0,0.0,0.0,0.0,0.99999999999998734,1.0,19.0,2.6462195875066806e-16,1.6173884829437186e-15,1.6173761539189785e-15,2.3845131722024947e-27,2.3845177432246723e-27,9.1046702285974626e-15,2.5345489088011801e-24,5.5713382996625501e-17,4.9322116733400271e-24,1.3137550309609801e-27,6.0049808508584487e-40,6.0925654509343033e-29,6.6165840905852741e-40,2.1473945018825778e-29,1.0099474395983692e-40,1.0099474395991286e-40,6.6316792727484517e-53,9.6240014695970545e-54,5.7636168583902395e-31,7.1648355341251735e-95,6.6286539163689581e-95,6.6286539163690206e-95,8.7849267360191551e-45,1.2329026033468851e-20,3.1362536231009493e-38,1.1900368243441642e-44,7.6186934264336282e-40,3.9150694230811881e-40,1.1020994804287863e-58,1.7805898358649734e-46,1.5456060151799147e-74,8.038295615303555e-60,8.2436237685009048e-55,3.3625398460964253e-68,6.5812999833512428e-81,1.5465547696434369e-93,6.4505188091172767e-94,7.0569751903154681e-69
9.958210252362619e-22,0.49858292890422784,154.0,0.0,0.0,0.0,0.99999999999997435,1.0,19.0,5.3680454489420679e-16,3.2809880653924501e-15,3.2809630550877779e-15,9.7415143557346955e-27,9.7414770665790643e-27,1.8469473876688733e-14,1.0354459287896632e-23,1.1301857687276715e-16,2.0149694012037729e-23,5.3671179664742647e-27,4.9231028440397817e-39,2.4890117811883262e-28,5.4242361817737651e-39,8.772807217708871e-29,8.2801592943157357e-40,8.2801592943282088e-40,1.08925530891434e-51,1.5807451301850482e-52,2.3546255488412847e-30,9.7973065470401297e-93,9.0641235383015508e-93,9.0641235383017211e-93,7.2024158104724408e-44,2.5010309955978881e-20,1.2812619386688639e-37,9.7566400391853009e-44,6.2462651688300695e-39,3.209810449400175e-39,1.8102017060259678e-57,1.4598351261458836e-45,5.0816144193848677e-73,1.3202928764552325e-58,6.7586869516376438e-54,1.1055298861585704e-66,4.3294003550270958e-79,2.0351797873679693e-91,8.4885228484031831e-92,1.1591212693322534e-67
2.005667698715288e-21,0.49858292890422784,154.0,0.0,0.0,0.0,0.99999999999994826,1.0,19.0,1.0811697171812675e-15,6.6081872302665935e-15,6.6081368574101435e-15,3.9376758558390188e-26,3.93761553942651e-26,3.7199081125381827e-14,4.1854379916641545e-23,2.2762896443263216e-16,8.1448284737543402e-23,2.1694748926893835e-26,3.9866243007510226e-38,1.0060983569950304e-27,4.3919758709848457e-38,3.5461089424740322e-28,6.7054876740769118e-39,6.7054876740971311e-39,1.765729785211092e-50,2.562455971385866e-51,9.5177729406651121e-30,1.295787580316238e-90,1.1988171086611846e-90,1.1988171086612295e-90,5.8327039002590422e-43,5.0372877808211489e-20,5.1790656138454099e-37,7.9011787064259962e-43,5.0583874722295178e-38,2.5993877183599607e-38,2.9344149724333572e-56,1.1822123339298595e-44,1.6482094562183853e-71,2.1402519606471528e-57,5.4734670302523443e-53,3.5857602283605609e-65,2.8090630994010085e-77,2.6412712216639785e-89,1.1016467072508125e-89,1.8790211106791719e-66
4.025361045673341e-21,0.4985829289042278,154.0,0.0,0.0,0.0,0.99999999999989619,1.0,19.0,2.1699000617553224e-15,1.3262585559921611e-14,1.3262484461993951e-14,1.5833221429741356e-25,1.5832615063924985e-25,7.4658295432810244e-14,1.6829462033463699e-22,4.5684973878268957e-16,3.2749996975495108e-22,8.7233631088973529e-26,3.208408623137056e-37,4.0454772369422853e-27,3.5338998995933616e-37,1.4258748093801362e-27,5.3971598442006759e-38,5.3971598442332397e-38,2.8436533533043864e-49,4.1267563342825454e-50,3.8270546387661952e-29,1.6858551672439258e-88,1.5596939250845091e-88,1.5596939250846274e-88,4.6946678692988656e-42,1.010980135415269e-19,2.0824795062453086e-36,6.3595538282361382e-42,4.0714302963880613e-37,2.0922133716901991e-37,4.7257848503826014e-55,9.515473364878644e-44,5.3099263141238624e-70,3.4468100091697215e-56,4.405694864248305e-52,1.1552004944409239e-63,1.8101494545381938e-75,3.4042334996953103e-87,1.4198703241740014e-87,3.0262201832758625e-65
8.064747739589445e-21,0.49858292890422784,154.0,0.0,0.0,0.0,0.99999999999979206,1.0,19.0,4.3473607509031617e-15,2.6571382218858582e-14,2.6571179670917841e-14,6.3498299504109346e-25,6.3492949595756695e-25,1.4957672328783598e-13,6.7493669523896715e-22,9.152912844041131e-16,1.3134213490469931e-21,3.4984587544744442e-25,2.5739467349221561e-36,1.6224173050144125e-26,2.8338972576848723e-36,5.7183957234296137e-27,4.3308808734923815e-37,4.3308808735446524e-37,4.5646933055882075e-48,6.6243578182102491e-49,1.5348200793562779e-28,2.1755067864283582e-86,2.0127023867224321e-86,2.0127023867227367e-86,3.7671754404220277e-41,2.0254828512355836e-19,8.3516742420035138e-36,5.1031379350819736e-41,3.2670663854313935e-36,1.6788694586916575e-36,7.5859312891428962e-54,7.6355681116146531e-43,1.7049059803854453e-68,5.53289344503122e-55,3.5355693762081027e-51,3.7091065449415041e-62,1.1624649323500918e-73,4.3724666603179035e-85,1.8237102875748325e-85,4.858121554834491e-64
