Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344)
0.0,0.9409348633223822,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5063081044223342e-21,0.9409348633223822,154.0,0.0,0.0,0.0,0.99999999999999911,1.0,19.0,9.5482726296117464e-17,2.3424157066397466e-16,2.3424132082318725e-16,1.1979101359704327e-27,1.1978877209782529e-27,1.965831077698428e-16,3.5120546128906678e-25,1.4348066833407047e-19,4.5179480246671729e-25,7.7700704825109746e-28,8.5130016830229693e-40,1.3787433148550079e-30,1.1042697302982992e-39,1.0590062081367756e-30,1.1537551097356834e-41,1.1537551097400042e-41,3.8271423730139386e-53,4.9356596063435465e-54,8.7433419462115251e-32,8.864253790922457e-96,8.3955777083052106e-96,8.3955777083052388e-96,4.7394487826797023e-45,2.4984156356987037e-22,5.9797764950352103e-40,3.0763589073347161e-45,4.3138599465867334e-41,3.3534054933909241e-41,1.0781810350075089e-59,1.6696762519103859e-47,1.0294766466310265e-75,8.0984906395863853e-61,1.6510776128691425e-57,9.4879014786310753e-69,9.8211790650320502e-81,1.1284923175055633e-92,1.025043091316326e-93,4.9651622940940061e-71,3.9114876912111159e-106,4.4648022907429931e-110,9.3975241537945769e-107,3.7365066235353124e-99,1.1972721243255746e-95,2.1709092635856518e-39,1.1102030171183475e-50,2.8639124838729535e-51,2.3925383327532466e-51,7.7572391603050376e-56,3.4537570548785605e-48,5.2360492123519066e-36,6.964682719652177e-47,4.2515336415922646e-47,1.4102840826578195e-58,1.0871171622782456e-58,9.0938374794083049e-60,1.4181859710468403e-62
7.017662692382537e-21,0.9409348633223822,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,2.6735163362912767e-16,6.5587639785272927e-16,6.5587569830103826e-16,7.2353772210102213e-27,7.2351036636634592e-27,5.5043269910003372e-16,2.1212809776463501e-24,4.0174587009241363e-19,2.7288405959135159e-24,4.6931225625659339e-27,1.0106243559015998e-38,8.3276096188432482e-30,1.3108360520044717e-38,6.3963974970462282e-30,1.3697380662540772e-40,1.3697380662637424e-40,8.5611642948355224e-52,1.1040873085112849e-52,5.2809785354932499e-31,9.4455502801341295e-94,8.946139544852419e-94,8.9461395448524744e-94,5.6266748416317962e-44,6.9955637856220461e-22,3.611785005714787e-39,3.6522517035488524e-44,5.1214145096997471e-40,3.9811629870708304e-40,2.4118478480990226e-58,1.9822396462442455e-46,4.2481642077119621e-74,1.8116003276779735e-59,1.9610094908929819e-56,3.9152098821870609e-67,7.393139899892283e-79,1.5403867492520916e-90,1.3991790380788153e-91,1.1111471306003561e-69,9.6496072912204621e-104,1.1014635032199882e-107,2.318360883767321e-104,5.1003141141503911e-97,1.6342708647340338e-93,1.3112291951858306e-38,1.3180330218679857e-49,3.4000368832165992e-50,2.8404212464363885e-50,9.5487357306218981e-55,4.1003002729404182e-47,3.1625737241673736e-35,8.2684713218814996e-46,5.0474207391349773e-46,3.1547490606397197e-57,2.4318375898299131e-57,2.0342550683857917e-58,3.1722782794631909e-61
1.604037186830294e-20,0.9409348633223822,154.0,0.0,0.0,0.0,0.99999999999999512,1.0,19.0,6.1108944829514323e-16,1.4991460522046395e-15,1.4991444532411955e-15,3.4835226750252316e-26,3.4832502439070252e-26,1.258131871138311e-15,1.0213054686191867e-23,9.1827626863716552e-19,1.3138192690950284e-23,2.2595364830081524e-26,9.9215395396724837e-38,4.0093855552768646e-29,1.286662701282113e-37,3.079590053111898e-29,1.3448169558331219e-39,1.344816955852219e-39,1.6915417500438971e-50,2.1814904549326667e-51,2.5425638379305415e-30,2.1495862448746477e-91,2.035932046309091e-91,2.0359320463091161e-91,5.5243032717382385e-43,1.5989860108131436e-21,1.7389190088187294e-38,3.5857990095531844e-43,5.028235095188623e-39,3.9087293975795497e-39,4.7654049168230859e-57,1.9461746391530728e-45,1.6805315141737777e-72,3.579417259042283e-58,1.9271315270649429e-55,1.5488182247412204e-65,5.8455339152010354e-77,2.4334337451904598e-88,2.2103601504809129e-89,2.1974294077602335e-68,3.0460943911147659e-101,3.4769937897264288e-105,7.31837359513851e-102,8.0572469847460715e-95,2.5817476507319017e-91,6.3130041382085317e-38,1.2940526365829054e-48,3.3381763365264658e-49,2.7887418678117207e-49,1.0093796236969173e-53,4.0256989050711034e-46,1.5226431108121685e-34,8.1180341690689278e-45,4.9555876121335323e-45,6.2332524327538133e-56,4.8049012021482847e-56,4.0193452120688193e-57,6.2672517010683914e-60
3.408579022014375e-20,0.9409348633223822,154.0,0.0,0.0,0.0,0.99999999999998967,1.0,19.0,1.2985650776271545e-15,3.1856853608060742e-15,3.1856819630593329e-15,1.5213458722931049e-25,1.5211032649176957e-25,2.6735301727264499e-15,4.4603092260071504e-23,1.9513370458389317e-18,5.7377938210527294e-23,9.8679893752932779e-26,8.7740126647336865e-37,1.751004005400315e-28,1.1374628066773893e-36,1.344937884178865e-28,1.1894753677760399e-38,1.1894753678100222e-38,3.0100079986636561e-49,3.8818456648431025e-50,1.1104044271401669e-29,3.6327057235046096e-89,3.4406351524307541e-89,3.4406351524308378e-89,4.8861839003972592e-42,3.3978452843801031e-21,7.5943161906374278e-38,3.1715926201687738e-42,4.447416927572027e-38,3.4572268318807966e-38,8.4797834352379723e-56,1.7213694285148169e-44,5.9976976050797314e-71,6.3693817882180543e-57,1.7077294448546369e-54,5.5276222619360155e-64,4.1781432464645279e-75,3.4809476595030407e-86,3.1618481530124535e-87,3.9173224628118922e-67,8.7175315367587051e-99,9.9507113235521442e-103,2.0944229170215983e-99,1.1525629228091322e-92,3.6931058675187605e-89,2.7570547644452883e-37,1.1445749021708303e-47,2.952579099554386e-48,2.4666096125604817e-48,1.0206515374938154e-52,3.5606847052974516e-45,6.6497824982426919e-34,7.1803092778415635e-44,4.3831611220725072e-44,1.1091739339543649e-54,8.5500646937952055e-55,7.1522100457794089e-56,1.1149967854123159e-58
7.017662692382536e-20,0.9409348633223822,154.0,0.0,0.0,0.0,0.99999999999997868,1.0,19.0,2.6735163362910994e-15,6.5587639775994696e-15,6.5587569824468965e-15,6.351319537411156e-25,6.3492737227735302e-25,5.5043266059490753e-15,1.8620912366270384e-22,4.0174585206915163e-18,2.3954158894314196e-22,4.1196912460813672e-25,7.3726033175485864e-36,7.3100970151714243e-28,9.5513882571027526e-36,5.6148509141476228e-28,9.9982571773023588e-38,9.9982571778755123e-38,5.076817878817953e-48,6.547299950722256e-49,4.635719899623076e-29,5.319081380172062e-87,5.037847755425466e-87,5.0378477554257134e-87,4.1071320695173919e-41,6.9955638677743489e-21,3.1704775354005278e-37,2.6659046133509207e-41,3.7383217848664839e-37,2.9060073726652603e-37,1.4302394195940904e-54,1.4469147248048121e-43,2.026486466160429e-69,1.0742892660290367e-55,1.4408385502187568e-53,1.8676585150122591e-62,2.8256801269169455e-73,4.7102277156056013e-84,4.2784397412873251e-85,6.6311457949565927e-66,2.3596911558792437e-96,2.6934925954647534e-100,5.669245825648685e-97,1.5595850265605588e-90,4.9973085828144641e-87,1.1510160912754861e-36,9.6208417073789432e-47,2.4818205276096262e-47,2.0733323416130689e-47,1.0730258829686883e-51,2.9929693917020415e-44,2.7761532910892065e-33,6.0354825757985162e-43,3.684311027336219e-43,1.8707838508315545e-53,1.4420932896799541e-53,1.2063247609921794e-54,1.879838868792294e-57
1.4235830033118858e-19,0.940934863322382,154.0,0.0,0.0,0.0,0.99999999999995681,1.0,19.0,5.4234188536186757e-15,1.3304921209548932e-14,1.3304907020227186e-14,2.5947212679506499e-24,2.5930417099864694e-24,1.1165918792579795e-14,7.6072497650921495e-22,8.1497011521929208e-18,9.786054841857922e-22,1.6830282420224747e-24,6.0404377066945405e-35,2.9864131356812829e-27,7.8149904177598808e-35,2.2938498058926986e-27,8.1971753006996227e-37,8.1971753016410289e-37,8.3386867612823853e-47,1.0753959351286565e-47,1.8938428386985337e-28,7.2733938632207722e-85,6.888830670051356e-85,6.8888306700520349e-85,3.3672750481827465e-40,1.4191001179604149e-20,1.2952435398713213e-36,2.185653128085192e-40,3.0649018627753391e-36,2.382520265047964e-36,2.3491725418204078e-53,1.1862681100535037e-42,6.6626441326625484e-68,1.7645230576918591e-54,1.1901240719546749e-52,6.1404515958440459e-61,1.8588264737546664e-71,6.1983938649910773e-82,5.6301852582378989e-83,1.0970551534221813e-64,6.2110941500296732e-94,7.089714463916972e-98,1.4922334700592884e-94,2.0523259029694754e-88,6.5761760866092337e-85,4.7022762989467261e-36,7.8877472927742198e-46,2.0347462304688249e-46,1.6998403933891963e-46,1.2324874816139698e-50,2.4538160682335905e-43,1.1341492024918526e-32,4.9482532341001145e-42,3.0206207752087007e-42,3.0727677343397906e-52,2.3686422586887556e-52,1.9813920353044466e-53,3.0851269334948465e-56
2.8672164714591504e-19,0.9409348633223822,154.0,0.0,0.0,0.0,0.99999999999991296,1.0,19.0,1.0923223888272575e-14,2.6797235666903053e-14,2.6797207091808397e-14,1.048827821288317e-23,1.0474673760007965e-23,2.2489100446583759e-14,3.0749715625413156e-21,1.6414185142380873e-17,3.9556792898094917e-21,6.8030688089967341e-24,4.885127137549128e-34,1.2071559238447202e-26,6.3033164832436682e-34,9.2721076655118842e-27,6.6382850805659211e-36,6.6382850820919842e-36,1.351736458243643e-45,1.7432629977988021e-46,7.6552155525229765e-28,9.6197596556811106e-83,9.1111380190690983e-83,9.1111380190708905e-83,2.7269066516207322e-39,2.8581876383428972e-20,5.2355816133870488e-36,1.769971779106721e-39,2.4820366734007169e-35,1.9294264344264244e-35,3.8081099242949711e-52,9.6067067119889258e-42,2.1610126545199095e-66,2.8603669355315022e-53,9.7810747122700137e-52,1.9916400856083586e-59,1.2060696355066492e-69,8.044316992184443e-80,7.3068920658275285e-81,1.8039458608991942e-63,1.6122461499829202e-91,1.840314238976799e-95,3.8734423188657279e-92,2.663522325064743e-86,8.534605287319626e-83,1.9007352619809277e-35,6.3877022521036382e-45,1.6477899548284859e-45,1.3765704070873937e-45,1.5694551503512026e-49,1.9871621438474189e-42,4.5844124067253684e-32,4.0072237124517304e-41,2.4461770158963204e-41,4.9810877503807638e-51,3.8396702005969793e-51,3.2119218505400857e-52,4.9929923842096907e-55
5.75448340775368e-19,0.9409348633223822,154.0,0.0,0.0,0.0,0.99999999999982536,1.0,19.0,2.1922833957575373e-14,5.3781864555468181e-14,5.3781807219053366e-14,4.21729053029666e-23,4.2063492639093304e-23,4.5135452877567029e-14,1.2364322017355681e-20,3.2943148031498898e-17,1.5905608081841595e-20,2.7354836946205765e-23,3.9214307154346418e-33,4.853920762653481e-26,5.0329390785135848e-33,3.7282737081216107e-26,5.3430693440500981e-35,5.3430693465077737e-35,2.1769279630075874e-44,2.8074708168993467e-45,3.0781285040728197e-27,1.2515571022615336e-80,1.1853840330419975e-80,1.185384033042464e-80,2.1948517165234091e-38,5.7363629111739538e-20,2.1052044472611636e-35,1.4245841462492074e-38,1.9977585351177036e-34,1.5529698527643367e-34,6.1328436397345544e-51,7.7323133199628479e-41,6.9619901293299036e-65,4.6065295776061274e-52,8.1030864502176585e-51,6.416329458434417e-58,7.7718605761937834e-68,1.0368004966194091e-77,9.4175668781210496e-79,2.9875658615077273e-62,4.1560337698336449e-89,4.7439457019788578e-93,9.9847908666521183e-90,3.4329096849743417e-84,1.0999918345176424e-80,7.6427728831515402e-35,5.1413784751540926e-44,1.3262842320861135e-44,1.1079765157125727e-44,2.1829884103249469e-48,1.5994381913766253e-41,1.8433720620655286e-31,3.2253621860490964e-40,1.9688960705584671e-40,8.021884522372693e-50,6.1836673553818732e-50,5.1727010492528892e-51,8.0149950733484489e-54
1.1529017280342738e-18,0.9409348633223822,154.0,0.0,0.0,0.0,0.99999999999965006,1.0,19.0,4.3922054096160926e-14,1.0775112222831308e-13,1.0775100740987347e-13,1.6913221175742673e-22,1.6825618835862667e-22,9.0428114231476728e-14,4.958643414915303e-20,6.6001053444715977e-17,6.3788567350915618e-20,1.0970510263170574e-22,3.1299095094796436e-32,1.946639230917168e-25,3.975075261931112e-32,1.4952045048898878e-25,4.2874766433519672e-34,4.2874766472970748e-34,3.4944452971919735e-43,4.5066108193006578e-44,1.2344672022056709e-26,1.6150681339046359e-78,1.5296752939022629e-78,1.5296752939034669e-78,1.7612302814936561e-37,1.1492714385100433e-19,8.4428122710076432e-35,1.1430698549435317e-37,1.6030745883853953e-33,1.2461598655290521e-33,9.8445722750687292e-50,6.2046944648504779e-40,2.2353490268692501e-63,7.3944898876235956e-51,6.8720226923010662e-50,2.0601460086173803e-56,4.9910260320097075e-66,1.3316858070322589e-75,1.2096097755964768e-76,5.0601385174377401e-61,1.067631823832622e-86,1.2186588773738161e-90,2.5648958644197865e-87,4.4092932595378721e-82,1.4128499363375542e-78,3.065093751186706e-34,4.1256324097468953e-43,1.0642588025841759e-43,8.8906997056862969e-44,3.2277935519254628e-47,1.2834439560389427e-40,7.3927464075252785e-31,2.588149902407186e-39,1.5799150927807262e-39,1.2876889226852931e-48,9.9261455252720379e-49,8.3033305301571371e-50,1.2782956999172467e-52
