Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398)
0.0,0.46723231108806773,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.204733466869845e-21,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,6.4950197850823518e-17,2.8998722584075505e-16,2.8998706323932798e-16,4.7758720304114029e-27,4.7757607766273016e-27,5.0954719427378061e-17,1.4449793183581507e-25,1.818917282500466e-20,1.619076679998466e-25,3.2727670592428432e-27,3.8812322298154148e-39,3.2190330734295241e-30,5.3189601804980872e-39,7.680852504026435e-31,8.9836748944086084e-42,8.9836748945225986e-42,1.0138886170822141e-52,1.2601410335121861e-53,2.3162088372071682e-31,1.8157400207663131e-95,1.7335436565742026e-95,1.7335436565742059e-95,3.9821256230115865e-44,1.6260469941091753e-22,8.2505887200491361e-40,1.9655056808513986e-44,1.0515935070139058e-41,9.3851692617559386e-42,1.6019564955127945e-59,3.008764444771495e-47,1.0404739133178787e-75,2.970024403949709e-60,8.4265812386588437e-58,3.8120161583300541e-68,5.3991577225870368e-80,2.0497725442524138e-91,4.4893291817936431e-93,7.7815088174329937e-71,5.7877798215235258e-105,1.7091018973877188e-108,5.3511995376124139e-106,3.9346500067935704e-98,2.2237499998565699e-94,7.4540982736613474e-40,1.2276347454737885e-50,6.5945354498660085e-52,7.951698500756971e-52,1.0446552554340368e-56,8.4456819439842037e-49,1.9093064238763479e-36,3.2347713168539762e-47,1.7616935601785515e-47,1.9882298583705265e-58,1.45068935591212e-58,1.303545961493063e-59,1.8940056689781092e-62,4.0833662006703266e-70,7.3677411184205548e-50,4.020368814330981e-60,3.7986512814326565e-60,2.2518800695465118e-111,9.9765987272125952e-63,4.0311756063215237e-70
1.1773253707235567e-20,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999999811,1.0,19.0,1.81860553982305e-16,8.1196423232803583e-16,8.1196377705464019e-16,2.8846267062425008e-26,2.8844930668067762e-26,1.4267321338191269e-16,8.7276750310859434e-25,5.0929683682119159e-20,9.7792230891526857e-25,1.9767512990341635e-26,4.6076402521676233e-38,1.9442959762518582e-29,6.3139983460277346e-38,4.6392349123050418e-30,1.0665418834255022e-40,1.0665418834510014e-40,2.2680282417078125e-51,2.818885077245708e-52,1.398990137642027e-30,1.9348118934731711e-93,1.8472252889923208e-93,1.8472252889923263e-93,4.7275798712639848e-43,4.5529315985147166e-22,4.9833556013599719e-39,2.3334468941020136e-43,1.248451804739931e-40,1.1142072886984405e-40,3.583512602304424e-58,3.5720051487210016e-46,4.2935447366890539e-74,6.6438261638381219e-59,1.0035215406041849e-56,1.5730392275935212e-66,4.0643513903692576e-78,2.7979295717968852e-89,6.1279125386656167e-91,1.7458748495359832e-69,1.4278402243091505e-102,4.2163400832396027e-106,1.3201358485034572e-103,5.370778164244325e-96,3.0354079541043456e-92,4.5022753570979514e-39,1.4574479697300698e-49,7.8290324381502295e-51,9.4402551082764841e-51,1.323447507396181e-55,1.0026713361317529e-47,1.1532210799607328e-35,3.8403205058401582e-46,2.0914825945059628e-46,4.4475906266953636e-57,3.2451340351429412e-57,2.9159801731117865e-58,4.2366330965449409e-61,1.6849448318597097e-68,8.7469822545428107e-49,8.3243169507301409e-59,8.4974290484671531e-59,4.3417141285043994e-109,2.2316361343174624e-61,9.5957088050255769e-69
2.691029418796701e-20,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999999556,1.0,19.0,4.1568126624526452e-16,1.855918245198288e-15,1.8559172046233514e-15,1.3888235862546555e-25,1.388691574993645e-25,3.2611019723199831e-16,4.2019997800895677e-24,1.1641070448477261e-19,4.708274898378464e-24,9.5172065370505031e-26,4.5234725043391906e-37,9.3609481760394518e-29,6.1976997921858972e-37,2.2335919079804977e-29,1.0471371455723338e-39,1.047137145622716e-39,4.4812414408318999e-50,5.569641850612841e-51,6.7355352981318903e-30,4.4031791785716901e-91,4.2038525595491532e-91,4.2038525595491783e-91,4.6415660975093085e-42,1.0406700867361901e-21,2.3992712214445227e-38,2.290988925971462e-42,1.2257373707357756e-39,1.0939353103728756e-39,7.0804170290045909e-57,3.5070158364793192e-45,1.6984836001969703e-72,1.3127081038193992e-57,9.9186753854707937e-56,6.2227868145907914e-65,3.2135604671566163e-76,4.42004303443524e-87,9.680600042794929e-89,3.471964297921913e-68,4.5072671216752624e-100,1.3309733048023914e-103,4.16727358716446e-101,8.4845133032936655e-94,4.7952006796996276e-90,2.1676517776904677e-38,1.4309310590253712e-48,7.6865903717786746e-50,9.2684955818348009e-50,1.4756717854699355e-54,9.8442861219084324e-47,5.5522630797237098e-35,3.7704494421854644e-45,2.0534300133162798e-45,8.7876894340015631e-56,6.4118378871774474e-56,5.7614854334547622e-57,8.3700869306612193e-60,6.6648826413441188e-67,8.5878390439237004e-48,1.4140177917667999e-57,1.678947954954982e-57,1.9702373135598598e-106,4.4089517271496589e-60,2.1459435754475928e-67
5.71843751494299e-20,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999999056,1.0,19.0,8.8332269077116945e-16,3.9438262705215995e-15,3.9438240595131201e-15,6.0653574766696851e-25,6.0641864725268905e-25,6.9298414869623589e-16,1.8351236540290532e-23,2.4737274244377722e-19,2.056227293639075e-23,4.156414091636533e-25,4.0003625853180188e-36,4.088172001712143e-28,5.4792687299035497e-36,9.7546826781462063e-29,9.2618094666208884e-39,9.2618094675174104e-39,7.9741291067489788e-49,9.9108799479755443e-50,2.9415852227710073e-29,7.4411781521520655e-89,7.1043249780134359e-89,7.1043249780135224e-89,4.1054127077993171e-41,2.2114239645200666e-21,1.0478247898123852e-37,2.0263482959344026e-41,1.0841507978078276e-38,9.6757337077745714e-39,1.2599223799189176e-55,3.1019157912543244e-44,6.061767325317846e-71,2.3358938569963147e-56,8.8904380098126779e-55,2.2208683435791499e-63,2.2969185799335369e-74,6.32272725969242e-85,1.3847782319163273e-86,6.2582930251362168e-67,1.2899220032732741e-97,3.8090748970346337e-101,1.1926185910481139e-98,1.2136819347094536e-91,6.8593780237073434e-88,9.4667048045507302e-38,1.2656423165660302e-47,6.7987019553651232e-49,8.1978742859859751e-49,1.618843084832778e-53,8.7071586777711204e-46,2.4248191573839858e-34,3.3349198268707904e-44,1.8162355919032312e-44,1.563722324695142e-54,1.1409522528017802e-54,1.0252255479825879e-55,1.489131272585366e-58,2.378225753198845e-65,7.5958463761008843e-47,1.9605462246264832e-56,2.987595208854549e-56,6.6642556790730635e-104,7.8441172024186315e-59,4.7123512189283599e-66
1.1773253707235567e-19,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999998057,1.0,19.0,1.8186055398229234e-15,8.119642319499784e-15,8.1196377683020384e-15,2.5321673487666154e-24,2.5311817910923265e-24,1.4267319866809816e-15,7.6612796233627602e-23,5.0929680377657868e-19,8.5843437477211089e-23,1.7352210285689851e-24,3.3615408714031185e-35,1.7067313341433928e-27,4.601410853631793e-35,4.0723879958641809e-28,7.7851089201267006e-38,7.7851089216388152e-38,1.3449532218662491e-47,1.6716147163219344e-48,1.2280539250533897e-28,1.089552393116159e-86,1.0402296683403112e-86,1.0402296683403366e-86,3.4508467750405127e-40,4.552931816145579e-21,4.3744623406229405e-37,1.7032586467225916e-40,9.1129402752114096e-38,8.1330368041107213e-38,2.1250432482994975e-54,2.6073471262884063e-43,2.0481341768300048e-69,3.9398260650598541e-55,7.670585713196539e-54,7.5038115451282159e-62,1.5534070152754788e-72,8.5555680171776844e-83,1.8738060121541151e-84,1.0825905619007512e-65,3.4916047704034038e-95,1.031053370735344e-98,3.2282117793815861e-96,1.6422878958135805e-89,9.2817344210637681e-86,3.9521629019961611e-37,1.0638486271330196e-46,5.7147183421776631e-48,6.890798727242167e-48,1.8883433635595831e-52,7.3188899766286015e-45,1.0123142650942075e-33,2.8032010487871436e-43,1.526655450523791e-43,2.6374460645336807e-53,1.9243826013991517e-53,1.7291927320649519e-54,2.5106898487058169e-57,8.0326263524828285e-64,6.3847665569027159e-46,2.2886223998278852e-55,5.0390059693696253e-55,1.952482191373976e-101,1.3225606121887769e-57,1.0964295752257174e-64
2.388288609182072e-19,0.4672323110880678,154.0,0.0,0.0,0.0,0.99999999999996048,1.0,19.0,3.6891712379262075e-15,1.6471274410785119e-14,1.6471265181917416e-14,1.0344729837872211e-23,1.0336646763277442e-23,2.8942274028756017e-15,3.1298823909587873e-22,1.0331448681013565e-18,3.5069841664565641e-22,7.088943800159114e-24,2.7543477478801283e-34,6.9725543866129029e-27,3.7655723384925478e-34,1.6637033742830028e-27,6.3827026451675109e-37,6.382702647651165e-37,2.2090890343584518e-46,2.7456320354796441e-47,5.017000986071611e-28,1.4898707350383378e-84,1.4224260809967209e-84,1.4224260809967906e-84,2.8292126892801419e-39,9.2359479036276436e-21,1.787110689494105e-36,1.3964192702220069e-39,7.471338312750612e-37,6.6679543197284629e-37,3.4903899178815671e-53,2.1376607022483885e-42,6.7338170707429837e-68,6.4711749358891208e-54,6.612916814153626e-53,2.4670886100280414e-60,1.021882834253429e-70,1.125864443677476e-80,2.4658229113431259e-82,1.8669841053856382e-64,9.1904762200942576e-93,2.7139015427410525e-96,8.4971363368696357e-94,2.1611581853177972e-87,1.2214238424320903e-83,1.6145875001832254e-36,8.7220737854845683e-46,4.6852708674026375e-47,5.6494790685770312e-47,2.4134083919095479e-51,6.0004656698475547e-44,4.1356340792193096e-33,2.2982335661768167e-42,1.2516443735423031e-42,4.3320124416946676e-52,3.1608037478711017e-52,2.8402042393564345e-53,4.1207056772916319e-56,2.6390725757881736e-62,5.2346173649916898e-45,2.3206780342050542e-54,8.2765494978203158e-54,5.341007692028777e-99,2.1707856780395264e-56,2.7917865836054651e-63
4.810215086099103e-19,0.46723231108806773,154.0,0.0,0.0,0.0,0.9999999999999204,1.0,19.0,7.4303026341318818e-15,3.3174538566693392e-14,3.317451999329831e-14,4.1815051922428153e-23,4.1749617500675517e-23,5.8292171961657276e-15,1.2651482489934404e-21,2.0808407633876635e-18,1.417578785150807e-21,2.8654641918505151e-23,2.2278799294847441e-33,2.8184179597050346e-26,3.038273622540563e-33,6.7249550358637058e-27,5.1688780782836766e-36,5.1688780823097823e-36,3.5810263446934884e-45,4.4507873422762787e-46,2.0279520119791729e-27,1.9704966682182936e-82,1.8812946569661798e-82,1.8812946569663635e-82,2.2911697959499769e-38,1.8601981615515931e-20,7.2237878540751236e-36,1.130832113703856e-38,6.0504823304544387e-36,5.399881266638629e-36,5.6580724726804226e-52,1.7311330573972504e-41,2.1840974274454232e-66,1.0490049466864655e-52,5.8802649555502608e-52,8.0019397929007647e-59,6.6303220418532226e-69,1.4611543498195476e-78,3.2001613459792158e-80,3.3144465930354071e-63,2.3856198320414925e-90,7.0446157886618616e-94,2.2056219230716904e-91,2.8047655530416966e-85,1.5851719723830789e-81,6.5264208165174398e-36,7.0633614702953078e-45,3.7942530152577699e-46,4.5750718617677402e-46,3.3558433678127912e-50,4.8593285876543008e-43,1.6716894149288003e-32,1.8611691018787797e-41,1.0136140624436243e-41,7.0223767751762865e-51,5.1237976133215e-51,4.6040934144882061e-52,6.669781071304731e-55,8.5476041912286997e-61,4.2391288435463059e-44,2.1269978571164096e-53,1.3416536610013409e-52,1.4129751088793413e-96,3.5140060258063929e-55,7.7382178572666858e-62
9.654068039933166e-19,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999984024,1.0,19.0,1.4912565426539655e-14,6.6581066772033583e-14,6.6581029552660706e-14,1.6813648418670188e-22,1.6761048668101183e-22,1.1699192626352454e-14,5.0871034076477699e-21,4.1762316205077002e-18,5.7000196414035503e-21,1.15219036008582e-22,1.7889207008643613e-32,1.1332734617932148e-25,2.427652754940084e-32,2.7040748374501973e-26,4.1603627491462471e-35,4.1603627556301584e-35,5.7671255221117805e-44,7.1678541794698872e-45,8.1543058352649512e-27,2.5636701780563367e-80,2.447615916339577e-80,2.447615916340056e-80,1.844132787338091e-37,3.7334055186989127e-20,2.9046538979215573e-35,9.1015276338339066e-38,4.8699527200574218e-35,4.3462925806792347e-35,9.112151303676801e-51,1.3933664867414911e-40,7.0363608071742612e-65,1.6893888458625417e-51,5.5780098611262257e-51,2.577929569599784e-57,4.2725505759057788e-67,1.883224467197554e-76,4.1245623015333681e-78,6.2653984307672183e-62,6.1496291661039794e-88,1.8159546841654925e-91,5.6855081477014059e-89,3.6149524764875273e-83,2.0430659122856359e-79,2.6242450984028623e-35,5.6852077837525425e-44,3.0539436201196605e-45,3.6823792175196952e-45,4.9570187176530929e-49,3.9112038244584323e-42,6.7217895898147268e-32,1.4980307698115242e-40,8.158447761477519e-41,1.1309314635155536e-49,8.2517133627725317e-50,7.4147503460982405e-51,1.0709216425964129e-53,2.7459197912014139e-59,3.4120196649082995e-43,1.8307806091382804e-52,2.1606574657240179e-51,3.6768708504909334e-94,5.6433810784785366e-54,2.2809770947907437e-60
1.9341773947601292e-18,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999967992,1.0,19.0,2.9877091011340886e-14,1.3339412275818697e-13,1.3339404841778783e-13,6.7430249845457759e-22,6.7009362798496647e-22,2.3439126861175363e-14,2.0401543417744397e-20,8.3670096009407904e-18,2.2859609659451262e-20,4.6207971602939469e-22,1.4286891405057335e-31,4.5449334190817237e-25,1.920045431923778e-31,1.0844549484749981e-25,3.3384290788667581e-34,3.338429089274849e-34,9.2574911862963276e-43,1.1505988180882732e-43,3.2702413403131312e-26,3.3082805296067523e-78,3.1585186539878727e-78,3.1585186539891095e-78,1.4798004339711583e-36,7.4798226920721877e-20,1.1648965866228169e-34,7.3027720640961e-37,3.9078274066761658e-34,3.4876234412235195e-34,1.4627020927920708e-49,1.1180888496074058e-39,2.2592278962260567e-63,2.711839122378558e-50,5.832219948183851e-50,8.2771788350476637e-56,2.7437970928615549e-65,2.4188481655436437e-74,5.2976637347225533e-76,1.3035310863277681e-60,1.5797607385835101e-85,4.6649543837920512e-89,1.4604702857419858e-86,4.6431122327815548e-81,2.6241514622295538e-77,1.0524396505423639e-34,4.5620211627428162e-43,2.4505953396046946e-44,2.9548186144455413e-44,7.59817437451037e-48,3.1384841982633139e-41,2.695738245644276e-31,1.2020752836067141e-39,6.5466404675686761e-40,1.8153933200238696e-48,1.3245812222836316e-48,1.1902315906538878e-49,1.708800700874218e-52,8.7668742744645484e-58,2.7379308608370049e-42,1.5212767535894833e-51,3.4682233298665297e-50,9.4899153459906243e-92,9.0085126752146853e-53,6.9834881479211762e-59
3.8717185762937536e-18,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999935929,1.0,19.0,5.9806142180886083e-14,2.6702023304329302e-13,2.670200851336516e-13,2.7007271048236664e-21,2.6671989549838876e-21,4.6918928828807358e-14,8.1712455308144837e-20,1.674855062660564e-17,9.1557525546571057e-20,1.8507278469341077e-21,1.1339308644879643e-30,1.8203439670283373e-24,1.4953384901209085e-30,4.3434762484689169e-25,2.6748057497462495e-33,2.6748057664262609e-33,1.4836052226438109e-41,1.8439565664441896e-42,1.3098022770793803e-25,4.2518250856212793e-76,4.0593500842853825e-76,4.0593500842885599e-76,1.1856411249662426e-35,1.4972666875133212e-19,4.6656660975054445e-34,5.8500939981630344e-36,3.1310126054583125e-33,2.7943385981665193e-33,2.3441372877078431e-48,8.9583166732123301e-39,7.2417032670865324e-62,4.3460003797605905e-49,6.8461239537465566e-49,2.6531494904768892e-54,1.7590295775283765e-63,3.1014561073435712e-72,6.7926841392515617e-74,3.0435486078729561e-59,4.0511776381950811e-83,1.1962925099681586e-86,3.7449394475688507e-84,5.9534176595041452e-79,3.3646967645479894e-75,4.215248049148289e-34,3.6551683585408355e-42,1.963455045113655e-43,2.3673563752233759e-43,1.1889263940780709e-46,2.5145896521479382e-40,1.0797013724737233e-30,9.6312291833072336e-39,5.2452788443500145e-39,2.9093559938603933e-47,2.1227788631165561e-47,1.9074738494685447e-48,2.706206432174787e-51,2.7787920706225031e-56,2.1936763977659629e-41,1.2407616159873825e-50,5.5578466757464371e-49,2.4393398410179515e-89,1.4278304319225377e-51,2.1839379801148609e-57
7.746800939361002e-18,0.46723231108806773,154.0,0.0,0.0,0.0,0.99999999999871791,1.0,19.0,1.1966424451974747e-13,5.3427244695008421e-13,5.3427215450781711e-13,1.0809946460004967e-20,1.0544590308884344e-20,9.3878266757522866e-14,3.2706171136615497e-19,3.3511572937342947e-17,3.6646752176016427e-19,7.4077248214745652e-21,8.9106868574179012e-30,7.2861196200283038e-24,1.13359206936599e-29,1.73852241602335e-24,2.1414709530229483e-32,2.1414709797324617e-32,2.375678253848133e-40,2.9527276498731878e-41,5.2426224890997835e-25,5.4533879322872947e-74,5.2065196280830271e-74,5.2065196280911793e-74,9.4923384881355014e-35,2.9958394586512516e-19,1.8674852947437709e-33,4.682015324374293e-35,2.5067062990826811e-32,2.2371631955220436e-32,3.7536738969589596e-47,7.1721002552956174e-38,2.3192949916896989e-60,6.9592207448404473e-48,8.9609064651640273e-48,8.4971714843863581e-53,1.1267347935323183e-61,3.973261505513679e-70,8.7020772038786481e-72,7.9305306530781909e-58,1.0379926312250393e-80,3.0651405268886803e-84,9.5936087167448404e-82,7.6269015208002984e-77,4.3104979489635217e-73,1.6871977059544753e-33,2.9263570790779175e-41,1.5719525516670136e-42,1.8951737104966681e-42,1.8807736363988971e-45,2.0131736266701154e-39,4.321619150337276e-30,7.7108378419655602e-38,4.1994122766576579e-38,4.6587382117857313e-46,3.3991963536323884e-46,3.0544428859332259e-47,4.2334435171199757e-50,8.7054420861357562e-55,1.7562748684150175e-40,1.0023296390335519e-49,8.8986629206527124e-48,6.2574410822726988e-87,2.2371473058735104e-50,6.9070322071589902e-56
1.54969656654955e-17,0.4672323110880678,154.0,0.0,0.0,0.0,0.99999999999743527,1.0,19.0,2.3938044919655432e-13,1.0687768487642697e-12,1.0687762770259011e-12,4.3253864390534624e-20,4.1177859993501383e-20,1.8779587860081445e-13,1.3086643910250646e-18,6.7037378598151232e-17,1.4663379402974157e-18,2.9640470674430305e-20,6.8768177732198322e-29,2.9153967495247703e-23,8.1972188113112596e-29,6.9563539867996878e-24,1.7138275300440061e-31,1.7138275727958667e-31,3.8025584170546134e-39,4.7262700496718496e-40,2.0977318297020681e-24,6.9874181284614417e-72,6.6711061252393912e-72,6.6711061252602821e-72,7.5967561577683876e-34,5.9930007390295225e-19,7.4723972834266637e-33,3.7444496518036953e-34,2.0061147540029923e-31,1.7903996551583596e-31,6.0083229629570563e-46,5.7398597566226893e-37,7.4248656915203908e-59,1.1139149993761159e-46,1.2741315659367371e-46,2.7202059719429633e-51,7.2140988916038166e-60,5.0879053068618814e-68,1.1143325197818107e-69,2.2480036055700389e-56,2.658378921324927e-78,7.8500613439340723e-82,2.4561398472683401e-79,9.7665361757736347e-75,5.5197488378216003e-71,6.7509881919096819e-33,2.3419748738218408e-40,1.2580312286420486e-41,1.5164735653630858e-41,2.9919065087695394e-44,1.6111074148199523e-38,1.7292104800089152e-29,6.1710110297713292e-37,3.3608058654071396e-37,7.4569447317869959e-45,5.4408779278124923e-45,4.8890961303002197e-46,6.4769814044765507e-49,2.6703306202862783e-53,1.4055535048764784e-39,8.0579748691784615e-49,1.4240029862183445e-46,1.6035364482286917e-84,3.4328784005771049e-49,2.197107466341454e-54
