Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930),S(1932),C4H9(23),C3H6(1916),S(1984)
0.0,0.684780237514583,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.03550237843108e-20,0.684780237514583,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,1.2381340262613939e-16,3.0170048242955192e-16,3.0170045374241768e-16,4.3758666128636161e-26,4.3751612207631111e-26,1.1130873861776008e-17,4.0031336629451618e-25,8.1809095113639557e-22,3.3079064660600972e-25,3.3873818396772758e-26,2.1728813154476691e-37,1.2394487426366161e-29,3.3630684970035945e-37,1.0898982021527064e-30,6.8091161763202656e-41,6.8091161771726763e-41,7.6450234606614412e-51,8.7909219539280277e-52,8.4964087447062421e-31,1.0216066330463861e-92,9.9296339103229627e-93,9.9296339103229798e-93,1.76907346520868e-42,4.1543453726800523e-23,7.8447317754480213e-40,3.3659894130990194e-43,4.0956315512930898e-41,4.9564159997324329e-41,3.4457954737386791e-58,2.1039385533759106e-46,4.2663566235423439e-74,9.1504443700555235e-59,4.7424733445122485e-58,6.3928292641792015e-66,8.3075094782665629e-77,2.9389153301132226e-87,1.9031188803023019e-89,4.3192865277893128e-70,2.4029961319606546e-100,1.188133727720894e-103,1.8606042107542809e-101,1.8550809426058383e-94,3.3511000635708456e-90,2.0153666698705651e-40,2.9230899767887372e-50,3.2651530014685191e-52,9.0286688024480743e-52,4.4431538714942617e-57,4.6780674943147302e-49,5.7749342539438477e-37,7.597928309277341e-47,3.2284051122286354e-47,3.6247340922758755e-57,2.3412409863774637e-57,2.1937390693433872e-58,3.1095268871755243e-61,3.6393978827026306e-68,1.962655934815349e-49,2.8523409247541012e-59,8.7348739912214318e-59,2.4588435225190318e-108,1.4514527080450315e-61,1.5100401038816846e-69,1.4998480520531935e-80,8.8697283121085857e-85,3.1152344996961043e-25,1.2510928674440174e-23,1.579707580179061e-34,9.2596534682104516e-50,7.2130129011515999e-38,7.2130129011540524e-38,2.4513980532031538e-50
1.6899406659607022e-19,0.684780237514583,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,3.4667752735318238e-16,8.4476135055127592e-16,8.4476127033698374e-16,2.6430234335188282e-25,2.6421858685673939e-25,3.1166444384136891e-17,2.4178925751866693e-24,2.2906545572044331e-21,1.9979753755747245e-24,2.0459785942249698e-25,2.5793427111012272e-36,7.4862704035827535e-29,3.9911084623309985e-36,6.5829851396777292e-30,8.0837827221429973e-40,8.0837827240498087e-40,1.7101609018571095e-49,1.9664940288656175e-50,5.1318308806293066e-30,1.0886011438249362e-90,1.0580795467535654e-90,1.0580795467535687e-90,2.1002440260407571e-41,1.1632167594071396e-22,4.7382181814392417e-39,3.9960779004844588e-42,4.8623334881102865e-40,5.8842567244340627e-40,7.7081066425259502e-57,2.4977958498420454e-45,1.7605240064016706e-72,2.0469176905904397e-57,6.5908416435256584e-57,2.6380187533858456e-64,6.2536854465330706e-75,4.0116047303087963e-85,2.5977477555803605e-87,1.1236822346299994e-68,5.9281698295792866e-98,2.9311152377504847e-101,4.5900753522525857e-99,2.5321762212506178e-92,4.5742348305726279e-88,1.2172814681384916e-39,3.4702924188639089e-49,3.8763894878960841e-51,1.0718816999809423e-50,8.5430950947744724e-56,5.5538011683236302e-48,3.4880602878803989e-36,9.02026046808931e-46,3.8327625470785757e-46,8.108384665405759e-56,5.2372621876970515e-56,4.9073065368493334e-57,6.9547734277351567e-60,1.5017278529660633e-66,2.3300651236649769e-48,5.356559283668717e-58,1.9539512627975652e-57,4.7407478767359616e-106,3.2464076941225192e-60,5.3771901473733313e-68,9.763586885685009e-79,5.773950866099257e-83,8.7226565991732989e-25,3.5030600287919512e-23,9.5414337841628581e-34,1.0993060606442602e-48,4.3566597922409016e-37,4.3566597922438124e-37,2.9102997687293371e-49
3.8627215221958906e-19,0.684780237514583,154.0,0.0,0.0,0.0,0.99999999999999523,1.0,19.0,7.9240577680723681e-16,1.930883085789175e-15,1.9308829029589725e-15,1.272502010044551e-24,1.2716798109165335e-24,7.12375757135172e-17,1.1641110333361693e-23,5.2357813454306694e-21,9.6193900544193956e-24,9.8505058356815397e-25,2.5317745330642014e-35,3.6043169406741547e-28,3.9152644209183236e-35,3.1694239698731453e-29,7.9367058077271996e-39,7.9367058114947342e-39,3.3789886042213145e-48,3.8854606085563915e-49,2.4707556612009487e-29,2.4774014994287676e-88,2.4079414857424902e-88,2.407941485742505e-88,2.0620320425062575e-40,2.6587814239123065e-22,2.2812482838480329e-38,3.9233205955883293e-41,4.7738672384742415e-39,5.7771974028985841e-39,1.5229919796257857e-55,2.4523507755651116e-44,6.9644578905699306e-71,4.0443639062415775e-56,8.5056165245033087e-56,1.0435738537411055e-62,4.9446004228366781e-73,6.3373514913058883e-83,4.1038042678721042e-85,2.9011556747710977e-67,1.8713467299929268e-95,9.252658230824651e-99,1.4489370614083268e-96,4.0002173603845306e-90,7.2261690459623856e-86,5.8606862690344528e-39,3.4071536720484109e-48,3.8058618566254513e-50,1.0523758688728581e-49,1.5310285120437781e-54,5.4527537325011454e-47,1.6793508787945694e-35,8.8561451731720259e-45,3.7630289921204455e-45,1.602079951534674e-54,1.0347946451191463e-54,9.6960107143387362e-56,1.3736646322888683e-58,5.939987759669632e-65,2.2876717511235404e-47,7.8257823407876731e-57,3.8606563322554211e-56,2.1513158342728011e-103,6.4124788304493668e-59,1.9269665448809563e-66,6.9878660673938005e-77,4.1324678626498946e-81,1.9937500798224528e-24,8.0069943512826255e-23,4.5937896429827027e-33,1.0793052095340459e-47,2.0975441515728882e-36,2.0975441515757454e-36,2.8573495707099109e-48
8.208283234666268e-19,0.684780237514583,154.0,0.0,0.0,0.0,0.9999999999999899,1.0,19.0,1.6838622757152198e-15,4.1031265522454081e-15,4.1031261659343781e-15,5.5573505882496144e-24,5.5500822842787312e-24,1.5137979951093088e-16,5.083977314842049e-23,1.1126033226244282e-20,4.201039198050693e-23,4.3019743638234536e-24,2.2381892379852149e-34,1.574099900139279e-27,3.4572757532274144e-34,1.3841707146807822e-28,7.0199263976165751e-38,7.019926404320698e-38,6.0127255672495192e-47,6.9139688031549009e-48,1.0790439087599957e-28,4.1866990032997295e-86,4.0693146511339769e-86,4.0693146511340276e-86,1.8238439910212781e-39,5.6499116338302376e-22,9.9628122845547694e-38,3.4700394544351897e-40,4.2224304189243266e-38,5.109864357666682e-38,2.7100828537506636e-54,2.1690764862648016e-43,2.4855655513310189e-69,7.1967276192511868e-55,1.1142658464835733e-54,3.724440009524643e-61,3.5341927359582029e-71,9.0653724054529887e-81,5.8703567287006926e-83,7.596935951731757e-66,5.3555529857772505e-93,2.6479914570121765e-96,4.146596067330993e-94,5.7221791667504693e-88,1.0336796619831505e-83,2.5595156635564634e-38,3.0135888321893231e-47,3.366241126434957e-49,9.3080752879102434e-49,2.5856446916256857e-53,4.8228968123116157e-46,7.33416647923959e-35,7.8331600350816311e-44,3.3283565204493218e-44,2.850814887059719e-53,1.8413613968904835e-53,1.7253532829516308e-54,2.4426435357915449e-57,2.1194395193454129e-63,2.023419749241941e-46,9.1163471842046158e-56,6.8697526819582877e-55,7.2767471416498702e-101,1.1403963359494586e-57,6.5197059137255127e-65,4.732339300227765e-75,2.7986150884481548e-79,4.2367189196714306e-24,1.7014862995443206e-22,2.0062286266434677e-32,9.5463323525499256e-47,9.1605263836152248e-36,9.1605263836404985e-36,2.5272933367125846e-47
1.689940665960702e-18,0.684780237514583,154.0,0.0,0.0,0.0,0.99999999999997924,1.0,19.0,3.4667752735306814e-15,8.4476134691005994e-15,8.4476126828108979e-15,2.3200844690620083e-23,2.3139823487754263e-23,3.1166409166052122e-16,2.1224592747061805e-22,2.2906530205319954e-20,1.7538501958449316e-22,1.7959893360927814e-23,1.8794235495629987e-33,6.5715572063943764e-27,2.8964531905519776e-33,5.7786402493352572e-28,5.900671104377967e-37,5.9006711156854364e-37,1.0141326619485697e-45,1.1661416420997385e-46,4.504795900094579e-28,6.1302495498381792e-84,5.9583730018866346e-84,5.9583730018867855e-84,1.533050769473506e-38,1.1632175577296469e-21,4.1592794239943385e-37,2.9166205012434818e-39,3.5492053519618616e-37,4.2951466635710774e-37,4.5709508440317757e-53,1.8232394787725725e-42,8.3981642264558845e-68,1.213832672525713e-53,1.5455129866573406e-53,1.258403459735778e-59,2.390175046515199e-69,1.2266759963587815e-78,7.9434416676785908e-81,2.1029157710360757e-64,1.4496586971902123e-90,7.1676703896740325e-94,1.1223736998199851e-91,7.7429362518517052e-86,1.398718081135697e-81,1.0685474019070703e-37,2.5331029858002251e-46,2.8295275126494157e-48,7.82388021752473e-48,4.2450292740158591e-52,4.0539318164140117e-45,3.0618701205072543e-34,6.5842428616878542e-43,2.7976841902846676e-43,4.8083133319473475e-52,3.1057238348301757e-52,2.910060433652015e-53,4.1140852064694422e-56,7.1577304435039171e-62,1.7008062069233587e-45,9.0701740096144311e-55,1.1586575449535905e-53,2.1319288810850782e-98,1.9211878933856504e-56,2.142693600517196e-63,3.1119140915836692e-73,1.8403466288928644e-77,8.7226565995243184e-24,3.5030600280481299e-22,8.3756095884539246e-32,8.0242675527596991e-46,3.8243394394280017e-35,3.8243394394492453e-35,2.1243423301419612e-46
3.428165350948853e-18,0.6847802375145832,154.0,0.0,0.0,0.0,0.99999999999995792,1.0,19.0,7.0326012691595891e-15,1.7136587238748976e-14,1.7136585680266764e-14,9.4783020412673523e-23,9.4283956500424809e-23,6.322320541799602e-16,8.6709290686254281e-22,4.6467497033296344e-20,7.1650423762649007e-22,7.3372001972060231e-23,1.5377429918395812e-32,2.6846955316160669e-26,2.359101635965812e-32,2.360763086145808e-27,4.8377266501144189e-36,4.8377266686869244e-36,1.6657113799549814e-44,1.915390316886785e-45,1.8403561059144144e-27,8.3825976558713435e-82,8.1475710168816683e-82,8.1475710168820803e-82,1.2568876434271469e-37,2.3596717558750346e-21,1.6992025138087033e-36,2.3909646923584202e-38,2.9098499711722616e-36,3.5214170936118726e-36,7.5078004776418138e-52,1.4948018726610468e-41,2.7611326530049351e-66,1.993721738516764e-52,2.2656565774585047e-52,4.1373510228940475e-58,1.5723353841820233e-67,1.6142350092042736e-76,1.0453112047562999e-78,6.153126751004653e-63,3.8157362078569386e-88,1.8866468080693431e-91,2.954055637685207e-89,1.0189259134264953e-83,1.8406324916502138e-79,4.3653647669756708e-37,2.0767908550085829e-45,2.3198159918331585e-47,6.4142963385355061e-47,6.8775510153160894e-51,3.3236524003987578e-44,1.2508738414315178e-33,5.3981598862656005e-42,2.2937105057425966e-42,7.897660351029738e-51,5.1011564536477935e-51,4.779782800373863e-52,6.73845409861762e-55,2.3510878604672064e-60,1.3944236664881008e-44,8.1714250272347206e-54,1.9030109343778588e-52,5.8318833941664461e-96,3.1481670695196501e-55,6.9459489424902216e-62,2.0179663315439622e-71,1.1934257374906697e-75,1.7694531959849826e-23,7.1062074837425153e-22,3.4217098055694326e-31,6.5787793460687151e-45,1.5623674457953923e-34,1.5623674458128091e-34,1.7416641892602556e-45
6.904614720925155e-18,0.684780237514583,154.0,0.0,0.0,0.0,0.9999999999999154,1.0,19.0,1.4164253260409338e-14,3.4514534523122337e-14,3.4514531529989839e-14,3.8312811979411179e-22,3.7910637653985134e-22,1.2733654921095188e-15,3.5049203964901735e-21,9.3589322168799227e-20,2.8962182676773335e-21,2.9658118063663001e-22,1.2402771279417105e-31,1.0851968489433638e-25,1.8856928735508565e-31,9.5425817822909107e-27,3.9177164276493168e-35,3.9177164577559971e-35,2.7001751350414128e-43,3.1049275461071829e-44,7.4390135701902451e-27,1.1086787681386407e-79,1.0775942457436928e-79,1.077594245743802e-79,1.0178601997168142e-36,4.7525857899743189e-21,6.8684575789732831e-36,1.9358490517349484e-37,2.3564670738351421e-35,2.8517289607705261e-35,1.2170468076908835e-50,1.2105292996792379e-40,8.955667551072732e-65,3.2319021380213348e-51,3.4521323691516219e-51,1.3419371423443332e-56,1.0201827733470462e-65,2.0949614446326274e-74,1.3566095766471895e-76,1.872525384842313e-61,9.9046890688707107e-86,4.8972594363476388e-89,7.6668753768465868e-87,1.3223668019345811e-81,2.3887811163440867e-77,1.7645502122145314e-36,1.6818390523430988e-44,1.8786445183022964e-46,5.1941503165559711e-46,1.1071780663929657e-49,2.6915704411612139e-43,5.0562319907270197e-33,4.3715694846388445e-41,1.85750619976918e-41,1.2802419442283322e-49,8.2691805883775132e-50,7.7482332453189828e-51,1.0862413728895803e-53,7.6113537424794645e-59,1.1292404051908901e-43,6.9557757763267772e-53,3.0845788810795942e-51,1.542837312394961e-93,5.079520657058965e-54,2.2368495865283744e-60,1.2997984673978857e-69,7.6873455086358586e-74,3.5638282682979778e-23,1.4312502389878369e-21,1.383109811257672e-30,5.3276660813143021e-44,6.3153390142664981e-34,6.3153390144075431e-34,1.4104448155932624e-44
1.3857513460877758e-17,0.684780237514583,154.0,0.0,0.0,0.0,0.99999999999983036,1.0,19.0,2.8427557242876568e-14,6.9270428082578631e-14,6.9270422648681361e-14,1.5405412932558829e-21,1.5084855640993342e-21,2.5556224196085434e-15,1.4093068282269643e-20,1.8783253836000477e-19,1.1645514644956679e-20,1.1925384156917354e-21,9.9028466471097839e-31,4.3635287249143062e-25,1.4793626766918042e-30,3.8370301122223172e-26,3.1533189499711501e-34,3.1533189984565452e-34,4.348501168952581e-42,5.0003814054591046e-43,2.991194592681741e-26,1.4424214251298003e-77,1.40197961062992e-77,1.4019796106302042e-77,8.1926243894404862e-36,9.5384364094064554e-21,2.7617840943808633e-35,1.5574702440526623e-36,1.8966818601327219e-34,2.2953100639101924e-34,1.9600163545208669e-49,9.7433927458401117e-40,2.8851875806144398e-63,5.2048571286973033e-50,5.382150458797142e-50,4.3232115727945959e-55,6.5739914282729307e-64,2.7001046130370293e-72,1.7484750319324641e-74,5.834221876383518e-60,2.553213336825094e-83,1.2624069463457623e-86,1.97578256363435e-84,1.7043414609566618e-79,3.0787960037590586e-75,7.0951786133975606e-36,1.3536903435744154e-43,1.5120923338296761e-45,4.1802000243961807e-45,1.7767903877871158e-48,2.1663948497125909e-42,2.0330885862366783e-32,3.518618879410865e-40,1.4950825308053847e-40,2.0617810620903941e-48,1.3317215815113516e-48,1.2478288688954367e-49,1.730058761462451e-52,2.4429087138442635e-57,9.0891086714141581e-43,5.7439235443362413e-52,4.966705179222346e-50,4.014800642298264e-91,8.1048182927930676e-53,7.1801050788418313e-59,8.344203858936215e-68,4.9354081424348784e-72,7.1525784139155534e-23,2.8725092181138405e-21,5.5614237149719335e-30,4.288169159393717e-43,2.5393700395942287e-33,2.5393700397077537e-33,1.1352486926086438e-43
2.7763310940782964e-17,0.684780237514583,154.0,0.0,0.0,0.0,0.99999999999966027,1.0,19.0,5.6954165207681985e-14,1.3878221124457319e-13,1.3878220256304606e-13,6.1782594026479093e-21,5.9259454335847278e-21,5.1200964817836835e-15,5.6519005950234498e-20,3.763172344392097e-19,4.6703308202935916e-20,4.7826006548067593e-21,7.8209904012232661e-30,1.7499701222572835e-24,1.1297814386716018e-29,1.5388206481473543e-25,2.5303397645435047e-33,2.5303398423717442e-33,6.9801544695316186e-41,8.0266916811098281e-42,1.1996027798283399e-25,1.8613683148287395e-75,1.8091802990695673e-75,1.8091802990703004e-75,6.5740650926571419e-35,1.9110227853201336e-20,1.1076049697250717e-34,1.2486986761129552e-35,1.521955147557271e-33,1.8418265289276595e-33,3.1462602956804423e-48,7.818458751907698e-39,9.2637321435956314e-62,8.3548789500694694e-49,8.4972505196363818e-49,1.388081213707089e-53,4.221735593739807e-62,3.4680411207119494e-70,2.2457586603470117e-72,1.8414106598350572e-58,6.5588338006118983e-81,3.2429399694394123e-84,5.0725665354177962e-82,2.1890742224193583e-77,3.9544361101624399e-73,2.8454838189799254e-35,1.086251180748308e-42,1.2133521091372633e-44,3.3535386367728381e-44,2.8468072934356191e-47,1.7383710350404194e-41,8.1535940820535491e-32,2.8234691588360084e-39,1.1997094812060606e-39,3.3095859383294712e-47,2.137693753396248e-47,2.0030410180328559e-48,2.7171435880474733e-51,7.78530491252647e-56,7.2934364556518873e-42,4.6693681238860299e-51,7.9697289691602355e-49,1.0362103413925125e-88,1.2773845726189163e-51,2.3009427263727956e-57,5.3471936355024769e-66,3.1632946064632305e-70,1.4330078709117106e-22,5.7550271679611847e-21,2.230379646676467e-29,3.4409856919939834e-42,1.0184009602358737e-32,1.0184009603269703e-32,9.1096557889817268e-43
