Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65)
0.0,1.1980158806783021,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5773110549979836e-22,1.1980158806783021,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,2.528891597196645e-17,5.6981414827804811e-17,5.6981414827813945e-17,1.5555812025828165e-29,1.5555779724905689e-29,2.4055436145718025e-16,2.9537629852982667e-26,5.5371797547351362e-19,4.747811241733354e-26,9.2388561954886091e-30,1.283357784826119e-42,1.430324724274814e-31,1.5243936542876513e-42,8.6775067762876812e-32,1.2185772232893195e-43,1.2185772232895443e-43,1.9757774970592009e-56,2.711196444924866e-57,3.4967186122725231e-48
4.4164709539943545e-22,1.1980158806783021,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,7.0808964721506006e-17,1.5954796151777296e-16,1.5954796151782823e-16,9.39571046355325e-29,9.3956721159684961e-29,6.7355221182599918e-16,1.7840728425585246e-25,1.5504103309424705e-18,2.8676779891041973e-25,5.5802691410425802e-29,1.5235922679526759e-41,8.6391613332113318e-31,1.8097255566056948e-41,5.2412140928691448e-31,1.4466948794866669e-42,1.4466948794871694e-42,4.4197352250117274e-55,6.0648379979427496e-56,5.284241166861268e-47
1.0094790751987095e-21,1.1980158806783021,154.0,0.0,0.0,0.0,0.99999999999999767,1.0,19.0,1.6184906222058483e-16,3.6468105489738744e-16,3.6468105489765358e-16,4.5236301370403908e-28,4.523592487303419e-28,1.5395479115472145e-15,8.5895427528229297e-25,3.5437950403469139e-18,1.3806635077419362e-24,2.6866593800992787e-28,1.495850542430992e-40,4.1593842960783429e-30,1.7767260194737673e-40,2.5234189705315379e-30,1.4203736114585504e-41,1.4203736114595432e-41,8.7326519947402138e-54,1.198309786485265e-54,5.6845455135827777e-46
2.1451430347972578e-21,1.1980158806783021,154.0,0.0,0.0,0.0,0.99999999999999489,1.0,19.0,3.4392925721874144e-16,7.7494724165532887e-16,7.7494724165649106e-16,1.9755881272073887e-27,1.9755548267067102e-27,3.2715393069239572e-15,3.7512789826235556e-24,7.5305644530219204e-18,6.0297202630087558e-24,1.1733347352266179e-27,1.3230248313930253e-39,1.8165123976457703e-29,1.571363729584713e-39,1.1020433605751846e-29,1.2563043741066473e-40,1.2563043741084146e-40,1.5539287566476964e-52,2.1323282372909668e-53,5.2250766879111034e-45
4.416470953994354e-21,1.1980158806783021,154.0,0.0,0.0,0.0,0.99999999999998945,1.0,19.0,7.0808964721505052e-16,1.5954796151660614e-15,1.5954796151709137e-15,8.2476915354389987e-27,8.2474116291287584e-27,6.7355220814146894e-15,1.5660851269704225e-23,1.5504103253836409e-17,2.5172895077736807e-23,4.8984415404441423e-27,1.1120181117109095e-38,7.5835816684558747e-29,1.3206067256207201e-38,4.60081409266757e-29,1.0559995244384503e-39,1.0559995244414307e-39,2.6209279499943551e-51,3.5964832320315327e-52,4.4701631132405834e-44
8.959126792388548e-21,1.1980158806783021,154.0,0.0,0.0,0.0,0.99999999999997846,1.0,19.0,1.4364104272076524e-15,3.2365443621669263e-15,3.2365443621867476e-15,3.3694511074878383e-26,3.3692216307020941e-26,1.3663487565345137e-14,6.3979687103415078e-23,3.1451180757323289e-17,1.0283948955420474e-22,2.0011731951723011e-26,9.1159473362414507e-38,3.0981405491319051e-28,1.0823539334054478e-37,1.8795826776692817e-28,8.6577221091351828e-39,8.6577221091841395e-39,4.3048819455805442e-50,5.9072344825272205e-51,3.696017306448422e-43
1.8044438469176934e-20,1.1980158806783021,154.0,0.0,0.0,0.0,0.99999999999995659,1.0,19.0,2.8930519871927899e-15,6.5186738560862622e-15,6.5186738561663742e-15,1.3619860103027409e-25,1.3618001859048597e-25,2.751941827300198e-14,2.5861612196869044e-22,6.3345335371728686e-17,4.1569365493706138e-22,8.0890619639314366e-26,7.3806320170649913e-37,1.2523179380046564e-27,8.7593696675529968e-37,7.5975737021282687e-28,7.0112478301752146e-38,7.0112478302545748e-38,6.9783988764642623e-49,9.5758815730384705e-50,3.0055398916079163e-42
3.6215061822753704e-20,1.198015880678302,154.0,0.0,0.0,0.0,0.99999999999991274,1.0,19.0,5.8063351071628007e-15,1.3082932843595406e-14,1.308293284391746e-14,5.4764858432403287e-25,5.4749903575916544e-25,5.5231278647499504e-14,1.0398840297679015e-21,1.2713364303026593e-16,1.6714858677574465e-21,3.252576197679052e-25,5.9378423851327231e-36,5.0355152938002684e-27,7.0409629166810814e-36,3.0549509699403972e-27,5.6432622178466443e-37,5.6432622179744509e-37,1.123849539760564e-47,1.5421661797566489e-48,2.4240768055902926e-41
7.255630852990725e-20,1.1980158806783021,154.0,0.0,0.0,0.0,0.99999999999982514,1.0,19.0,1.1632901347101766e-14,2.6211450817295974e-14,2.6211450818586955e-14,2.1963157634586447e-24,2.1951160364553187e-24,1.1065499523323018e-13,4.1703998798589357e-21,2.5471025206624681e-16,6.7034056322968269e-21,1.3044284973850149e-24,4.760365308772489e-35,2.0194668068449247e-26,5.6349975375309401e-35,1.2251719746932216e-26,4.5283625285316981e-36,4.5283625287368555e-36,1.8040271300605921e-46,2.4755181708133237e-47,1.9471503169587347e-40
