Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237)
0.0,0.875145380244255,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.898087240234733e-24,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,4.6462127335496204e-18,1.7031701221444207e-17,1.7031499755495142e-17,2.1767454402302202e-31,2.176770933110808e-31,2.9050019222615473e-16,1.2351908057697796e-27,2.8107278527221521e-18,2.6307053960614766e-27,1.1577351156542747e-31,1.1944344961419174e-45,5.7576702421065775e-32,1.2705545495586519e-45,6.4880639539824318e-33,6.9533752923640492e-46,6.9533752923641029e-46,4.7265781868990577e-60,7.0497372082425782e-61,6.7886293435086597e-35,6.7651535816849015e-107,6.2276534285663909e-107,6.2276534285663946e-107,1.0858138739052689e-50,2.0146594917368259e-22,5.9737388954915497e-42,1.690542881987518e-50,1.2222816909398243e-44
1.371464427265725e-23,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999999911,1.0,19.0,1.3009395653938931e-17,4.7688763420042667e-17,4.7688199315385648e-17,1.3147542458984388e-30,1.3147694945081579e-30,8.1340053822051377e-16,7.4605524667521182e-27,7.8700379875403492e-18,1.5889460592003984e-26,6.9927200984835663e-31,1.4180316682245171e-44,3.477632826202771e-31,1.5083995513006504e-44,3.9187906282049231e-32,8.2550471470936431e-45,8.255047147093765e-45,1.0573166340445483e-58,1.5769980145143597e-59,4.1003321234794078e-34,7.2087961172022043e-105,6.6360479940426851e-105,6.6360479940426882e-105,1.2890949817613491e-49,5.6410465768675085e-22,3.6081382928825992e-41,2.0070125064175311e-49,1.4510928234663884e-43
3.134775833750229e-23,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,2.9735761494717536e-17,1.0900288781723511e-16,1.0900159843516358e-16,6.3299757401802623e-30,6.330047637125184e-30,1.8592012301583521e-15,3.5919348630324929e-26,1.7988658256850032e-17,7.6500912914357688e-26,3.3666937162202518e-30,1.3922298553622815e-43,1.6743305063601902e-30,1.4809496721999819e-43,1.8867289978173928e-31,8.1048542407765749e-44,8.1048542407768139e-44,2.0890794955557454e-57,3.115882329697188e-58,1.9741334130925825e-33,1.6405533311456836e-102,1.5102092589760767e-102,1.5102092589760786e-102,1.2656484373629205e-48,1.2893820747146463e-21,1.7371632708174025e-40,1.9704967737026951e-48,1.4246915389056096e-42
6.661398646719237e-23,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999999545,1.0,19.0,6.318849317627465e-17,2.3163113661160213e-16,2.3162839667470725e-16,2.7644667090828547e-29,2.7644967741453523e-29,3.9508026138305135e-15,1.5686923231767262e-25,3.8225898794162565e-17,3.3409958526767034e-25,1.4703235967751376e-29,1.2314079021449117e-42,7.3122412070165261e-30,1.3098726259484742e-42,8.2398412215504708e-31,7.1686517914094219e-43,7.1686517914098488e-43,3.7174053424480159e-56,5.5445461244224578e-57,8.6215592662587232e-33,2.7724626033080466e-100,2.5521868836515599e-100,2.5521868836515665e-100,1.1194546248875428e-47,2.7399369087774713e-21,7.5866483973612368e-40,1.742882069575744e-47,1.2601235319782371e-41
1.3714644272657252e-22,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999999067,1.0,19.0,1.3009395653938853e-16,4.7688763420026462e-16,4.768819931537457e-16,1.1541104324014905e-28,1.1541218689223899e-28,8.1340053803607672e-15,6.548981650833323e-25,7.8700379863560302e-17,1.3948000007025591e-24,6.1383115822468409e-29,1.0350664188743487e-41,3.0527167619519634e-29,1.1010090565373229e-41,3.4399715083949928e-30,6.0256837743467288e-42,6.0256837743474502e-42,6.2699474547118885e-55,9.3516874456584792e-56,3.5993312779307429e-32,4.0594959615628181e-98,3.7369637862656198e-98,3.7369637862656386e-98,9.4097022019638595e-47,5.6410465769312615e-21,3.1672763624677013e-39,1.4649973764894195e-46,1.0592097566562293e-40
2.7821135524533283e-22,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999998113,1.0,19.0,2.6390488326561492e-16,9.6740062937730376e-16,9.6738918611162736e-16,4.7149176932836877e-28,4.7149553029040342e-28,1.6500410910165016e-14,2.6754726917797587e-24,1.5964934198144644e-16,5.6982131136361364e-24,2.5077005691056547e-28,8.4859994891557729e-41,1.247134404771628e-28,9.0264453708004368e-41,1.4053406046829144e-29,4.9402196146790316e-41,4.9402196146802143e-41,1.029840751292106e-53,1.536017470731019e-54,1.4704442703234255e-31,5.5510173503306963e-96,5.109981882365289e-96,5.1099818823653431e-96,7.7146469747477358e-46,1.1443265913351401e-20,1.2939357397850822e-38,1.2010933286620509e-45,8.6840415308422449e-40
5.603411802828534e-22,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999996203,1.0,19.0,5.3152673671806202e-16,1.9484266197302374e-15,1.9484035720266089e-15,1.9058451166429863e-27,1.9058529521307803e-27,3.3233221956748455e-14,1.081468838664304e-23,3.2154726613358145e-16,2.3033088460964454e-23,1.0136526643777618e-27,6.8720198321531997e-40,5.0411166622599831e-28,7.3093764587399818e-40,5.6806114187361981e-29,4.0007179277939859e-40,4.0007179277959043e-40,1.6694162338042239e-52,2.4899505103924559e-53,5.9437708444673903e-31,7.3417518439874549e-94,6.7584402173367585e-94,6.7584402173369022e-94,6.2475229706398714e-45,2.3047704586641917e-20,5.2302951430126682e-38,9.7267646617218421e-45,7.0325619777322203e-39
1.1246008303578947e-21,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999992373,1.0,19.0,1.0667704436229337e-15,3.9104786004315281e-15,3.910432343853447e-15,7.6633193916638481e-27,7.6632916537778739e-27,6.669884399781511e-14,4.3485386316731291e-23,6.4534311410330219e-16,9.2615035587113437e-23,4.075852778686966e-27,5.530937731036819e-39,2.0270108370818777e-27,5.8824607445868056e-39,2.2841488672186594e-28,3.2201258428562258e-39,3.2201258428593155e-39,2.6885433699951747e-51,4.0099885323895658e-52,2.3899641149134436e-30,9.5518204304382678e-92,8.7929160121040366e-92,8.7929160121044113e-92,5.0285507419098868e-44,4.6256581935023891e-20,2.1030786735535509e-37,7.8289455748719134e-44,5.6604176940352775e-38
2.253120130507977e-21,0.875145380244255,154.0,0.0,0.0,0.0,0.99999999999984723,1.0,19.0,2.1372578574325882e-15,7.8345825618158094e-15,7.834489887494618e-15,3.0733338261983378e-26,3.0732751839718394e-26,1.3363008787154754e-13,1.7439584813419442e-22,1.2929348087045462e-15,3.7142771513056221e-22,1.6345992590491053e-26,4.4378092931988075e-38,8.1292200500185585e-27,4.719082900418913e-38,9.1604585679486821e-28,2.5839481924085866e-38,2.5839481924135464e-38,4.3157075014883223e-50,6.4369196611042969e-51,9.5848250384353454e-30,1.2326118265756634e-89,1.1346792316238787e-89,1.134679231623975e-89,4.0350955763431005e-43,9.2674336638991593e-20,8.4342861076562396e-37,6.2822344351445342e-43,4.5421287112524731e-37
