Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32)
0.0,0.504712927278027,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.629126595606608e-22,0.504712927278027,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,5.3282044989586292e-17,2.6060603544277257e-16,2.6060560975808171e-16,7.8117741246121973e-28,7.811728387381929e-28,2.0935656824500538e-16,1.1816286259859093e-25,2.4767893605453393e-19,1.6690076919754937e-25,4.8826376476636186e-28,2.1870129037629584e-40,1.1699248994313814e-30,2.7338131602189845e-40,7.2718968329718186e-31,3.2598027979815294e-42,3.2598027979884454e-42,6.1074701386536942e-54,8.0811625340475191e-55,7.5006705081208624e-32,4.0156241557560441e-97,3.7829471606032685e-97,3.7829471606032768e-97,2.5923536646114246e-45,4.3087600244833559e-22,8.2053875842667779e-40,1.8808462127285034e-45,8.892814293173899e-42,6.295958961071716e-42,2.5548786157927912e-60,7.9930212692855953e-48,1.3612915734949629e-76,3.3180750287023254e-61,1.9024358024021423e-57,1.572098835122702e-69,5.6883701853559612e-82,3.7652066805319342e-94,2.9889066928934321e-95,4.2315835149986051e-71,6.4724349949987008e-108,1.2494727979374675e-111,9.9163368372938147e-109,1.82004721709008e-100,3.9352523590234762e-97,2.4675356625896199e-39,7.3965526906378434e-51,1.8312777565974778e-51,1.1977313276500185e-51,7.0789397563921928e-56,2.1143852868403446e-48,5.6980118216845994e-36,2.7766144544736258e-47,1.8321842875862938e-47,3.4327263163941965e-59,2.7460287164716819e-59,2.3987465357483694e-60,3.5874132865349094e-63,2.8695807084697296e-71,3.9721224968722408e-50,1.2758822759266892e-60,5.4678346631098499e-61,4.0312632160863879e-113,2.0707563757133635e-63,4.9347766803018902e-70,2.7631725933387952e-82,4.1857310923576663e-87,5.190823900835996e-24
2.1361554467698506e-21,0.504712927278027,154.0,0.0,0.0,0.0,0.99999999999999778,1.0,19.0,1.4918972597084122e-16,7.2969689923564878e-16,7.2969570732009395e-16,4.7183115711888021e-27,4.7182498307244165e-27,5.8619839014422422e-16,7.1370368913868865e-25,6.9350102023062575e-19,1.0080806446017523e-24,2.9491131371346797e-27,2.5963748860290735e-39,7.0663463917926216e-30,3.2454099368997907e-39,4.3922256870829502e-30,3.87003788173057e-41,3.8700378817460401e-41,1.3662166341366892e-52,1.8077237325382108e-53,4.5304049868929028e-31,4.2789591503511502e-95,4.0310237562837268e-95,4.0310237562837414e-95,3.0776436503219158e-44,1.2064528073413815e-21,4.9560541028600736e-39,2.2329402934887163e-44,1.0557549115887828e-40,7.4745624694029352e-41,5.715161268460263e-59,9.4893148508415831e-47,5.6174077942606661e-75,7.4224042651860015e-60,2.2589201039945696e-56,6.487312547466606e-68,4.2820648429201036e-80,5.1394906479274225e-92,4.0798445607589314e-93,9.4672776384934375e-70,1.5967446167788492e-105,3.0824425410561314e-109,2.4463523469434886e-106,2.4843564905448798e-98,5.371602255220096e-95,1.4903915401913909e-38,8.781187354144886e-50,2.1740929482671299e-50,1.4219465900197166e-50,8.4963223545292467e-55,2.5101981848508996e-47,3.4415991402531712e-35,3.2963966798787065e-46,2.1751691861900673e-46,7.6788714419917582e-58,6.1427563800869869e-58,5.3659000501257901e-59,8.0247320201211926e-62,1.1840907896339073e-69,4.7157038280401424e-49,2.7162132775070557e-59,1.2231326838467078e-59,7.7724354410593597e-111,4.63210119792285e-62,1.115459624783447e-68,1.1518919790929026e-80,1.7451546102237917e-85,1.4534306922341873e-23
4.88264102118823e-21,0.504712927278027,154.0,0.0,0.0,0.0,0.999999999999995,1.0,19.0,3.4100508793334964e-16,1.6678786268049434e-15,1.6678759024339786e-15,2.2716639153217772e-26,2.2715994429049909e-26,1.3398820301754981e-15,3.4361760300150143e-24,1.5851451856945315e-18,4.8534743479930438e-24,1.4198710248593608e-26,2.5490370628420243e-38,3.4021416063870739e-29,3.1859962342185597e-38,2.1146675989801613e-29,3.7996261412246499e-40,3.799626141255216e-40,2.6994138159175308e-51,3.5717574607365847e-52,2.1811949837433963e-30,9.7379098723422515e-93,9.1736669252255524e-93,9.1736669252256239e-93,3.0216493907432068e-43,2.7576064190716412e-21,2.386126712440708e-38,2.1923133217427138e-43,1.0365464299921994e-39,7.3385697365628299e-40,1.1292195579726838e-57,9.3166655913110218e-46,2.2221906604130677e-73,1.4665422982733018e-58,2.2185589613085601e-55,2.5663168564871886e-66,3.3857006175008667e-78,8.1191373008582913e-90,6.4451558382639986e-91,1.8711775634131723e-68,5.0404490822704261e-103,9.7303605935732149e-107,7.7224076426919395e-104,3.9246751964616635e-96,8.4858168296702968e-93,7.1755937066195185e-38,8.6214218156483399e-49,2.134537339557294e-49,1.3960755047930742e-49,8.5370479077095064e-54,2.4645274045146363e-46,1.6569818376793904e-34,3.2364218066700724e-45,2.1355940055102012e-45,1.5172155887877524e-56,1.2137051388347148e-56,1.0602114265474956e-57,1.5854791753383756e-60,4.6837107168240867e-68,4.6299059816257617e-48,4.852911842820538e-58,2.4167038128936506e-58,3.5270729190015316e-108,9.1518277189549102e-61,2.2539900993099825e-67,4.6587356747864167e-79,7.0585611930892173e-84,3.3221272965357981e-23
1.0375612170024988e-20,0.504712927278027,154.0,0.0,0.0,0.0,0.99999999999998934,1.0,19.0,7.2463581185836089e-16,3.5442420818777041e-15,3.5442362926211884e-15,9.92095313706451e-26,9.9203662883408908e-26,2.8472492951693913e-15,1.5006683401716944e-23,3.3684335050692324e-18,2.1196397478614614e-23,6.2009497806935371e-26,2.2544179730255831e-37,1.4858046210798264e-28,2.8173258587766535e-37,9.2353089773777537e-29,3.3607262923915319e-39,3.3607262924459216e-39,4.8034625635478919e-50,6.3557515371695219e-51,9.5258515451259283e-30,1.6456637185331111e-90,1.55030915490743e-90,1.5503091549074533e-90,2.6726149073506509e-42,5.8599136503088319e-21,1.0420842262317158e-37,1.9390750614672867e-42,9.1681357392673974e-39,6.4908817907355305e-39,2.0093858695461949e-56,8.240485207429308e-45,7.930840623783437e-72,2.6096338657206909e-57,1.9636027738468803e-54,9.1590033135543107e-65,2.4199574314647508e-76,1.1614162162676948e-87,9.2195860590329759e-89,3.3318164444514278e-67,1.4425120016232833e-100,2.784705183430233e-104,2.210053630599617e-101,5.6141203870358053e-94,1.2138685317451403e-90,3.1337702912913543e-37,7.6255499607658232e-48,1.8879740875230134e-48,1.234812815050945e-48,7.8983587293599093e-53,2.1798464750853443e-45,7.2364750128523705e-34,2.8625784349089193e-44,1.8889087129191616e-44,2.699804046775228e-55,2.1597234194677228e-55,1.8865895859208594e-56,2.8210158054549003e-59,1.6712718957358051e-66,4.0950994079601021e-47,7.2375197196358372e-57,4.3003943998412759e-57,1.1930195197211228e-105,1.6283673967377595e-59,4.189718417109757e-66,1.7356966402298973e-77,2.6298705650246825e-82,7.0595205051407584e-23
2.1361554467698506e-20,0.504712927278027,154.0,0.0,0.0,0.0,0.99999999999997802,1.0,19.0,1.4918972597083598e-15,7.2969689917599275e-15,7.2969570728333753e-15,4.1418026397957054e-25,4.1413025310849221e-25,5.8619837648825575e-15,6.2649948415035943e-23,6.9350100976061914e-18,8.8490785943273216e-23,2.5887744521359333e-25,1.8946773885957221e-36,6.2029418060029464e-28,2.3670364882320321e-36,3.8555597003948465e-28,2.8248929474950338e-38,2.8248929475867712e-38,8.1017413892602163e-49,1.0719903856061379e-49,3.9768555032368671e-29,2.4096141858541275e-88,2.2699941002871723e-88,2.2699941002872412e-88,2.2464939623489693e-41,1.2064528143889892e-20,4.350496524429795e-37,1.6299073336884397e-41,7.7063704282680599e-38,5.4559771918797611e-38,3.3891229673507639e-55,6.92662434298147e-44,2.6796518010787864e-70,4.4015289913653713e-56,1.6527344272425465e-53,3.0946202533311165e-63,1.6366184041271324e-74,1.5715649284525287e-85,1.2475439814499093e-86,5.6268712382545492e-66,3.9046409548456873e-98,7.537736225702775e-102,5.9822458302682464e-99,7.5967208061362182e-92,1.6425405342113445e-88,1.3082874081273027e-36,6.4097342147334566e-47,1.5869559518635903e-47,1.0379343068133053e-47,7.2235298890912872e-52,1.8322921324124532e-44,3.0210858672388171e-33,2.4061696548362674e-43,1.5877415882912247e-43,4.553614038826366e-54,3.6426891273822722e-54,3.1820090838937413e-55,4.7571793793034829e-58,5.6447481305748287e-65,3.4421777995260598e-46,9.2072432654778341e-56,7.2532406394318574e-56,3.4952881151490398e-103,2.7459686611897991e-58,7.6701947118726497e-65,6.3581351245077899e-76,9.633783458932712e-81,1.4534306922357636e-22
4.333343906304554e-20,0.5047129272780271,154.0,0.0,0.0,0.0,0.99999999999995548,1.0,19.0,3.0264201554082651e-15,1.4802422810471321e-14,1.48023986326088e-14,1.6920615215784535e-24,1.6916487672325605e-24,1.1891452463210425e-14,2.5594547560227884e-22,1.4068163097830346e-17,3.6151372615072876e-22,1.0575988207730571e-24,1.5528845610646438e-35,2.5341041200354106e-27,1.9388451602463918e-35,1.5751219412307262e-27,2.3160179108554093e-37,2.3160179110060885e-37,1.3307133531552922e-47,1.7607473985817517e-48,1.6246752345980847e-28,3.2949435784011824e-86,3.1040249213622323e-86,3.1040249213624223e-86,1.8418115163181166e-40,2.4473757255478742e-20,1.7773197953684876e-36,1.3362930738471215e-40,6.3181479415752837e-37,4.4731396427168536e-37,5.5666446519160193e-54,5.6788651248278943e-43,8.8101088504993492e-69,7.2295242375990371e-55,1.3586324315347766e-52,1.0174433859263871e-61,1.0766222021764704e-72,2.068090992179609e-83,1.641697663149741e-84,9.2660556095025613e-65,1.0277656574965344e-95,1.9840561270374722e-99,1.5746237518945958e-96,9.9968570772026582e-90,2.1614908947329593e-86,5.3447809450910318e-36,5.2550873671934507e-46,1.3010823237982041e-46,8.509608157422266e-47,6.8807877548429356e-51,1.5022235047750875e-43,1.2342121521006403e-32,1.9727232527715551e-42,1.3017264810508277e-42,7.4793244114022329e-53,5.983127529893472e-53,5.2264594671070617e-54,7.8108047764203172e-57,1.8544892746574113e-63,2.8221053261033934e-45,1.0116409681448898e-54,1.191345943016154e-54,9.5613475022244854e-101,4.5085840720633486e-57,1.4581352989089326e-63,2.4150024344944381e-74,3.6592217911309411e-79,2.9483879756819204e-22
8.727720825373961e-20,0.504712927278027,154.0,0.0,0.0,0.0,0.99999999999991029,1.0,19.0,6.0954659468077067e-15,2.9813330443683022e-14,2.9813281749563872e-14,6.8395832037783931e-24,6.8362301752228124e-24,2.3950388895472372e-14,1.0345724872667421e-21,2.8334468358879644e-17,1.4612962153940088e-21,4.2749834275668808e-24,1.2567790224995259e-34,1.0243253983380991e-26,1.5672285535829891e-34,6.3668947252029691e-27,1.8755713504726127e-36,1.87557135071687e-36,2.1571433564035607e-46,2.8542473156073688e-47,6.5671970608685959e-28,4.3578783048857234e-84,4.1053701044637607e-84,4.1053701044642632e-84,1.4915467342750197e-39,4.9292215976363349e-20,7.1842108783372874e-36,1.0821592163162086e-39,5.1165997937861497e-36,3.6224643020596773e-36,9.023770867464801e-53,4.5988922116928062e-42,2.857537688710419e-67,1.1719368814915805e-53,1.106120496822198e-51,3.3000528156021706e-60,6.9854913087563682e-71,2.6839828721571974e-81,2.13060664463459e-82,1.5098171099880117e-63,2.667825552217855e-93,5.1501193190539691e-97,4.0873254177594311e-94,1.2973990816170872e-87,2.8051979156345473e-84,2.1604459130714673e-35,4.2557059942576103e-45,1.0536501251479599e-45,6.8912942127456124e-46,7.1247154959348055e-50,1.2165390757874019e-42,4.9888828501460664e-32,1.597562428445108e-41,1.0541718533479189e-41,1.2124306136073653e-51,9.6989065833249187e-52,8.4723159931969621e-53,1.2652334827771512e-55,6.0060574354012285e-62,2.2854140588063643e-44,9.8432822372182383e-54,1.9312198378052449e-53,2.529475115626793e-98,7.3031757193965193e-56,3.0066253899884288e-62,9.9385913390912863e-73,1.5059102526543657e-77,5.9383025425853652e-22
1.7516474663512773e-19,0.504712927278027,154.0,0.0,0.0,0.0,0.99999999999981992,1.0,19.0,1.2233557529605114e-14,5.9835145693270979e-14,5.9835047973090915e-14,2.7501663216012094e-23,2.7474642572363461e-23,4.806825790242172e-14,4.1599700889360831e-21,5.6867075923382468e-17,5.8758072749206246e-21,1.7189519525381381e-23,1.0103002439955897e-33,4.1187673445364638e-26,1.256800811418503e-33,2.5601003651110105e-26,1.5096229929828339e-35,1.509622993376202e-35,3.4740118006244507e-45,4.5966770098904808e-46,2.6406410541125727e-27,5.6697191448176011e-82,5.3411990536452792e-82,5.3411990536465866e-82,1.2005265811219915e-38,9.89291354089602e-20,2.8887396744539725e-35,8.7100693175389104e-39,4.1182842966666579e-35,2.9156741687141552e-35,1.4532504806633766e-51,3.7015885450794086e-41,9.2059383110950747e-66,1.8873676999097028e-52,8.9974294561991712e-51,1.0631556856653568e-58,4.5014222296087661e-69,3.4592817641329983e-79,2.7460565380018873e-80,2.4564748573022155e-62,6.8770997465449306e-91,1.327593730855382e-94,1.0536231278274893e-91,1.6721675662760481e-85,3.6155111486516475e-82,8.6870579915369182e-35,3.4253624173453002e-44,8.4806916788769682e-45,5.5467016826451314e-45,8.2337356639007772e-49,9.791757342956765e-42,2.0060078503788703e-31,1.285857214399484e-40,8.4848921757544743e-41,1.9525817908324942e-50,1.5619786917510739e-50,1.3644403635139884e-51,2.0346252950264526e-54,1.9292005585161305e-60,1.8395000575431849e-43,8.7949616390561804e-53,3.1101594662613112e-52,6.5822485411573408e-96,1.1744077172299215e-54,6.9129037303399225e-61,4.5585331423416878e-71,6.9072040609942676e-76,1.191813167643677e-21
3.5093982339790397e-19,0.504712927278027,154.0,0.0,0.0,0.0,0.99999999999963929,1.0,19.0,2.4509740695194011e-14,1.1987877612517646e-13,1.1987858037861254e-13,1.1029396967042826e-22,1.1007716520568815e-22,9.6303980486027181e-14,1.6683337599081081e-20,1.1393227922200759e-16,2.3564610883947619e-20,6.8937654950212642e-23,8.0867974263238291e-33,1.6518098968969578e-25,1.0011341690198543e-32,1.0267147486760384e-25,1.2113773776934678e-34,1.2113773783249104e-34,5.5765548700614323e-44,7.378683647003714e-45,1.0590151678715269e-26,7.3164721938159179e-80,6.8925344201121432e-80,6.8925344201155185e-80,9.633469799814077e-38,1.9820298223746447e-19,1.1585138737235374e-34,6.9891384339373384e-38,3.3046632234847566e-34,2.3396444982660434e-34,2.3327888717299592e-50,2.9702916871619599e-40,2.9558337301770471e-64,3.0296414567525913e-51,7.3713858846516756e-50,3.413568068529409e-57,2.8907793135076457e-67,4.4431693209595152e-77,3.5270888585111747e-78,4.0233219245386941e-61,1.7666402350821612e-88,3.4104209811243847e-92,2.7066023592763229e-89,2.1477649249755578e-83,4.6438334081065097e-80,3.4838987887144308e-34,2.7486376102888238e-43,6.805219078097858e-44,4.4508604395254726e-44,1.0617862537314983e-47,7.857256561334444e-41,8.0449886748390189e-31,1.0318194135496491e-39,6.8085915971194385e-40,3.1343251296908936e-49,2.5073207201104417e-49,2.1902289341608351e-50,3.2564529945675235e-53,6.1577803890338116e-59,1.4760829429724237e-42,7.4625901298174878e-52,4.9924608820307619e-51,1.6988625485371652e-93,1.879602844720736e-53,1.7744999866366661e-59,2.3348479007206854e-69,3.5378465362524977e-74,2.3877789944317648e-21
