Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79)
1.5842795601065342e-17,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999862665,1.0,19.0,2.163246215703352e-13,5.0417788472060304e-13,5.0417789177893409e-13,1.096899003990259e-20,1.0454160019914723e-20,1.4871880171268411e-13,1.0514968323892373e-18,4.8164811451623972e-17,1.1562778185546926e-18,7.5731611176261523e-21
3.168903005509379e-17,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999999725286,1.0,19.0,4.3269619877414952e-13,1.0084651726161033e-12,1.0084651989676953e-12,4.3883099483681936e-20,3.9937270753247982e-20,2.9746536936766425e-13,4.206617294206793e-18,9.6339160582268977e-17,4.6258040144437528e-18,3.0297420690027096e-20
6.338149896315069e-17,0.8827513472339055,154.0,0.0,0.0,0.0,0.9999999999945054,1.0,19.0,8.654393531699701e-13,2.0170396554130278e-12,2.0170397475043354e-12,1.7554665807727974e-19,1.4643965976036944e-19,5.9494495858662389e-13,1.6827400792340411e-17,1.9268510756628606e-16,1.8504240508186459e-17,1.2119830547049192e-19
1.2676643677926452e-16,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999998901046,1.0,19.0,1.730925661914378e-12,4.0341882976670999e-12,4.0341885812142273e-12,7.0221499742806559e-19,5.009590941922266e-19,1.1898499575947915e-12,6.7308839430715905e-17,3.8536599705372188e-16,7.4016122188102974e-17,4.8480302958492699e-19
2.535363124114921e-16,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999997802047,1.0,19.0,3.4618982792142621e-12,8.0684845194406962e-12,8.0684851951815378e-12,2.8089154715006001e-18,1.5454840358214889e-18,2.379443277358937e-12,2.6921281737770962e-16,7.7068376313356905e-16,2.9603970227685346e-16,1.9391722773969248e-18
3.8030618804371977e-16,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999996703048,1.0,19.0,5.1928708963252138e-12,1.2102779815185261e-11,1.2102780755697475e-11,5.9689786476618362e-18,2.7888415258325364e-18,3.5688199583305235e-12,5.7203951344504187e-16,1.1559575213451869e-15,6.2904288473565482e-16,4.1206493345106068e-18
5.070760636759474e-16,0.8827513472339055,154.0,0.0,0.0,0.0,0.9999999999560405,1.0,19.0,6.923843513247233e-12,1.6137074265943261e-11,1.6137075262763127e-11,1.0182403432630645e-17,4.1500410669156104e-18,4.7579800399619948e-12,9.757705484304839e-16,1.5411872767147965e-15,1.0730054588869106e-15,7.0291822289582826e-18
7.606158149404026e-16,0.8827513472339057,154.0,0.0,0.0,0.0,0.99999999993406052,1.0,19.0,1.0385788746647858e-11,2.4205661317427858e-11,2.4205661804514509e-11,2.108142481551433e-17,7.0160690853841155e-18,7.1357919801898093e-12,2.0199919241045588e-15,2.3115435310671673e-15,2.2212828261340309e-15,1.4552442380864668e-17
1.014155566204858e-15,0.8827513472339057,154.0,0.0,0.0,0.0,0.99999999991208077,1.0,19.0,1.3847733979353712e-11,3.227424555339626e-11,3.2274244472362558e-11,3.5854023440747582e-17,1.0024075175058261e-17,9.5128077350233958e-12,3.4351219129616964e-15,3.0817380130205273e-15,3.7774296124156747e-15,2.4748914573989374e-17
1.2676953174693132e-15,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999989010091,1.0,19.0,1.730967921131517e-11,4.0342826872036332e-11,4.0342822989607226e-11,5.477687608942978e-17,1.3085251649160865e-17,1.1888970697622889e-11,5.2475312128528169e-15,3.8517592009867153e-15,5.7704443387437871e-15,3.7809195335881531e-17
