Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590)
0.0,0.740463420447507,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.828761792810813e-24,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,4.7960998737788134e-18,2.0862519987256375e-17,2.0862264124986114e-17,3.1145550875509331e-31,3.1145929191800695e-31,3.1479600042975115e-16,1.32327547225777e-27,3.1617609123160252e-18,2.8391908861658202e-27,1.6517623509011761e-31,1.7185093102861172e-45,6.6094278391429307e-32,1.8227740731159345e-45,8.2715231519395533e-33,8.9469215473440893e-46,8.9469215473441702e-46,7.0836064754836744e-60,1.0589267321401706e-60,9.91690275498872e-35,1.3050268286239017e-106,1.2008517400230252e-106,1.2008517400230254e-106,1.8600269057478673e-50,2.5586227041758849e-22,9.0810794783122197e-42,2.9279561652807929e-50,1.3617043050773521e-44,6.3465613254699348e-45,1.8076848273009228e-65,9.512491210295083e-52,8.6698369720496178e-83,7.4716175033642356e-67,1.108263648410533e-59
1.3520533019870278e-23,0.740463420447507,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,1.3429079646580673e-17,5.8415055964316253e-17,5.8414339549960035e-17,1.8811912728798681e-30,1.8812139097229134e-30,8.8142880118960858e-16,7.9925838523333087e-27,8.8529305543935755e-18,1.7148712952219231e-26,9.9766445993457782e-31,2.0402128414908698e-44,3.9920944148087254e-31,2.1639932890300746e-44,4.9959999837708811e-32,1.062178526100563e-44,1.0621785261005812e-44,1.5845744340621989e-58,2.3687767426972327e-59,5.989809264013431e-34,1.3906073559804684e-104,1.2796007150893861e-104,1.2796007150893871e-104,2.2082543428087205e-49,7.1641435716989009e-22,5.4849720049107709e-41,3.4760695541197887e-49,1.6166153509686045e-43,7.5346376055082849e-44,4.0437186512797586e-64,1.129322956486216e-50,3.5776325020603143e-81,1.671392929951684e-65,1.3157306818314735e-58
3.0904075473989205e-23,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999999999767,1.0,19.0,3.0695039192184361e-17,1.3352012791842965e-16,1.3351849039990354e-16,9.0571261945846764e-30,9.0572330070486342e-30,2.0146944026545446e-15,3.8480850731701637e-26,2.0235269838183491e-17,8.2563670966367173e-26,4.8033249162746317e-30,2.0030900758653541e-43,1.9220216155723577e-30,2.1246127788974975e-43,2.4053589325831088e-31,1.042853175558033e-43,1.0428531755580691e-43,3.1308520577416766e-57,4.6803036704145584e-58,2.8838353211510843e-33,3.1646969800206159e-102,2.9120718377190558e-102,2.9120718377190601e-102,2.1680905297734926e-48,1.6375185306770626e-21,2.6407779123083026e-40,3.4128256898164298e-48,1.5872025379385544e-42,7.3975518806899246e-43,7.9897066300589291e-63,1.1087759754719442e-49,1.4152758395788693e-79,3.3024119690984339e-64,1.291792351746203e-57
6.567116038222705e-23,0.740463420447507,154.0,0.0,0.0,0.0,0.999999999999995,1.0,19.0,6.5226958283391641e-17,2.8373027182663092e-16,2.8372679209977321e-16,3.9554849611757995e-29,3.9555296987022737e-29,4.2812256053653037e-15,1.6805598496067564e-25,4.2999948404302588e-17,3.6057724250859878e-25,2.0977381854936385e-29,1.7717051685305957e-42,8.3939733551906557e-30,1.8791805291056365e-42,1.0504834402953796e-30,9.2239182384415884e-43,9.2239182384422288e-43,5.5711839547680906e-56,8.3283503133571727e-57,1.2594466498839436e-32,5.3481979898705716e-100,4.9212726675483806e-100,4.9212726675483938e-100,1.9176568111884665e-47,3.4797268777016836e-21,1.1532970937611837e-39,3.0186056536446777e-47,1.4038626702373715e-41,6.5430508635230472e-42,1.4217256059811788e-61,9.8069979381647547e-49,5.0510189435209696e-78,5.876482850288266e-63,1.1425760015985546e-56
1.3520533019870276e-22,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999999998979,1.0,19.0,1.3429079646580583e-16,5.8415055964293141e-16,5.8414339549944287e-16,1.6513371074070073e-28,1.6513541879611871e-28,8.8142880099103651e-15,7.0160065524651932e-25,8.8529305530697862e-17,1.5053390075349746e-24,8.7576439831203367e-29,1.4892159989526471e-41,3.5043186398448006e-29,1.5795385349607839e-41,4.3855615751498553e-30,7.7532590621686172e-42,7.7532590621696967e-42,9.3966160370336139e-55,1.4046980099129979e-55,5.2579418406984063e-32,7.8309399432878053e-98,7.2058272294909526e-98,7.2058272294909916e-98,1.6119081948837122e-46,7.1641435717920326e-21,4.8147883395405773e-39,2.5373199029168685e-46,1.1800311632840483e-40,5.499828498612516e-41,2.3979480382735411e-60,8.2433726829804245e-48,1.7066251422862236e-76,9.9115610098979737e-62,9.6040447192839091e-56
2.742736698316542e-22,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999999997924,1.0,19.0,2.7241847283063254e-16,1.1849911352751243e-15,1.1849766022985044e-15,6.7462509017330105e-28,6.7463076347671821e-28,1.7880412815494655e-14,2.8662676027053586e-24,1.7958801976011668e-16,6.1498010244447304e-24,3.577783321396464e-28,1.2209345761754289e-40,1.431628507272814e-28,1.294958603599312e-40,1.7916450007955228e-29,6.3565902113346878e-41,6.3565902113364629e-41,1.5433970043799128e-53,2.3072206987940723e-54,2.1480408043444431e-31,1.0708147983437879e-95,9.8533592231958006e-96,9.8533592231959088e-96,1.3215405602760021e-45,1.4532976960137169e-20,1.966998139438256e-38,2.0802480997112798e-45,9.6746084194032593e-40,4.509091687872834e-40,3.9386368534616649e-59,6.7584149691054505e-47,5.611010080360005e-75,1.6279779715533872e-60,7.8739842667214451e-55
5.524103490975571e-22,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999999995826,1.0,19.0,5.4867382556027978e-16,2.3866722865378782e-15,2.386643015895516e-15,2.7269424777080049e-27,2.7269548624614254e-27,3.601266241263994e-14,1.1585911921776214e-23,3.6170544812546735e-16,2.4858478998407124e-23,1.4461972218612508e-27,9.887207074808823e-40,5.7868713224410786e-28,1.0486221900971953e-39,7.2421155525752116e-29,5.1477315588479504e-40,5.1477315588508257e-40,2.5019130492797177e-52,3.7401041759095138e-53,8.6827243733484471e-31,1.4162550797718812e-93,1.3032010833485201e-93,1.3032010833485489e-93,1.0702181419530972e-44,2.9270643737485158e-20,7.9509209760466772e-38,1.6846387559566861e-44,7.8347487259571159e-39,3.651579353427088e-39,6.3847000668784494e-58,5.4731396657197367e-46,1.8199176698495512e-73,2.639023325089251e-59,6.3765698128335084e-54
1.1086837076293628e-21,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999999991629,1.0,19.0,1.1011845310195491e-15,4.7900345890568578e-15,4.7899758430850935e-15,1.0964915767220578e-26,1.0964880742673432e-26,7.2277161550837269e-14,4.6586442229367129e-23,7.2594030448222135e-16,9.9954850648622178e-23,5.8150954191719874e-27,7.957701848232283e-39,2.3268755058334819e-27,8.4391153626916722e-39,2.9120228116849431e-28,4.1433422010505271e-39,4.1433422010551588e-39,4.0292538222941864e-51,6.0233224687583425e-52,3.4912852825239283e-30,1.8425866868204316e-91,1.6955003379872908e-91,1.695500337987366e-91,8.6140480053988683e-44,5.874597729481203e-20,3.1970303554437625e-37,1.35594368735831e-43,6.3060873771731045e-38,2.9391087414329984e-38,1.028236262847793e-56,4.4052589553564454e-45,5.8631071966168458e-72,4.250066411336826e-58,5.1324393945067258e-53
2.221230424692974e-21,0.7404634204475069,154.0,0.0,0.0,0.0,0.99999999999983236,1.0,19.0,2.2062059419379874e-15,9.5967591940687043e-15,9.5966414974464653e-15,4.397421640213961e-26,4.3973395594176523e-26,1.4480615960285905e-13,1.8683246930503797e-22,1.454410015699939e-15,4.00863656291964e-22,2.3321133464852818e-26,6.3849406778200303e-38,9.3318114881877614e-27,6.7700805890908589e-38,1.1678513908698028e-27,3.3247711777103916e-38,3.3247711777178262e-38,6.4678446853087856e-50,9.6687665092241267e-51,1.4001615498506128e-29,2.3777605098459453e-89,2.1879533684563845e-89,2.1879533684565788e-89,6.9122315624293244e-43,1.1769664441998938e-19,1.2821521635282797e-36,1.0880591841416931e-42,5.0602379683063706e-37,2.3584496624983908e-37,1.650546921886807e-55,3.5349428781480465e-44,1.8825207603660328e-70,6.8222984002293261e-57,4.1184935041793305e-52
