Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320)
0.0,0.45182913330343727,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8246695447125177e-23,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,1.3016233419965225e-17,8.397529608880645e-17,8.3974845778396372e-17,1.5350815858072702e-29,1.5350888160094233e-29,2.751828561766842e-16,8.5801716611636294e-27,1.1611389188140132e-18,1.5523213574660795e-26,8.7026824060546453e-30,4.2368130243793597e-43,1.3621874895884601e-31,4.8038403645992958e-43,7.4860100860166543e-32,3.7232755832489984e-44,3.723275583249439e-44,3.8585734627214248e-57,5.4796555436215245e-58,3.0149872580708679e-33,2.9336619006436075e-102,2.7251934855194424e-102,2.7251934855194444e-102,6.4021551132702035e-48,4.5031041870478215e-22,1.1218646453340561e-40,7.7031594097886942e-48,2.0205377131573779e-43,1.1168151712506533e-43,4.668205799317235e-63
1.0709074725195048e-22,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999999999878,1.0,19.0,3.6445453575902587e-17,2.3513082904857975e-16,2.3512956817945952e-16,9.2718927782570582e-29,9.2719306076543021e-29,7.7051199721528393e-16,5.1824236828970292e-26,3.251188972457975e-18,9.3760209982885773e-26,5.2564201729602028e-29,5.0299309280480461e-42,8.2276124367915938e-31,5.7030761150811283e-42,4.5215500919510452e-31,4.4202727724300474e-43,4.4202727724310335e-43,8.6314744904913311e-56,1.2257770263936141e-56,1.8210523038747781e-32,3.1260444072966751e-100,2.903905133833107e-100,2.9039051338331115e-100,7.6006657017023008e-47,1.2608691723929263e-21,6.7760624579612891e-40,9.1451907608454191e-47,2.3987823728712629e-42,1.3258829712042082e-42,1.0442589644858734e-61
2.447788508616011e-22,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999999999711,1.0,19.0,8.3303893887777238e-17,5.3744189496781385e-16,5.374390129813851e-16,4.4640172514992604e-28,4.4640295154024621e-28,1.7611702789747559e-15,2.4951139183976795e-25,7.4312890788608522e-18,4.5141505063015451e-25,2.5307400432354902e-28,4.9383874285175167e-41,3.9612412192391877e-30,5.599222517214566e-41,2.176931733009122e-30,4.3398500198252319e-42,4.3398500198271793e-42,1.7054339053778778e-54,2.4219288426591081e-55,8.7675829464697039e-32,7.1141456663634821e-98,6.6086086541731626e-98,6.6086086541731808e-98,7.4623905548121919e-46,2.8819866798473601e-21,3.2623823888452226e-39,8.9788023276369966e-46,2.3551387578697939e-41,1.3017597632856042e-41,2.0632797411453044e-60
5.201550580809024e-22,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999999999378,1.0,19.0,1.7702077451152608e-16,1.1420640268050304e-15,1.1420579025844318e-15,1.9495536139460095e-27,1.9495537427499449e-27,3.7424868412227908e-15,1.0896818002767872e-24,1.5791489288126415e-17,1.9714481227317796e-24,1.1052406651088994e-27,4.3678969079365888e-40,1.7299781112771551e-29,4.9522862665243469e-40,9.5072328091944289e-30,3.8385481952858072e-41,3.8385481952892722e-41,3.0347285094959633e-53,4.3096929709227058e-54,3.8290338177496113e-31,1.2022591670714402e-95,1.1168256469127709e-95,1.1168256469127773e-95,6.6004046619568709e-45,6.1242216950688096e-21,1.4247680997944182e-38,7.9416486362491012e-45,2.0830935595251928e-40,1.1513917682718441e-40,3.6714960587793548e-59
1.070907472519505e-21,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999999998723,1.0,19.0,3.644545357590222e-16,2.3513082904744599e-15,2.3512956817873109e-15,8.1390025676871403e-27,8.138959420652046e-27,7.7051199606352216e-15,4.5492070085300138e-24,3.2511889692496795e-17,8.2304078260338794e-24,4.6141622075498122e-27,3.6713950007262527e-39,7.2223180652963138e-29,4.1624214243466997e-39,3.9690825475639824e-29,3.2265310479969131e-40,3.2265310480027589e-40,5.1185131825372186e-52,7.2689271086104801e-53,1.5985462442288227e-30,1.7603722508694609e-93,1.6352787583013023e-93,1.6352787583013215e-93,5.5480396961464431e-44,1.2608691726762038e-20,5.9481263515394711e-38,6.6754336256000717e-44,1.7509656513844121e-39,9.6781415712803886e-40,6.1925147403607458e-58
2.17241230139671e-21,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999999997402,1.0,19.0,7.3932205825400802e-16,4.7697968177933013e-15,4.7697712401802081e-15,3.3250481178993008e-26,3.3249947917710703e-26,1.5630386179125527e-14,1.8584994972293158e-23,6.595269044459455e-17,3.3623901435997468e-23,1.8850358163755564e-26,3.009891175981166e-38,2.95055258613675e-28,3.4121560044036624e-38,1.621499728635952e-28,2.6453050919100664e-39,2.6453050919196674e-39,8.407173226350274e-51,1.1939234587286454e-51,6.5305830004688495e-30,2.4071601499237615e-91,2.2361053800166226e-91,2.2361053800166747e-91,4.5486188870969337e-43,2.5577631795149815e-20,2.4300036980530219e-37,5.4729228586625737e-43,1.4355474279271964e-38,7.9347251779504519e-39,1.0171224056275499e-56
4.3754219591511205e-21,0.45182913330343716,154.0,0.0,0.0,0.0,0.99999999999994771,1.0,19.0,1.4890571032439539e-15,9.6067738723509252e-15,9.6067223569145611e-15,1.3440376121072143e-25,1.3439871962335866e-25,3.1480918534767931e-14,7.5123520942765762e-23,1.32834291722218e-16,1.3591318520507428e-22,7.619616146420752e-26,2.4372607607376789e-37,1.1926605289989823e-27,2.7625261436220312e-37,6.5543611584988768e-28,2.14223664754153e-38,2.1422366475570939e-38,1.3628389940788626e-49,1.9354013711220398e-50,2.6397660638269887e-29,3.1836997352963369e-89,2.9574634270530015e-89,2.9574634270531403e-89,3.6835898034837447e-42,5.1515511951930625e-20,9.822463478691115e-37,4.4321133030311332e-42,1.1625435230307064e-37,6.4257461531407297e-38,1.6487992503914464e-55
8.781441274659941e-21,0.4518291333034373,154.0,0.0,0.0,0.0,0.99999999999989497,1.0,19.0,2.988527193223741e-15,1.9280727981145911e-14,1.9280624590177478e-14,5.4043161246122174e-25,5.4038813220356808e-25,6.3181982920699907e-14,3.0206837188685249e-22,2.6659749337117676e-16,5.4650093682552254e-22,3.0638141283923147e-25,1.9613539334578514e-36,4.7956355191656847e-27,2.2223531538088725e-36,2.6354797945849875e-27,1.7242584242320169e-37,1.724258424257082e-37,2.1948101380466087e-48,3.1169042265634844e-49,1.061438324150898e-28,4.1420806396248241e-87,3.8477410001332216e-87,3.8477410001335797e-87,2.9648736583697235e-41,1.0339127234551326e-19,3.9495693696444506e-36,3.5673479196917519e-41,9.3571616120833937e-37,5.1719995029866588e-37,2.6553403633941073e-54
1.759347990567758e-20,0.45182913330343716,154.0,0.0,0.0,0.0,0.99999999999978961,1.0,19.0,5.9874673731829006e-15,3.8628636197455048e-14,3.8628429055880238e-14,2.1673724793150204e-24,2.1670119750302476e-24,1.2658411039115248e-13,1.2114292604384419e-21,5.3412389304394186e-16,2.191713159481166e-21,1.2287264884614437e-24,1.5732766427174759e-35,1.923264322940788e-26,1.7814264541106904e-35,1.0569452722473148e-26,1.383608795306131e-36,1.3836087953463658e-36,3.5231561948049179e-47,5.0033215207297532e-48,4.2568424197307284e-28,5.3451356414380526e-85,4.9653059291377791e-85,4.9653059291387072e-85,2.3791244381697321e-40,2.0714279345276276e-19,1.5839539705479994e-35,2.8625681071119127e-40,7.5085328179525664e-36,4.1502038345099411e-36,4.2624093533540033e-53
