Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68)
5.012640756860915e-19,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999937284,1.0,19.0,3.6531008419649223e-14,2.201455262592836e-13,2.2014515103502706e-13,3.5544445681717859e-22,3.544324461605944e-22,1.5019765155517656e-13,3.7246059687675555e-20,1.8383760374738774e-16,5.2956586712860196e-20,2.2158655911299171e-22,3.7792356917810658e-32,5.2445162940395252e-25,4.6455921630457915e-32,2.8290318093196924e-25,4.866702095886693e-34,4.8667021003264563e-34,3.9201169790607028e-43,5.1964493163621239e-44,3.4792442386903682e-26,2.0688545175947905e-78,1.9482443753097637e-78,1.9482443753112717e-78,5.2005026866659579e-37,3.7544461785741071e-19,3.8605168151794302e-34,4.0844415606763308e-37,1.1061819002518657e-33,7.7801307900235982e-34,1.6860872817352657e-49,1.4535214990647576e-39,3.1816588194625122e-63,2.4864413093175681e-50,3.859019335901532e-49,4.0786934181803358e-56,4.9777826628571728e-66,1.3404543666299027e-75,8.9803920063665533e-77,3.0457712549323958e-60,7.8723554153726425e-87,1.7231586302240936e-90,9.9554860869044782e-88,6.6259492667074552e-82,1.3995172230300424e-78,9.9460400334827191e-34,1.3767665352608703e-42,2.8952956290831042e-43,1.8614428729468682e-43,6.1238027432420603e-47,3.3323836992063309e-40,2.2895170531660876e-30
1.0029636544787739e-18,0.41155334094665097,154.0,0.0,0.0,0.0,0.99999999999874511,1.0,19.0,7.3093755334811255e-14,4.4048231594450036e-13,4.4048156560692204e-13,1.4227041326537092e-21,1.4146209764945818e-21,3.0052561218723478e-13,1.490812265021675e-19,3.6783478126151528e-16,2.1196424439856924e-19,8.8692346375227953e-22,3.0036958704827581e-31,2.0991732091225226e-24,3.6415882638930813e-31,1.1323499871472993e-24,3.8963208249826155e-33,3.8963208320920102e-33,6.2772835210939233e-42,8.3210862354946436e-43,1.3926044107005722e-25,2.6535114522364874e-76,2.4988169626375921e-76,2.4988169626414608e-76,4.1635643328868452e-36,7.5121556494235093e-19,1.5452130958213723e-33,3.2698434675615236e-36,8.8561769189127478e-33,6.2288322302659763e-33,2.6999364783118672e-48,1.1637009994626856e-38,1.0189875290905341e-61,3.9815392102729599e-49,3.2886508337663105e-48,1.3062780399162789e-54,3.1884997081570624e-64,1.7172575134807339e-73,1.1504789757043323e-74,5.1819796800640123e-59,2.01706342012195e-84,4.4150957736741719e-88,2.5507444229349292e-85,8.4885123171541806e-80,1.7929230045515147e-76,3.9810080104410446e-33,1.1022503517120451e-41,2.3179950883217377e-42,1.4902685391225729e-42,8.8966519456837868e-46,2.6679212196027747e-39,9.1640348444646306e-30
2.0063628120641383e-18,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999748956,1.0,19.0,1.4621924916491523e-13,8.8115589188905476e-13,8.8115439261225048e-13,5.6926696117414028e-21,5.6283117290225736e-21,6.0118098089971661e-13,5.9651846684437904e-19,7.3582869770320614e-16,8.4813218311322281e-19,3.5488471743399849e-21,2.3694040187875871e-30,8.3994265851291159e-24,2.7972564741586467e-30,4.5308748743598766e-24,3.1182408075003949e-32,3.1182408188800201e-32,1.0047705894631639e-40,1.3319146982265283e-41,5.5722315781573886e-25,3.3999405936458037e-74,3.2017307559433061e-74,3.2017307559532198e-74,3.3321169434846332e-35,1.5027578771643234e-18,6.1828674375615818e-33,2.6165592076118789e-35,7.0876261572684111e-32,4.9849539646825404e-32,4.3216567448150367e-47,9.3131446712710875e-38,3.2621315857434516e-60,6.3730349498716938e-48,2.9505834530598092e-47,4.1818344442285789e-53,2.041505440253566e-62,2.199029507795436e-71,1.4732427736614601e-72,9.270226686743418e-58,5.1658991149812452e-82,1.1307497826541287e-85,6.5323966128423314e-83,1.0869945983116952e-77,2.2959227572736415e-74,1.5929217418812777e-32,8.8213526258028304e-41,1.8550975497679744e-41,1.1926395907227891e-41,1.3512581876824242e-44,2.1351286496783754e-38,3.6668075912049414e-29
4.013161127234867e-18,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999999497857,1.0,19.0,2.9247023682424267e-13,1.7625030302388359e-12,1.7625000380690629e-12,2.2774384676504337e-20,2.226476931987504e-20,1.2024895081262655e-12,2.3864572844397913e-18,1.4718147762445137e-15,3.3930738762644118e-18,1.419768395191946e-20,1.8429640400291546e-29,3.3603171311845531e-23,2.0711475998568319e-29,1.8126449598811792e-23,2.4950663775139149e-31,2.4950663957249029e-31,1.6079486099622849e-39,2.1314939263312257e-40,2.2292554605572127e-24,7.6229515198097104e-72,7.1785484665761731e-72,7.1785484666205537e-72,2.6661999544748246e-34,3.0058441738166249e-18,2.4735514362856281e-32,2.0931500465684746e-34,5.6711666606381278e-31,3.9887127369939435e-31,6.9160579759483532e-46,7.4519306506047477e-37,1.0441016233382873e-58,1.0198864378055571e-46,2.8708732078016556e-46,1.3384598157307854e-51,1.306834323652593e-60,2.815346075619756e-69,1.8861448962518479e-70,1.7958206610795691e-56,1.3227477231014035e-79,2.8953271866480347e-83,1.6724845481772139e-80,1.3916449847675739e-75,2.9393953762823718e-72,6.3727241155845645e-32,7.0584221302575347e-40,1.4843550821477719e-40,9.5424780908343089e-41,2.1041865690215935e-43,1.7083966567803201e-37,1.4669617908588155e-28
8.026757757576326e-18,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999998995659,1.0,19.0,5.8497221213937585e-13,3.5251972540440844e-12,3.5251912947673126e-12,9.1104948012389192e-20,8.7111075053519738e-20,2.405097721850693e-12,9.5465659479326713e-18,2.9437799159922844e-15,1.3573343104520932e-17,5.6795232969140269e-20,1.3963558637432523e-28,1.3442358956445482e-22,1.4405940343701649e-28,7.2511697655015448e-23,1.9962425689065646e-30,1.9962425980467312e-30,2.5729428367719469e-38,3.4107269107590907e-39,8.9177474779043762e-24,9.7919323999306986e-70,9.2210820373991767e-70,9.2210820375133766e-70,2.1331627062226368e-33,6.0120234559545593e-18,9.8950258694987081e-32,1.673887715762207e-33,4.5373463179469416e-30,3.1912606580879642e-30,1.106681906481563e-44,5.9621104526645607e-36,3.3414765850972074e-57,1.6319630527586896e-45,3.1129272730724434e-45,4.2834667495096666e-50,8.3645266724931659e-59,3.6039852582952684e-67,2.4144948042719531e-68,3.8730114271318698e-55,3.3865573522829351e-77,7.4127461325779514e-81,4.2811502735572609e-78,1.7814775776657333e-73,3.7627834946465579e-70,2.5492970312793505e-31,5.6472734842290398e-39,1.187589119812257e-39,7.6339862894236311e-40,3.3203326213232762e-42,1.3667980336909027e-36,5.8683246253560953e-28
1.605395101825924e-17,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999997991262,1.0,19.0,1.1699761627555552e-12,7.0505854994329099e-12,7.0505736713023371e-12,3.644345818096341e-19,3.3374231955132266e-19,4.8102787869047923e-12,3.8187496836487144e-17,5.8876821264160778e-15,5.4295125565784894e-17,2.2718917748612318e-19,1.0095996880766416e-27,5.3771595695771257e-22,9.1182757757006606e-28,2.9005857865416693e-22,1.5970697724037627e-29,1.5970698190291943e-29,4.116800588079751e-37,5.4574076034440413e-38,3.5672440653824017e-23,1.2535198288233648e-67,1.1804420936087679e-67,1.1804420936380073e-67,1.7066115244515168e-32,1.2024408775563032e-17,3.9581832940028465e-31,1.337909304014065e-32,3.63002089880128e-29,2.5531096965840902e-29,1.7707812932395641e-43,4.7699145990702687e-35,1.0693288090166335e-55,2.6112056729562046e-44,3.7961394202988769e-44,1.3707462582761863e-48,5.353446771091285e-57,4.6132324342005917e-65,3.0906413807807436e-66,9.3953964589113232e-54,8.6698360085409275e-75,1.8977181328405287e-78,1.0955869734279221e-75,2.2803633849276561e-71,4.8165000900934202e-68,1.0197602446140941e-30,4.5180326526559357e-38,9.5010408120183897e-39,6.1063255674071617e-39,5.27514163453847e-41,1.0934118405850034e-35,2.3474252837592669e-27
3.210833753962507e-17,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999995982469,1.0,19.0,2.3399840639315659e-12,1.4101361245846022e-11,1.4101337876926692e-11,1.4577676729716694e-18,1.2302424309866201e-18,9.6204994715931837e-12,1.5275052849628381e-16,1.1775374273117658e-14,2.1718127167321173e-16,9.0876721349792211e-19,6.7641658173391682e-27,2.1509053475677009e-21,5.1249572532637289e-27,1.1602578038598416e-21,1.2776859880006486e-28,1.2776860625993753e-28,6.5866729732455769e-36,8.7319685343619179e-37,1.4269265972567552e-22,1.6045820894412871e-65,1.511038117863897e-65,1.5110381179387533e-65,1.3653221777847046e-31,2.4049286436104795e-17,1.5833150399035398e-30,1.0683352128820813e-31,2.9040400827117046e-28,2.0425041892351978e-28,2.8333226913066647e-42,3.8160219449685688e-34,3.421942758347259e-54,4.1778176585104357e-43,5.1261214345618755e-43,4.3862783767200178e-47,3.4261230900038073e-55,5.9047968767700492e-63,3.9559269107091822e-64,2.5267724349674266e-52,2.2194256912886046e-72,4.8580468471104636e-76,2.8024937654987735e-73,2.9188139968426188e-69,6.1649736068733461e-66,4.0791234881531856e-30,3.6145109495535117e-37,7.6008160087087187e-38,4.8833319682539028e-38,8.4093761576318486e-40,8.7462466838631615e-35,9.3898915430619325e-27
4.81627240609909e-17,0.4115533409466511,154.0,0.0,0.0,0.0,0.99999999993973676,1.0,19.0,3.5099919650512286e-12,2.1152136303517994e-11,2.1152101535105556e-11,3.0977743832282474e-18,2.4743620041559821e-18,1.4430578715020875e-11,3.2459304572470867e-16,1.766295414781418e-14,4.6150760420185116e-16,1.9311301606397117e-18,1.7576520783970718e-26,4.5706979320798187e-21,1.2272990340928465e-26,2.4655624159360516e-21,3.6534053858642952e-28,3.6534056604318725e-28,2.4242803525692143e-35,3.213943808131179e-36,3.032237078574108e-22,8.2790645608383116e-65,7.7964114261129046e-65,7.7964114265724854e-65,3.9039934400877873e-31,3.607427111796593e-17,3.364578879262115e-30,3.0514824474474213e-31,8.30371538577875e-28,5.8402683766315421e-28,1.0428569393674474e-41,1.0911503763493836e-33,1.5623451081979617e-53,1.5376847146279968e-42,1.8089177054850787e-42,2.0025868656035255e-46,1.8823918379103162e-54,3.8093664161385378e-62,2.5520903804723724e-63,1.1111759079737982e-51,1.6481693092290804e-71,3.6076383294712038e-75,2.0807399012626683e-72,1.883020561545854e-68,3.9772145056672692e-65,8.6681885947270522e-30,1.0335303680789143e-36,2.1733392126262857e-37,1.3960334133946184e-37,3.0925567343895536e-39,2.5006889397207534e-34,1.9953638046565264e-26
8.027149710372257e-17,0.41155334094665097,154.0,0.0,0.0,0.0,0.9999999998995609,1.0,19.0,5.8500077670651617e-12,3.5253684001020432e-11,3.5253626661682943e-11,8.5644806482534006e-18,6.015997796306817e-18,2.4050171470104322e-11,8.9738254873598779e-16,2.943766482631391e-14,1.2759018579611179e-15,5.3389538480168223e-18,6.3860970729841195e-26,1.2636684251986092e-20,3.8878434646285747e-26,6.8165925768546353e-21,1.678980802161786e-27,1.6789810133992853e-27,1.8650938452302895e-34,2.472803435841401e-35,8.3832909315765394e-22,5.5810984210402228e-63,5.2557313992407294e-63,5.2557313997640272e-63,1.7941446870716659e-30,6.0124668566924416e-17,9.3022250011260529e-30,1.3977869541252763e-30,3.8160019282104719e-27,2.6839160956999466e-27,8.0238962222756927e-41,5.0145562350972555e-33,2.0338388373742521e-52,1.1830113812573826e-41,1.3078307286334948e-41,2.6067095007150902e-45,4.1968122270017107e-53,1.473401845392269e-60,9.8710770714569054e-62,1.3524907397714133e-50,1.1197650280622936e-69,2.4510331229154698e-73,1.4117551255316299e-70,7.2833422094747265e-67,1.5383229373532674e-63,2.3965124026060769e-29,4.749752766696955e-36,9.9874803386508834e-37,6.4114947912881514e-37,2.3762098460230773e-38,1.148945548983112e-33,5.5166249385986969e-26
1.0916939284218108e-16,0.4115533409466511,154.0,0.0,0.0,0.0,0.9999999998634026,1.0,19.0,7.9560219886956385e-12,4.7945075164686148e-11,4.7944997506795047e-11,1.5250829890607777e-17,9.8654476675734456e-18,3.2707348000202055e-11,1.5979439901495526e-15,4.0034541709447462e-14,2.2719627307517942e-15,9.5070158723703561e-18,1.2722243431359778e-25,2.2502209266821359e-20,7.2889646172342917e-26,1.2138355142376068e-20,3.7793768453620192e-27,3.7793774270959857e-27,5.1363227012727173e-34,6.8101475024520988e-35,1.4928187222947835e-21,3.1916860385025091e-62,3.0056170433526257e-62,3.0056170436787737e-62,4.0386135795653274e-30,8.1770372059476087e-17,1.6564661420169119e-29,3.1407197265357367e-30,8.5896712152825856e-27,6.0413902456818352e-27,2.2098180376619747e-40,1.1287739880419425e-32,6.6491797992476714e-52,3.2579342842925508e-41,3.5391689627898768e-41,8.5217725924286685e-45,1.5842260577064406e-52,6.2626427730835461e-60,4.1956666964453064e-61,4.3516523265112404e-50,5.238949196203381e-69,1.1467465041756914e-72,6.6034665733854175e-70,3.0957915101356421e-66,6.5385877356750921e-63,4.2674867433907902e-29,1.0691666804656838e-35,2.2481206556188432e-36,1.4426997837866569e-36,6.541454455642683e-38,2.5859131464021883e-33,9.8234939979822124e-26
