Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254)
0.0,0.8720290967521342,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.289894218907752e-24,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,4.7977518206504336e-18,1.7580666670369174e-17,1.7580465900533703e-17,2.429341895277853e-31,2.4293693345605132e-31,2.8609736938068131e-16,1.3101719531985512e-27,2.6691172052363803e-18,2.7704001544713213e-27,1.2957121917987936e-31,1.4121724075851166e-45,5.7455811375089387e-32,1.5063885729744628e-45,6.8604642346357758e-33,7.7609593779465352e-46,7.7609593779466005e-46,5.7199023643920086e-60,8.5124860244287874e-61,7.4247422025261206e-35,9.1345433396069374e-107,8.4121311384275402e-107,8.412131138427545e-107,1.2791776543889498e-50,2.0076983559736923e-22,6.2852814418489463e-42,1.9702637209856614e-50
1.4811703812941706e-23,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999999911,1.0,19.0,1.343370509782121e-17,4.9225866677032458e-17,4.922530452149353e-17,1.4673225047471033e-30,1.4673389009709382e-30,8.0107263425248067e-16,7.9134385972085711e-27,7.4735281745787422e-18,1.673321693277275e-26,7.8261016383832905e-31,1.6765298852435126e-44,3.4703310070237947e-31,1.788381015858105e-44,4.1437203977194886e-32,9.213810973497001e-45,9.2138109734971491e-45,1.2795192792376679e-58,1.9042090736940253e-59,4.4845442903259788e-34,9.7335647689129385e-105,8.9637785093696694e-105,8.963778509369674e-105,1.5186583640397997e-49,5.6215553967311497e-22,3.7963099908832205e-41,2.3390970857125696e-49
3.385532300100961e-23,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,3.0705611652162743e-17,1.1251626669035402e-16,1.1251498176340978e-16,7.0645262314571898e-30,7.0646033683484278e-30,1.8310231639423716e-15,3.8099800397353681e-26,1.7082350112930967e-17,8.0563236488515516e-26,3.7679310536287529e-30,1.6460244474580103e-43,1.6708149947401909e-30,1.755835676974349e-43,1.9950229994313034e-31,9.0461742509309861e-44,9.0461742509312769e-44,2.5281144780428049e-57,3.7623962428312045e-58,2.1591150324948959e-33,2.2151316039382584e-102,2.0399462620543336e-102,2.0399462620543364e-102,1.4910359608600624e-48,1.2849269478265299e-21,1.8277598432992479e-40,2.296539381271898e-48
7.194256137714543e-23,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999999556,1.0,19.0,6.5249424760845716e-17,2.3909706671697727e-16,2.3909433624722875e-16,3.0852642069917047e-29,3.0852963097878384e-29,3.8909242231073205e-15,1.6639183803906069e-25,3.6299993988305432e-17,3.518408195815824e-25,1.6455544834582569e-29,1.4558854726186115e-42,7.2968880441464618e-30,1.5530035916430963e-42,8.7127895779793684e-31,8.0012386802804137e-43,8.0012386802809314e-43,4.4986446359974069e-56,6.6949830896469725e-57,9.4294225972112712e-33,3.7434744831095838e-100,3.4474189999992067e-100,3.4474189999992153e-100,1.3188076680014181e-47,2.7304697641410546e-21,7.9823074312465888e-40,2.0312630607784982e-47
1.4811703812941706e-22,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999999079,1.0,19.0,1.3433705097821128e-16,4.9225866677014409e-16,4.9225304521481245e-16,1.288037072866266e-28,1.288049150592743e-28,8.0107263405778901e-15,6.9465316943147387e-25,7.4735281733734419e-17,1.4688661615742163e-24,6.8698660397813017e-29,1.2237518755456139e-41,3.046307118666336e-29,1.3053709217026491e-41,3.6374181371966287e-30,6.7255232215650928e-42,6.7255232215659646e-42,7.5876217108180639e-55,1.129206753860224e-55,3.9365983157821342e-32,5.4812712453769519e-98,5.0477808038287394e-98,5.047780803828766e-98,1.1085385960977285e-46,5.6215553968008814e-21,3.3324562205566773e-39,1.7073989710133865e-46
3.004659916339603e-22,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999998135,1.0,19.0,2.7251230341294103e-16,9.9858186687615914e-16,9.9857046314976292e-16,5.2620517187625343e-28,5.2620902357991083e-28,1.6250330572081711e-14,2.8378848561989532e-24,1.5160585720331264e-16,6.0007975478268751e-24,2.8065644349621277e-28,1.0032932803254281e-40,1.2445158563356877e-28,1.0701855895340667e-40,1.4860039950729012e-29,5.5139902760252877e-41,5.5139902760267202e-41,1.2462691432673467e-53,1.8547254835551085e-54,1.6082288600383251e-31,7.4951747884573855e-96,6.9024132769259217e-96,6.9024132769259974e-96,9.0884742832048655e-46,1.1403726662243648e-20,1.3614171015049762e-38,1.3998287932028258e-45
6.051638986430468e-22,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999996236,1.0,19.0,5.4886280828239481e-16,2.011228267086915e-15,2.0112052990187969e-15,2.1270054376567257e-27,2.12701225576235e-27,3.2729539021340086e-14,1.1471184322037772e-23,3.0534700805735007e-16,2.4256183121732902e-23,1.1344582173139482e-27,8.1247275709747279e-40,5.0305320707129952e-28,8.6660515187771281e-40,6.0066657396563224e-29,4.4653722853582229e-40,4.4653722853605443e-40,2.0202559828759345e-52,3.006589932911559e-53,6.5007181859567276e-31,9.913086169846947e-94,9.129102325866652e-94,9.12910232586685e-94,7.3600841522543901e-45,2.2968069193621624e-20,5.5030655964622869e-38,1.1336175850659572e-44
1.2145597126612198e-21,0.8720290967521342,154.0,0.0,0.0,0.0,0.9999999999999245,1.0,19.0,1.1015638180212793e-15,4.036521067503328e-15,4.0364749707533951e-15,8.5525953154336433e-27,8.5525523553587285e-27,6.5687955864859731e-14,4.6125127593916823e-23,6.1282930942494857e-16,9.7533045413796902e-23,4.5616065932986074e-27,6.5391631811215251e-39,2.0227548192939072e-27,6.9742444587405556e-39,2.4152538756194505e-28,3.5941200938347112e-39,3.5941200938384489e-39,3.2535599673418198e-51,4.8420203941897382e-52,2.613910191383855e-30,1.289719688405291e-91,1.187721240934779e-91,1.1877212409348304e-91,5.9240368547426233e-44,4.6096754258347378e-20,2.2127584732268279e-37,9.1243395083808939e-44
2.433351340697566e-21,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999984879,1.0,19.0,2.2069658374989559e-15,8.0871066683157618e-15,8.0870143142087146e-15,3.4299732454340198e-26,3.4298995703508429e-26,1.3160478933191069e-13,1.8498239126636852e-22,1.2277939107982413e-15,3.9115113408412557e-22,1.8294082641588245e-26,5.2467460785630018e-38,8.1121515144994441e-27,5.5948715613033256e-38,9.6862482897664814e-28,2.8840550254760296e-38,2.8840550254820297e-38,5.2226842637129735e-50,7.7725150631494269e-51,1.0482948967420065e-29,1.6643149360591555e-89,1.5326913428832755e-89,1.5326913428834085e-89,4.7536668194330052e-43,9.2354124395678036e-20,8.8741511600698559e-37,7.3217061535847542e-43
