Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363)
0.0,1.0629482397926386,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.785616140144472e-23,1.0629482397926386,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,2.1507841130918436e-17,5.7767554473322387e-17,5.776728994733023e-17,9.0348366122526291e-30,9.0348668082208288e-30,3.6450181470450989e-16,2.284132478629215e-26,1.2998702414196374e-18,3.9987000883543632e-26,5.1886376886206161e-30,4.6425040296288679e-43,2.0930897342688894e-31,5.3322566627508354e-43,8.2091335345672419e-32,7.4810533240666575e-44,7.4810533240674242e-44,6.7194250402922484e-57,9.4508187659026841e-58,1.6150071756105747e-33,1.0248171388673099e-101,9.5375236554686076e-102,9.5375236554686203e-102,2.8977102024554253e-48,2.6452599725615716e-22,5.0734971283782566e-41,3.2992942464871033e-48,8.6003406230500028e-43,4.9126758472319244e-43,7.0492339802855972e-63,6.9470635516609209e-50,1.5161380454262634e-79,2.8851529381094224e-64,1.1919478183410302e-58,2.6475676907976222e-73,1.3446626920840867e-86,4.4623237648527613e-100,2.2853478967899893e-100,1.2609800504744973e-73,2.3980494757163476e-114,1.4311861480480314e-118,1.1527772949999443e-114,5.1591184317809786e-106,4.5076332048939054e-103,8.779338583655187e-40,1.3730934883359587e-52,2.6657392718309777e-52,1.0060817611677807e-52,2.4583447481449239e-56,1.0790191027850635e-70
2.1799725192404525e-22,1.0629482397926386,154.0,0.0,0.0,0.0,0.99999999999999856,1.0,19.0,6.0221955166571556e-17,1.6174915252525639e-16,1.6174841185249491e-16,5.4570413137817049e-29,5.4570530343890287e-29,1.0206050809655111e-15,1.3796160168584263e-25,3.6396366754882168e-18,2.4152148529570516e-25,3.1339371635894054e-29,5.5115546502973943e-42,1.2642261993725027e-30,6.3303699005243157e-42,4.9583166548734169e-31,8.8815065063226082e-43,8.8815065063243223e-43,1.5031085029055475e-55,2.1141103543535777e-56,9.7546433406901371e-33,1.0920221872717705e-99,1.0162971566725479e-99,1.0162971566725502e-99,3.4401709926806443e-47,7.4067279232770469e-22,3.0643922655961694e-40,3.9169220535335082e-47,1.0210324386100027e-41,5.8323287649283713e-42,1.5768854444554006e-61,8.2475538485291997e-49,6.2563860963213373e-78,6.4539886303789057e-63,1.4150834786930954e-57,1.0925290145994144e-71,1.0122310658997887e-84,6.0910652051781449e-98,3.1194964304289676e-98,2.8207677012165843e-72,5.9159815428216138e-112,3.5307533472785981e-116,2.8438984377669978e-112,7.0421888743151301e-104,6.1529125224669335e-101,5.3027205045237191e-39,1.6301365893464577e-51,3.1647656624062219e-51,1.194420262762025e-51,2.9185874666304562e-55,2.4137329235020572e-69
4.982794329692462e-22,1.0629482397926386,154.0,0.0,0.0,0.0,0.99999999999999678,1.0,19.0,1.3765018323787758e-16,3.697123486289393e-16,3.6971065566270531e-16,2.6273304868147401e-28,2.6273294911893069e-28,2.3328116126590476e-15,6.6422572443494631e-25,8.3191695416783041e-18,1.1628219850799725e-24,1.508855839344704e-28,5.4112216833408078e-41,6.086704945365328e-30,6.2150142241436541e-41,2.3872160318443593e-30,8.7199157545031773e-42,8.7199157545065649e-42,2.9698891023702883e-54,4.1771258008248831e-55,4.6964408666789507e-32,2.48518699638734e-97,2.3128545442270096e-97,2.3128545442270199e-97,3.3775844172486526e-46,1.6929663825126588e-21,1.4753729650153912e-39,3.8456571384278349e-46,1.0024557025313772e-40,5.7262149647268844e-41,3.1156599103250137e-60,8.0974972758077722e-48,2.4749641222542688e-76,1.2752010234626867e-61,1.3893437662068602e-56,4.3219417831569279e-70,8.0034172662067287e-83,9.62240301722115e-96,4.9280463848769733e-96,5.5733865772529555e-71,1.867501985063435e-109,1.1145580897687196e-113,8.9773537412167136e-110,1.1124947311311203e-101,9.7201067509001996e-99,2.5530316601209073e-38,1.6004777699858171e-50,3.1071856918004901e-50,1.1726888881184359e-50,2.8655724414985022e-54,4.7691742689753858e-68
1.0588437950596483e-21,1.0629482397926386,154.0,0.0,0.0,0.0,0.99999999999999312,1.0,19.0,2.9250663938048875e-16,7.8563874083556464e-16,7.8563514328265047e-16,1.1474242497268153e-27,1.1474179821626774e-27,4.9572246727322589e-15,2.9008482442380008e-24,1.7678235266270186e-17,5.0783491058707902e-24,6.5895698593177488e-28,4.7860658292276214e-40,2.6582239605699335e-29,5.4967886622921318e-40,1.0425599588819848e-29,7.7126667349190307e-41,7.7126667349250595e-41,5.2847589630699465e-53,7.4329721748962267e-54,2.0510591130289428e-31,4.1998561575890761e-95,3.9086219319921054e-95,3.9086219319921413e-95,2.9874368100022137e-45,3.5975535630500042e-21,6.443341353895382e-39,3.4014399022755654e-45,8.866607158421682e-40,5.0647722855682683e-40,5.5441503413715903e-59,7.1621446392031328e-47,8.8329711540802125e-75,2.2691534035797651e-60,1.2288702400056551e-55,1.5424712437383946e-68,5.7205114697628983e-81,1.3764542180649433e-93,7.0494139781610214e-94,9.9176327919641913e-70,5.3445544332546253e-107,3.1897280895163639e-111,2.5692050010205023e-107,1.5913884117511359e-99,1.3904304271435612e-96,1.1149760001179868e-37,1.4156044626958293e-49,2.7482705524508995e-49,1.0372300258262042e-49,2.534719287971317e-53,8.4866508219729752e-67
2.1799725192404524e-21,1.0629482397926386,154.0,0.0,0.0,0.0,0.9999999999999859,1.0,19.0,6.0221955166570774e-16,1.6174915252458533e-15,1.6174841185206378e-15,4.7902703715529288e-27,4.7901954602501141e-27,1.0206050779623228e-14,1.2110470369102181e-23,3.6396366684300812e-17,2.1201107811401571e-23,2.7510156977992599e-27,4.0228110686676111e-39,1.1097561753529649e-28,4.6198420977257462e-39,4.3524825999550611e-29,6.4829611136728014e-40,6.4829611136829687e-40,8.913518380471232e-52,1.25367939831658e-52,8.5627680451188789e-31,6.1495145472141724e-93,5.7230834886857052e-93,5.7230834886858099e-93,2.5111212967660262e-44,7.4067279247944411e-21,2.6899681782345307e-38,2.8591147088905998e-44,7.4529175597654566e-39,4.2572462757043096e-39,9.3510199008351934e-58,6.0202141208213007e-46,2.9844613178575783e-73,3.8272599144688221e-59,1.0329586808566538e-54,5.2116631685539165e-67,3.8687857716060988e-79,1.8625431019793085e-91,9.5388841893919677e-92,1.6727838198366451e-68,1.4466827163980516e-104,8.6340729037839648e-109,6.9544137090066369e-105,2.1533803819301545e-97,1.8814549491692911e-94,4.654805316997981e-37,1.1899008474253518e-48,2.3100869880122672e-48,8.718543085376634e-49,2.1308415348672537e-52,1.4314517097598417e-65
4.42222996760206e-21,1.0629482397926386,154.0,0.0,0.0,0.0,0.99999999999997147,1.0,19.0,1.2216453762361321e-15,3.281197094054586e-15,3.2811820689890016e-15,1.9569817493373444e-26,1.9569113114137091e-26,2.0703702940383363e-14,4.9475222864172304e-23,7.3832629395749449e-17,8.6613442910739903e-23,1.1238796739203905e-26,3.2978719546938828e-38,4.5337160731449305e-28,3.7867404523689023e-38,1.7781311600600282e-28,5.315123204904661e-39,5.3151232049213599e-39,1.4640480549972102e-50,2.0591721710916412e-51,3.498170142686295e-30,8.4089409793732215e-91,7.8258325770143679e-91,7.8258325770146546e-91,2.058769213881452e-43,1.5025076650962302e-20,1.0989397726453428e-37,2.3440741898204162e-43,6.11035208533257e-38,3.4903476993969319e-38,1.5359078266681362e-56,4.9357352622387796e-45,9.8122558517143921e-72,6.2862866626232713e-58,8.4691342022170586e-54,1.7134810404966888e-65,2.5450168274541117e-77,2.4510023175229896e-89,1.2552636892160038e-89,2.7476513005997257e-67,3.8079072813479701e-102,2.2726309331635798e-106,1.8305160721640106e-102,2.8337278768580377e-95,2.4758892483706726e-92,1.9016398545266362e-36,9.7555260543815656e-48,1.8939488707950038e-47,7.1479879477476033e-48,1.7474144896473505e-51,2.3513411507572333e-64
8.906744864325277e-21,1.0629482397926386,154.0,0.0,0.0,0.0,0.99999999999994249,1.0,19.0,2.4604970253769262e-15,6.6086082316246648e-15,6.6085779698952828e-15,7.9104331243500142e-26,7.9098263762608388e-26,4.1699007049816399e-14,1.9998676007015533e-22,1.4870515432019634e-16,3.5010538252236506e-22,4.5429013182117298e-26,2.67026239715912e-37,1.8326005184271799e-27,3.0651677884583607e-37,7.1874904474184231e-28,4.3043245750496765e-38,4.3043245750767476e-38,2.3732849368256237e-49,3.3380068082108228e-50,1.4140163026135035e-29,1.1121629431462885e-88,1.0350412748504755e-88,1.0350412748505513e-88,1.6672447900434809e-42,3.0261774114013966e-20,4.4420902691030317e-37,1.8982907752692311e-42,4.9483215135923466e-37,2.8265740451028324e-37,2.4897727738567641e-55,3.9970863828947411e-44,3.1825816653616178e-70,1.0190341973313202e-56,6.8590344124505082e-53,5.5576349142616563e-64,1.6512938233386575e-75,3.1809283896463866e-87,1.6290902203951717e-87,4.4543816583020116e-66,9.8843875395044236e-100,5.8991899171844051e-104,4.751566902396325e-100,3.6776323705978088e-93,3.2132268271471948e-90,7.6867323378521299e-36,7.9002779269224379e-47,1.5337688807954197e-46,5.7886252744748803e-47,1.4157848400726195e-50,3.8122005470786308e-63
1.787577465777171e-20,1.0629482397926386,154.0,0.0,0.0,0.0,0.99999999999988454,1.0,19.0,4.9382003236582955e-15,1.3263430506575305e-14,1.3263369771586062e-14,3.1807503672019694e-25,3.1802474525519115e-25,8.3689614420333604e-14,8.0413795722129895e-22,2.9845020217528864e-16,1.4077583286761412e-21,1.8266806262376544e-25,2.1485518168334494e-36,7.3688060338640135e-27,2.4648103164878186e-36,2.8900582969690419e-27,3.4644948855220008e-37,3.4644948855655978e-37,3.8221020639999879e-48,5.3757570052329598e-49,5.6856973622026107e-29,1.4469544799292882e-86,1.3466170751233373e-86,1.3466170751235345e-86,1.3419436954203526e-41,6.0735169082981044e-20,1.7861449623692821e-36,1.5279075064049131e-41,3.9828396054228277e-36,2.2750726733436969e-36,4.0097022970919973e-54,3.2172028595382578e-43,1.0253110772949431e-68,1.6411231243627803e-55,5.5215685398346152e-52,1.7904660833262076e-62,1.0640872989402117e-73,4.0997766513068181e-85,2.0996719293020234e-85,7.1746766396957104e-65,2.5479902868576952e-97,1.5206890337485954e-101,1.2248549389122764e-97,4.7399593816555548e-91,4.1414048694653229e-88,3.0908012654138128e-35,6.3588309826090997e-46,1.2345106000142824e-45,4.6591881096260372e-46,1.1406467443168365e-49,6.1412841960756015e-62
3.5813834244664575e-20,1.0629482397926386,154.0,0.0,0.0,0.0,0.99999999999976863,1.0,19.0,9.89360692022016e-15,2.6573075055718636e-14,2.6572953374480488e-14,1.2756231591833766e-24,1.2752138186195753e-24,1.6767082576797255e-13,3.2249527934867474e-21,5.9794028991026703e-16,5.6457404029356519e-21,7.3258062065361252e-25,1.7229428874893597e-35,2.9552207573537794e-26,1.9741684083964682e-35,1.1590426379355759e-26,2.7800389589588701e-36,2.7800389590288527e-36,6.1353197590746006e-47,8.6292803694220101e-48,2.2802189413453166e-28,1.8672181047427421e-84,1.7377379991670378e-84,1.7377379991675474e-84,1.0768253195373497e-40,1.216819591923703e-19,7.1632401894920272e-36,1.2260462482636056e-40,3.195977883931649e-35,1.8256025019033592e-35,6.4364602026253431e-53,2.581602682305463e-42,3.2920588422492877e-67,2.634365824613113e-54,4.4320284953970288e-51,5.7488105795160488e-61,6.8334912741638912e-72,5.2658359038853748e-83,2.6968610179139057e-83,1.1520259100255572e-63,6.5454688245032127e-95,3.906460354398016e-99,3.1464965474532779e-95,6.0880995583294922e-89,5.3193040285628901e-86,1.2395495467683257e-34,5.1025613957499653e-45,9.9061696139974843e-45,3.7387032506824907e-45,9.1706243433709236e-49,9.8640693355382283e-61
