Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931)
5.5081960551145964e-21,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999965072,1.0,19.0,4.9531443103986002e-15,2.4485801971158292e-14,2.4485524215610383e-14,3.1709367584576093e-25,3.1707373992145115e-25,2.9270456227315406e-13,9.3041319094051839e-22,2.7118388918000446e-15,1.9646895412672248e-21,1.6921545088230178e-25,1.092953490237614e-36,4.0960630438335263e-26,1.1655935562902247e-36,6.56916032328178e-27,4.4053677620853601e-37,4.4053677621133472e-37,2.4363473672215871e-48,3.6243018263375636e-49,9.6539214876233844e-29,1.1869333077840583e-86,1.0931466467513318e-86,1.0931466467515441e-86,1.335432463604333e-41,2.777557107283747e-19,8.1122433880850633e-36,2.0526266558429546e-41,5.5644187063187051e-36,2.6351280726694768e-36,5.7950030732833624e-54,5.468391840519137e-43,1.4826769831327138e-68,2.8257425797565345e-55,5.4772493908582611e-51,1.6396324465487078e-62
1.102117768456031e-20,0.6459031283718542,154.0,0.0,0.0,0.0,0.99999999999930111,1.0,19.0,9.9105919607689481e-15,4.8992877444335997e-14,4.8992321692248902e-14,1.269201072965369e-24,1.2690270770135962e-24,5.8566342323262341e-13,3.7240774584369768e-21,5.426033819434044e-15,7.8638782260430011e-21,6.7730278738267416e-25,8.7463716861904763e-36,1.6394926733179312e-25,9.3204503615746598e-36,2.6293761016902596e-26,3.5269728615790452e-36,3.5269728616238621e-36,3.901329984816819e-47,5.8036049896377765e-48,3.8640844796861329e-28,1.5223598941573906e-84,1.4020691832828919e-84,1.4020691832834365e-84,1.0691579893293869e-40,5.5575273870733887e-19,3.2470114713692979e-35,1.6433477157416367e-40,4.4549183339678057e-35,2.109704711824385e-35,9.2795552537460526e-53,4.3780384887038153e-42,4.7485586371049421e-67,4.5248696206879768e-54,4.3853561762447815e-50,5.2512385410971553e-61
2.2047140943451734e-20,0.6459031283718538,154.0,0.0,0.0,0.0,0.99999999999860179,1.0,19.0,1.9825487261502049e-14,9.8007028387701616e-14,9.8005916643512331e-14,5.0784574997276413e-24,5.0770075981049968e-24,1.1715811274870982e-12,1.490116041256125e-20,1.0854423566105163e-14,3.1465755537829687e-20,2.7100933425469252e-24,6.9935182791339323e-35,6.5601061589342751e-25,7.4410338123552934e-35,1.0520929326053219e-25,2.8226502078602863e-35,2.8226502079320222e-35,6.2446682869499209e-46,9.2895473986137977e-47,1.546137112256764e-27,1.9505976735032034e-82,1.7964693483639629e-82,1.7964693483653581e-82,8.5565133802783093e-40,1.1117467958248511e-18,1.2992275349748404e-34,1.3151749083885511e-39,3.5652885503753793e-34,1.6884049245939491e-34,1.4853331691810636e-51,3.5037613661451657e-41,1.520177872204745e-65,7.2427374289319363e-53,3.5099798961106391e-49,1.6811029212506682e-59
4.409906746123458e-20,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999720324,1.0,19.0,3.9655277862937844e-14,1.9603533026247754e-13,1.9603310653798462e-13,2.0317136867119536e-23,2.0305308311188922e-23,2.3434164653381965e-12,5.9614342649155135e-20,2.17112026250599e-14,1.2588350708349248e-19,1.0842137799196391e-23,5.5859214339542644e-34,2.6244695740729025e-24,5.9251019062436998e-34,4.2090568108489151e-25,2.2585490248122154e-34,2.2585490249270168e-34,9.9935010112205996e-45,1.4866299727947537e-45,6.1855552336174904e-27,2.4980310890198127e-80,2.3006467934127403e-80,2.3006467934163138e-80,6.8465107729197872e-39,2.2237349146982091e-18,5.1977561748440782e-34,1.0523354091663255e-38,2.8527724403865538e-33,1.3509804238931976e-33,2.3770166549891335e-50,2.8035414366258757e-40,4.8655920391647594e-64,1.1590735292265556e-51,2.8090967649632788e-48,5.3806592725653824e-58
8.820292049680028e-20,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999999440603,1.0,19.0,7.9314859065687836e-14,3.9209193396423965e-13,3.9208748629471097e-13,8.1275161527583482e-23,8.1179655542109393e-23,4.6870868584090209e-12,2.3847676165028516e-19,4.3424759005419488e-14,5.0357497508836978e-19,4.3372078639145317e-23,4.4533127626268699e-33,1.0498732230315369e-23,4.6950019756983407e-33,1.6837597493743986e-24,1.8070107807072544e-33,1.8070107808909556e-33,1.5991224010441491e-43,2.3788497711384737e-44,2.4744234650439632e-26,3.1982903245478633e-78,2.9455743814567193e-78,2.9455743814658696e-78,5.477728708815203e-38,4.4477111709982567e-18,2.0792717062479475e-33,8.4194132163349277e-38,2.282434505192012e-32,1.0808868915272334e-32,3.8036135664614655e-49,2.2430461093586722e-39,1.5571531310937237e-62,1.8547054593794131e-50,2.2484181773544748e-47,1.7219911914606838e-56
1.7641062656793168e-19,0.6459031283718542,154.0,0.0,0.0,0.0,0.99999999998881173,1.0,19.0,1.5863402147070144e-13,7.8420514117685808e-13,7.8419624567929133e-13,3.2511387351307165e-22,3.2434695478121141e-22,9.3744265140254597e-12,9.5394573148082175e-19,8.6851864815940287e-14,2.0143815885539276e-18,1.7349535635704476e-22,3.537719596545598e-32,4.199663406760468e-23,3.6853247047257459e-32,6.7353130508556683e-24,1.4456772511678474e-32,1.4456772514617837e-32,2.5587246133642176e-42,3.8063526921633678e-43,9.8980966204128207e-26,4.0943304284262502e-76,3.7708130271012396e-76,3.770813027124667e-76,4.3823910262662767e-37,8.8956637578116858e-18,8.317425447832402e-33,6.7357392541441027e-37,1.8260340534559182e-31,8.6475045280020154e-32,6.0860912694281592e-48,1.7945220757787634e-38,4.9831519291281861e-61,2.9676769357099704e-49,1.8003038179915293e-46,5.5106564284908095e-55
3.5282603871019447e-19,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999997762312,1.0,19.0,3.1727234627878308e-13,1.5684315548404823e-12,1.5684137639329623e-12,1.3004819398393998e-21,1.2943453035111381e-21,1.874910130315967e-11,3.8158595081873936e-18,1.7370604863619726e-13,8.0576880677217238e-18,6.9399540260315744e-22,2.7908930850515291e-31,1.6798992436357493e-22,2.8409570390625929e-31,2.6941800268140048e-23,1.1565692500580738e-31,1.1565692505283841e-31,4.0940591129801341e-41,6.0903174615048229e-42,3.9593192037982262e-25,9.1747628478248747e-74,8.4498102627576812e-74,8.4498102628624986e-74,3.5059960659846261e-36,1.7791569228291892e-17,3.3270380154419726e-32,5.3885415854906624e-36,1.4608615410429014e-30,6.9181660478346143e-31,9.7379937181310119e-47,1.4356517363963469e-37,1.5946505283855652e-59,4.7483950733414972e-48,1.442651510405589e-45,1.7634531893308765e-53
7.0565686299472e-19,0.6459031283718538,154.0,0.0,0.0,0.0,0.99999999995524591,1.0,19.0,6.3454899588716407e-13,3.1368843791372318e-12,3.1368487983783472e-12,5.2019805755266747e-21,5.1530442871669121e-21,3.7498432793050881e-11,1.5263584887647008e-17,3.4741430507364395e-13,3.2231062374323064e-17,2.7760087117033934e-21,2.1722578751599425e-30,6.7196629561866237e-22,2.1180058616948454e-30,1.0776829679769876e-22,9.2526637624244521e-31,9.2526637699494914e-31,6.5505638425785849e-40,9.7446263117195796e-41,1.5837437944938465e-24,1.1783314026288768e-71,1.0852244300515344e-71,1.0852244300785026e-71,2.8048301817416318e-35,3.5583381356665666e-17,1.3308288619877952e-31,4.3106000959085356e-35,1.1687025005412534e-29,5.5345956696947635e-30,1.5580988194080596e-45,1.1485350188720178e-36,5.1029487760575635e-58,7.5975006180185965e-47,1.1579337824341825e-44,5.6431038084436357e-52
1.4113185115637712e-18,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999991049138,1.0,19.0,1.2691022950727969e-12,6.2737900157342791e-12,6.2737188590212812e-12,2.0808027328470374e-20,2.0419717145812708e-20,7.4997023419464071e-11,6.1054582773753151e-17,6.9483037313683756e-13,1.2892476309532082e-16,1.1104082224548293e-20,1.6482887921841106e-29,2.6878769542050419e-21,1.4902153225659377e-29,4.310753753383965e-22,7.4021748574144154e-30,7.402174869454512e-30,1.048092387909292e-38,1.5591483512269046e-39,6.3350074174394479e-24,1.508321541554405e-69,1.3891400863740812e-69,1.3891400864431244e-69,2.2438775259521887e-34,7.1167010363066664e-17,5.3233434671233694e-31,3.4480456903738485e-34,9.3496658469083606e-29,4.4276982451110107e-29,2.4929740003334092e-44,9.1883346582307193e-36,1.6329543589606716e-56,1.2155988329366267e-45,9.3243076228797126e-44,1.8057919328563432e-50
2.8226418087018736e-18,0.6459031283718538,154.0,0.0,0.0,0.0,0.99999999982098242,1.0,19.0,2.5382088933195457e-12,1.2547601241914558e-11,1.2547458947315823e-11,8.3232314522998233e-20,8.017821281866323e-20,1.4999391525993022e-10,2.4421841364008504e-16,1.3896607300209812e-12,5.1569922668923353e-16,4.4416369068353845e-20,1.1949408422664613e-28,1.0751519963118432e-20,9.5882872116985841e-29,1.7243058511590801e-21,5.9217573328165181e-29,5.9217573520805851e-29,1.6769387820316731e-37,2.4946396236026622e-38,2.5340094251697981e-23,1.9306634312966804e-67,1.7781102342006679e-67,1.7781102343774194e-67,1.7951074513712352e-33,1.4233428737448282e-16,2.1293435566396708e-30,2.7577172530175687e-33,7.4797394488807735e-28,3.5421618024594138e-28,3.9887712065717633e-43,7.3506895090762239e-35,5.2254712578817913e-55,1.9449355332766904e-44,7.5567203574956128e-43,5.7784690108172879e-49
4.2339651058399755e-18,0.645903128371854,154.0,0.0,0.0,0.0,0.99999999973147347,1.0,19.0,3.8073154914417775e-12,1.8821412422021733e-11,1.8821199002619038e-11,1.7686879117422819e-19,1.6822119283391362e-19,2.2499051768915301e-10,5.1896372618727232e-16,2.0844893076674381e-12,1.0958600061586797e-15,9.4384747979455351e-20,3.2349069391018964e-28,2.2846974691248286e-20,2.4421495784865682e-28,3.6641526225340435e-21,1.6932537574496716e-28,1.6932537645401064e-28,6.1722272549990267e-37,9.1819268913167425e-38,5.3847740760446683e-23,9.9615108626073242e-67,9.174392664867554e-67,9.1743926659527152e-67,5.1329026262889041e-33,2.135015833845132e-16,4.5248596446795464e-30,7.8841591813543064e-33,2.1387370954019784e-27,1.012836462581966e-27,1.4681337517081031e-42,2.1018393785686658e-34,2.3857653410438768e-54,7.1586218383478741e-44,2.1767259637140818e-42,2.6382327395627682e-48
