Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993)
9.58338146752093e-18,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999946965,1.0,19.0,6.0530968061079314e-14,2.2581886299123367e-13,2.2581879885064037e-13,4.9799636977006457e-21,4.8710782638839768e-21,1.8214871343836025e-14,7.4329401999104908e-20,3.2180055817638495e-18,7.2725128230349663e-20,3.6025089600035196e-21,3.5229975624960969e-30,2.2668950548757856e-24,4.8396420241368524e-30,3.206668860419057e-25,3.14963422483637e-33,3.1496342698705809e-33,4.0209519648770031e-41,4.8246870667746127e-42,1.6104007913597702e-25,1.347553003047641e-75,1.2967843836012534e-75,1.2967843836021221e-75,3.1655127877081295e-35,6.7634218270076056e-20,3.0706432319014315e-34,1.1808191339397175e-35,2.5171390468137364e-33,2.572665661034484e-33,3.6222848284688568e-48,1.1147730823198564e-38,1.1325884008094977e-61,7.5261138399194201e-49,8.4312942485056134e-49,7.4240760376610309e-54,9.9791757317542218e-63,3.9340361025735716e-71,4.5814851427514467e-73,7.7970557630875952e-59,6.2456963927995613e-82,2.1971281208583583e-85,4.8700432824902583e-83,4.4582031371942016e-78,4.363170479846562e-74
1.9175089070113556e-17,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999893885,1.0,19.0,1.2111452601576001e-13,4.5183390306395533e-13,4.5183378130122791e-13,1.9932832158319262e-20,1.9078552590900523e-20,3.6445266640442891e-14,2.9750920777846045e-19,6.4387742741865638e-18,2.9108797734791286e-19,1.441938905051133e-20,2.7529998291308846e-29,9.0734875784975889e-24,3.6073052193269926e-29,1.2835031891307708e-24,2.5216223883035822e-32,2.521622460415705e-32,6.4386357451597711e-40,7.725759107413127e-41,6.4457998101965937e-25,1.7283704965947379e-73,1.6632547024668639e-73,1.6632547024690918e-73,2.5343350791205519e-34,1.3532784252679134e-19,1.2290626721515429e-33,9.4468623301449053e-35,2.0152284351415044e-32,2.0596831949482285e-32,5.8003752660415982e-47,8.9249626222262462e-38,3.6273325426845157e-60,1.2051469440898395e-47,1.2776345316869678e-47,2.3776803425939762e-52,6.3920717249283925e-61,5.0398575640528956e-69,5.8692986098859017e-71,2.3591508900774962e-57,1.6002663279920746e-79,5.629460958945781e-83,1.2472774257856682e-80,5.7113684762876209e-76,5.589617709879236e-72
3.835850427529881e-17,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999999787714,1.0,19.0,2.4228164192374999e-13,9.0386393587366578e-13,9.0386371627983217e-13,7.9757286015388799e-20,7.3184399071519022e-20,7.2905152952648981e-14,1.1904074838046535e-18,1.2880213446397705e-17,1.1647145621744254e-18,5.7696056789250835e-20,2.1023259442333429e-28,3.6305766432598971e-23,2.5349842797153894e-28,5.1356843002731437e-24,2.0180641166845675e-31,2.0180642321067983e-31,1.0305605985422632e-38,1.2366161737276399e-39,2.5791593879837933e-24,2.2145584851105616e-71,2.1311257174151858e-71,2.1311257174208955e-71,2.0282384302470949e-33,2.707170260390556e-19,4.9178928036531648e-33,7.5493868956276062e-34,1.6127738805041963e-31,1.6483507282833234e-31,9.2843780606948225e-46,7.1426820524491596e-37,1.1612346327342951e-58,1.9289820212713343e-46,1.9870516622026809e-46,7.6116298701301852e-51,4.0925956328119057e-59,6.453672982606561e-67,7.5157945707784539e-69,7.3315642108645083e-56,4.0983751566627441e-77,1.4417379044495523e-80,3.1916879043121593e-78,7.3135743991640509e-74,7.1576556968491245e-70
7.672533468566932e-17,0.5059564595008267,154.0,0.0,0.0,0.0,0.99999999999575373,1.0,19.0,4.8461587373424458e-13,1.8079238260409266e-12,1.8079234665467899e-12,3.1908102830738104e-19,2.7027038808899376e-19,1.4582130863244622e-13,4.7622700974201476e-18,2.5762698952262037e-17,4.6594845940874421e-18,2.3081954587296443e-19,1.54047962395066e-27,1.4524668650211545e-22,1.6276227343795704e-27,2.0546078984893127e-23,1.6147576414365846e-30,1.6147578261365227e-30,1.6491030765333192e-37,1.9789615330750019e-38,1.0318315936784109e-23,4.9652238053671694e-69,4.778160620733753e-69,4.7781606207593127e-69,1.6228991142511296e-32,5.41503133057825e-19,1.9675103102147394e-32,6.0231683218074671e-33,1.2904299972983983e-30,1.3188961275341812e-30,1.4858028138765359e-44,5.7152300574650219e-36,3.7167322645320211e-57,3.0868778398360856e-45,3.1335258084375158e-45,2.4361393904152652e-49,2.6197201600495994e-57,8.2621639524308171e-65,9.6219204118352997e-67,2.3112443355853127e-54,1.0493707757635376e-74,3.6915069897740885e-78,8.1585766864592023e-76,9.3630676037172612e-72,9.16342157051384e-68
1.534589955064103e-16,0.5059564595008266,154.0,0.0,0.0,0.0,0.9999999999915069,1.0,19.0,9.6928433733329217e-13,3.616042989233282e-12,3.6160424883199644e-12,1.2764275868111925e-18,9.3528487153032532e-19,2.9163915364876227e-13,1.9049550870757958e-17,5.1526098705586819e-17,1.863839870290046e-17,9.233353434707692e-19,1.0536964359438854e-26,5.8103388334798691e-22,9.2988415465748342e-27,8.2190985743298093e-23,1.291928345768076e-29,1.2919286412757747e-29,2.6384193164651777e-36,3.1665743210500397e-37,4.1276615137808427e-23,6.377989781927167e-67,6.1377011024848967e-67,6.1377011025506708e-67,1.2984429054231178e-31,1.0831063070641655e-18,7.8709454252909996e-32,4.7912417213589402e-32,1.0323873892684048e-29,1.0551612503884123e-29,2.3775265133526331e-43,4.5726169659287302e-35,1.1894794232962522e-55,4.9391184801496073e-44,4.9770262303355144e-44,7.7958619650039098e-48,1.6766711506835754e-55,1.0575898496512178e-62,1.2316441178231215e-64,7.3401961248957327e-53,2.6864742708704721e-72,9.4505625861505739e-76,2.081733693674243e-73,1.1985188477640561e-69,1.1729544626003027e-65
3.0692631714789234e-16,0.5059564595008265,154.0,0.0,0.0,0.0,0.99999999998301337,1.0,19.0,1.93862126444362e-12,7.2322792638741319e-12,7.2322786168254441e-12,5.1059148928764542e-18,2.9319532398907802e-18,5.8321698978745539e-13,7.6192666125415973e-17,1.0304661394515067e-16,7.454817696849548e-17,3.6933480290156953e-18,6.5178156298624333e-26,2.3242290623053987e-21,4.7088691415280064e-26,3.2877716913553214e-22,1.0335910608204131e-28,1.0335915335215832e-28,4.2203612605394222e-35,5.0665006163160298e-36,1.6511312504842056e-22,8.1648103782416527e-65,7.8572038216713464e-65,7.85720382183975e-65,1.0388041789019922e-30,2.1664364948925345e-18,3.1487172210314008e-31,3.7895049231695821e-31,8.2586171990829782e-29,8.4407974531487512e-29,3.8042364320140577e-42,3.6582654527756389e-34,3.8065346561851689e-54,7.9017484941999185e-43,7.9339486961544992e-43,2.4944207222939544e-46,1.072961952923637e-53,1.3535805579339487e-60,1.5763479778895458e-62,2.339936533088965e-51,6.876694924440428e-70,2.419107841067644e-73,5.2935939003908893e-71,1.5339746736946901e-67,1.5012327320022234e-63
6.138609604308564e-16,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999996602629,1.0,19.0,3.8772951183132081e-12,1.446474508848294e-11,1.4464743213689686e-11,2.0424049462639515e-17,8.1102972649661282e-18,1.1661413382860549e-12,3.0470778164348375e-16,2.0606251348667824e-16,2.9813118223586216e-16,1.4772545517781645e-17,3.571489045091985e-25,9.2970981426431062e-21,2.1627000105277953e-25,1.3151342179745504e-21,8.2689138480861129e-28,8.2689214071747002e-28,6.7485155748020368e-34,8.1057240547561862e-35,6.6046556882083468e-22,1.0451432013283752e-62,1.0057677747259503e-62,1.0057677747690636e-62,8.3106393803702406e-30,4.3335922293769905e-18,1.2596812673025989e-30,2.9640581413288906e-30,6.6056525704403722e-28,6.7513693871878876e-28,6.086934753494394e-41,2.926679238112559e-33,1.2181233831818302e-52,1.2639143204329183e-41,1.2670891195217699e-41,7.9798853345012667e-45,6.8650301705999741e-52,1.7320992381380772e-58,2.0171621160185594e-60,7.4735194061456928e-50,1.7599436549444009e-67,6.1912055618778485e-71,1.3371576528857708e-68,1.962997863268734e-65,1.9210415855065228e-61
9.207956037138204e-16,0.5059564595008265,154.0,0.0,0.0,0.0,0.99999999994903921,1.0,19.0,5.8159689718317295e-12,2.1697204847566839e-11,2.1697200150423976e-11,4.3401327213162448e-17,1.3815252231728525e-17,1.7488344547664236e-12,6.4740647032837158e-16,3.0905328821985329e-16,6.3343330237685755e-16,3.1390163490001539e-17,8.4621484837385666e-25,1.9756441844330394e-20,4.7970334080542556e-25,2.7946751514292487e-21,2.3644051757751562e-27,2.3644079572729621e-27,2.4831670455768725e-33,2.9833053676884005e-34,1.403497232924691e-21,5.3925606180909037e-62,5.1893976714624337e-62,5.1893976717271289e-62,2.3763398609065374e-29,6.5012433222724184e-18,2.6770874864498917e-30,8.3670981076419708e-30,1.8885857155234725e-27,1.9302468063116171e-27,2.2404094206620159e-40,8.3685203934146604e-33,5.5615461419813056e-52,4.6513676465625889e-41,4.661807249046188e-41,3.6428912560966714e-44,3.7714707437687271e-51,1.1173443483971817e-57,1.3012330431828032e-59,3.4108799527009064e-49,1.3068646259395568e-66,4.5973474905049189e-70,9.894923082924393e-68,1.2663045107576904e-64,1.239227538778387e-60
1.2277302469967843e-15,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999993205213,1.0,19.0,7.7546428249991823e-12,2.8929658834466423e-11,2.8929649427045079e-11,7.4037731376266055e-17,1.9754228854564712e-17,2.331296430952718e-12,1.1042434383122608e-15,4.1201894427242834e-16,1.0804102211151061e-15,5.3545450638056149e-17,1.5381260409829573e-24,3.3702256207793201e-20,8.3749091217578468e-25,4.7673991720634907e-21,4.9872286872539405e-27,4.9872357400056002e-27,6.296153580451411e-33,7.5659751071711863e-34,2.3942079219184205e-21,2.9418550761872061e-61,2.831021654497429e-61,2.83102165464478e-61,5.0124110413094753e-29,8.6693897731702155e-18,4.5672020455739967e-30,1.7445509590937169e-29,3.9831485030398124e-27,4.0710144156762022e-27,5.6821851806490374e-40,1.7651685128691869e-32,1.6577448770692628e-51,1.1795305623085862e-40,1.182050003329961e-40,1.0857220240984546e-43,1.2965863355802974e-50,4.3631649004178558e-57,5.0812397436937623e-59,1.016453390642343e-48,5.7228475463662489e-66,2.0132116888588056e-69,4.3191140977934394e-67,4.9449285971574199e-64,4.8391119369832319e-60
1.8415995335627123e-15,0.5059564595008266,154.0,0.0,0.0,0.0,0.99999999989807797,1.0,19.0,1.1631990530510156e-11,4.3394553608003835e-11,4.3394530002522619e-11,1.5328598846310478e-16,3.183704501309578e-17,3.49567819559608e-12,2.2856524947056006e-15,6.1789132337477193e-16,2.2363205716447e-15,1.1085026560660552e-16,3.404006543293858e-24,6.9776406057082563e-20,1.7745183572348274e-24,9.870315250408772e-21,1.3621699727409087e-26,1.3621724380975266e-26,2.2007908042117675e-32,2.6456561529357573e-33,4.9569162142172553e-21,4.0857586794767624e-60,3.9318290675667359e-60,3.931829067799509e-60,1.3690532250516485e-28,1.3006845248614416e-17,9.4571980906599606e-30,4.6748573206411103e-29,1.0877254131937932e-26,1.1117199949407496e-26,1.9870986688764568e-39,4.8212359154433684e-32,7.2563094290881221e-51,4.123943600442557e-40,4.1326114616913104e-40,4.7515048958861465e-43,6.9721175189143718e-50,2.8375407242129115e-56,3.3045337035984034e-58,4.448047800177256e-48,4.4395891103502516e-65,1.561789231022217e-68,3.3312294755974664e-66,3.2160999006923136e-63,3.1470684105600922e-59
