Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951)
0.0,0.5524701563521267,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.000659445489574e-22,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,4.2815539971453244e-17,1.9176082090440806e-16,1.9176049887380792e-16,4.1350635441062538e-28,4.1350459460050788e-28,1.7211183924219013e-16,7.6506667366148951e-26,2.0712781352183944e-19,1.0842155420261826e-25,2.5811744354963859e-28,9.1890155603868446e-41,6.4416240009359825e-31,1.1471503126816496e-40,4.3151446303884536e-31,1.5377896989426638e-42,1.5377896989450075e-42,2.069924098851172e-54,2.7413609638965072e-55,4.0090132805313757e-32,6.4213162650993943e-98,6.0480998018116737e-98,6.0480998018116841e-98,9.3282712540728007e-46,3.2203085799031541e-22,4.3776972969150995e-40,7.2820289641495835e-46,4.6421273877265905e-42,3.2756742746960758e-42,8.7799468505181995e-61,3.4329613671634955e-48,3.7591816532536129e-77,9.6940576122517828e-62,8.2739092073343275e-58,3.648973798731428e-70,1.0436012850173432e-82
1.680184644737081e-21,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999999833,1.0,19.0,1.1988351192006888e-16,5.3693029853016574e-16,5.3692939684532004e-16,2.4975783806082514e-27,2.4975534384604496e-27,4.8191314926718894e-16,4.6210027040270485e-25,5.7995787738450402e-19,6.5486618669106136e-25,1.5590293581805538e-27,1.0909042175407259e-39,3.8907408961624967e-30,1.3618389152231623e-39,2.6063473567400867e-30,1.8256639305729428e-41,1.8256639305781865e-41,4.6303373960984508e-53,6.1323148172928878e-54,2.4214440214366801e-31,6.8424107745555779e-96,6.4447196713282318e-96,6.4447196713282526e-96,1.1074529087972106e-44,9.0168640263266632e-22,2.6441291680897026e-39,8.645223776619966e-45,5.5111336293672624e-41,3.8888804951497755e-41,1.9640389906921111e-59,4.0756117350793476e-47,1.5512368349372581e-75,2.1685229251638055e-60,9.8238026579248412e-57,1.5057599418865896e-68,7.8559735259128615e-81
3.8404220451133274e-21,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999999623,1.0,19.0,2.7401945581729921e-16,1.2272692537729737e-15,1.2272671927829763e-15,1.2024764785782097e-26,1.2024498919530006e-26,1.1015157668734133e-15,2.22481387967509e-24,1.3256180032032479e-18,3.1528987858208457e-24,7.5060552455345433e-27,1.0710229548482887e-38,1.8732242588679292e-29,1.3369388189383781e-38,1.2548440584951527e-29,1.7924476730510276e-40,1.7924476730613879e-40,9.1487663466256497e-52,1.2116420676061997e-52,1.1658210619721178e-30,1.5571725994902164e-93,1.4666674092277067e-93,1.4666674092277165e-93,1.0873040720333588e-43,2.0609974929565009e-21,1.2730343750690342e-38,8.4879298307964186e-44,5.410863666574704e-40,3.8181259229005903e-40,3.8806100768020344e-58,4.0014597695125915e-46,6.1365386543297545e-74,4.2846368269163147e-59,9.6472232775132754e-56,5.9566379465553113e-67,6.2114834803541212e-79
8.160896845865822e-21,0.5524701563521267,154.0,0.0,0.0,0.0,0.9999999999999919,1.0,19.0,5.8229134361175617e-16,2.6079471642237599e-15,2.6079427846368158e-15,5.2515307005200892e-26,5.2512865086478743e-26,2.3407209923107682e-15,9.716346679731531e-24,2.8169382472143929e-18,1.3769537276355821e-23,3.2780915197618337e-26,9.4724848677452804e-38,8.1808624749447317e-29,1.1822890241696076e-37,5.4802336803679717e-29,1.5853996679451923e-39,1.5853996679636282e-39,1.6279740648712099e-50,2.1560523145533861e-51,5.0914468662086446e-30,2.6315528528262571e-91,2.4786030823846985e-91,2.4786030823847301e-91,9.6170823338316149e-43,4.3796196777607005e-21,5.5596755787031443e-38,7.5074740082685603e-43,4.7858476168758454e-39,3.3770891257018387e-39,6.9053382917187534e-57,3.5392458509791985e-45,2.1900870575809258e-72,7.6242829985284129e-58,8.5366943176409831e-55,2.1258819725956275e-65,4.4397090904828873e-77
1.6801846447370808e-20,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999998324,1.0,19.0,1.1988351192006558e-15,5.3693029849860223e-15,5.3692939682586039e-15,2.1924106906397691e-25,2.1922017111712837e-25,4.8191314040851024e-15,4.0563834355607698e-23,5.7995787047313151e-18,5.7485107071837892e-23,1.3685386737134705e-25,7.9611987702235882e-37,3.4153490396766927e-28,9.9341825247518669e-37,2.2878896828291295e-28,1.3326239483293077e-38,1.3326239483604024e-38,2.7458161262685011e-49,3.6364973402218001e-50,2.1255788412781522e-29,3.8531730473067525e-89,3.6292208920538594e-89,3.6292208920539543e-89,8.0837375517629584e-42,9.0168640639952262e-21,2.3210551172765546e-37,6.3104778632858624e-42,4.0227932570743101e-38,2.8386468711427804e-38,1.1646862335290517e-55,2.974949393199392e-44,7.3998091836556172e-71,1.285946794630862e-56,7.1820567637717421e-54,7.1828748830721606e-64,3.0025774821716421e-75
3.4083745650380786e-20,0.5524701563521266,154.0,0.0,0.0,0.0,0.99999999999996603,1.0,19.0,2.4319226703783967e-15,1.0892014625953371e-14,1.0891996335158624e-14,8.9567130353051569e-25,8.9549847100344825e-25,9.7759520712322736e-15,1.6571649600814608e-22,1.1764859497743689e-17,2.3484541508293474e-22,5.5909269727751803e-25,6.5254397720249459e-36,1.3952815203408461e-27,8.1386324641597756e-36,9.3467758734893261e-28,1.0925656264655336e-37,1.0925656265166068e-37,4.5100109571701631e-48,5.9729577238169249e-49,8.6836831256577158e-29,5.2688882162029603e-87,4.9626525872034678e-87,4.9626525872037259e-87,6.6275365953888626e-41,1.8291352902968769e-20,9.4822675414773071e-37,5.1737005200777985e-41,3.2981289035517284e-37,2.3272941695988222e-37,1.9130006361824024e-54,2.4390432512382263e-43,2.4328953616643596e-69,2.1121714050585852e-55,5.8988628300760734e-53,2.3615720390256834e-62,1.975195699714452e-73
6.864754405640074e-20,0.5524701563521267,154.0,0.0,0.0,0.0,0.9999999999999315,1.0,19.0,4.8980977727336461e-15,2.1937437905659809e-14,2.1937401067584415e-14,3.6204466128134192e-24,3.619041126611938e-24,1.9689592779920669e-14,6.6985254849823156e-22,2.3695420595682567e-17,9.4928268208553413e-22,2.2599420311685629e-24,5.2818289335532334e-35,5.6399509716341245e-27,6.5811611460357876e-35,3.77811624943475e-27,8.847879707900821e-37,8.8478797087287366e-37,7.3109212182708489e-47,9.6824216121868313e-48,3.5100835593277374e-28,6.9686090534256973e-85,6.5635831183347256e-85,6.5635831183354068e-85,5.3671510281381691e-40,3.684033084693384e-20,3.8328841856796702e-36,4.1897798194309338e-40,2.6709102059223489e-36,1.8847030942508707e-36,3.1010564689437631e-53,1.9752004610305116e-42,7.8910377905890076e-68,3.4239205267163993e-54,4.7941864003877706e-52,7.6597015558087086e-61,1.2815742392562086e-71
1.3777514086844065e-19,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999986255,1.0,19.0,9.830447977443214e-15,4.4028284456163415e-14,4.4028210526939044e-14,1.4557656584409837e-23,1.4546323659413518e-23,3.9516871694873998e-14,2.6934474420733686e-21,4.7556540839217025e-17,3.8170236384113769e-21,9.0871271700178142e-24,4.2470295554118617e-34,2.2677994642809572e-26,5.2815196475063303e-34,1.5191639265610016e-26,7.1215433338615744e-36,7.1215433351949085e-36,1.1774010363002673e-45,1.5593240707661568e-46,1.4113891611276562e-27,9.0663514233527197e-83,8.5394015780229959e-83,8.5394015780247706e-83,4.3199501076530196e-39,7.3938287798935929e-20,1.5411859031802545e-35,3.3722719369531714e-39,2.1497807528786369e-35,1.5169729135496618e-35,4.9941558458832971e-52,1.5898131691288894e-41,2.5422029386021594e-66,5.5141172590813384e-53,3.8863608688202193e-51,2.4676743617914835e-59,8.2584128193371378e-70
2.7603033449252043e-19,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999972466,1.0,19.0,1.9695148386858631e-14,8.8209977521563549e-14,8.8209829423660434e-14,5.8382713872779706e-23,5.8291742532587834e-23,7.9171419515089286e-14,1.0801927358443214e-20,9.5278773516914002e-17,1.5307969787538186e-20,3.6443441530028509e-23,3.4011793608679426e-33,9.0948900214745455e-26,4.2133088576152801e-33,6.0925268035483218e-26,5.7145900211631949e-35,5.7145900233034903e-35,1.8899884949734633e-44,2.5030602128985788e-45,5.6603017939922515e-27,1.1699646212691744e-80,1.1019645353084435e-80,1.1019645353089013e-80,3.4664879176071027e-38,1.4813420595922784e-19,6.1808450226619039e-35,2.7059919358068676e-38,1.7250634333619377e-34,1.2172750635412773e-34,8.0167261806128365e-51,1.275724944543703e-40,8.1624804962905295e-65,8.8513754765178813e-52,3.1628264494280012e-50,7.9231814077177535e-58,5.3034908561094962e-68
