Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128)
0.0,0.9787074812125335,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.668759034442175e-23,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,1.3303829335802239e-17,3.8929278217880525e-17,3.8929278217882762e-17,3.9720180155037088e-30,3.9720150377637253e-30,2.3300494598699263e-16,8.772449571602369e-27,8.5197065382682065e-19,1.5432653527874736e-26,2.2767132616072822e-30,1.240271511365161e-43,8.4964108075289356e-32,1.4218090449071754e-43,3.4402126492624115e-32,1.9096380779223418e-44,1.9096380779223418e-44
1.307252529643809e-22,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999999911,1.0,19.0,3.7250722140246253e-17,1.0900197901004516e-16,1.0900197901005869e-16,2.3990988813591482e-29,2.3990953461885836e-29,6.524138486837902e-16,5.2985595407071122e-26,2.3855178305227765e-18,9.3213227298850975e-26,1.3751348099211606e-29,1.4724460624775653e-42,5.1318321274430601e-31,1.6879577962089256e-42,2.0778884401531575e-31,2.2671223261080669e-43,2.2671223261080669e-43
2.988005782042992e-22,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,8.5144507749134197e-17,2.4914738059429314e-16,2.4914738059435837e-16,1.1550628389008405e-28,1.1550593680543809e-28,1.4912316537582281e-15,2.5510283346108881e-25,5.452612183145403e-18,4.4878156444791063e-25,6.6206821634094038e-29,1.4456472187011357e-41,2.4707562623727895e-30,1.6572175275845077e-41,1.0004138384034997e-30,2.2258741436221328e-42,2.2258741436221328e-42
6.349512286841358e-22,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999999556,1.0,19.0,1.8093207896690976e-16,5.2943818376246382e-16,5.2943818376274869e-16,5.0444628796107835e-28,5.0444321804552088e-28,3.1688672626304739e-15,1.1141010947553835e-24,1.1586800885313516e-17,1.9599469965656611e-24,2.8914258408518543e-28,1.2786424823099207e-40,1.0790441720843292e-29,1.4657377562352296e-40,4.3690700645424949e-30,1.968760472806103e-41,1.968760472806103e-41
1.307252529643809e-21,0.9787074812125335,154.0,0.0,0.0,0.0,0.9999999999999909,1.0,19.0,3.7250722140245962e-16,1.0900197900975041e-15,1.0900197900986928e-15,2.1059639517490308e-27,2.1059381474075563e-27,6.52413847526845e-15,4.6511527553205182e-24,2.3855178277341163e-17,8.1823928872093086e-24,1.2071133700537256e-27,1.0747489479091172e-39,4.5047970059052295e-29,1.23195279386215e-39,1.8240007466202371e-29,1.6548618041024412e-40,1.6548618041024412e-40
2.6518551315631554e-21,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999998157,1.0,19.0,7.556575062735539e-16,2.2111830027623819e-15,2.2111830027672385e-15,8.6035499017002205e-27,8.6033383445544947e-27,1.3234680880118341e-14,1.9001476606209037e-23,4.8391933012162186e-17,3.3427744735166165e-23,4.9314519825846488e-27,8.8109967867764314e-39,1.8403565629585323e-28,1.009884873127543e-38,7.4516382066500793e-29,1.3567556895281791e-39,1.3567556895281791e-39
5.341060335401849e-21,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999996281,1.0,19.0,1.5219580760157207e-15,4.4535094280713212e-15,4.4535094280909513e-15,3.4776924289435118e-26,3.4775211084273645e-26,2.6655765608113856e-14,7.6807006249835567e-23,9.7465442284867133e-17,1.3512028838605391e-22,1.9933717340649173e-26,7.134653914142581e-38,7.4390154601347437e-28,8.1759707194026097e-38,3.0120713045062094e-28,1.0987359336240702e-38,1.0987359336240702e-38
1.0719470743079235e-20,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999999999992539,1.0,19.0,3.0545592154999696e-15,8.9381622786059491e-15,8.9381622786848747e-15,1.3983648300288638e-25,1.3982269427238165e-25,5.3497934737287867e-14,3.0883759188701886e-22,1.9561246004252856e-16,5.433127330140922e-22,8.0152600353807701e-26,5.7414319103956148e-37,2.9911953864446934e-27,6.5769706708735371e-37,1.2111406239178245e-27,8.8435826721024915e-38,8.8435826721024915e-38
2.1476291558434008e-20,0.9787074812125337,154.0,0.0,0.0,0.0,0.99999999999985056,1.0,19.0,6.1197614944681235e-15,1.7907467979342217e-14,1.7907467979658699e-14,5.6080684007492592e-25,5.6069620438750303e-25,1.0718227168836779e-13,1.2385768572213639e-21,3.9190649240685775e-16,2.178927031626152e-21,3.2144777368839675e-25,4.6052797486930684e-36,1.1996031247450242e-26,5.2715774539152976e-36,4.8572155973670394e-27,7.0964181443970678e-37,7.0964181443970678e-37
4.298993318914355e-20,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999999999970079,1.0,19.0,1.2250166052403063e-14,3.5846079379483141e-14,3.5846079380750272e-14,2.2461525119452642e-24,2.2452662433881093e-24,2.1455094036145545e-13,4.9607676734120325e-21,7.8449454453154148e-16,8.7270731066816704e-21,1.2874677345519645e-24,3.6868544527763324e-35,4.8046695179307424e-26,4.2140505061855372e-35,1.9454197488076368e-26,5.6857701017678435e-36,5.6857701017678435e-36
8.601721645056264e-20,0.9787074812125337,154.0,0.0,0.0,0.0,0.99999999999940126,1.0,19.0,2.4510975168267457e-14,7.1723302174440807e-14,7.1723302179509068e-14,8.9904636797569454e-24,8.9833707551723657e-24,4.2928825679134451e-13,1.9855997722137885e-20,1.569670598365014e-15,3.4931033891378164e-20,5.1532259927481402e-24,2.946975261718718e-34,1.9231198779659618e-25,3.3584903306376074e-34,7.7867489026751866e-26,4.5520732715540214e-35,4.5520732715540214e-35
1.7207178297340083e-19,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999880218,1.0,19.0,4.9032593399974321e-14,1.4347774774307804e-13,1.4347774776332937e-13,3.5973565256996756e-23,3.591684207891822e-23,8.5876280598599334e-13,7.9449845679021561e-20,3.140022504368406e-15,1.3976961978519384e-19,2.061961489256541e-23,2.3509082778085924e-33,7.6949839935900519e-25,2.6636240762018579e-33,3.1157138298923652e-25,3.6430420828474886e-34,3.6430420828474886e-34
3.4418091601907718e-19,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999760403,1.0,19.0,9.8075829863300316e-14,2.8698663879538847e-13,2.869866388761807e-13,1.4391768494067498e-22,1.4346448044132852e-22,1.7177115697149042e-12,3.1785104658296604e-19,6.2807255097211817e-15,5.5916936715919465e-19,8.2491874526552081e-23,1.8690855289934281e-32,3.0784942663036269e-24,2.0935890895497996e-32,1.2464884133035901e-24,2.9149871679158247e-33,2.9149871679158247e-33
6.883991821104299e-19,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999999520772,1.0,19.0,1.9616230278960147e-13,5.7400442056133349e-13,5.7400442088272608e-13,5.7571758692783532e-22,5.7210223598211739e-22,3.435607758532219e-12,1.2715070967714471e-18,1.256212829381236e-14,2.2368585105626116e-18,3.2999425954111437e-22,1.4765626899355542e-31,1.2314976083543236e-23,1.6176823805000578e-31,4.9863594342806279e-24,2.3322111540467129e-32,2.3322111540467129e-32
1.3768357142931353e-18,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999999999041511,1.0,19.0,3.9233524864080044e-13,1.1480399827478605e-12,1.1480399840191889e-12,2.3029640134229546e-21,2.2742084701896804e-21,6.8713947816131751e-12,5.0862308180344821e-18,2.5124920955550486e-14,8.9477901624787668e-18,1.3200299998867128e-21,1.1522266946083469e-30,4.9261883316045924e-23,1.2110209311355343e-30,1.9946249243954401e-23,1.8658574885024265e-31,1.8658574885024265e-31
2.753708778658546e-18,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999998082989,1.0,19.0,7.8468114033758493e-13,2.2961111018125626e-12,2.2961111067856011e-12,9.2120431330844331e-21,8.98464640671895e-21,1.3742947409627146e-11,2.0345300963088594e-17,5.0250454653355914e-14,3.5791825090780032e-17,5.2802214212227921e-21,8.7845450747118921e-30,1.9705133829095385e-22,8.5792297031303968e-30,7.9786619344791747e-23,1.4927214060921059e-30,1.4927214060921059e-30
5.507454907389367e-18,0.9787074812125337,154.0,0.0,0.0,0.0,0.99999999996165945,1.0,19.0,1.5693729237086997e-12,4.5922533192686067e-12,4.5922533382923722e-12,3.6848544655219652e-20,3.5070407596122656e-20,2.7485966993597381e-11,8.1381741816364965e-17,1.0050131554713201e-13,1.4316824675959802e-16,2.1121052509802145e-20,6.4212071079497771e-29,7.8821173923579225e-22,5.5750449478672014e-29,3.19149716757314e-22,1.1941912723597899e-29,1.1941912723597899e-29
8.261201036120189e-18,0.9787074812125334,154.0,0.0,0.0,0.0,0.999999999942489,1.0,19.0,2.3540647070573604e-12,6.8883955165876259e-12,6.8883955557730949e-12,7.8303387679162057e-20,7.3284751787294714e-20,4.1228900906043974e-11,1.7293629298705143e-16,1.5075196993992197e-13,3.0423268555705755e-16,4.4882300333618178e-20,1.7460530790718038e-28,1.6749525601433125e-21,1.4268579209944091e-28,6.7819516666575208e-22,3.4146510362288318e-29,3.4146510362288318e-29
1.3768693293581832e-17,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999990414823,1.0,19.0,3.9234482736648655e-12,1.148067983461963e-11,1.1480679934630354e-11,2.1648642551930579e-19,1.942859527794092e-19,6.8714426049115048e-11,4.7811631465097543e-16,2.5125245272834586e-13,8.4111095423133245e-16,1.2408621089672701e-19,7.0060994402577785e-28,4.6307473137437012e-21,5.0354991154170429e-28,1.8750154387454145e-21,1.5692521899969086e-28,1.5692521899969086e-28
1.872543632529731e-17,0.9787074812125334,154.0,0.0,0.0,0.0,0.9999999998696415,1.0,19.0,5.3358934835390709e-12,1.5613735661596321e-11,1.5613735830283392e-11,3.8549854379627864e-19,3.3656406038116205e-19,9.3451121877568984e-11,8.5138078730660641e-16,3.4170222003845085e-13,1.4977646327559207e-15,2.209604098331732e-19,1.4662705385976383e-27,8.2459772252097967e-21,9.8955511434718771e-28,3.3388502907502192e-21,3.5323747540139869e-28,3.5323747540139869e-28
