Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35)
0.0,0.8834732419050233,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0
9.582565429703687e-20,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,6.1637180922083751e-17,1.0295838462208443e-16,1.0295838462208443e-16
2.6831183203170323e-19,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,1.72584106581831e-16,2.8828347694183628e-16,2.8828347694183628e-16
6.132841875010359e-19,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999999999999833,1.0,19.0,3.9447795790131137e-16,6.589336615813393e-16,6.589336615813393e-16
1.3032288984397015e-18,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999999999999645,1.0,19.0,8.382656605402156e-16,1.4002340308603425e-15,1.4002340308603425e-15
2.6831183203170326e-18,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999999999999256,1.0,19.0,1.7258410658177989e-15,2.8828347694183376e-15,2.8828347694183376e-15
5.442897164071695e-18,0.8834732419050233,154.0,0.0,0.0,0.0,0.9999999999999849,1.0,19.0,3.5009918763720628e-15,5.848036246534281e-15,5.848036246534281e-15
1.0962454851581018e-17,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999999996947,1.0,19.0,7.0512934974769795e-15,1.1778439200765987e-14,1.1778439200765987e-14
2.2001570226599667e-17,0.8834732419050233,154.0,0.0,0.0,0.0,0.9999999999999386,1.0,19.0,1.4151896739672374e-14,2.3639245109228667e-14,2.3639245109228667e-14
4.407980097663696e-17,0.8834732419050234,154.0,0.0,0.0,0.0,0.99999999999987699,1.0,19.0,2.8353103224005407e-14,4.7360856926151105e-14,4.7360856926151105e-14
8.823626247671156e-17,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999999975375,1.0,19.0,5.6755516192440424e-14,9.4804080559984281e-14,9.4804080559984281e-14
1.7654918547686073e-16,0.8834732419050234,154.0,0.0,0.0,0.0,0.99999999999950717,1.0,19.0,1.135603421283863e-13,1.8969052782760386e-13,1.8969052782760386e-13
3.5317503147715906e-16,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999999901401,1.0,19.0,2.2716999399658146e-13,3.7946342236265588e-13,3.7946342236265588e-13
7.064267234777557e-16,0.8834732419050234,154.0,0.0,0.0,0.0,0.99999999999802769,1.0,19.0,4.5438929771818512e-13,7.5900921143201094e-13,7.5900921143201094e-13
1.412930107478949e-15,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999999605504,1.0,19.0,9.0882790510224619e-13,1.5181007895677268e-12,1.5181007895677268e-12
2.825936875481336e-15,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999999999210976,1.0,19.0,1.8177051196337831e-12,3.0362839458271783e-12,3.0362839458271783e-12
5.6519504114861104e-15,0.8834732419050234,154.0,0.0,0.0,0.0,0.99999999998421929,1.0,19.0,3.6354595477505167e-12,6.0726502582981641e-12,6.0726502582981641e-12
1.1303977483495657e-14,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999996843836,1.0,19.0,7.2709684001986231e-12,1.2145382883048473e-11,1.2145382883048473e-11
2.2608031627514754e-14,0.8834732419050234,154.0,0.0,0.0,0.0,0.99999999993687638,1.0,19.0,1.4541986089953391e-11,2.4290848131782411e-11,2.4290848131782411e-11
4.521613991555294e-14,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999987375243,1.0,19.0,2.9084021408897154e-11,4.8581778626183615e-11,4.8581778626183615e-11
9.043235649162933e-14,0.8834732419050234,154.0,0.0,0.0,0.0,0.99999999974750464,1.0,19.0,5.8168091804521577e-11,9.7163639602719328e-11,9.7163639602719328e-11
1.8086478964378208e-13,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999999949500906,1.0,19.0,1.1633623162671805e-10,1.9432736150672387e-10,1.9432736150672387e-10
3.617296559480876e-13,0.8834732419050234,154.0,0.0,0.0,0.0,0.9999999989900179,1.0,19.0,2.3267250739490162e-10,3.886548051184655e-10,3.886548051184655e-10
7.234593885566987e-13,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999999798003558,1.0,19.0,4.6534504342643215e-10,7.7730969155687793e-10,7.7730969155687793e-10
1e-12,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999720790911,1.0,19.0,6.4322203556854403e-10,1.0744344502180301e-09,1.0744344502180301e-09
1.4469188537739209e-12,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999596007105,1.0,19.0,9.3069005347015516e-10,1.5546194612934133e-09,1.5546194612934133e-09
2.170378318991143e-12,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999999394010664,1.0,19.0,1.396035001494548e-09,2.33192922788965e-09,2.33192922788965e-09
3.617297249425587e-12,0.8834732419050233,154.0,0.0,0.0,0.0,0.9999999899001778,1.0,19.0,2.3267246494660796e-09,3.8865487485208757e-09,3.8865487485208757e-09
5.064216179860031e-12,0.8834732419050233,154.0,0.0,0.0,0.0,0.9999999858602493,1.0,19.0,3.2574140493604222e-09,5.4411682565907828e-09,5.4411682565907828e-09
6.511135110294475e-12,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999998182032124,1.0,19.0,4.1881032011776403e-09,6.9957877520993037e-09,6.9957877520993037e-09
9.404972971163364e-12,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999997374046556,1.0,19.0,6.0494809225904609e-09,1.0105026713635257e-08,1.0105026713635257e-08
1e-11,0.8834732419050234,154.0,0.0,0.0,0.0,0.99999997207909663,1.0,19.0,6.4322147802376054e-09,1.0744344219869463e-08,1.0744344219869463e-08
1.2298810832032252e-11,0.8834732419050234,154.0,0.0,0.0,0.0,0.99999996566061089,1.0,19.0,7.9108577317357617e-09,1.32142656289778e-08,1.32142656289778e-08
1.519264869290114e-11,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999995758075733,1.0,19.0,9.7722335634520154e-09,1.6323504494826925e-08,1.6323504494826925e-08
2.0980324414638917e-11,0.8834732419050231,154.0,0.0,0.0,0.0,0.99999994142105353,1.0,19.0,1.3494982233203928e-08,2.2541982074932811e-08,2.2541982074932811e-08
2.6768000136376693e-11,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999992526135417,1.0,19.0,1.7217726933105012e-08,2.876045945401255e-08,2.876045945401255e-08
3.834335157985225e-11,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999989294196823,1.0,19.0,2.4663204425049831e-08,4.1197413609155004e-08,4.1197413609155004e-08
6.149405446680335e-11,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999982830324907,1.0,19.0,3.9554111778020703e-08,6.6071319507240852e-08,6.6071319507240852e-08
9.999999999999999e-11,0.8834732419050233,154.0,0.0,0.0,0.0,0.99999972079154964,1.0,19.0,6.4321619438295008e-08,1.0744341544101436e-07,1.0744341544101436e-07
