Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371)
0.0,0.41857354397484564,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5672799744900175e-23,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,1.2989263529324407e-17,8.8854639907684669e-17,8.8854639907696489e-17,2.0735111422044117e-29,2.0735096225382913e-29,2.2702488420592748e-16,8.3605218210888855e-27,8.2879873079202149e-19,1.4703456694256012e-26,1.1886555452916896e-29,6.3285634758087844e-43,1.2369521502214686e-31,7.255748566403151e-43,7.663923337276784e-32,4.1576253727008404e-44,4.1576253727014741e-44,5.5618755057521251e-57,7.8332060419317425e-58,6.9746039138853039e-48,4.7153786907609452e-102
1.2788383928572049e-22,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999999878,1.0,19.0,3.6369937882108308e-17,2.4879299174141119e-16,2.4879299174148253e-16,1.2524007298887056e-28,1.2523989257422571e-28,6.3566967570056892e-16,5.0497551794337161e-26,2.3206364460346958e-18,8.8808878424443068e-26,7.1794794931027938e-29,7.5132492433529123e-42,7.4711909870536781e-31,8.6139553839887461e-42,4.6290096957116632e-31,4.9359328424663392e-43,4.9359328424677587e-43,1.2441693026910016e-55,1.7522568586066013e-56,1.0540021434655059e-46,5.0246019083874005e-100
2.923059183673611e-22,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999999722,1.0,19.0,8.3131286587676024e-17,5.6866969540844031e-16,5.6866969540878366e-16,6.0297704014890411e-28,6.0297526882969901e-28,1.4529592583857393e-15,2.4312397448166896e-25,5.3043118757881889e-18,4.2757652053601629e-25,3.4566103250197129e-28,7.3765075109020731e-41,3.5970568524180442e-30,8.4570856590929228e-41,2.2286689064748154e-30,4.8461281344073923e-42,4.8461281344101962e-42,2.458268879739682e-54,3.4621642714258472e-55,1.1338474090697359e-45,1.1434818330893071e-97
6.211500765306424e-22,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999999423,1.0,19.0,1.7665398399881106e-16,1.2084231027408036e-15,1.2084231027423034e-15,2.6333591505568352e-27,2.6333434834831172e-27,3.0875384225396315e-15,1.0617862704971314e-24,1.127166273236775e-17,1.8673389987967116e-24,1.5095925418089749e-27,6.5243570420228756e-40,1.5709292303410796e-29,7.479935330473593e-40,9.7331826382870238e-30,4.2863454542129724e-41,4.2863454542179632e-41,4.3743581198346941e-53,6.1607363359659641e-54,1.0422011136380727e-44,1.9324337463459624e-95
1.278838392857205e-21,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999998823,1.0,19.0,3.6369937882107961e-16,2.4879299173987511e-15,2.4879299174050119e-15,1.0993756075582886e-26,1.0993624385129296e-26,6.3566967459816214e-15,4.4327486625109146e-24,2.3206364433817177e-17,7.7957727269303225e-24,6.3022516947333028e-27,5.4839801086573079e-39,6.5583202965125564e-29,6.2868970443677754e-39,4.0634121533751099e-29,3.6029316259281726e-40,3.602931625936589e-40,7.3779943155751355e-52,1.0390982294967279e-52,8.9162499481540656e-44,2.829508675730913e-93
2.59421502551033e-21,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999997613,1.0,19.0,7.3779016846561049e-16,5.0469435466875266e-15,5.0469435467131062e-15,4.4913080741345607e-26,4.4912001075596683e-26,1.2895013373402424e-14,1.8109224625827218e-23,4.7075767789877223e-17,3.1848275233342613e-23,2.5746754519022055e-26,4.4958766731020302e-38,2.6792878321114966e-28,5.1536577664800217e-38,1.6600364505059801e-28,2.9539010268534185e-39,2.953901026867243e-39,1.2118377742008532e-50,1.7067219596049797e-51,7.3721278804046785e-43,3.8691137767577252e-91
5.22496829081658e-21,0.4185735439748456,154.0,0.0,0.0,0.0,0.99999999999995204,1.0,19.0,1.4859717477546477e-15,1.0164970805156606e-14,1.0164970805259999e-14,1.8154585332667239e-25,1.8153711011036078e-25,2.597164655039132e-14,7.3200381104473176e-23,9.4814574314642153e-17,1.2873582015631698e-22,1.0407249809095066e-25,3.640518705266436e-37,1.0830109784629959e-27,4.1723995372916908e-37,6.710132749764474e-28,2.3921456365327762e-38,2.3921456365551872e-38,1.9644412289568026e-49,2.7666698358617329e-50,5.9948919589855274e-42,5.1172733593174638e-89
1.048647482142908e-20,0.4185735439748457,154.0,0.0,0.0,0.0,0.99999999999990385,1.0,19.0,2.9823349063326223e-15,2.0401025321660898e-14,2.0401025322076605e-14,7.2998789144020289e-25,7.2991752159747551e-25,5.2124912592958257e-14,2.9433551094868577e-22,1.9029218661475124e-16,5.1764106731942086e-22,4.1847093572493911e-25,2.9296287662996963e-36,4.354739500561238e-27,3.3564344287230028e-36,2.6981148663046149e-27,1.9254069201374218e-37,1.9254069201735142e-37,3.1636719594653833e-48,4.4556364522426518e-49,4.8350975445424802e-41,6.6577129350580159e-87
2.100948788265408e-20,0.4185735439748456,154.0,0.0,0.0,0.0,0.99999999999980738,1.0,19.0,5.9750612234881752e-15,4.0873134352934227e-14,4.0873134354601097e-14,2.9275779388601483e-24,2.9270133160347063e-24,1.0443144343244875e-13,1.1804170276157323e-21,3.8124740821728672e-16,2.0759721723266982e-21,1.6782556033272824e-24,2.3499164487482904e-35,1.7464453011578826e-26,2.6903218430525609e-35,1.082064737412959e-26,1.5450177953396319e-36,1.5450177953975681e-36,5.0783938876163073e-47,7.1522831946465788e-48,3.8838132912511653e-40,8.5914258545064316e-85
