Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95)
0.0,0.3558500208577605,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5745407348739284e-22,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999999999967,1.0,19.0,1.956712042710714e-17,1.3700244823991091e-16,1.3700244824003368e-16,1.9745205876180256e-28,1.9745154450171052e-28,8.412951209204677e-17,1.6107165051670406e-26,1.0648470893685792e-19,2.3050624875239682e-26,1.2277644956445477e-28,1.9339019786408542e-41
7.208714057647e-22,0.3558500208577605,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,5.4787937195899945e-17,3.8360685507071286e-16,3.8360685507145434e-16,1.1926104349139263e-27,1.1926043296321743e-27,2.3556263372837929e-16,9.728727686751182e-26,2.9815718491702907e-19,1.3922577418265383e-25,7.4156975519005488e-28,2.2959136066068051e-40
1.6477060703193143e-21,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999999999767,1.0,19.0,1.252295707334853e-16,8.7681566872816513e-16,8.7681566873173531e-16,5.7419058686827975e-27,5.7418459269623406e-27,5.3842887648363768e-16,4.6839635903391359e-25,6.8150213645267898e-19,6.7031217041506216e-25,3.5703391506455624e-27,2.2541101973767128e-39
3.501375399428543e-21,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999999999489,1.0,19.0,2.6611283780865527e-16,1.8632332960264641e-15,1.863233296042056e-15,2.5076411461607897e-26,2.5075881289176563e-26,1.1441613599245281e-15,2.0456099546526358e-24,1.4481920378252092e-18,2.9274293492673922e-24,1.5592609066901657e-26,1.9936790937706929e-38
7.208714057647e-21,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999999998945,1.0,19.0,5.4787937195899165e-16,3.8360685505566403e-15,3.8360685506217315e-15,1.0468908154523844e-25,1.0468462521562335e-25,2.3556263185278016e-15,8.5400188482100926e-24,2.9815718337751903e-18,1.2221441219859649e-23,6.5096073309017031e-26,1.6757134610947977e-37
1.4623391374083914e-20,0.35585002085776046,154.0,0.0,0.0,0.0,0.99999999999997857,1.0,19.0,1.1114124402596508e-15,7.7817390593513231e-15,7.7817390596172245e-15,4.2768905727346836e-25,4.2765252305234013e-25,4.778556202620323e-15,3.4888763262015781e-23,6.0483313984948372e-18,4.9928574751294926e-23,2.6593869869744375e-25,1.3736971005807171e-36
2.945274600695774e-20,0.35585002085776063,154.0,0.0,0.0,0.0,0.99999999999995681,1.0,19.0,2.2384785768609153e-15,1.5673080075878096e-14,1.5673080076952768e-14,1.7287875507325824e-24,1.7284917108060868e-24,9.6244158383492654e-15,1.4102595713567609e-22,1.2181850419212872e-17,2.0181927888477148e-22,1.0749667312173511e-24,1.1122061161654595e-35
5.91114552727054e-20,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999999991329,1.0,19.0,4.4926108500632257e-15,3.1455762104682068e-14,3.1455762109002091e-14,6.9513787037317017e-24,6.9489979075486813e-24,1.9316134579982776e-14,5.6705915338147926e-22,2.4448888025763922e-17,8.1150641871097299e-22,4.3223938762396293e-24,8.9479900510792048e-35
1.1842887380420073e-19,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999999982625,1.0,19.0,9.0008753964669804e-15,6.302112614529801e-14,6.3021126162613646e-14,2.7878137658616041e-23,2.7859039379081604e-23,3.8699569943952534e-14,2.2741606863813226e-21,4.8982961499326059e-17,3.2545034908149821e-21,1.733473211029733e-23,7.1737675078454492e-34
2.370637108671914e-19,0.35585002085776046,154.0,0.0,0.0,0.0,0.99999999999965217,1.0,19.0,1.8017404489271005e-14,1.2615185415861209e-13,1.2615185422788849e-13,1.1165796204043575e-22,1.1150504122363964e-22,7.7466432194704852e-14,9.1085035665285721e-21,9.8051101488291445e-17,1.3034987734546544e-20,6.9429341347152726e-23,5.7374652430323751e-33
4.743333849931726e-19,0.3558500208577605,154.0,0.0,0.0,0.0,0.999999999999304,1.0,19.0,3.6050462674865147e-14,2.5241330991396953e-13,2.5241331019064504e-13,4.4692283570443274e-22,4.4570010283607989e-22,1.5500012278747553e-13,3.6457742600332864e-20,1.9618735363359467e-16,5.2173908057844586e-20,2.7789826683765907e-22,4.5770879183610046e-32
9.48872733245135e-19,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999999860767,1.0,19.0,7.2116579045997751e-14,5.0493622034279141e-13,5.0493622144498554e-13,1.7882734747326724e-21,1.7785128284327464e-21,3.1006736833819957e-13,1.458783858973788e-19,3.9245974659375395e-16,2.0876348754976608e-19,1.111954753425896e-21,3.6371242171335961e-31
1.89795142974906e-18,0.35585002085776063,154.0,0.0,0.0,0.0,0.99999999999721489,1.0,19.0,1.4424881178804027e-13,1.0099820368981393e-12,1.0099820412689762e-12,7.154258256405377e-21,7.0765543189056022e-21,6.2020131690132785e-13,5.8360795049307528e-19,7.8500408719278896e-16,8.3518905393175592e-19,4.4485407294365086e-21,2.8695867704947446e-30
3.79610882275691e-18,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999999442934,1.0,19.0,2.8851327727123477e-13,2.0200736529980495e-12,2.0200736701781962e-12,2.8619361329113013e-20,2.8003915973982165e-20,1.2404670438818973e-12,2.3346171283724472e-18,1.5700909871097661e-15,3.3410214324384185e-18,1.7795592377369636e-20,2.2333897179323319e-29
7.59242360877261e-18,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999998885836,1.0,19.0,5.7704220823406115e-13,4.0402568186832128e-12,4.0402568850415988e-12,1.1448209747657795e-19,1.0965536751302089e-19,2.4809898173210306e-12,9.3388111725070681e-18,3.1402576618516817e-15,1.3364576101868662e-17,7.1185115954044462e-20,1.6943177516165718e-28
1.518505318080401e-17,0.35585002085776046,154.0,0.0,0.0,0.0,0.99999999997771638,1.0,19.0,1.1541000701454635e-12,8.0806228953506218e-12,8.0806231429482794e-12,4.5793765756789696e-19,4.2079025924783464e-19,4.9620006425972001e-12,3.7355705966015221e-17,6.280562511226016e-15,5.3458964529892696e-17,2.8474505651379659e-19,1.2277979881108446e-27
3.037031232486681e-17,0.35585002085776063,154.0,0.0,0.0,0.0,0.99999999995543232,1.0,19.0,2.3082157939112669e-12,1.6161354108623021e-11,1.6161354971481397e-11,1.8317688720399891e-18,1.5556450377774618e-18,9.9238834106284541e-12,1.4942195403176799e-16,1.2561058211605885e-14,2.1383461332138312e-16,1.1389822137788873e-18,8.2548793614118929e-27
4.555557146892961e-17,0.3558500208577605,154.0,0.0,0.0,0.0,0.99999999993314825,1.0,19.0,3.4623315176200694e-12,2.4242084450096626e-11,2.4242086112734527e-11,3.8925199244635155e-18,3.1348274903577999e-18,1.4885627300025819e-11,3.1751909227793442e-16,1.8841439915686128e-14,4.5439488968992341e-16,2.4203303534098725e-18,2.1487991841269749e-26
