Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002)
1.0467427113614904e-17,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999947609,1.0,19.0,6.0377087713271147e-14,2.2354792842790399e-13,2.2354786935693155e-13,5.3724751304269761e-21,5.2485820194419774e-21,1.6482358215852704e-14,7.3056139185685656e-20,2.7120545935848806e-18,7.0506760454438774e-20,3.9078180564691196e-21,3.9925414381234564e-30,2.3520285404427861e-24,5.5072906969924171e-30,3.1190853879625964e-25,3.2006813811686296e-33,3.2006814312966378e-33,4.4774372799686711e-41,5.3536312824316456e-42,1.6672708061539768e-25,1.5237854105075761e-75,1.4675572331510892e-75,1.4675572331520455e-75,3.5720995218388827e-35,6.2854918898479721e-20,2.9868663506587316e-34,1.2946735792811289e-35,2.4341538788867353e-33,2.5221678520404913e-33,3.8120737151855957e-48,1.1512063732390731e-38,1.1889000470876545e-61,8.0948436461310039e-49,8.9202592431766075e-49,8.3499624045294634e-54,1.2014684709294078e-62,5.1748421349043076e-71,5.5937934521703231e-73,8.9543433754958251e-59,8.3501508714009607e-82,3.0230503879811079e-85,6.3328896315224386e-83,5.5626061048260962e-78
2.0943948429761187e-17,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999895173,1.0,19.0,1.2080663162738289e-13,4.472900596170468e-13,4.4728994852247708e-13,2.1503900691549151e-20,2.0532943171050061e-20,3.2978742273123822e-14,2.9241271067165799e-19,5.4264357649249137e-18,2.822086298970523e-19,1.564141577503921e-20,3.1181846349418309e-29,9.4142433512394033e-24,4.0980038712754355e-29,1.2484469735729208e-24,2.5624911419200115e-32,2.5624912221886007e-32,7.1695828645027839e-40,8.572754320762363e-41,6.6734280522837475e-25,1.95440604295049e-73,1.8822878242370719e-73,1.8822878242395254e-73,2.8598517000934018e-34,1.2576511424956807e-19,1.1955305075067942e-33,1.0357167663416663e-34,1.9487892631309834e-32,2.0192534549060624e-32,6.104284758230671e-47,9.216650438882736e-38,3.8076814343348255e-60,1.2962163337746429e-47,1.3623201143812038e-47,2.6742092306071652e-52,7.6958953996281251e-61,6.6294398822595923e-69,7.1661543600152446e-71,2.7311345701088046e-57,2.1394666955824313e-79,7.7456278357491871e-83,1.6218697624561024e-80,7.1262074877173096e-76
4.1896991062053754e-17,0.504685707066012,154.0,0.0,0.0,0.0,0.9999999999979029,1.0,19.0,2.4166571945418321e-13,8.9477427102948891e-13,8.9477407457290012e-13,8.6043605664779987e-20,7.8588467131136552e-20,6.5970627456032704e-14,1.1700138355225695e-18,1.0855109025607632e-17,1.1291848453681284e-18,6.2585712911276486e-20,2.3787253274486318e-28,3.7669233121934694e-23,2.8717807996825975e-28,4.9954137618931525e-24,2.0507715239313092e-31,2.0507716524084113e-31,1.1475520125446224e-38,1.3721890650258622e-39,2.6702403159092844e-24,2.5041774592086176e-71,2.411772496577868e-71,2.4117724965841549e-71,2.2887506766581796e-33,2.5158750828352649e-19,4.7837238344059171e-33,8.2759571938188011e-34,1.5596014237599575e-31,1.6159933875788377e-31,9.7708311576263918e-46,7.3761208925956467e-37,1.2189705496068606e-58,2.0747476177444939e-46,2.127715398727811e-46,8.5608954433680023e-51,4.9273790297302548e-59,8.4891683907178618e-67,9.176445153497234e-69,8.5245575613387054e-56,5.4792938669862129e-77,1.9836989028063529e-80,4.1499322573217385e-78,9.1253099157279545e-74
8.380307632663889e-17,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999580524,1.0,19.0,4.8338389510209137e-13,1.7897425055659883e-12,1.7897421975511107e-12,3.4423039316430082e-19,2.8907342999028852e-19,1.3195086628433967e-13,4.6806740533087637e-18,2.1712099230677633e-17,4.5173365020461247e-18,2.5038101437204235e-19,1.7398268547096615e-27,1.5070143922894903e-22,1.8365208569506933e-27,1.9984905386160742e-23,1.6409285102376745e-30,1.6409287158271346e-30,1.8363026981906226e-37,2.1959174870112929e-38,1.0682698817314328e-23,5.6145733877936722e-69,5.4073938046322379e-69,5.4073938046603827e-69,1.8313485219785619e-32,5.0324030967732925e-19,1.9138366799968043e-32,6.6014328601944676e-33,1.2478824699669597e-30,1.2930033205696526e-30,1.5636511435201281e-44,5.9020165018336335e-36,3.9015260357233507e-57,3.3201350955115686e-45,3.3627235965834712e-45,2.7399516242778573e-49,3.154069595725577e-57,1.0868040293682123e-64,1.1747908912716378e-66,2.6934257685618971e-54,1.4029464283280787e-74,5.0791656375282052e-78,1.0606461151851123e-75,1.1682489809278151e-71
1.6761524685580915e-16,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999999160993,1.0,19.0,9.668202463751377e-13,3.5796783151705972e-12,3.5796779270172887e-12,1.3770331766351811e-18,9.9386744200399592e-19,2.6389721930292937e-13,1.8723074766223672e-17,4.3424654469181492e-17,1.8069711351134405e-17,1.0015848708953133e-18,1.1866103765324067e-26,6.0285465728007091e-22,1.0443695532725524e-26,7.9946107805692236e-23,1.3128669865488145e-29,1.3128673154750835e-29,2.9378900647498062e-36,3.5137237664121798e-37,4.2734264301684532e-23,7.2120998335953355e-67,6.9459710072548537e-67,6.9459710073272799e-67,1.4652183133842795e-31,1.0065779657592432e-18,7.6562549850377308e-32,5.248995072044424e-32,9.9834376265689625e-30,1.0344418091654143e-29,2.502096501463086e-43,4.7220601707158281e-35,1.2486196399699471e-55,5.3123195620221481e-44,5.3470523574564261e-44,8.7680569495529882e-48,2.0186579312938216e-55,1.3911475060862795e-62,1.5037738337397621e-64,8.5638548370981165e-53,3.5916440337833702e-72,1.3003038011891661e-75,2.7055338359892806e-73,1.4954115994075521e-69
3.352395879141497e-16,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999998321931,1.0,19.0,1.9336929488301498e-12,7.1595477480256807e-12,7.1595473199910658e-12,5.5083531731815748e-18,3.0873407774432886e-18,5.2773343888157467e-13,7.4886185828500122e-17,8.6844065007911294e-17,7.2272945496675172e-17,4.0063372016798713e-18,7.3115056529878902e-26,2.4115156272770347e-21,5.266357942607978e-26,3.1979728517283192e-22,1.0503427011220656e-28,1.0503432272698735e-28,4.6992858089131821e-35,5.6219187184578067e-36,1.7094395231692949e-22,9.2325988711278929e-65,8.891912979121855e-65,8.8919129793072931e-65,1.1722309160124653e-30,2.0133814910330491e-18,3.0628547944969692e-31,4.1480731894206966e-31,7.9862173072741158e-29,8.2749824104217028e-29,4.0035585159793458e-42,3.7778254940903679e-34,3.9957932548098015e-54,8.4987454581097177e-43,8.5286388703026205e-43,2.8054714129279637e-46,1.2918024546421309e-53,1.7804794640807161e-60,1.9246259361316739e-62,2.7316159934538493e-51,9.193636300156277e-70,3.3284296105870524e-73,6.8758186891288292e-71,1.9139532139658789e-67
6.704882700308307e-16,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999996643807,1.0,19.0,3.8674383533758523e-12,1.4319279425684819e-11,1.431927784212344e-11,2.2033831711157394e-17,8.4533289043910868e-18,1.0551800289118213e-12,2.9947757529921975e-16,1.7366009231682061e-16,2.8902695787816724e-16,1.6024354611795525e-17,3.989720284493605e-25,9.6462509734470801e-21,2.4114723948626719e-25,1.2792138967751762e-21,8.4029290712540166e-28,8.4029374846861818e-28,7.5140057259272145e-34,8.9942580103662364e-35,6.8378930725503908e-22,1.1818260837827281e-62,1.138216319384369e-62,1.1382163194318433e-62,9.3780798481727977e-30,4.0275013935282228e-18,1.2253493935203997e-30,3.2392604569042106e-30,6.387666817789336e-28,6.6186316341712377e-28,6.4058580871426986e-41,3.0223292571135508e-33,1.2786876997438483e-52,1.3593866512393773e-41,1.3624515166822492e-41,8.9748384003533182e-45,8.2651001718420895e-52,2.2783452823924553e-58,2.4627989115105698e-60,8.7270685790051038e-50,2.3528825395700649e-67,8.5183078435878754e-71,1.7348366994955555e-68,2.4492180982703891e-65
1.0057369521475117e-15,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999994965683,1.0,19.0,5.8011837575572362e-12,2.1479004587024264e-11,2.1479000100459768e-11,4.682212964440464e-17,1.4327492189058624e-17,1.5824008664807254e-12,6.3628608149144404e-16,2.6045333184017033e-16,6.140821405079941e-16,3.405001973905515e-17,9.4368198884389229e-25,2.0498395335644844e-20,5.343447626384084e-25,2.7183439320098067e-21,2.4027252098954077e-27,2.4027283057043971e-27,2.7647768707119845e-33,3.3103188320329484e-34,1.4530604117356767e-21,6.097794700353947e-62,5.8727841079562415e-62,5.8727841082477096e-62,2.6815632658535264e-29,6.0421341474983385e-18,2.6041520873645652e-30,9.1355645729435069e-30,1.8262450762489976e-27,1.8922783186989969e-27,2.3577950541081609e-40,8.6420208862419865e-33,5.8380626089260963e-52,5.0026835265155512e-41,5.0129784757715198e-41,4.0970729062172557e-44,4.5406108963313161e-51,1.4697110828403533e-57,1.5886981656710489e-59,3.9832214860709986e-49,1.7471511313455322e-66,6.3253394466435802e-70,1.2833869502572725e-67,1.5799528785860308e-64
1.3409856342641927e-15,0.5046857070660121,154.0,0.0,0.0,0.0,0.99999999993287558,1.0,19.0,7.7349291613742964e-12,2.8638723522058468e-11,2.8638714095019185e-11,7.9873227832753069e-17,2.0420680839782735e-17,2.1093960482126138e-12,1.085263674346662e-15,3.4722378955938057e-16,1.0473921393925511e-15,5.8082467919791565e-17,1.7133417826454785e-24,3.4967944470369204e-20,9.3235731542384615e-25,4.6371865576439576e-21,5.0680566708289682e-27,5.068064520410433e-27,7.0100517810657378e-33,8.3952908575576291e-34,2.4787570449542599e-21,3.326587797015964e-61,3.2038356338868614e-61,3.2038356340491164e-61,5.6562185640851271e-29,8.0572797524792848e-18,4.4428142876511762e-30,1.9032166433715601e-29,3.8516345534889422e-27,3.9909016856821453e-27,5.9799017371875661e-40,1.822857798501363e-32,1.7401668795914141e-51,1.2686120946644732e-40,1.2711405817018637e-40,1.2210792836198712e-43,1.5610004849775235e-50,5.7391141139478813e-57,6.2037501396230661e-59,1.187055113128668e-48,7.6508650712680972e-66,2.7699023757118465e-69,5.6003916666583281e-67,6.1697084316365002e-64
2.0114829984975548e-15,0.504685707066012,154.0,0.0,0.0,0.0,0.99999999989931321,1.0,19.0,1.1602419968153382e-11,4.2958147110760314e-11,4.295812268961892e-11,1.65367651161686e-16,3.2792388000058324e-17,3.1628571108131526e-12,2.2463239283021941e-15,5.2071125604674792e-16,2.1679358488188463e-15,1.2024223497266064e-16,3.7868584401998946e-24,7.2396857323635575e-20,1.9743779072553452e-24,9.6007253037288222e-21,1.3842465238309447e-26,1.3842492676468226e-26,2.4502521497365384e-32,2.9356351891447466e-33,5.1319646562708112e-21,4.6200887597336739e-60,4.4496059953902285e-60,4.4496059956465467e-60,1.5448982056919687e-28,1.2088774590937637e-17,9.1997783191965544e-30,5.0932268683967406e-29,1.0517960944371527e-26,1.0898268629326164e-26,2.0912122905907704e-39,4.978803413723974e-32,7.6170887411343808e-51,4.4353490088065913e-40,4.4442642002713568e-40,5.3438284131139886e-43,8.3938826829674478e-50,3.7323495840095566e-56,4.0345190938604278e-58,5.1948204115515605e-48,5.9352419230531554e-65,2.1487941178731616e-68,4.317281856556326e-66,4.0126608808820676e-63
