Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58)
0.0,0.3996095156716603,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0758624719033406e-21,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,4.7648788409105634e-17,2.4882092521589555e-16,2.4882078541444077e-16,3.5055164361498627e-27,3.5054571660626511e-27,3.7496088946338285e-17,7.7797896959243479e-26,1.3415156368523369e-20,8.7209320780819098e-26,2.4018117872855463e-27,2.0865508451336833e-39,2.3616352221111539e-30,2.8590388679492295e-39,4.8372022073634289e-31,4.1445747623249055e-42,4.1445747623698848e-42,4.0006636813547986e-53,4.9729125136231403e-54,1.702315755270601e-31,3.3054535376125452e-96,3.1557396275175543e-96,3.1557396275175581e-96,2.5036966922271886e-44,1.398038563820506e-22,6.0761714131298293e-40,1.2368705004228298e-44,4.1554184731823091e-42,3.7069755308800341e-42,6.332582168818602e-60,1.6222656645528534e-47,3.0173986784493017e-76,1.3718701019689054e-60,4.5591991006611776e-58,1.2898099873742348e-68,1.337224803905773e-80,4.3425043123904002e-92,8.1528668011179692e-94,3.6020652568653405e-71,8.9901385725563232e-106,3.1014870762460343e-109,7.1147128788853002e-107,8.3499127200539767e-99,4.7107478564713263e-95,4.7055128308855218e-40
8.612414921329353e-21,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,1.3341660754549526e-16,6.9669859058536686e-16,6.9669819914907309e-16,2.1173319273626149e-26,2.1172604143509933e-26,1.0498904850328313e-16,4.6989929559295749e-25,3.7562437708853424e-20,5.2674429522838426e-25,1.4506943169641263e-26,2.4770906432883742e-38,1.4264276741036796e-29,3.393986501660824e-38,2.9216701331832429e-30,4.9204391576857927e-41,4.9204391577864098e-41,8.9493245155065334e-52,1.1124206350205862e-52,1.0281987161633185e-30,3.5222172474028752e-94,3.3626854584027481e-94,3.3626854584027566e-94,2.9723889222618545e-43,3.914507989728417e-22,3.6700075426284884e-39,1.4684119901668098e-43,4.9333127917353858e-41,4.4009213327520642e-41,1.4165733008724192e-58,1.9259537969072323e-46,1.2451380134082961e-74,3.0688187253090431e-59,5.4270825303372064e-57,5.3224373355936537e-67,1.0066295127271384e-78,5.927497322497756e-90,1.1128623636964219e-91,8.0781563222858104e-70,2.217859336433982e-103,7.6513426983872996e-107,1.7551930649467646e-104,1.1397590372575161e-96,6.4301479739874079e-93,2.8421297497942653e-39
1.968551982018138e-20,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999999634,1.0,19.0,3.0495224581827264e-16,1.5924539212477493e-15,1.5924530265728941e-15,1.019404179524528e-25,1.0193333747615156e-25,2.3997496543131668e-16,2.2623628129617043e-24,8.5856999897465522e-20,2.5360470139897736e-24,6.9844686390812246e-26,2.4318898631976394e-37,6.8676352251273915e-29,3.3316760673220007e-37,1.4066584018048845e-29,4.8309163425122747e-40,4.8309163427110779e-40,1.7682356663255668e-50,2.197955704532041e-51,4.9503342160250322e-30,8.015742356575493e-92,7.6526853307068056e-92,7.652685330706841e-92,2.9183091618367307e-42,8.9474468856682385e-22,1.7669506605718818e-38,1.4416941846957841e-42,4.8435557114986777e-40,4.3208506245167611e-40,2.7989101296400548e-57,1.8909128584480653e-45,4.9256421568778758e-73,6.0634687551015697e-58,5.3588466812691873e-56,2.105503315070157e-65,7.9591170077257397e-77,9.3639931760571078e-88,1.7580498164171709e-89,1.6049636416236087e-68,7.0011226469444909e-101,2.4153015986950806e-104,5.5406199986341537e-102,1.8005399731697048e-94,1.0158058025881943e-90,1.3683631311306261e-38
4.183172961788543e-20,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999999212,1.0,19.0,6.4802352236381981e-16,3.3839645822662982e-15,3.3839626812387615e-15,4.4520058727958546e-25,4.4513770903576379e-25,5.0994679054395945e-16,9.8803325974886006e-24,1.8244612230649771e-19,1.1075583384560763e-23,3.0503009302293592e-25,2.1507435184915481e-36,2.999276731283615e-28,2.9458340365609535e-36,6.1432468023554139e-29,4.2728907960138478e-39,4.272890796367608e-39,3.1464807168533726e-49,3.9111446992822191e-50,2.1619410088817321e-29,1.354625021621558e-89,1.2932699892818027e-89,1.2932699892818153e-89,2.5812114417809292e-41,1.901332485404388e-21,7.7167378354942936e-38,1.2751596628703743e-41,4.2840701013425301e-39,3.8217433793343679e-39,4.9805110309699689e-56,1.6724910092024583e-44,1.7579266987968101e-71,1.0789618466611006e-56,4.7941047445017229e-55,7.5143916350310726e-64,5.6888439318952857e-75,1.339488669909625e-85,2.5148328987336661e-87,2.887608732980923e-67,2.0036314729859011e-98,6.9122834920970552e-102,1.5856527723640787e-99,2.5756136924929095e-92,1.4530770557455847e-88,5.9760012942855227e-38
8.612414921329353e-20,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999998368,1.0,19.0,1.3341660754548831e-15,6.9669859030787111e-15,6.966981989843396e-15,1.8586248134436381e-24,1.85809529677896e-24,1.0498904057955496e-15,4.1248442120773085e-23,3.7562435925179438e-19,4.6238378686561021e-23,1.2734405739578938e-24,1.807433427252807e-35,1.2521389940455742e-27,2.4744775847265437e-35,2.564684609447564e-28,3.59162217410621e-38,3.5916221747028771e-38,5.3069990380037913e-48,6.5967170632179406e-49,9.0256781316375158e-29,1.9834694238458334e-87,1.8936321414234874e-87,1.8936321414235238e-87,2.1696637618222529e-40,3.9145081496779177e-21,3.2215862099521454e-37,1.0718442968087348e-40,3.6010189303538407e-38,3.2124054766567578e-38,8.4003598221097605e-55,1.4058294680613387e-43,5.9396370049974585e-70,1.8198267452757646e-55,4.1210234309054997e-54,2.5389429447274068e-62,3.847367673345908e-73,1.8125227038118907e-83,3.4029341403139722e-85,4.9772249639099604e-66,5.4234979826211959e-96,1.8710404921892245e-99,4.2920904216583931e-97,3.4851794110541947e-90,1.9662242863418843e-86,2.494862902090394e-37
1.7470898840410974e-19,0.3996095156716602,154.0,0.0,0.0,0.0,0.99999999999996692,1.0,19.0,2.7064511816368866e-15,1.4133028539806263e-14,1.4133020604144266e-14,7.5930888128658875e-24,7.588744386443416e-24,2.1297774964039674e-15,1.6851333262485066e-22,7.6198080165131944e-19,1.888988501633196e-22,5.2024201018039074e-24,1.4811939808645258e-34,5.1153963504252282e-27,2.0259873363044781e-34,1.0477573461646893e-27,2.9446288534828878e-37,2.9446288544629159e-37,8.716759916706665e-47,1.0835127134800585e-47,3.687284016169887e-28,2.7122266608238898e-85,2.5893817762051667e-85,2.5893817762052668e-85,1.7788214447573122e-39,7.9408597606185786e-21,1.3161231400402476e-36,8.7875576937163316e-40,2.9523326794785291e-37,2.6337239131184102e-37,1.3797616237714733e-53,1.152583934036818e-42,1.9528226963619194e-68,2.9890704887585489e-54,3.5283708375474913e-53,8.3474878027071148e-61,2.530926627409632e-71,2.3851776559289017e-81,4.4780694109616938e-83,8.5261359463822867e-65,1.4275536603884179e-93,4.9248856293497601e-97,1.1297441175036896e-94,4.5862996267402094e-88,2.5874402703613472e-84,1.0192329005057238e-36
3.518786667857422e-19,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999993339,1.0,19.0,5.4510213940004009e-15,2.8465113793683957e-14,2.8465097821112414e-14,3.0692478976527545e-23,3.0657298261058015e-23,4.2895511180418976e-15,6.8115773258774409e-22,1.5346935604861176e-18,7.6355924164248736e-22,2.102901258375569e-23,1.1984592128922958e-33,2.0677249904516413e-26,1.6362782622934645e-33,4.235202712008763e-27,2.3846367877451406e-36,2.3846367893338062e-36,1.4130237168743969e-45,1.7564206543113333e-46,1.4904591529413922e-27,3.5871793940783933e-83,3.4247052745218806e-83,3.4247052745221454e-83,1.4405357297626154e-38,1.5993564112074303e-20,5.319980610765841e-36,7.1162795964697194e-39,2.390875217777355e-36,2.1328576139490415e-36,2.2366530517834255e-52,9.333923516994569e-42,6.3339336104914294e-67,4.845410731958294e-53,3.0998449877995436e-52,2.7074869239895911e-59,1.6421511069468122e-69,3.0954997046141816e-79,5.8116687896426973e-81,1.4959315151123267e-63,3.7055758363743256e-91,1.2783783764538238e-94,2.9325125975858617e-92,5.9521308984687176e-86,3.3579974951850533e-82,4.1199023421733972e-36
7.06218023549007e-19,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999986622,1.0,19.0,1.0940161818725461e-14,5.7129284223222918e-14,5.7129252208514328e-14,1.2341310777465473e-22,1.2313017677217941e-22,8.6090961230032953e-15,2.7389044733303924e-21,3.0801185742988683e-18,3.0702372189806837e-21,8.4556724551689746e-23,9.6293813414141209e-33,8.3142312243335468e-26,1.3099611160540392e-32,1.70295638084665e-26,1.9193631415228618e-35,1.9193631440813575e-35,2.275629109949912e-44,2.8286608461673444e-45,5.9930706932179511e-27,4.6670187222443386e-81,4.4556354390321645e-81,4.4556354390328537e-81,1.1594684839439916e-37,3.2098977333283369e-20,2.1391411663379732e-35,5.7276198989673104e-38,1.9243838447446827e-35,1.7167088875646021e-35,3.6020607931532055e-51,7.5127536659559318e-41,2.0405610870090093e-65,7.8033802781830503e-52,2.8853631303485447e-51,8.7225250146134681e-58,1.0581952143696954e-67,3.9896688117733385e-77,7.4904331878927206e-79,2.7757216658163909e-62,9.5522016731878953e-89,3.2953928616567431e-92,7.5592852155009795e-90,7.671469841892049e-84,4.3279919755235794e-80,1.6565946093962598e-35
1.4148967370755367e-18,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999973199,1.0,19.0,2.1918442668167707e-14,1.1445762477017833e-13,1.1445756079718066e-13,4.949417577465719e-22,4.9267599140478261e-22,1.7248177179677516e-14,1.0984225438070831e-20,6.1709665864983039e-18,1.2313017153399558e-20,3.39110202897969e-22,7.7000490833772263e-32,3.3343785676761128e-25,1.0400086011534725e-31,6.8296167325682414e-26,1.5401680374382324e-34,1.5401680415451783e-34,3.6528821962181501e-43,4.5406256025271136e-44,2.4034893882251023e-26,6.0225403895397678e-79,5.7497614622659691e-79,5.7497614622677489e-79,9.3040044427990804e-37,6.4309821848891896e-20,8.5789157258223677e-35,4.5957637637589186e-37,1.5441959882081831e-34,1.3775500061112359e-34,5.7821053265679818e-50,6.0285116585648507e-40,6.5518137244033684e-64,1.2526139617607456e-50,2.9417666692725638e-50,2.8006167917952236e-56,6.7956459666330513e-66,5.1244060834526879e-75,9.6208540676006629e-77,5.6325011537578621e-61,2.4538388798018282e-86,8.4654444125604308e-90,1.9418220509582388e-87,9.853382309700924e-82,5.5589547584631532e-78,6.6436852944933279e-35
