Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39)
8.290106430144228e-18,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999907441,1.0,19.0,1.3322854253771513e-13,3.4163473828021846e-13,3.4163454406339182e-13,4.2384386617223114e-21,4.1256861767219005e-21,1.0904321715421168e-13,4.0752625998937621e-19,4.016105981781803e-17,4.5938852342085981e-19,2.8974984028489526e-21,3.7880167287508531e-30,2.9508905886686183e-24,4.7748278961267566e-30,1.2458162120431883e-24,1.6745603490547797e-32,1.6745603618329751e-32,1.1363569638656238e-40,1.4146257363744009e-41,2.092765532550638e-25,2.0404045479444274e-74,1.9473547554043918e-74,1.9473547554080858e-74,2.3244132579996943e-35,1.9700074522438366e-19
1.6583812559129162e-17,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999814837,1.0,19.0,2.6651493507079113e-13,6.8341780628744181e-13,6.8341742290954188e-13,1.6959274726148202e-20,1.6078818779662271e-20,2.1813200977299267e-13,1.6306245078534818e-18,8.0339147036149882e-17,1.8381396696652644e-18,1.1593735031589684e-20,2.9133311545548142e-29,1.1807404760729808e-23,3.4234531336585523e-29,4.984887477931373e-24,1.3401571717301553e-31,1.3401571921831992e-31,1.8188730238002406e-39,2.2643135797974805e-40,8.3737879822661298e-25,2.6143674603448232e-72,2.4951428930429248e-72,2.4951428930523915e-72,1.8602370880718114e-34,3.9408786884071829e-19
3.317122481709903e-17,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999629641,1.0,19.0,5.3308772013274548e-13,1.366983903756986e-12,1.3669831551433849e-12,6.784813619023845e-20,6.1130179355953622e-20,4.3630427539079272e-13,6.5234689401883802e-18,1.6069408767510127e-16,7.3536531464119441e-18,4.6382227598055912e-20,2.1618726065079326e-28,4.7237297169689352e-23,2.263805208027144e-28,1.9942794907316329e-23,1.0723292891607298e-30,1.0723293218910091e-30,2.9106668595135845e-38,3.623610538530533e-39,3.3500603824629721e-24,5.8616301418466656e-70,5.5943187078890035e-70,5.5943187079313827e-70,1.4884723777025746e-33,7.8826462902611708e-19
6.634604933303877e-17,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999999259248,1.0,19.0,1.0662332902398638e-12,2.7341159580811811e-12,2.7341145177772715e-12,2.7141458546708569e-19,2.2224993657984031e-19,8.726275291849461e-13,2.6095272328305011e-17,3.2139903391370331e-16,2.9416186882020112e-17,1.8554191585092811e-19,1.5091454559948355e-27,1.8896448452832898e-22,1.3401698397346034e-27,7.9777664272651732e-23,8.5794478278355766e-30,8.5794483515333242e-30,4.6571498729893562e-37,5.7982758442358894e-38,1.3401331544922194e-23,7.529455699217519e-68,7.1860854189444407e-68,7.1860854190534973e-68,1.1908910843490166e-32,1.5766282012072653e-18
1.3269569836491824e-16,0.8171427229304463,154.0,0.0,0.0,0.0,0.99999999998518463,1.0,19.0,2.1325244303869386e-12,5.4683795827967475e-12,5.4683768357100938e-12,1.0857021426340565e-18,7.5004183297471787e-19,1.7451889353074654e-12,1.0437951978680086e-16,6.4278918744601902e-16,1.1766297826205818e-16,7.421811213732599e-19,9.6008801108147672e-27,7.5588804764919418e-22,7.0189629758027995e-27,3.1912358035867792e-22,6.8638824382637774e-29,6.8638832760948256e-29,7.4505682385040024e-36,9.2774225312944601e-37,5.3607503064066789e-23,9.6388723188997266e-66,9.1993050550879697e-66,9.1993050553671903e-66,9.5275828334499218e-32,3.153395552806703e-18
2.6539499642867714e-16,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999997036892,1.0,19.0,4.2651067104124432e-12,1.0936905252675301e-11,1.0936899842237893e-11,4.3428939253475789e-18,2.2717442104351978e-18,3.4899714080764012e-12,4.1748004409651585e-16,1.2854905484284207e-15,4.706090376141427e-16,2.9686510635882012e-18,5.4275720115776054e-26,3.0236086260684497e-21,3.3051425635751151e-26,1.2765197965855986e-21,5.4912336291975611e-28,5.4912349693520346e-28,1.1917212396538542e-34,1.4843323369816682e-35,2.1443434320003494e-22,1.2338337517307998e-63,1.1775664943245466e-63,1.1775664943960309e-63,7.6222501998223154e-31,6.3070910849226228e-18
3.980942944924361e-16,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999995555322,1.0,19.0,6.3976889901693023e-12,1.6405429544960523e-11,1.6405421219429805e-11,9.2287004139806084e-18,4.0576936693318395e-18,5.2344136077433292e-12,8.8708207041733644e-16,1.928112973024725e-15,9.9997316122746893e-16,6.3082248007819839e-18,1.3029893694954642e-25,6.4251993965655132e-21,7.3935462853526295e-26,2.7126200715048312e-21,1.5701587507564337e-27,1.5701592439526555e-27,4.3856427100705228e-34,5.4631950638047615e-35,4.5567566223525253e-22,6.3661365107144211e-63,6.0758177889887973e-63,6.0758177894276723e-63,2.1795011922381554e-30,9.4609474459255303e-18
5.30793592556195e-16,0.8171427229304467,154.0,0.0,0.0,0.0,0.99999999994073752,1.0,19.0,8.530271269657516e-12,2.1873952574183074e-11,2.187394096728779e-11,1.5743119647670487e-17,5.9934472433282841e-18,6.9785156006694031e-12,1.5131550773211925e-15,2.5706564709298742e-15,1.7057209434824739e-15,1.0760814627113609e-17,2.3893247855663282e-25,1.0960657122645888e-20,1.2970621715872836e-25,4.6274240797545167e-21,3.3119298881436773e-27,3.3119311388342059e-27,1.1121353884223153e-33,1.3855514052821574e-34,7.7733144279958634e-22,3.4729821528716857e-62,3.3146016757925171e-62,3.3146016760368309e-62,4.5972167832965621e-30,1.2614964635786195e-17
7.961921886837128e-16,0.8171427229304463,154.0,0.0,0.0,0.0,0.99999999991110611,1.0,19.0,1.2795435828003446e-11,3.2810995846888856e-11,3.2810976639062877e-11,3.2594206436487147e-17,1.0038216071646145e-17,1.0465921347934045e-11,3.1324342473083801e-15,3.8555582606977177e-15,3.5310714544795618e-15,2.2277902904289116e-17,5.3420900637128741e-25,2.2692678907803103e-20,2.7620048283653404e-25,9.5805194407163387e-21,9.0459351144931411e-27,9.0459394872546199e-27,3.8882479817444922e-33,4.8451349720433152e-34,1.6093707696638507e-21,4.8234172417162103e-61,4.6034520698348941e-61,4.6034520702208431e-61,1.2556482872631563e-29,1.8923376470901028e-17
1.0615907848112307e-15,0.8171427229304464,154.0,0.0,0.0,0.0,0.9999999998814747,1.0,19.0,1.7060600385361467e-11,4.3748034861472128e-11,4.3748006319212285e-11,5.5434266863374598e-17,1.4247986991487709e-17,1.3952076584756238e-11,5.3268595612561443e-15,5.1401698893919642e-15,6.0047618732883476e-15,3.7887219976365819e-17,9.5240689307218129e-25,3.8594307159829251e-20,4.7746187831211346e-25,1.6293976459366942e-20,1.8927153327875709e-26,1.8927164252218634e-26,9.713719059639225e-33,1.2106238693194776e-33,2.7371226131480657e-21,2.2172629720202673e-60,2.116147807999063e-60,2.116147808199196e-60,2.6272443538185951e-29,2.523237973084912e-17
1.3269893809387486e-15,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999985184329,1.0,19.0,2.1325764941661013e-11,5.4685069435850594e-11,5.4685029579775848e-11,8.4691071660783866e-17,1.8513062488726908e-17,1.7436892432240058e-11,8.1373090098734185e-15,6.4244706959975011e-15,9.1728723710253116e-15,5.7880481986809622e-17,1.5029153865518401e-24,5.8963349458330813e-20,7.373954968303961e-25,2.4893533079360098e-20,3.445619495232795e-26,3.4456218125202142e-26,2.0604498667058929e-32,2.5683755274106638e-33,4.1817091858931809e-21,8.1861915136538939e-60,7.812871749010215e-60,7.8128717498131128e-60,4.782809963202358e-29,3.1542016660072157e-17
1.5923879770662665e-15,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999982221188,1.0,19.0,2.5590929496882808e-11,6.5622099538885052e-11,6.5622046303790695e-11,1.2048153192601022e-16,2.2785367757931741e-17,2.0920345004359102e-11,1.1574768471795509e-14,7.7084550927475772e-15,1.3047786901960049e-14,8.2336885555240011e-17,2.1882764749039927e-24,8.3881186248600818e-20,1.057061697714122e-24,3.5413555419471636e-20,5.7150450185840728e-26,5.7150494295944393e-26,3.9220377455559718e-32,4.889726215626161e-33,5.9489037499438025e-21,2.5711954377960485e-59,2.4539396828048843e-59,2.4539396830808544e-59,7.9329757028652525e-29,3.7852298805126056e-17
2.123185169321302e-15,0.8171427229304463,154.0,0.0,0.0,0.0,0.99999999976294951,1.0,19.0,3.4121258604095142e-11,8.749614637711895e-11,8.7496060154630309e-11,2.1165096828222633e-16,3.1317958557027336e-17,2.7883165958585814e-11,2.0328125236867519e-14,1.0275475702150058e-14,2.2915105978566734e-14,1.4462663116437584e-16,3.9633049197946304e-24,1.4735449024416197e-19,1.8754243001824987e-24,6.2211349172832368e-20,1.323354129896205e-25,1.3233554873940391e-25,1.2069452261595259e-31,1.5055260819832887e-32,1.0450505801367808e-20,2.2314057842013431e-58,2.129645665557403e-58,2.1296456659369308e-58,1.836936224786581e-28,5.0474797520829721e-17
3.1847795538313733e-15,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999964442465,1.0,19.0,5.1181916805621041e-11,1.3124418667296409e-10,1.3124400962676939e-10,4.721847544314812e-16,4.8375154215604498e-17,4.1792521144791116e-11,4.5325576292045277e-14,1.5405734344368111e-14,5.1093761583150945e-14,3.2258308958686451e-16,9.1270691481898829e-24,3.2874034828853989e-19,4.2265194376148408e-24,1.3879121751113737e-19,4.4783556711120529e-25,4.4783628638296993e-25,6.3941068101984779e-31,7.9861083704962396e-32,2.3314723961283734e-20,4.6251598050804493e-57,4.4142359375962417e-57,4.4142359390673176e-57,6.2164116593059057e-28,7.5727516980479877e-17
4.246373938341445e-15,0.8171427229304464,154.0,0.0,0.0,0.0,0.99999999952590035,1.0,19.0,6.8242574989949027e-11,1.7499215582025584e-10,1.7499185479629201e-10,8.3697498932921763e-16,6.5428753022582201e-17,5.5680184520364458e-11,8.0299722313603343e-14,2.0530953085197303e-14,9.0518757901661873e-14,5.7167617690319611e-16,1.6442324155735808e-23,5.827088360032603e-19,7.5296705735329545e-24,2.4601587185726394e-19,1.0468723615484872e-24,1.046874546687648e-24,1.9423246228480948e-30,2.428145380883922e-31,4.1326819523138571e-20,2.8139594171897271e-56,2.6856327881115261e-56,2.6856327891725039e-56,1.4531739726918509e-27,1.0099053219665385e-16
6.369562707361587e-15,0.8171427229304463,154.0,0.0,0.0,0.0,0.99999999928885319,1.0,19.0,1.0236389130702353e-10,2.6248788093743309e-10,2.6248723230684921e-10,1.8792454777685763e-15,9.9537672481621228e-17,8.3390624843509979e-11,1.8009117085737619e-13,3.0766299862644904e-14,2.0300978167538832e-13,1.282991483059503e-15,3.752563744647661e-23,1.3083336575768276e-18,1.6988383344514163e-23,5.5237688081059551e-19,3.5694777777674031e-24,3.5694892902623252e-24,1.0230423523346917e-29,1.2820713989236975e-30,9.2790937736661287e-20,5.8920327207644668e-55,5.6233349968408191e-55,5.6233350006091371e-55,4.9548974510645115e-27,1.515474424998894e-16
