Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345),S(1398),S(1815),S(1443),C7H15(32),C7H15(31),S(1930)
0.0,0.31627843106119596,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.514050773566113e-20,0.31627843106119596,154.0,0.0,0.0,0.0,0.99999999999999933,1.0,19.0,6.45307931602416e-17,3.0276449828935901e-16,3.0276448460623682e-16,1.4146273683902918e-25,1.4143906971658578e-25,1.7612291390729278e-18,9.3293009155196225e-26,5.5044427727228361e-23,6.5381575399434433e-26,1.17015950075574e-25,6.9448631426161756e-37,2.5500849199882802e-29,1.1486819638797802e-36,4.735185525968634e-31,2.7263350936244425e-41,2.7263350947945417e-41,1.0537055306090964e-50,1.1639378000379944e-51,1.6619141100035521e-30,5.5897754951413659e-93,5.4866026853031812e-93,5.4866026853031837e-93,1.127905039447827e-41,1.9610023777336598e-23,7.3926587891853761e-40,1.5097684173861078e-42,4.2191249185704908e-42,6.0202718770593889e-42,2.4353821294839372e-58,2.1448927134364366e-46,1.5715714046295789e-74,1.7308401435615022e-58,2.6082673509478616e-58,1.1082320972507257e-65,1.7837999850529981e-76,2.0958751811713868e-86,2.6228046814949545e-89,7.4199660812971328e-70,1.1302819339181904e-99,1.6710820545729688e-102,2.9899724415525048e-101,7.0426445364230126e-94,2.4558191887284973e-89,3.5598735421277386e-41,1.6633042502310988e-50,2.9282058723988539e-53,1.2822020240739093e-52,5.1431081719953841e-58,4.401818316210018e-50,1.0702742869479052e-37,1.5864422277280232e-47,5.9043172424109122e-48,2.2819691663370271e-57,1.3793573463130883e-57,1.3247271641464206e-58,1.8680162118250864e-61,2.0046467903214709e-68,1.1670121223062599e-49,1.2566760900253536e-59,6.2166317406472594e-59,7.0810964607109452e-109,8.165555881496928e-62,5.6079732647626603e-70,5.5067786912238716e-81,7.1734830659520859e-85,1.2298916109878267e-25,5.6869173766277322e-24,2.4507429073325498e-34
2.663934216598512e-19,0.31627843106119596,154.0,0.0,0.0,0.0,0.99999999999999811,1.0,19.0,1.8068622084867266e-16,8.4774059437294249e-16,8.4774055643911574e-16,8.5443493005322878e-25,8.5415395795462302e-25,4.9314410614082283e-18,5.6348972495470281e-25,1.541243882281549e-22,3.9490468013144219e-25,7.0677632406988105e-25,8.2442547717595993e-36,1.5402512904030149e-28,1.3633327307355718e-35,2.8600520562334509e-30,3.2367050204182165e-40,3.2367050230356817e-40,2.357096676624037e-49,2.6036822282747157e-50,1.0037961216313066e-29,5.9563395510036455e-91,5.8464009160155325e-91,5.8464009160155401e-91,1.3390488639510453e-40,5.4908077345745585e-23,4.4651666425582785e-39,1.7923827961582816e-41,5.0089446934949877e-41,7.1472661876545561e-41,5.4478524064066493e-57,2.54641662727909e-45,6.4851334028909474e-73,3.8718199612231407e-57,4.9135020243493123e-57,4.5731505419580194e-64,1.3428000360614519e-74,2.8608591477620341e-84,3.5801152821996711e-87,2.5902160126664101e-68,2.7883953630775022e-97,4.1225444059487798e-100,7.3761904223585025e-99,9.6131746718284552e-92,3.3521809192516524e-87,2.1501636169493027e-40,1.9746748036095966e-49,3.4763658654931426e-52,1.5222264322932578e-51,1.0884918723453856e-56,5.2258382796035515e-49,6.4644566865589109e-37,1.8834242076851822e-46,7.0096054196542536e-47,5.1046733902137218e-56,3.0855670668680452e-56,2.9633616668205351e-57,4.1781769262620821e-60,8.2720464826276948e-67,1.3854767894857996e-48,2.4856551453365565e-58,1.3906305596830335e-57,1.3652634941212535e-106,1.8264299294826314e-60,2.1924571150991297e-68,3.9302719944258547e-79,5.1198328584644529e-83,3.443696510784032e-25,1.5923368653763323e-23,1.4802487159670822e-33
6.088992495082312e-19,0.31627843106119596,154.0,0.0,0.0,0.0,0.99999999999999567,1.0,19.0,4.1299707622551937e-16,1.9376927831921612e-15,1.9376926982714839e-15,4.1137363804613664e-24,4.1109784652874881e-24,1.1271862794095653e-17,2.7129599510930044e-24,3.5228427159767725e-22,1.9012956833985207e-24,3.4028236124005067e-24,8.0928039230108869e-35,7.4156469282806621e-28,1.3377186554847616e-34,1.3769919487742713e-29,3.1778161766572126e-39,3.1778161818288792e-39,4.6572238947950355e-48,5.1444370098656134e-49,4.8328462197297838e-29,1.3555235166385605e-88,1.330504055636272e-88,1.3305040556362751e-88,1.314686115235502e-39,1.2550422755937596e-22,2.149786276641324e-38,1.7597418342604155e-40,4.9178107346070955e-40,7.0172270870506506e-40,1.0764038304169465e-55,2.5000869402332478e-44,2.5654542797257897e-71,7.6500628815338927e-56,8.6727942003038339e-56,1.8090926653099264e-62,1.0617114885235286e-72,4.5194557698275291e-82,5.655704049849443e-85,9.1410336228712385e-67,8.8021341150690042e-95,1.30136455175164e-97,2.3284121303961502e-96,1.5186458398868499e-89,5.2956236623906684e-85,1.035211222307436e-39,1.938747427049406e-48,3.4131163115913175e-51,1.4945228661926859e-50,2.0809709005939817e-55,5.1307581106336562e-48,3.1123576165362555e-36,1.8491570449125995e-45,6.8820721450954056e-46,1.0085972868125921e-54,6.0965599452433804e-55,5.8551032400132276e-56,8.253209580328333e-59,3.2721778998106572e-65,1.3602693232634786e-47,3.9160424859490136e-57,2.7476296169565708e-56,6.1954633397488195e-104,3.6079731055157084e-59,8.3878674135878173e-67,3.0044309233274386e-77,3.9137849815076597e-81,7.8713063104489101e-25,3.6396271204857198e-23,7.1267603735963877e-33
1.2939109052049914e-18,0.31627843106119596,154.0,0.0,0.0,0.0,0.99999999999999079,1.0,19.0,8.776187869791514e-16,4.1175971474476226e-15,4.1175969746026589e-15,1.7965767508108368e-23,1.7941388868407177e-23,2.3952697811543424e-17,1.1848204359598303e-23,7.4860388780745609e-22,8.3034546071541076e-24,1.486102342972677e-23,7.155407701790789e-34,3.2386078287119259e-27,1.1817594983293918e-33,6.0136855954802856e-29,2.8107424103330398e-38,2.8107424195357394e-38,8.2872741739240749e-47,9.1542496658714156e-48,2.1106309071429255e-28,2.2907748039827904e-86,2.2484930212109396e-86,2.2484930212109496e-86,1.1628249800671355e-38,2.6669670029388546e-22,9.3886880362264919e-38,1.5564179612976995e-39,4.3497463580451458e-39,6.2066556873899326e-39,1.9154031008621179e-54,2.2112985780971476e-43,9.1559240826418642e-70,1.3612874913503527e-54,1.4517474629773661e-54,6.4565217071590992e-61,7.5886680086871316e-71,6.4649326277446844e-80,8.0902983685560269e-83,3.064947611688963e-65,2.5190573080244157e-92,3.7243375850654357e-95,6.663434229360405e-94,2.1723729259220875e-87,7.5752152351387568e-83,4.5210393598309979e-39,1.7148001350797192e-47,3.0188621743330377e-50,1.3218741915601807e-49,3.6413372629607739e-54,4.5380958419339827e-47,1.3592483341882104e-35,1.6355584460745389e-44,6.0871148356642781e-45,1.7947444322049701e-53,1.0848500481036413e-53,1.0418843219700736e-54,1.4678415093807701e-57,1.1677014565688664e-63,1.2031428041222775e-46,4.942222637831993e-56,4.8891813484607342e-55,2.0955928115124159e-101,6.4175347503247268e-58,2.9426122182936484e-65,2.110468105404371e-75,2.7492652871956813e-79,1.6726525910068534e-24,7.7342076294335708e-23,3.1124434913547813e-32
2.6639342165985114e-18,0.31627843106119596,154.0,0.0,0.0,0.0,0.99999999999998113,1.0,19.0,1.8068622084861692e-15,8.4774058224970309e-15,8.4774054979307712e-15,7.5003542438022301e-23,7.4798884557710599e-23,4.9314334054775705e-17,4.9463883226130394e-23,1.5412425181104082e-21,3.466526205964853e-23,6.2041836661824546e-23,6.010205989505817e-33,1.3520550068843294e-26,9.9093030358281882e-33,2.5105953456186769e-28,2.3625983384972937e-37,2.362598354018968e-37,1.3977675860290125e-45,1.5439976271494818e-46,8.8114684982624494e-28,3.3541988787909114e-84,3.2922890358343036e-84,3.2922890358343328e-84,9.7742446005489123e-38,5.4908233499189275e-22,3.9195979264125513e-37,1.3081726432019561e-38,3.6562213079157565e-38,5.2170643773591242e-38,3.2306072795628272e-53,1.85872968225393e-42,3.0935798025731419e-68,2.2960092290004832e-53,2.3720480238754361e-53,2.1815117358824349e-59,5.1322174537516583e-69,8.7479892031532235e-78,1.0947344209241186e-80,1.0023574898110006e-63,6.8186674486565877e-90,1.0081159911934328e-92,1.8035823219733976e-91,2.9395350595190677e-85,1.0250362210325262e-80,1.8874449172493501e-38,1.4413928236546227e-46,2.5375346307747773e-49,1.1110907524754077e-48,6.0900293817859855e-53,3.8145402993848451e-46,5.6745941773292314e-35,1.3747853915699822e-43,5.1165867288312202e-44,3.0270969523797689e-52,1.8297574275000065e-52,1.7572901404021153e-53,2.4731244763957487e-56,3.9446182212142818e-62,1.0113140087743672e-45,5.256400084466746e-55,8.246053214191722e-54,6.1396317840700883e-99,1.0815142381395318e-56,9.8565566205210524e-64,1.4147996196916581e-73,1.8430580559363575e-77,3.4436965110467293e-24,1.592336864224558e-22,1.2993838886059164e-31
5.4039808393855515e-18,0.31627843106119596,154.0,0.0,0.0,0.0,0.99999999999996181,1.0,19.0,3.6653490514992227e-15,1.7197022959310101e-14,1.7197022427250034e-14,3.0641394113475076e-22,3.0474031082839366e-22,1.0003747137494734e-16,2.0207579495468359e-22,3.1265173702535477e-21,1.4161869087373555e-22,2.5346105860060021e-22,4.92041895845232e-32,5.523585790496241e-26,8.0850044227412092e-32,1.0256601085220005e-27,1.9370008316719182e-36,1.9370008571662361e-36,2.2958297937144549e-44,2.5360194894724548e-45,3.5997723433103234e-27,4.5865831393530237e-82,4.5019266678337331e-82,4.5019266678338156e-82,8.0135162385022528e-37,1.1138563613038098e-21,1.6012881311061563e-36,1.0723706944254834e-37,2.9975868674956018e-37,4.2772584992479334e-37,5.3062821206443822e-52,1.5238988713404221e-41,1.0171013485082648e-66,3.7711984548327871e-52,3.8335451994533249e-52,7.1723265644706733e-58,3.3761409108028271e-67,1.151185123058459e-75,1.4406076063202393e-78,3.2410546140915667e-62,1.7947837251175187e-87,2.653524607222306e-90,4.7468047713590886e-89,3.8682597606318333e-83,1.3488887803170039e-78,7.7108281929546813e-38,1.1817408986359216e-45,2.0804226818083781e-48,9.1089971953070654e-48,9.9604559293604006e-52,3.1273861802429288e-45,2.318256838637156e-34,1.1271320723590474e-42,4.194886822129396e-43,4.9720097306178337e-51,3.0053796261285872e-51,2.8863541563836184e-52,4.0535836364316892e-55,1.2963908467449888e-60,8.291363044245835e-45,4.9544547500669906e-54,1.3543294209346927e-52,1.6794939275630352e-96,1.7734513940482059e-55,3.2264592401880423e-62,9.2654980024732399e-72,1.2070500985382155e-75,6.9857843515902849e-24,3.2301690647534819e-22,5.308407159702008e-31
1.0884074084959632e-17,0.31627843106119596,154.0,0.0,0.0,0.0,0.99999999999992306,1.0,19.0,7.3823227375213966e-15,3.463625638423304e-14,3.4636255816540744e-14,1.2385741189838896e-21,1.2250895848094527e-21,2.0148320535300048e-16,8.1682018478176264e-22,6.2970574407180438e-21,5.724436480577858e-22,1.0245294131581235e-21,3.973213295081472e-31,2.2327216288137976e-25,6.4847713558070149e-31,4.1458820758600798e-27,1.5686334476147513e-35,1.568633488941887e-35,3.7216141835884389e-43,4.1109928260445103e-44,1.4550854968259426e-26,6.0661949874016238e-80,5.9542287049787841e-80,5.9542287049790036e-80,6.4895531815324531e-36,2.2434154415908485e-21,6.4726989081260649e-36,8.6819352812672323e-37,2.4275166626117476e-36,3.463824981942243e-36,8.6017118610046746e-51,1.2340927804302815e-40,3.2989437979530427e-65,6.1132635407528023e-51,6.1637712690527172e-51,2.3263225587733285e-56,2.1905513248567502e-65,1.494013465693662e-73,1.8696273239970251e-76,1.0424045895049334e-60,4.6588067518142504e-85,6.8878820047769859e-88,1.2318832054265237e-86,5.0202469906663876e-81,1.7505942028873981e-76,3.1168399185077001e-37,9.5700438048638618e-45,1.6847777647666219e-47,7.3760606399455561e-47,1.6111211544789513e-50,2.5326312497291593e-44,9.3707644748320622e-34,9.1278068983175677e-42,3.3971279316458082e-42,8.0598222444200043e-50,4.8718419646772203e-50,4.6789038987219229e-51,6.5435467789360228e-54,4.2014866512084885e-59,6.714560422856539e-44,4.3307128277845388e-53,2.1951433839343387e-51,4.4431372210983703e-94,2.8653589443315017e-54,1.0441491288895513e-60,5.9977567802099929e-70,7.8139436011702049e-74,1.4069960034532685e-23,6.5058334576774237e-22,2.1457430450271683e-30
2.1844260576107792e-17,0.31627843106119585,154.0,0.0,0.0,0.0,0.99999999999984568,1.0,19.0,1.4816270109550016e-14,6.951471987411265e-14,6.9514720717731054e-14,4.980251877380826e-21,4.8728111033076047e-21,4.0437251068299798e-16,3.2843780331606096e-21,1.2638099046594081e-20,2.3017567121038379e-21,4.1195819968663192e-21,3.1796777119057644e-30,8.977674974350706e-25,5.1213699310339682e-30,1.6670408907677932e-26,1.2625725925988099e-34,1.2625726591540745e-34,5.993464885454941e-42,6.620614163834873e-43,5.8508344686852989e-26,7.8922852415171728e-78,7.746614052247056e-78,7.7466140522476245e-78,5.2233569258315596e-35,4.502577712814517e-21,2.602672921822962e-35,6.9841154235440333e-36,1.9538654912350974e-35,2.7879718413754832e-35,1.3852791390347081e-49,9.9330517686288869e-40,1.0627986587811356e-63,9.8451848936522337e-50,9.8858945508857361e-50,7.4945298438208651e-55,1.4115774844092414e-63,1.9255695483882485e-71,2.4096820539604147e-74,3.3440409557201796e-59,1.2009394020674432e-82,1.7755467352761796e-85,3.1741480178241757e-84,6.4703832320663327e-79,2.2562654022990472e-74,1.2532675248353127e-36,7.7028032218241221e-44,1.3560517554346621e-46,5.9358629647931726e-46,2.5915765786763208e-49,2.0384704354048633e-43,3.7679429221216991e-33,7.3468517239323168e-41,2.7343038195239543e-41,1.2980031525698726e-48,7.8459257872981258e-49,7.5352286528379497e-50,1.045073087512021e-52,1.3514269055653135e-57,5.4044618396721387e-43,3.6278539218587862e-52,3.5342996658827459e-50,1.1562015599204227e-91,4.5843261406898555e-53,3.3597582571991887e-59,3.8597073193473844e-68,5.029045628546716e-72,2.8238311407839079e-23,1.3057162210989734e-21,8.627938386297426e-30
4.376463355840411e-17,0.31627843106119596,154.0,0.0,0.0,0.0,0.99999999999969091,1.0,19.0,2.9684164853544332e-14,1.3927163368242832e-13,1.39271643010548e-13,1.997303605215349e-20,1.9127954439234498e-20,8.1014247102296764e-16,1.3171664433026043e-20,2.5320028120007761e-20,9.2309614521205986e-21,1.6521320542575125e-20,2.5225891196030322e-29,3.6004488092278942e-24,3.9603834778373043e-29,6.6855791115644304e-26,1.0131348726492747e-33,1.013134979482603e-33,9.6205815836447528e-41,1.0627510089269116e-41,2.3464460566036361e-25,1.018457408685872e-75,9.9965931696054609e-76,9.99659316960693e-76,4.1914148923124118e-34,9.0210786978347128e-21,1.0438116370838317e-34,5.5981256287730052e-35,1.5678361798773474e-34,2.2371463854159426e-34,2.2236796873471443e-48,7.9706475885720105e-39,3.4124234148785757e-62,1.5803581495182377e-48,1.5836429598133272e-48,2.4063182763743582e-53,9.0649810861616805e-62,2.4732222177811796e-69,3.0950215125690046e-72,1.071421792325639e-57,3.0850406855387871e-80,4.5611245679485445e-83,8.146849773363e-82,8.3106382508435772e-77,2.8979715336209406e-72,5.0261625347534766e-36,6.1810135154092697e-43,1.0881397758527726e-45,4.7615002657253448e-45,4.1567454491909221e-48,1.6357256474303277e-42,1.5111134320018373e-32,5.8953836321280048e-40,2.1941061635602662e-40,2.0835620680102064e-47,1.2594366632507457e-47,1.2095704922480978e-48,1.6501755688541795e-51,4.3254834696320629e-56,4.3367394023951817e-42,2.9712036743969199e-51,5.6704109487844241e-49,2.9841279122658704e-89,7.2636108653159648e-52,1.0778757048208552e-57,2.4760880990559117e-66,3.2269842014991371e-70,5.6575014184142017e-23,2.6159819587472364e-21,3.4601891671906118e-29
