Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20)
4.773605564350602e-14,0.5550052923771611,154.0,0.0,0.0,0.0,0.99999998159015069,1.0,18.999999999999432,1.6586822033468747e-09,6.828095215110984e-09,6.8275373974811198e-09,5.6088879503078836e-13,3.0711651665932315e-15,3.0411680576853044e-09,5.1754135139697989e-11,2.048076960272282e-12
5.996191978989072e-14,0.55500529237716,154.0,0.0,0.0,0.0,0.99999997687592523,1.0,18.999999999999105,2.0834936384790856e-09,8.5768648048798705e-09,8.5759837369247783e-09,8.8492785286944867e-13,3.8598977789058253e-15,3.802873409917278e-09,8.141377497504623e-11,2.5563084863748542e-12
7.096519752163696e-14,0.555005292377159,154.0,0.0,0.0,0.0,0.99999997263339346,1.0,18.999999999998753,2.4658239229793567e-09,1.0150757421574862e-08,1.0149522556357847e-08,1.2394349741811295e-12,4.5697571665688172e-15,4.4825228120427178e-09,1.1372731281291095e-10,3.0081704575371065e-12
8.19684752533832e-14,0.5550052923771575,154.0,0.0,0.0,0.0,0.99999996839111638,1.0,18.999999999998337,2.8481542007356783e-09,1.1724650024915701e-08,1.1723001809549475e-08,1.6534949827481415e-12,5.2796165219659244e-15,5.1566435875554176e-09,1.5132002280905057e-10,3.4548405426183599e-12
9.297175298512944e-14,0.5550052923771561,154.0,0.0,0.0,0.0,0.99999996414909187,1.0,18.999999999997861,3.2304844717481503e-09,1.3298542614903123e-08,1.3296421506171918e-08,2.1270982071123851e-12,5.9894759062370652e-15,5.8252807222531323e-09,1.9414894892426591e-10,3.8963784206218977e-12
1.0397503071687568e-13,0.5550052923771543,154.0,0.0,0.0,0.0,0.99999995990731783,1.0,18.999999999997325,3.6128147360168669e-09,1.4872435191537951e-08,1.4869781655895871e-08,2.6602349773701591e-12,6.6993352874637938e-15,6.4884788301590063e-09,2.4217149011950012e-10,4.3328430736337352e-12
1.1497830844862192e-13,0.5550052923771526,154.0,0.0,0.0,0.0,0.99999995566579236,1.0,18.999999999996735,3.9951449935419241e-09,1.6446327754820995e-08,1.644308226839037e-08,3.2528956252680658e-12,7.4091946448494167e-15,7.1462821578749304e-09,2.9534539619890889e-10,4.7642927976587805e-12
1.369848639121144e-13,0.555005292377148,154.0,0.0,0.0,0.0,0.99999994718347884,1.0,18.999999999995371,4.7598054883614391e-09,1.9594112841334771e-08,1.9589504920359586e-08,4.6167498885314749e-12,8.8289133480161287e-15,8.4458797711209673e-09,4.1697991408680199e-10,5.6123775065013994e-12
1.5899141937560688e-13,0.5550052923771431,154.0,0.0,0.0,0.0,0.99999993870213455,1.0,18.999999999993769,5.5244659562074446e-09,2.2741897874450669e-08,2.273568953940006e-08,6.218583682563925e-12,1.0248631952000617e-14,9.7244204513138812e-09,5.5872126490659183e-10,6.4410857677518848e-12
1.8099797483909936e-13,0.5550052923771371,154.0,0.0,0.0,0.0,0.99999993022174427,1.0,18.999999999991928,6.2891263970806735e-09,2.5889682854174375e-08,2.5881636202805786e-08,8.0583197194118063e-12,1.1668350822582116e-14,1.0982245193619022e-08,7.2024383918993689e-10,7.2508599293386023e-12
2.0300453030259184e-13,0.5550052923771307,154.0,0.0,0.0,0.0,0.99999992174229224,1.0,18.99999999998985,7.0537868109818522e-09,2.9037467780512784e-08,2.9027344987845643e-08,1.0135880736152845e-11,1.3088069004016122e-14,1.2219689463853148e-08,9.0122730733293935e-10,8.042132233428154e-12
2.2501108576608433e-13,0.5550052923771234,154.0,0.0,0.0,0.0,0.99999991326376303,1.0,18.999999999987534,7.8184471979116911e-09,3.2185252653469522e-08,3.2172815971764336e-08,1.2451189493932226e-11,1.4507788737799605e-14,1.3437083519175244e-08,1.1013563133749204e-09,8.8153254839015801e-12
2.470176412295768e-13,0.5550052923771154,154.0,0.0,0.0,0.0,0.99999990478614165,1.0,18.999999999984979,8.5831075578708934e-09,3.5333037473055749e-08,3.5318049231781981e-08,1.5004168778391066e-11,1.5927504618700502e-14,1.4634752418214453e-08,1.3203204653274532e-09,9.5708531121317155e-12
2.753170063034985e-13,0.5550052923771038,154.0,0.0,0.0,0.0,0.99999989388564126,1.0,18.999999999981345,9.5664237268909027e-09,3.9380936300525404e-08,3.9362317670540183e-08,1.8636383179533696e-11,1.7753194315571675e-14,1.6146418373075065e-08,1.6290910839167327e-09,1.0517108784221208e-11
3.0361637137742026e-13,0.5550052923770908,154.0,0.0,0.0,0.0,0.99999988298658682,1.0,18.999999999977316,1.0549739851312915e-08,4.3428835039743185e-08,4.3406193283804732e-08,2.2661334831876679e-11,1.9578893416290733e-14,1.7626660626019251e-08,1.9678675482539501e-09,1.1435654112012868e-11
3.31915736451342e-13,0.5550052923770771,154.0,0.0,0.0,0.0,0.99999987208894781,1.0,18.9999999999729,1.1533055931138333e-08,4.7476733690742524e-08,4.7449676235601414e-08,2.7078859721176624e-11,2.1404580069654832e-14,1.9076132235320527e-08,2.3360262660455766e-09,1.23273002575235e-11
3.6021510152526375e-13,0.5550052923770616,154.0,0.0,0.0,0.0,0.99999986119269468,1.0,18.99999999996809,1.2516371966368546e-08,5.1524632253528159e-08,5.1492766689888008e-08,3.1888793901013863e-11,2.3230260876133379e-14,2.0495472725226874e-08,2.7329565683685813e-09,1.3192834665441375e-11
3.885144665991855e-13,0.5550052923770451,154.0,0.0,0.0,0.0,0.99999985029779848,1.0,18.999999999962888,1.3499687957004895e-08,5.5572530728090344e-08,5.5535464810553941e-08,3.7090973493069727e-11,2.5055956664061357e-14,2.1885308578242357e-08,3.1580602396005313e-09,1.4033022298684095e-11
4.1681383167310723e-13,0.5550052923770273,154.0,0.0,0.0,0.0,0.99999983940423054,1.0,18.999999999957289,1.4483003903048704e-08,5.9620429114452318e-08,5.9577770761419832e-08,4.2685234687575775e-11,2.6881655086491609e-14,2.3246253062404973e-08,3.610751682348574e-09,1.4848605266046545e-11
4.45113196747029e-13,0.5550052923770084,154.0,0.0,0.0,0.0,0.99999982851196334,1.0,18.999999999951303,1.5466319804501269e-08,6.3668327412650516e-08,6.3619684706237624e-08,4.8671413743221903e-11,2.8707330317854626e-14,2.4578906741608922e-08,4.0904574301528385e-09,1.5640304054113537e-11
4.734125618209507e-13,0.5550052923769881,154.0,0.0,0.0,0.0,0.99999981762096923,1.0,18.999999999944926,1.6449635661363856e-08,6.7716225622674213e-08,6.7661206808690511e-08,5.5049346987207184e-11,3.0533003487764296e-14,2.5883857822632717e-08,4.5966158161162855e-09,1.6408818366072946e-11
5.017119268948725e-13,0.5550052923769668,154.0,0.0,0.0,0.0,0.99999980673122213,1.0,18.999999999938151,1.7432951473637705e-08,7.1764123744499254e-08,7.1702337232393184e-08,6.1818870815107142e-11,3.2358709008494731e-14,2.7161682135457261e-08,5.1286769916985117e-09,1.7154827062587033e-11
5.300112919687942e-13,0.5550052923769441,154.0,0.0,0.0,0.0,0.99999979584269549,1.0,18.999999999930989,1.8416267241324024e-08,7.5812021778183979e-08,7.5743076140891718e-08,6.8979821690775606e-11,3.4184398477999527e-14,2.8412943504953271e-08,5.6861025717989322e-09,1.7878989036453981e-11
5.583106570427159e-13,0.55500529237692,154.0,0.0,0.0,0.0,0.9999997849553639,1.0,18.999999999923435,1.9399582964424012e-08,7.985991972372316e-08,7.9783423697663762e-08,7.6532036146324249e-11,3.6010086903170895e-14,2.9638194113525254e-08,6.2683652884752615e-09,1.8581944067179153e-11
5.958652789899119e-13,0.5550052923768863,154.0,0.0,0.0,0.0,0.99999977050915245,1.0,18.999999999912806,2.0704490272100975e-08,8.5231675336500942e-08,8.514455572876032e-08,8.7158040621934412e-11,3.8432881313848708e-14,3.1224923128888784e-08,7.0785231770870725e-09,1.9483115678445647e-11
6.334199009371079e-13,0.5550052923768506,154.0,0.0,0.0,0.0,0.99999975606494451,1.0,18.999999999901487,2.2009397501263569e-08,9.0603430794141449e-08,9.0504999236639444e-08,9.8472413122476227e-11,4.0855620465890606e-14,3.2768029960589644e-08,7.9303349832688458e-09,2.0349434774584216e-11
6.709745228843038e-13,0.5550052923768124,154.0,0.0,0.0,0.0,0.99999974162268468,1.0,18.999999999889486,2.3314304651914372e-08,9.5975186096637602e-08,9.586475460279138e-08,1.1047477217891624e-10,4.3278332707853912e-14,3.4268713853542626e-08,8.8226555720192047e-09,2.1182249241993023e-11
7.085291448314998e-13,0.5550052923767721,154.0,0.0,0.0,0.0,0.99999972718231867,1.0,18.999999999876792,2.4619211724055894e-08,1.0134694124378835e-07,1.0122382220849447e-07,1.2316473653354797e-10,4.5701239670803688e-14,3.5728141084960306e-08,9.7543712885367889e-09,2.1982854840296489e-11
7.460837667786958e-13,0.5550052923767297,154.0,0.0,0.0,0.0,0.99999971274379473,1.0,18.999999999863409,2.5924118717690578e-08,1.0671869623580845e-07,1.0658220243481514e-07,1.3654192514000393e-10,4.8124146700205037e-14,3.7147445815571677e-08,1.0724399145408494e-08,2.2752497094102263e-11
7.836383887258917e-13,0.555005292376685,154.0,0.0,0.0,0.0,0.99999969830706159,1.0,18.999999999849347,2.7229025632820793e-08,1.1209045107320411e-07,1.119398956626082e-07,1.5060595716294357e-10,5.0546567040880838e-14,3.8527731133493342e-08,1.1731685825837821e-08,2.3492373603240152e-11
8.211930106730877e-13,0.5550052923766383,154.0,0.0,0.0,0.0,0.99999968387206928,1.0,18.999999999834596,2.8533932469448851e-08,1.1746220575530943e-07,1.1729690227251678e-07,1.6535645197821923e-10,5.2969185570954181e-14,3.9870069713273274e-08,1.2775207054337066e-08,2.4203635455487617e-11
8.587476326202837e-13,0.5550052923765894,154.0,0.0,0.0,0.0,0.99999966943877028,1.0,18.999999999819153,2.9838839227576999e-08,1.2283396028123883e-07,1.2265322264497281e-07,1.8079302917239544e-10,5.5392906358222398e-14,4.1175504881638496e-08,1.3853966579066241e-08,2.4887389536802532e-11
8.963022545674796e-13,0.5550052923765382,154.0,0.0,0.0,0.0,0.99999965500711718,1.0,18.999999999803027,3.1143745907207417e-08,1.2820571465308479e-07,1.2800885716019641e-07,1.9691530854314009e-10,5.7815654768642375e-14,4.2445051076358565e-08,1.4966995733673498e-08,2.5544699467252652e-11
9.338568765146756e-13,0.5550052923764848,154.0,0.0,0.0,0.0,0.99999964057706503,1.0,18.999999999786215,3.2448652508342207e-08,1.3357746887217893e-07,1.3336380619819717e-07,2.1372291009840479e-10,6.0236116673402538e-14,4.3679695096024714e-08,1.611335224390592e-08,2.6176588278026918e-11
9.714114984618716e-13,0.5550052923764291,154.0,0.0,0.0,0.0,0.99999962614856908,1.0,18.999999999768718,3.3753559030983473e-08,1.3894922293285453e-07,1.3871807013877298e-07,2.3121545405726055e-10,6.2659975674580967e-14,4.4880396260034187e-08,1.729212007484379e-08,2.6784038672287661e-11
1e-12,0.5550052923763719,154.0,0.0,0.0,0.0,0.99999961516587588,1.0,18.999999999754948,3.4746920652517245e-08,1.4303847712619965e-07,1.4279355102257064e-07,2.4499061001140949e-10,6.4506382381922504e-14,4.5772253660715708e-08,1.8210635649106172e-08,2.7230662540992086e-11
1.0089661204090677e-12,0.5550052923763719,154.0,0.0,0.0,0.0,0.99999961172158647,1.0,18.999999999750543,3.5058465475133187e-08,1.4432097683801846e-07,1.4407164936151095e-07,2.4939256084892738e-10,6.5084341454997659e-14,4.6048087712271178e-08,1.8502408186041668e-08,2.7367995781592208e-11
1.0465207423562638e-12,0.5550052923763118,154.0,0.0,0.0,0.0,0.99999959729607524,1.0,18.999999999731678,3.6363371840793307e-08,1.496927305955159e-07,1.4942454424578783e-07,2.6825385111281773e-10,6.7501384768402239e-14,4.7183677023618409e-08,1.9743349956202076e-08,2.7929368351693442e-11
1.0840753643034598e-12,0.55500529237625,154.0,0.0,0.0,0.0,0.99999958287199509,1.0,18.999999999712127,3.7668278127965753e-08,1.550644841929873e-07,1.5477675517076975e-07,2.8779894569839349e-10,6.9923480867848322e-14,4.8288046934785736e-08,2.1014102473863392e-08,2.8469030253470362e-11
1.1216299862506559e-12,0.5550052923761858,154.0,0.0,0.0,0.0,0.99999956844930571,1.0,18.999999999691902,3.8973184336652332e-08,1.6043623761800824e-07,1.6012828251541185e-07,3.0802746566559827e-10,7.2363069226299218e-14,4.9362055666554939e-08,2.2313846241153262e-08,2.8987821006650229e-11
