Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368)
1.949014496176045e-20,0.7821887295635163,154.0,0.0,0.0,0.0,0.99999999999956179,1.0,19.0,1.0283473526385495e-14,3.9983104832267592e-14,3.9982805039754175e-14,1.4695315511395435e-24,1.4692188522168277e-24,3.4588173545004266e-13,3.7652289532575283e-21,2.0801204525009726e-15,7.3021746019810298e-21,8.1072383387591498e-25,1.4245735498144786e-35,8.1014917354165978e-26,1.56874284927166e-35,2.026896205469058e-26,3.6673475063801747e-36,3.6673475064483095e-36,5.9508611943652463e-47,8.6271690096622742e-48,3.5178238066463335e-28,2.4034086537264177e-84,2.2239711524590073e-84,2.2239711524597982e-84,1.3256522526017786e-40,2.9979330425963542e-19,1.8801970898136598e-35,1.7860546247913837e-40,4.2937517890002048e-35,2.2139923290310085e-35,9.7433446743958488e-53,4.1370312427206505e-42,5.1755891551560147e-67,4.5565587489899545e-54,1.8552674680479371e-50,7.3029806101766495e-61,5.4986884928955057e-72,3.18165452070843e-83,2.0451942557859003e-83,3.9114915644087078e-63,3.6678116658028703e-95,2.5217930396397599e-99,1.5703903143153206e-95,5.6378362117473449e-89,3.16274732561759e-86,3.7266086317533834e-34,1.1742671655027926e-44,3.1050263346426693e-44,9.0738474988316287e-45,5.0146932043791078e-48,3.0532407928387017e-41,7.3289164761148859e-31,9.6995900069925664e-41
3.899722315111583e-20,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999999912326,1.0,19.0,2.0575881434628528e-14,8.0000947370465767e-14,8.0000347526556646e-14,5.8819559097663176e-24,5.8794088373916208e-24,6.9206395379968024e-13,1.5070727862562812e-20,4.1620480442338451e-15,2.9227727609012584e-20,3.2450080799229507e-24,1.13926364192867e-34,3.2427079476585968e-25,1.2520948512664115e-34,8.1128670640765833e-26,2.9361079087419245e-35,2.93610790885103e-35,9.5291303043321146e-46,1.3814710422784612e-46,1.4080462940764336e-27,3.0826103866687874e-82,2.8524639634905016e-82,2.8524639634925311e-82,1.0613278650292793e-39,5.99847073267371e-19,7.5256883226117002e-35,1.4299249784799243e-39,3.4376121265049918e-34,1.772540019140551e-34,1.560204613039245e-51,3.3121404861142199e-41,1.6575821212109147e-65,7.2964296601912995e-53,1.4857069030844386e-49,2.3389198671970814e-59,3.5221690344733372e-70,4.0760268520290404e-81,2.6201043047512203e-81,6.2649716932102067e-62,9.3977202118769145e-93,6.4613748210350597e-97,4.0236728216248933e-93,7.2226484235100656e-87,4.0518047905366278e-84,1.4916146346825928e-33,9.4012773631892684e-44,2.4859088867706566e-43,7.2645912857062026e-44,4.5412965932894792e-47,2.4444477138745482e-40,2.9334765605461916e-30,7.7655697281815432e-40
7.801137952982659e-20,0.7821887295635167,154.0,0.0,0.0,0.0,0.99999999999824607,1.0,19.0,4.1160697251092791e-14,1.6003663243303376e-13,1.6003543249106865e-13,2.3535485205106451e-23,2.3514932920734811e-23,1.3844283229161519e-12,6.0302538618794092e-20,8.3259029586082112e-15,1.1694897479108902e-19,1.298425863535453e-23,9.097446223876011e-34,1.2975055163694212e-24,9.9594343435556012e-34,3.2462035740961817e-25,2.3497786690892525e-34,2.3497786692638931e-34,1.5252811069989878e-44,2.2112532281258436e-45,5.6340192421427625e-27,3.9497445176074026e-80,3.6548582170604485e-80,3.65485821706565e-80,8.4938485560926064e-39,1.1999546155091863e-18,3.0112556180135999e-34,1.1443670129362091e-38,2.7511343182896176e-33,1.4185706524570816e-33,2.4973434606969288e-50,2.6507190157331131e-40,5.3064937282881052e-64,1.1679035553577297e-51,1.1896010354663989e-48,7.4876892042746038e-58,2.2551508733829911e-68,5.2195602137326359e-79,3.3551771583182284e-79,1.00328011413639e-60,2.406856062331072e-90,1.6548268096692983e-94,1.0305033385979873e-90,9.248969755400756e-85,5.188542631717623e-82,5.9684014547126262e-33,7.5238791180016729e-43,1.9894823559593538e-42,5.8138744819846315e-43,4.4771246954556012e-46,1.9562988133861053e-39,1.1737727267107307e-29,6.2148158282767911e-39
1.560396922872481e-19,0.7821887295635164,154.0,0.0,0.0,0.0,0.9999999999964917,1.0,19.0,8.2330328883934098e-14,3.2010800250291075e-13,3.2010560238372073e-13,9.4157265917357399e-23,9.3992246634999314e-23,2.7691567908179358e-12,2.412493942172804e-19,1.6653611710991565e-14,4.6787199956941264e-19,5.1945485357510264e-23,7.2473380447742439e-33,5.1908665905583359e-24,7.8729474893470754e-33,1.2986928085955487e-24,1.8801799471474711e-33,1.8801799474269532e-33,2.4409453251435096e-43,3.5387247087339369e-44,2.2539745626419231e-26,5.0582366233562858e-78,4.680590758489391e-78,4.6805907585027146e-78,6.7963693834644146e-38,2.4001697168981953e-18,1.2046983465345734e-33,9.1565539246142915e-38,2.2013252186125801e-32,1.1350719340986891e-32,3.996562606849499e-49,2.120977949053388e-39,1.6984350400360374e-62,1.8690247345081863e-50,9.5279610996788539e-48,2.3965628490846315e-56,1.443604029029359e-66,6.6824716939128547e-77,4.295548952239227e-77,1.6071003773650302e-59,6.1628798256138864e-88,4.2372699459104486e-92,2.6386467646575956e-88,1.1841223866155428e-82,6.6427606706947865e-80,2.3877492192053456e-32,6.0202464144343186e-42,1.5918877215473489e-41,4.6519726678019915e-42,4.9309630792344976e-45,1.5653326397765547e-38,4.6958552175458964e-29,4.9727967993123124e-38
3.1209631780209114e-19,0.7821887295635167,154.0,0.0,0.0,0.0,0.99999999999298295,1.0,19.0,1.6466959214926785e-13,6.4025074242206164e-13,6.4024594202353745e-13,3.7665971430224565e-22,3.7533878541782264e-22,5.5386126452972834e-12,9.6507590044273018e-19,3.3309024910297873e-14,1.871639896719786e-18,2.0779882011153817e-22,5.7478624952529804e-32,2.0765153373753222e-23,6.1504273365035176e-32,5.1951940156516662e-24,1.5042867757323109e-32,1.5042867761795277e-32,3.9059065281225016e-42,5.6625343315564539e-43,9.0166320372827014e-26,6.4761841007311984e-76,5.9926748611970936e-76,5.9926748612312081e-76,5.4376117909580308e-37,4.8005999872977244e-18,4.8191857215766973e-33,7.3257452753337951e-37,1.7612270228791098e-31,9.081435792989744e-32,6.3951507179870611e-48,1.6969434705217436e-38,5.4355634869405052e-61,2.9907399806464077e-49,7.6380466883707605e-47,7.6697976688817079e-55,9.2400411699138853e-65,8.5544740600061329e-75,5.4988878112667317e-75,2.5765044683573282e-58,1.5778658125346206e-85,1.084857022884175e-89,6.7556037144092033e-86,1.5158380740003193e-80,8.5036385589644863e-78,9.5517741969655986e-32,4.816654404090152e-41,1.2736304025900637e-40,3.7219151043416072e-41,6.1030682801047132e-44,1.2523791900150346e-37,1.878494957528764e-28,3.9786150011043491e-37
6.242095688317772e-19,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999998596545,1.0,19.0,3.2934811867853999e-13,1.2805362213813956e-12,1.2805266207212215e-12,1.5067001467111794e-21,1.496155552966076e-21,1.1077520028962479e-11,3.8604589624834798e-18,6.6619834087077801e-14,7.4868608888935025e-18,8.3122884578970586e-22,4.5196260907829176e-31,8.3063970366548512e-23,4.6985039682306102e-31,2.0781621601231741e-23,1.2034865476546125e-31,1.2034865483701943e-31,6.2497577198407844e-41,9.060511887859369e-42,3.6067995797765541e-25,1.4513274483284105e-73,1.3429719385952555e-73,1.3429719386105204e-73,4.3502959792454652e-36,9.601460798582832e-18,1.9277528455922049e-32,5.8605650027511112e-36,1.4090479203264227e-30,7.2654905081960365e-31,1.0232761651358359e-46,1.3576192235359481e-37,1.7394717440449799e-59,4.7854151270601615e-48,6.1346550579209817e-46,2.4544580762247497e-53,5.9139274135046879e-63,1.0950288959476086e-72,7.038937784822153e-73,4.1382408981302901e-57,4.0395447474447811e-83,2.7773772225449763e-87,1.7294961897015742e-83,1.9403726485272441e-78,1.0885216223911253e-75,3.8208651404769867e-31,3.8535064031527119e-40,1.0189515791566602e-39,2.9776471985253635e-40,8.3354808971988232e-43,1.0019415937258191e-36,7.514285561904611e-28,3.1830428202245908e-36
1.2484360708911493e-18,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999997193045,1.0,19.0,6.5870517173150271e-13,2.5611071758114078e-12,2.5610879757887906e-12,6.0269230565382949e-21,5.9430680794770054e-21,2.2155317495145884e-11,1.5442136240746031e-17,1.332413835533781e-13,2.9948026124744724e-17,3.3249809694813659e-21,3.4956634706575632e-30,3.322624571551482e-22,3.4465197081836552e-30,8.3128177080109771e-23,9.6281208446021018e-31,9.6281208560516684e-31,9.9998327356069622e-40,1.4497175287852205e-40,1.4427491872141248e-24,1.8640106635432251e-71,1.7248443954735717e-71,1.7248443955128471e-71,3.4803194390733765e-35,1.9203183503097247e-17,7.711169195732409e-32,4.6880682458728998e-35,1.1272641525939229e-29,5.8125255234530568e-30,1.6372835161293652e-45,1.0861211570094774e-36,5.5664559011194746e-58,7.6568197553680372e-47,4.9461256423079772e-45,7.8544327044402357e-52,3.7849957066810001e-61,1.4016677274632181e-70,9.0100380282523738e-71,6.6713521031249274e-56,1.0341462608489572e-80,7.1102427319557022e-85,4.4274669330053518e-81,2.4837322288910279e-76,1.393338246525681e-73,1.5283771427965576e-30,3.0828782142015279e-39,8.1517882966353255e-39,2.3821323185043283e-39,1.21929960740508e-41,8.0155738516632149e-36,3.0057753561398212e-27,2.5464942441243951e-35
2.4968890750098936e-18,0.7821887295635164,154.0,0.0,0.0,0.0,0.99999999994386057,1.0,19.0,1.3174192778151021e-12,5.1222490709293054e-12,5.1222106766127371e-12,2.4107936276863502e-20,2.344552750139161e-20,4.4310843223140948e-11,6.1769063060794586e-17,2.6648420693751048e-13,1.1979310928299575e-16,1.3300042689948291e-20,2.6218232478040586e-29,1.3290618747280338e-21,2.3618826789042254e-29,3.3251608624350974e-22,7.7025879806284191e-30,7.7025879989478476e-30,1.5999827267581017e-38,2.3195735686734192e-39,5.7710554740186854e-24,2.3860528882757389e-69,2.2079111643404201e-69,2.2079111644409722e-69,2.7842886698918902e-34,3.8406633239902885e-17,3.0844997985631482e-31,3.7497072710322533e-34,9.0182052044878815e-29,4.6500678481787534e-29,2.6196869811627033e-44,8.6890723479036821e-36,1.7812893192629226e-56,1.2250942037483312e-45,4.0182043709271535e-44,2.5134261804931645e-50,2.4224053919149322e-59,1.7941409538415055e-68,1.1532889087354666e-68,1.0834295623420633e-54,2.6474238889187465e-78,1.8202287673150945e-82,1.1333634244144596e-78,3.1791903135426047e-74,1.7834792114710002e-71,6.1135706948671495e-30,2.4663317089349021e-38,6.5214795118513994e-38,1.9056613016656032e-38,1.8593264921325256e-40,6.4122965424330674e-35,1.2023223560256398e-26,2.0372188446127466e-34
4.993795083247382e-18,0.7821887295635163,154.0,0.0,0.0,0.0,0.99999999988772081,1.0,19.0,2.6348474898929959e-12,1.0244532807816562e-11,1.0244456041015862e-11,9.6432226098072537e-20,9.1265096398208761e-20,8.8621617863373341e-11,2.4707662693299521e-16,5.3296875151646065e-13,4.7917316379697309e-16,5.3200309518829989e-20,1.8633207933791466e-28,5.3162627481966824e-21,1.4648039141680554e-28,1.3300710731910684e-21,6.1621067761340037e-29,6.1621068054449121e-29,2.5599539005087238e-37,3.7113285946922659e-38,2.3084339452563069e-23,3.0541846773591215e-67,2.8261605136844379e-67,2.8261605139418547e-67,2.2274442732210851e-33,7.6813550024621654e-17,1.2338067893618704e-30,2.9985174456501839e-33,7.2145829046347546e-28,3.7200639415829927e-28,4.1915259609356917e-43,6.9512990778913186e-35,5.7001634348318344e-55,1.9601230768540545e-44,3.3125941953059442e-43,8.0428546351417072e-49,1.5503188210520535e-57,2.2964700965650567e-66,1.4761903498824126e-66,1.7846975394453429e-53,6.7773162503200272e-76,4.6597251449207038e-80,2.9010029170315687e-76,4.0693148927226223e-72,2.2828233244747226e-69,2.4454406629817047e-29,1.9730768633001128e-37,5.2171689336614733e-37,1.5244306267987394e-37,2.9015259902530558e-39,5.1294858862135331e-34,4.8093137494456762e-26,1.6297835817689839e-33
7.49070109148487e-18,0.7821887295635167,154.0,0.0,0.0,0.0,0.99999999983158105,1.0,19.0,3.9522757018815848e-12,1.536681649289905e-11,1.5366701368174226e-11,2.04918773087828e-19,1.9035563150562812e-19,1.3293211568957727e-10,5.2503732221892495e-16,7.9945219391065484e-13,1.018241983966719e-15,1.1305063324857011e-19,4.9913059460490203e-28,1.1297057922393995e-20,3.6658944993778527e-28,2.8264052045590141e-21,1.7619800630048969e-28,1.7619800737932095e-28,9.4222822059859046e-37,1.3660150663507247e-37,4.9054294922091728e-23,1.5758469476764886e-66,1.4581948676788738e-66,1.4581948678369146e-66,6.3691167766584532e-33,1.1522048412044811e-16,2.6218442832244633e-30,8.5718200781932862e-33,2.0629189895351966e-27,1.0637053656893575e-27,1.542762116735723e-42,1.9876401009710991e-34,2.6024946578437645e-54,7.2145007415955783e-44,9.6329561491444254e-43,3.6720578937518043e-48,8.5178802002547423e-57,1.4815336491250025e-65,9.5234233478506771e-66,6.6595023716934311e-53,5.0329373292171137e-75,3.460383147610139e-79,2.1542557505911825e-75,2.6252592099409742e-71,1.4727296515524638e-68,5.1965691050859466e-29,5.641774906261096e-37,1.4917790198021156e-36,4.3587489682350527e-37,1.0619069144334054e-38,1.4666518994637808e-33,1.0219806806917891e-25,4.6601676179798654e-33
