Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328)
0.0,0.3614713197287289,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.201707369171414e-23,0.3614713197287289,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,1.6417736461099306e-17,1.3141163295797463e-16,1.314109674200168e-16,4.0671786557009463e-29,4.0671957363461684e-29,3.2045433256463682e-16,1.3526553024875428e-26,1.2724032557319625e-18,2.4182797240968167e-26,2.3165574329451355e-29,1.4782314328294283e-42,2.4143904438224726e-31,1.6839110164285566e-42,1.4585313186864498e-31,9.4977493463932508e-44,9.4977493463951645e-44,1.674287225590059e-56,2.3693966654293412e-57,7.7210053022475874e-33,3.2452898281197522e-101,3.0166885100487328e-101,3.0166885100487354e-101,2.7630838854891966e-47,6.6553798087870202e-22,2.7019423381150844e-40,3.2592600506897447e-47,3.9702679199436416e-43,2.2207538278946143e-43,1.9237305193375537e-62,2.5352286053399584e-49,3.1583300688653422e-79,2.2356513476633741e-63,5.2943969013821508e-58,1.4582256670367514e-72,5.1054061825352806e-86,3.3396801064182952e-99,6.4896887060453766e-100,1.1210956691761827e-72,1.3378914674487597e-113,2.2688519877745547e-117,2.2743733957964835e-114,4.2125720330535112e-105,3.3624568150966404e-102,1.743820645956433e-39,5.3971371261394564e-52,4.0454713185888541e-52,1.4482369157868536e-52,4.0663194879484898e-56
1.456478063367996e-22,0.3614713197287289,154.0,0.0,0.0,0.0,0.99999999999999833,1.0,19.0,4.5969662091078016e-17,3.6795257228212157e-16,3.6795070877591419e-16,2.4565759080367236e-28,2.4565841732210952e-28,8.972721310566986e-16,8.1700380260804587e-26,3.5627291157239073e-18,1.4606409531856553e-25,1.3992006893936687e-28,1.754950271839474e-41,1.4582918280071109e-30,1.9991195584957249e-41,8.8095291648578706e-31,1.1275728024026353e-42,1.1275728024030627e-42,3.7453135506003173e-55,5.3002455641675123e-56,4.663487202556951e-32,3.458108146348137e-99,3.2145157024815579e-99,3.214515702481564e-99,3.2803438425175956e-46,1.863506346510397e-21,1.6319731722800842e-39,3.869393480843824e-46,4.7135020740576573e-42,2.636478944197121e-42,4.303308222550166e-61,3.0098234002581267e-48,1.3032937462451238e-77,5.0010781519768407e-62,6.2855314706562315e-57,6.017427259020375e-71,3.8432338215229193e-84,4.5586604025213179e-97,8.8584193654060619e-98,2.5078551135143786e-71,3.3005761282222685e-111,5.5972936828942872e-115,5.6108755366599522e-112,5.7501571136927655e-103,4.5897505898013234e-100,1.05326767015661e-38,6.4074811961328654e-51,4.8027835482392635e-51,1.719346862432561e-51,4.8275740122639542e-55
3.3290927162697048e-22,0.3614713197287289,154.0,0.0,0.0,0.0,0.99999999999999623,1.0,19.0,1.0507351335103527e-16,8.4103445092958607e-16,8.4103019148717788e-16,1.1827355530678634e-27,1.1827374428365893e-27,2.050907727543684e-15,3.9335216182173222e-25,8.1433808344054474e-18,7.0323574351412091e-25,6.7365490134265562e-28,1.7230076940749971e-40,7.0210474097108144e-30,1.9627059213552914e-40,4.2414090747277673e-30,1.1070576638119652e-41,1.1070576638128096e-41,7.4001084299471574e-54,1.0472392064730622e-54,2.245268341892711e-31,7.8698450430542492e-97,7.3154856344533825e-97,7.3154856344534085e-97,3.2206657051621169e-45,4.2594430779739088e-21,7.8572483201109676e-39,3.798993355945342e-45,4.6277442859380567e-41,2.5885106609279298e-41,8.5026118783527508e-60,2.9550624623796914e-47,5.1557004524151038e-76,9.8813026228374781e-61,6.1712217831613279e-56,2.3804380670488391e-69,3.0387341843382527e-82,7.201577541583631e-95,1.3994153615970712e-95,4.9551377759424083e-70,1.0418954060820187e-108,1.7669071439434959e-112,1.7711893814348644e-109,9.0838532991572831e-101,7.2506924952691165e-98,5.0710304384251679e-38,6.2909030341664618e-50,4.7154013652599479e-50,1.6880649366734207e-50,4.7398244952838298e-54
7.0743220220731225e-22,0.3614713197287289,154.0,0.0,0.0,0.0,0.9999999999999919,1.0,19.0,2.2328121587094916e-16,1.787198208221197e-15,1.7871891569075808e-15,5.1653168926371614e-27,5.165306786572185e-27,4.3581789185291006e-15,1.7178722326955109e-24,1.7304684266559125e-17,3.0712152469862103e-24,2.9420279382098275e-27,1.5239578641020299e-39,3.0662758626987733e-29,1.7359173120272282e-39,1.8523347747189504e-29,9.7917996660813135e-41,9.7917996660963442e-41,1.3168097540765477e-52,1.8635062133213221e-53,9.805676733845267e-31,1.3299690208983983e-94,1.2362847315829076e-94,1.2362847315829166e-94,2.8486441974213553e-44,9.0513165417014242e-21,3.4314667703045984e-38,3.3601664076680059e-44,4.0931874114937642e-40,2.2895083645875616e-40,1.5129943544896853e-58,2.6137192829516991e-46,1.8400328702206423e-74,1.7583262159363928e-59,5.4584642147312952e-55,8.4956203902921291e-68,2.1719616926978219e-80,1.0301629322877756e-92,2.0018194958967031e-93,8.8175412113922276e-69,2.9817731866815392e-106,5.0566724938883565e-110,5.0689204272538036e-107,1.2994165375700269e-98,1.0371886713625942e-95,2.2146522203479916e-37,5.5642324914351862e-49,4.1707191028691966e-49,1.4930743047273687e-49,4.1924699895681083e-53
1.456478063367996e-21,0.3614713197287289,154.0,0.0,0.0,0.0,0.99999999999998324,1.0,19.0,4.596966209107741e-16,3.6795257227911477e-15,3.6795070877398885e-15,2.1564181231599058e-26,2.1563985608721301e-26,8.9727212925457182e-15,7.1717784006159326e-24,3.5627291110028866e-17,1.2821719073610593e-23,1.228238749480066e-26,1.2809398391709123e-38,1.2801098124544855e-28,1.4590188795815157e-38,7.7331330515599894e-29,8.2305976194564666e-40,8.230597619481819e-40,2.2209921110939535e-51,3.1430756017886661e-52,4.0936770112434207e-30,1.9473676084315483e-92,1.8101931723622641e-92,1.8101931723622897e-92,2.394457826831808e-43,1.8635063472358416e-20,1.432569828475956e-37,2.8244220054488635e-43,3.4405706492375907e-39,1.9244697318926384e-39,2.5518861228106582e-57,2.1969885457125339e-45,6.2170552004080339e-73,2.9656751224728932e-58,4.588316840516569e-54,2.8704790749033812e-66,1.4688992410303443e-78,1.3939606161572497e-90,2.7087535869245752e-91,1.4872538751983049e-67,8.0711685650708946e-104,1.3687588715797644e-107,1.3720731629714772e-104,1.7582999948296806e-96,1.4034674652904977e-93,9.2457370647109013e-37,4.6770726790833968e-48,3.5057407030996821e-48,1.2550188923091602e-48,3.524274132630063e-52
2.9545697856893635e-21,0.3614713197287289,154.0,0.0,0.0,0.0,0.99999999999996592,1.0,19.0,9.3252743099041354e-16,7.4641807518779642e-15,7.4641429493705104e-15,8.8096716546093122e-26,8.8094663523472592e-26,1.8201806008762093e-14,2.9299054802469586e-23,7.2272504713617885e-17,5.2380905936430467e-23,5.0177560496321166e-26,1.050128623808761e-37,5.229666269654289e-28,1.1959881712964662e-37,3.1592371774297529e-28,6.7479412000715858e-39,6.7479412001132277e-39,3.6479861850306207e-50,5.1625111048964999e-51,1.672400632481051e-29,2.6628604841450099e-90,2.475286045882822e-90,2.475286045882894e-90,1.9631214862053487e-42,3.7802557346480254e-20,5.8525151888810598e-37,2.3156312708126748e-42,2.8207876835762392e-38,1.5777965548653029e-38,4.1914806197475525e-56,1.8012239462168734e-44,2.0440317288645783e-71,4.8711310233388253e-57,3.7620233315463828e-53,9.437508637543977e-65,9.662911358955121e-77,1.8343740875977224e-88,3.5645679885094043e-89,2.4429722774948933e-66,2.1244646199825106e-101,3.6028002674003533e-105,3.6115224807425569e-102,2.3138243042753923e-94,1.8468845685532296e-91,3.7771852718403825e-36,3.8345467589347753e-47,2.8742180239685196e-47,1.0289402714896357e-47,2.8898236451478508e-51
5.950753230332098e-21,0.361471319728729,154.0,0.0,0.0,0.0,0.99999999999993128,1.0,19.0,1.8781890511496488e-15,1.503349080983926e-14,1.5033414672495778e-14,3.5610101369957902e-25,3.5608257862358758e-25,3.6659975313927383e-14,1.1843146356079898e-22,1.4556293158739416e-16,2.117319959471571e-22,2.028257217080209e-25,8.5031896254937633e-37,2.1139147183170733e-27,9.6821253181229246e-37,1.2770141789327989e-27,5.4646577358107888e-38,5.4646577358782918e-38,5.9135427218862409e-49,8.3686529392184065e-50,6.7601107503148056e-29,3.5218879053877051e-88,3.2738027543252489e-88,3.2738027543254381e-88,1.5897867939036714e-41,7.6137545145955299e-20,2.3656802158683116e-36,1.8752573755608917e-41,2.2843469916103143e-37,1.2777405525643129e-37,6.7945707084101955e-55,1.4586778515060721e-43,6.6297679172372371e-70,7.8963137689129809e-56,3.0469791889396323e-52,3.0610334952068956e-63,6.2696269823793466e-75,2.3806638988898898e-86,4.6261220014749065e-87,3.9606604248753714e-65,5.514585966045585e-99,9.3519822026803993e-103,9.3746198500085e-100,3.002897849957148e-92,2.3969000912207396e-89,1.5267986788213212e-35,3.1053153823886756e-46,2.3276162549175963e-46,8.3326244175671909e-47,2.3409194538282091e-50
1.1943120119617568e-20,0.3614713197287289,154.0,0.0,0.0,0.0,0.999999999999862,1.0,19.0,3.7695122914679475e-15,3.0172110924912575e-14,3.0171958118202432e-14,1.4318665139302775e-24,1.431710876774041e-24,7.3576313415188212e-14,4.7620770242051309e-22,2.9214378400133962e-16,8.5136503668337712e-22,8.1555330220848724e-25,6.8424585529689552e-36,8.4999580845026948e-27,7.7877146119366632e-36,5.1348178480355746e-27,4.3984319599413591e-37,4.3984319600500721e-37,9.5235779707987835e-48,1.3477457472318332e-48,2.7182108006308621e-28,4.5820727204794926e-86,4.2593071374885125e-86,4.2593071374890039e-86,1.2795987671887089e-40,1.5280752094983107e-19,9.5122961245738004e-36,1.5093688881611017e-40,1.8386411790078902e-36,1.0284367500475339e-36,1.0942446663004869e-53,1.1740708369572089e-42,2.1358680471080362e-68,1.2716769902916508e-54,2.453110051016802e-51,9.8615271762948287e-62,4.0401232621988898e-73,3.0683464974206067e-84,5.9624314239045281e-85,6.3801226091963293e-64,1.4215460221005784e-96,2.4107474913157122e-100,2.4165820671732045e-97,3.8703200193444143e-90,3.089272703891555e-87,6.1391903360675217e-35,2.4994279755396341e-45,1.8734680277567602e-45,6.7068199718496522e-46,1.8852466880712845e-49
2.3927853898188504e-20,0.3614713197287289,154.0,0.0,0.0,0.0,0.99999999999972355,1.0,19.0,7.5521587721038584e-15,6.0449351151662504e-14,6.0449045007440156e-14,5.742425136692475e-24,5.7411472775188978e-24,1.4740898758143076e-13,1.9098058457086973e-21,5.8530548349480218e-16,3.4143545256102419e-21,3.2707334734572104e-24,5.4879987279859092e-35,3.4088633421488106e-26,6.2406579839173208e-35,2.0592916171396337e-26,3.529464643774045e-36,3.5294646439485545e-36,1.5287450903600026e-46,2.1634303744354608e-47,1.090124105983609e-27,5.9129221130552656e-84,5.4964102265510094e-84,5.4964102265522795e-84,1.0267974438164124e-39,3.0614747337728501e-19,3.8148562122151754e-35,1.2111712430065932e-39,1.4753937308519803e-35,8.2525571107683656e-36,1.756505028709968e-52,9.421179061955051e-42,6.8578243695692921e-67,2.0413230863307725e-53,1.9694872159580587e-50,3.1663293856604843e-60,2.5945378769814741e-71,3.9410463263251938e-82,7.6582675656041797e-83,1.0246650000446108e-62,3.6517743176925951e-94,6.1929097180985065e-98,6.2078940045830132e-95,4.9711173959516324e-88,3.9679243697873285e-85,2.4620899064190073e-34,2.0056335410292498e-44,1.5033400536407849e-44,5.3817989112104875e-45,1.5145106502746398e-48
