Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550)
0.0,0.3715426399330264,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0323409480791924e-22,0.3715426399330264,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,2.9840297391512037e-17,2.1480111404641082e-16,2.1480050100342066e-16,2.4247744551428433e-28,2.4247750843487857e-28,2.5851590922682131e-16,4.0680553805465815e-26,5.5447748800744438e-19,6.4496180797828821e-26,1.4479456195222812e-28,2.4825164933445945e-41,5.8744304003162265e-31,2.9648011640119969e-41,3.8028054840864953e-31,6.5838345985203501e-43,6.5838345985253954e-43,4.4380749586382211e-55,6.0661479640706917e-56,3.257788588381428e-32,5.9276934666693849e-99,5.5476026754837468e-99,5.547602675483755e-99,4.0832283691817024e-46,6.1304313467709528e-22,6.1947487995518847e-40,3.9131233091793801e-46,1.9245852156233453e-42,1.213919823606122e-42,3.0381330686035605e-61,1.9442676063170562e-48,9.0658794282087432e-78,4.1814316957536671e-62,1.3243966074623004e-57,7.4647645868210332e-71,8.5400984869116308e-84,2.0835892237829927e-96,2.2244230082719738e-97,9.6148452857484822e-72,1.7431318180405338e-110,3.5086867862836548e-114,2.4358150109399871e-111,1.602323312713842e-102,2.1379873316183413e-99,2.3978390279851607e-39,2.7067994699257481e-51,1.0048052241324955e-51,4.8777795783944083e-52,6.1887219383602368e-56,1.0964524198777043e-48,5.2330866782361739e-36,8.5284254165448296e-48,6.2003568879662336e-48,4.1795777590753923e-60,3.4996349882706152e-60,2.856411545749251e-61,4.5873877720264023e-64,1.3128706236465209e-72
5.690554654621738e-22,0.3715426399330264,154.0,0.0,0.0,0.0,0.999999999999998,1.0,19.0,8.355283269623358e-17,6.0144311932869445e-16,6.0144140280878995e-16,1.4645637708962359e-27,1.464560481978279e-27,7.2384454548803098e-16,2.4571054488670587e-25,1.5525369659334376e-18,3.8955693186302613e-25,8.7455915398740491e-28,2.9472198975327945e-40,3.548155961568549e-30,3.5197301335182678e-40,2.2968945123818323e-30,7.8163284353380887e-42,7.8163284353493729e-42,9.9277961458065576e-54,1.3569730345492729e-54,1.9677043073806226e-31,6.3164173777260429e-97,5.9114011446740906e-97,5.9114011446741073e-97,4.8476146925935104e-45,1.7165207773069695e-21,3.7416282754392928e-39,4.6456597832830257e-45,2.2848675671502459e-41,1.441165614056748e-41,6.796182149196352e-60,2.3082345022151298e-47,3.74106053054015e-76,9.3537064414523771e-61,1.5723675476830143e-56,3.0803595413185652e-69,6.428780256053891e-82,2.8440922178365934e-94,3.0363298556159132e-95,2.1508597917886229e-70,4.3002955445766666e-108,8.6559319535945738e-112,6.0091406534415773e-109,2.1871658833328391e-100,2.9183454503857079e-97,1.4482947728982426e-38,3.2135123306689552e-50,1.192904761234747e-50,5.7908998665472725e-51,7.3678658560748477e-55,1.3017083068639287e-47,3.1607843536399121e-35,1.0124946653971171e-46,7.3610636973537251e-47,9.3495482563024315e-59,7.8285434751876023e-59,6.3896783711873764e-60,1.0261710611540149e-62,5.4174554214834634e-71
1.3006982067706831e-21,0.3715426399330264,154.0,0.0,0.0,0.0,0.99999999999999545,1.0,19.0,1.9097790330567622e-16,1.3747271298882386e-15,1.3747232064163769e-15,7.0512441154047623e-27,7.0511909110346017e-27,1.6545018166221749e-15,1.1829905031883295e-24,3.5486559198357947e-18,1.8755489352629614e-24,4.2106258585100019e-27,2.8935478074478499e-39,1.7082843600782804e-29,3.4555186431277274e-39,1.1058558347627362e-29,7.6741176079569689e-41,7.674117607979266e-41,1.9615652148273432e-52,2.6811500449332074e-53,9.4736492149867871e-31,1.4374688091255056e-94,1.3452965907008796e-94,1.3452965907008868e-94,4.7594194684710927e-44,3.9234760634111309e-21,1.801432951671021e-38,4.56113588011787e-44,2.243296524733422e-40,1.4149449447571292e-40,1.3428110672376457e-58,2.2662383219092734e-46,1.4799263424351037e-74,1.8481358248345251e-59,1.5438527610793657e-55,1.2185603136471846e-67,5.0830462498068458e-80,4.4929713327527047e-92,4.7966598665648998e-93,4.2499845351867728e-69,1.3574762629510525e-105,2.7324250125198967e-109,1.8969081129541726e-106,3.4551881111504436e-98,4.6102733116292443e-95,6.972915893308937e-38,3.1550454620620881e-49,1.1712009665972474e-49,5.685539724916568e-50,7.2774813203657854e-54,1.2780249219633193e-46,1.5217816060089751e-34,9.9407326638170124e-46,7.2271359884900918e-46,1.8473131787791113e-57,1.5467882649220121e-57,1.2624927707740328e-58,2.0275011644325206e-61,2.1429673628587817e-69
2.7639836893877016e-21,0.3715426399330264,154.0,0.0,0.0,0.0,0.99999999999999023,1.0,19.0,4.0582804452455958e-16,2.9212951509872334e-15,2.9212868136189432e-15,3.0794635578757637e-26,3.0794074889628032e-26,3.5158163533373619e-15,5.1664303180564552e-24,7.5408938198419921e-18,8.1910149371659514e-24,1.8388909336304782e-26,2.5592210330763793e-38,7.4605266049535948e-29,3.0560589134069774e-38,4.8295629646904792e-29,6.7876701175260041e-40,6.7876701175656812e-40,3.4905004726266858e-51,4.7709632451454405e-52,4.1373915072171233e-30,2.4292587390935012e-92,2.2734917647511182e-92,2.2734917647511427e-92,4.2096536608106238e-43,8.3373866389970991e-21,7.867330983281198e-38,4.0342722438024297e-43,1.9841703684450299e-39,1.2515027779048174e-39,2.38946054810226e-57,2.0044621313794661e-45,5.2817519961982422e-73,3.2886597945662531e-58,1.3656856847937121e-54,4.348956347793137e-66,3.6331498869414502e-78,6.4270507325582083e-90,6.861467395685571e-91,7.5635071720345364e-68,3.8849240095064633e-103,7.8198562628001688e-107,5.4287088079217406e-104,4.9425352746868334e-96,6.5948474340438167e-93,3.0452555654668442e-37,2.7906019813395848e-48,1.0359139883032993e-48,5.028795315655606e-49,6.5145295278408053e-53,1.1303985476402387e-45,6.6460200811315282e-34,8.7924654638550091e-45,6.3923199369586294e-45,3.2871950882637034e-56,2.7524270602118706e-56,2.2465384305658487e-57,3.6076872541999758e-60,7.6472094647237321e-68
5.690554654621739e-21,0.3715426399330264,154.0,0.0,0.0,0.0,0.9999999999999799,1.0,19.0,8.3552832696231862e-16,6.0144311931048516e-15,6.0144140279736442e-15,1.2856154159766529e-25,1.2855645693973825e-25,7.2384454045553309e-15,2.156882949051864e-23,1.5525369588660321e-17,3.419587484158405e-23,7.6770076462417702e-26,2.1510293816935158e-37,3.1146229951444499e-28,2.5682833431617922e-37,2.0162474675732256e-28,5.7054457214256389e-39,5.7054457214925585e-39,5.8872391580462982e-50,8.0469268295958326e-51,1.7272795095352705e-29,3.5569699042072561e-90,3.3288927418672285e-90,3.3288927418673005e-90,3.5384679651232708e-42,1.7165207803679624e-20,3.2844558205804843e-37,3.3910475768385314e-42,1.6678147446006e-38,1.0519634901784715e-38,4.0301744655161222e-56,1.6848711992997427e-44,1.7845846260592748e-71,5.5468060403268311e-57,1.148219356981348e-53,1.469414227801809e-64,2.4571013157330033e-76,8.696734590161694e-88,9.2845635304834647e-89,1.2759952983589378e-66,1.0515846639761243e-100,2.1167063011996747e-104,1.4694614612031715e-101,6.6879692335051197e-94,8.9237879369553235e-91,1.2713342525708539e-36,2.3456691115285176e-47,8.7074812024707826e-48,4.2270051603389777e-48,5.6065331783016963e-52,9.5016805278553584e-45,2.7745825565952469e-33,7.390597004664962e-44,5.3731300729313516e-44,5.5443349430379543e-55,4.6423704975971794e-55,3.7891154231083837e-56,6.0844102106595443e-59,2.5832186617901535e-66
1.1543696585089813e-20,0.37154263993302633,154.0,0.0,0.0,0.0,0.99999999999995925,1.0,19.0,1.694928891837807e-15,1.2200703277018613e-14,1.2200668456481331e-14,5.2521584596315748e-25,5.2517265142242834e-25,1.4683703418141648e-14,8.8115705603678086e-23,3.1494321001520734e-17,1.3970130561446588e-22,3.136308105609377e-25,1.7632977437739806e-36,1.2724251198027097e-27,2.1047843604535949e-36,8.2370287899934994e-28,4.6776691106732868e-38,4.6776691107832011e-38,9.66980776108376e-49,1.321710140877811e-49,7.0565003937697386e-29,4.8638554732093277e-88,4.5519792459078391e-88,4.5519792459080361e-88,2.9010499877632295e-41,3.4820850187087023e-20,1.3418073749509977e-36,2.7801835054427266e-41,1.3673752840370863e-37,8.6246322071203636e-38,6.6195736622736663e-55,1.3813592047695607e-43,5.8673238071433904e-70,9.1106458883688419e-56,9.4183590732032445e-53,4.8311126686012373e-63,1.6163633762224644e-74,1.1444414188083671e-85,1.2217964053003288e-86,2.0968092566944394e-65,2.7679438547897374e-98,5.5715199999371196e-102,3.867863233503565e-99,8.8009918503549153e-92,1.1743203638286585e-88,5.1938152476107448e-36,1.9231212567100026e-46,7.1389190847244425e-47,3.4655537067748647e-47,4.8108760597440799e-51,7.7900511388268794e-44,1.1335075066786184e-32,6.0592579397615007e-43,4.4052166642209611e-43,9.106586661607281e-54,7.6251073423649468e-54,6.2236334571686823e-55,9.992080067931875e-58,8.4891112172992966e-65
2.3249980446025964e-20,0.3715426399330264,154.0,0.0,0.0,0.0,0.99999999999991784,1.0,19.0,3.4137300215886621e-15,2.4573247443560371e-14,2.457317731268983e-14,2.123006423675805e-24,2.1226505719655994e-24,2.9574219089915822e-14,3.561777656815883e-22,6.3432223328136524e-17,5.6469500590918955e-22,1.2677458714567737e-24,1.4275657800826358e-35,5.1433457665237193e-27,1.7031346390178166e-35,3.3295387353580932e-27,3.7880977221591514e-37,3.7880977223373287e-37,1.5675174321455891e-47,2.1425490712977462e-48,2.8523502828091098e-28,6.4329144784426414e-86,6.0204283120474035e-86,6.0204283120479264e-86,2.3493455614965397e-40,7.0132135170071195e-20,5.4237999710695573e-36,2.2514611585598863e-40,1.1073359425054507e-36,6.9844506810415156e-37,1.0730614165956224e-53,1.1186604981028573e-42,1.9030524131720868e-68,1.4768749253007549e-54,7.6346221108559318e-52,1.5669597809103894e-61,1.0487516868931759e-72,1.4852641887591477e-83,1.5856560388457327e-84,3.4022056541783738e-64,7.1848986835912377e-96,1.4462290973591935e-99,1.0040012017852694e-96,1.142198971251132e-89,1.5240412955804326e-86,2.0994231648085906e-35,1.5573934535166287e-45,5.7812816197687842e-46,2.8064944185744971e-46,4.2430741330258516e-50,6.3085843701985215e-43,4.5818185735246508e-32,4.9069441672148624e-42,3.5674586669709651e-42,1.4762168983439046e-52,1.2360627135919069e-52,1.0088778017983949e-53,1.6192465812201975e-56,2.7508662748802037e-63
4.666254816789826e-20,0.3715426399330264,154.0,0.0,0.0,0.0,0.99999999999983502,1.0,19.0,6.8513322810898899e-15,4.9318335771501745e-14,4.9318195021879311e-14,8.5365154523954382e-24,8.5336273070478162e-24,5.935524901187039e-14,1.4321750914729832e-21,1.2730802598494809e-16,2.2706137206366988e-21,5.0975503105527957e-24,1.148388237577367e-34,2.0681167026229454e-26,1.3686237631015815e-34,1.3387928813893702e-26,3.0489906031622917e-36,3.0489906034492404e-36,2.5244382559485547e-46,3.4505091527773827e-47,1.1469175035552806e-27,8.3693980982358827e-84,7.832742287251575e-84,7.8327422872529365e-84,1.8909577243784424e-39,1.4075470600071712e-19,2.1808861337139374e-35,1.8121661382055729e-39,8.912802798704525e-36,5.6216933983485932e-36,1.7281323316297607e-52,9.003952900155687e-42,6.130936849013133e-67,2.3784613227402146e-53,6.1569055674097946e-51,5.0481692166155151e-60,6.7581145009068946e-71,1.9142999397699478e-81,2.0436911378709158e-82,5.4894140656713367e-63,1.8521178708187436e-93,3.7280788055294891e-97,2.5881039160432132e-94,1.4721363841970852e-87,1.9642782629440655e-84,8.4416882078052351e-35,1.2535257408296709e-44,4.653278175887116e-45,2.2589095415572092e-45,3.9739537062685894e-49,5.0776959052842187e-42,1.8423290962585518e-31,3.9495355453386776e-41,2.8714010959894711e-41,2.3774016688268964e-51,1.9906407482423657e-51,1.624766594394757e-52,2.6060970023507492e-55,8.8458546977094818e-62
9.348768361164286e-20,0.37154263993302633,154.0,0.0,0.0,0.0,0.99999999999966949,1.0,19.0,1.3726536800090413e-14,9.8808512406823723e-14,9.8808230427348281e-14,3.4235244981954193e-23,3.4211979088749714e-23,1.1891730316940496e-13,5.7436623594317634e-21,2.550596233128916e-16,9.1061760797817683e-21,2.0443456030038985e-23,9.2048234021928516e-34,8.2940728944185931e-26,1.0947086609711892e-33,5.3691582420792394e-26,2.4466229392172334e-35,2.4466229396778502e-35,4.0522816940957161e-45,5.5388311205180146e-46,4.599652160086618e-27,1.0800264876271649e-81,1.010773898164128e-81,1.0107738981644794e-81,1.5173744989665716e-38,2.8199985112071937e-19,8.7463289824626248e-35,1.4541400922482828e-38,7.1519625728161118e-35,4.5110546804245701e-35,2.7740351185513179e-51,7.2251051512792562e-41,1.9685152466343841e-65,3.8179563978218779e-52,4.9596229760054922e-50,1.6208609425644853e-58,4.3400115299847691e-69,2.4587652255037361e-79,2.6249578752448423e-80,8.8446861153862985e-62,4.7578589823590843e-91,9.5769679999401868e-95,6.6484998059044298e-92,1.8908415419119778e-85,2.5229583865278943e-82,3.3854945335354626e-34,1.0058754615525759e-43,3.733962310857423e-44,1.8126305178713239e-44,4.0855849112591254e-48,4.0745285654650014e-41,7.3885636731286271e-31,3.1692535181125975e-40,2.3041185432763556e-40,3.8162557545682891e-50,3.195418791642797e-50,2.6081102045159105e-51,4.1780764667074677e-54,2.8297274028098498e-60
