Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122)
1.2596037323277721e-17,0.3649521885337714,154.0,0.0,0.0,0.0,0.99999999999316846,1.0,19.0,4.4280838294251542e-13,2.7757455184762923e-12,2.7757455916208406e-12,1.2210267946248211e-19,1.1569650012810413e-19,8.3669413147608335e-13,4.9838171198593763e-18,5.7288701800091412e-16,6.3325492168407883e-18,7.9589012777741679e-20,2.1668246305822965e-28,1.2005351802403399e-22,2.3460550771328529e-28,3.8285971637864508e-23,1.1511175181380841e-30,1.1511175479365403e-30,2.6404493174979756e-38,3.3939631025889225e-39,1.2776272847944823e-33,5.7426563492087194e-70,5.4429008438283002e-70,5.4429008438704523e-70,3.4282402646378666e-33
2.5192758062394155e-17,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999998633649,1.0,19.0,8.8564079106764432e-13,5.5516412715374085e-12,5.5516415409030203e-12,4.8843053301513474e-19,4.3958204418293149e-19,1.6734105544988659e-12,1.9935843755992982e-17,1.1457949889431393e-15,2.5330927826605612e-17,3.1836725029234777e-19,1.5745689522072921e-27,4.8023351645892695e-22,1.4938059587056865e-27,1.5315010782847405e-22,9.2093765032977077e-30,9.2093769800807703e-30,4.2247730407951526e-37,5.4305758765028623e-38,1.0221668812876682e-32,7.375925167178012e-68,6.9909162047144885e-68,6.9909162048229447e-68,2.7427230648166983e-32
5.0386199540627015e-17,0.3649521885337714,154.0,0.0,0.0,0.0,0.99999999997267264,1.0,19.0,1.7713056072784795e-12,1.1103431790699958e-11,1.1103432706410756e-11,1.9537614090481978e-18,1.5966039411602683e-18,3.3467740885111461e-12,7.9743110038530355e-17,2.291580541359472e-15,1.0132337461014629e-16,1.2734808803329617e-18,1.0631724553046532e-26,1.9209723921283469e-21,8.4531365012924377e-27,6.1261281139363096e-22,7.3676747607916816e-29,7.3676755236112252e-29,6.7592944005616925e-36,8.6890102172315401e-37,8.1775996810794505e-32,9.441878816877695e-66,8.9490310939417329e-66,8.949031094219408e-66,2.1942315782171982e-31
1.0077308249709275e-16,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999994534483,1.0,19.0,3.5426352395424588e-12,2.2207009448783399e-11,2.2207012105202204e-11,7.8151213683619769e-18,5.3801274331793429e-18,6.6932239313683293e-12,3.1896058654816127e-16,4.5830300947674365e-15,4.05278436985509e-16,5.0938632398859544e-18,6.4648871915349496e-26,7.6839618749304572e-21,4.243965273583768e-26,2.4504755043869719e-21,5.8942076492709119e-28,5.8942088696289061e-28,1.0813362910062944e-34,1.3902170228637672e-35,6.5421929590512839e-31,1.2085887850381344e-63,1.1455028010014768e-63,1.145502801072563e-63,1.7554077694211336e-30
1.5115996545355847e-16,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999991801702,1.0,19.0,5.3139648716487473e-12,3.3310584136106179e-11,3.3310588571772083e-11,1.6607177071252668e-17,1.0223723064001977e-17,1.0039396572021993e-11,6.777710997265578e-16,6.8743581031981292e-15,8.6119107976423294e-16,1.0824327253238899e-17,1.6031558459949909e-25,1.6328459409810478e-20,9.7149193878330986e-26,5.2072750443818543e-21,1.6853797900421004e-27,1.6853802391862849e-27,3.979755692752769e-34,5.1168615045616991e-35,1.9422239382776734e-30,6.2358760421849739e-63,5.9103754437008467e-63,5.9103754441372798e-63,5.0193877911664205e-30
2.015468484100242e-16,0.3649521885337714,154.0,0.0,0.0,0.0,0.99999999989068922,1.0,19.0,7.0852945035973456e-12,4.4414156148085479e-11,4.4414162106122856e-11,2.8329926056664229e-17,1.5832047048692415e-17,1.3385292033434097e-11,1.1561647431185953e-15,9.1655645730986383e-15,1.4690487155841546e-15,1.8464799528816309e-17,3.0076594720135378e-25,2.7854461392736254e-20,1.7276764151467382e-25,8.8830109925172797e-21,3.5549594257621601e-27,3.5549605648224538e-27,1.0092871090607295e-33,1.2977318531875509e-34,4.2320180654349372e-30,3.4019027122533042e-62,3.2243300087493842e-62,3.2243300089923386e-62,1.0587368857020814e-29
3.0232061432295563e-16,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999983603372,1.0,19.0,1.0627953767124449e-11,6.6621294505864962e-11,6.6621302293093291e-11,5.8653574102129006e-17,2.8231004933136885e-17,2.0076432504770001e-11,2.3935755880851594e-15,1.3747692289408233e-14,3.0413305407113068e-15,3.8228189015229316e-17,6.914388838052163e-25,5.7669168900386689e-20,3.7320774500719355e-25,1.8391169015953507e-20,9.7097104709379527e-27,9.7097144538899214e-27,3.5291381701192729e-33,4.5381379729611077e-34,1.2284298165850183e-29,4.7246710157411269e-61,4.478052382097777e-61,4.4780523824815732e-61,2.8917492966517558e-29
4.0309438023588707e-16,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999978137821,1.0,19.0,1.4170613030071671e-11,8.8828424456899544e-11,8.8828431697268728e-11,9.9754406171392774e-17,4.2011303631704505e-17,2.6766553879896347e-11,4.0706539710395783e-15,1.8329373118746375e-14,5.1722637481979217e-15,6.5014750926439766e-17,1.2567912167589185e-24,9.8080166709322471e-20,6.5078330690341976e-25,3.1278580311595115e-20,2.0315977110250321e-26,2.0315987061739477e-26,8.8175517551948609e-33,1.1339373957846015e-33,2.6864457212660673e-29,2.17186729471914e-60,2.0585000489726137e-60,2.0585000491716308e-60,6.0505234404494014e-29
5.038681461488185e-16,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999972672271,1.0,19.0,1.7713272292397585e-11,1.1103554607678778e-10,1.1103554954846591e-10,1.5240220469125877e-16,5.6596019929943567e-17,3.3455583519665521e-11,6.21873851818831e-15,2.2910575183700797e-14,7.9016678956436522e-15,9.9325650517374004e-17,2.0122437181054876e-24,1.4984430946801239e-19,1.0110196117823037e-24,4.7786617179772605e-20,3.6984475706799125e-26,3.6984496818190559e-26,1.8705662784173334e-32,2.4057286514050202e-33,5.040151103747007e-29,8.0185791430600028e-60,7.6000249208259068e-60,7.6000249216243276e-60,1.1014774210295654e-28
7.054156779746814e-16,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999961741182,1.0,19.0,2.4798590815146474e-11,1.5544976559213556e-10,1.554497498663459e-10,2.9306390306512202e-16,8.6440228203561463e-17,4.6830300056240553e-11,1.195706347057333e-14,3.2071513239204766e-14,1.519291159708435e-14,1.9098977937139938e-16,4.1090476948945289e-24,2.8814501285307835e-19,1.9846366808009363e-24,9.1891974410878918e-20,9.7649945798872977e-26,9.7650023123102297e-26,6.8510913555942667e-32,8.8133157732791018e-33,1.3790849460054402e-28,9.8301559567040617e-59,9.3170409795519405e-59,9.3170409811929215e-59,2.908240747142553e-28
9.069632098005443e-16,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999950810103,1.0,19.0,3.1883909335371912e-11,1.9986395404347304e-10,1.9986390326170586e-10,4.80623704402997e-16,1.1678580317400272e-16,6.0200584792273834e-11,1.9607395173973093e-14,4.1230507429045488e-14,2.491359373162841e-14,3.1320684049842144e-16,6.9826578729048519e-24,4.7255650967422907e-19,3.2939073085403225e-24,1.5070256684582216e-19,2.0245276106354477e-25,2.0245296180266189e-25,1.7785506075162517e-31,2.288405637299838e-32,2.9072922759807954e-28,4.9004893372955925e-58,4.6446933543443971e-58,4.6446933553261551e-58,6.0295377614497736e-28
1.31005827345227e-15,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999928947958,1.0,19.0,4.6054546368253512e-11,2.8869223922984678e-10,2.886920693054585e-10,9.964170336476075e-16,1.7754238363145369e-16,8.6927868303111069e-11,4.0640005973123701e-14,5.9542667158221047e-14,5.1638098232606054e-14,6.4926270355730734e-16,1.5060222532843021e-23,9.7969131897488073e-19,6.9189967754368301e-24,3.1243311316104909e-19,6.0831141556902103e-25,6.0831230482547697e-25,7.8783479399211922e-31,1.0142166192567398e-31,8.8682302091740222e-28,7.4626871937028214e-57,7.0731495226660406e-57,7.0731495251285254e-57,1.8117182175789868e-27
2.1162484007557216e-15,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999885223811,1.0,18.999999999999996,7.4395820403739826e-11,4.6634844316874997e-10,4.6634783841470488e-10,2.5906889908094471e-15,2.9904401734313702e-16,1.4032934049461836e-10,1.0561187075450605e-13,9.6143685853359416e-14,1.3419279909342808e-13,1.687703282808149e-15,4.0535653985746253e-23,2.54719665787713e-18,1.8193630272437571e-23,8.1232934299039019e-19,2.6153187591949846e-24,2.6153253088327539e-24,5.8018299844298188e-30,7.4780778497428091e-31,3.8480772673221601e-27,2.611857619872068e-55,2.475523796380184e-55,2.475523798043032e-55,7.7892996703235797e-27
2.922438528059173e-15,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999841499798,1.0,18.999999999999993,1.0273709439885729e-10,6.4400415878752762e-10,6.4400285689756199e-10,4.9351967274473818e-15,4.2047993245348545e-16,1.9366008417586692e-10,2.0109805758441351e-13,1.3271365508739276e-13,2.5551967830331944e-13,3.2143743495287477e-15,7.8437842562607402e-23,4.8523357627541759e-18,3.4831918253083084e-23,1.5474698142681478e-18,6.7583474728007177e-24,6.758369842059016e-24,1.9813445394068734e-29,2.555812905886345e-30,9.9708046379389886e-27,1.8563983239350586e-54,1.7594979962705278e-54,1.7594979976515487e-54,2.0128980566563982e-26
4.534818782666076e-15,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999754052216,1.0,18.999999999999982,1.5941964226798611e-10,9.9931412645500822e-10,9.993106420437051e-10,1.1874859953515779e-14,6.6330912063001951e-16,3.0010986806142603e-10,4.834054253664252e-13,2.0576058087715572e-13,6.1422571789286756e-13,7.7308631343192562e-15,1.9152141454741512e-22,1.1675435989196608e-17,8.4182486629495817e-23,3.723471787831846e-18,2.5526500724920646e-23,2.5526635218706813e-23,1.1909680722510184e-28,1.5396978944002344e-29,3.7731554330225021e-26,5.045299152501812e-53,4.7819446140740663e-53,4.781944620564093e-53,7.6030890991474294e-26
5.971812343680558e-15,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999676117246,1.0,18.999999999999968,2.0993654475279949e-10,1.3159736020355559e-09,1.315967285676279e-09,2.0588609905136108e-14,8.7971754456875595e-16,3.9474305720697954e-10,8.3747668049799547e-13,2.707574137151915e-13,1.0641165537823816e-12,1.3398989099313595e-14,3.3419325366894082e-22,2.0242783279929769e-17,1.4621389332939814e-22,6.4557705203793877e-18,5.7150496762920831e-23,5.7150875040754774e-23,3.3492271675283213e-28,4.3355117197066205e-29,8.4524380588315314e-26,2.8145595921688815e-52,2.6676452187096267e-52,2.6676452226932881e-52,1.7022826422144159e-25
7.40880590469504e-15,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999598182721,1.0,18.99999999999995,2.6045344710935684e-10,1.632631530545257e-09,1.6326215446363018e-09,3.1685791417307282e-14,1.0961277653862252e-15,4.8915296676664105e-10,1.2878771973371947e-12,3.3565600219713137e-13,1.6364054986845115e-12,2.0613690536032921e-14,5.1634371603686685e-22,3.1153465182606721e-17,2.2523583368594425e-22,9.935439894160513e-18,1.0771526411727277e-22,1.0771612352598731e-22,7.6079259578273281e-28,9.861611876539036e-29,1.5935618962183728e-25,1.088519993100621e-51,1.0317014404255725e-51,1.0317014422182538e-51,3.2085002863155738e-25
8.845799465709522e-15,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999520248672,1.0,18.999999999999929,3.1097034933765836e-10,1.9492879135883521e-09,1.9492734189780065e-09,4.5166350265766733e-14,1.3125382944420931e-15,5.8334009613213686e-10,1.8343915237919697e-12,4.0045648709363766e-13,2.3308187943802505e-12,2.9373364694751868e-14,7.3797190352851799e-22,4.4407407053151461e-17,3.2123070004004636e-22,1.4162470202443255e-17,1.8147284098309696e-22,1.8147452901130019e-22,1.4941075039645598e-27,1.9392069924689847e-28,2.6852366092904806e-25,3.4865312392060306e-51,3.3045413510364338e-51,3.3045413573594433e-51,5.4056704641135715e-25
1.0282793026724003e-14,0.36495218853377115,154.0,0.0,0.0,0.0,0.99999999442315091,1.0,18.999999999999904,3.6148725143770439e-10,2.265942752843704e-09,2.2659229087580953e-09,6.1030229757363251e-14,1.5289474160559761e-15,6.7730496726710686e-10,2.47679446959151e-12,4.6515901565339833e-13,3.1470703091041227e-12,3.9676334432269256e-14,9.9907687688753497e-22,6.0004530910866674e-17,4.3418006745302293e-22,1.9136851311029353e-17,2.8287728913750872e-22,2.8288029080284419e-22,2.6564460894016966e-27,3.4521924607649915e-28,4.1862344088676502e-25,9.4962763166182791e-51,9.0005899425734151e-51,9.0005899613841835e-51,8.4265367284211385e-25
1.3156780148752967e-14,0.36495218853377104,154.0,0.0,0.0,0.0,0.99999999286449304,1.0,18.99999999999984,4.6252105525303084e-10,2.8992478059815937e-09,2.899214734836014e-09,9.9907748108726391e-14,1.9617620971912108e-15,8.6456979610809256e-10,4.048463216482361e-12,5.9427072945729481e-13,5.1440676824958527e-12,6.4906169576867828e-14,1.6397138261790296e-21,9.8228046420954185e-17,7.1087648815526781e-22,3.1327629756687259e-17,5.8456202948143161e-22,5.8456972342277524e-22,6.8071168264144922e-27,8.8682451724562206e-28,8.6522549595588542e-25,5.086115676606499e-50,4.8206308270636997e-50,4.8206308389815098e-50,1.7414363899454758e-24
1.603076727078193e-14,0.3649521885337708,154.0,0.0,0.0,0.0,0.99999999130585349,1.0,18.999999999999762,5.6355485855533777e-10,3.5325467033322722e-09,3.5324970233226624e-09,1.4831789393596482e-13,2.3945727132469322e-15,1.0509516047909057e-09,6.0010923597952821e-12,7.2299231682158245e-13,7.6251218350535624e-12,9.6289821741456562e-14,2.4382470684061388e-21,1.4582339086991592e-16,1.0551781677692685e-21,4.6507694416774584e-17,1.0483681469343682e-21,1.0483845694720566e-21,1.4525656141696117e-26,1.8968815469172545e-27,1.5519008653600615e-24,1.8714190107962545e-49,1.7737347845926009e-49,1.7737347895305187e-49,3.1233212515845989e-24
1.8904754392810892e-14,0.3649521885337707,154.0,0.0,0.0,0.0,0.99999998974723248,1.0,18.999999999999662,6.6458866134462727e-10,4.165839458987324e-09,4.1657697746957685e-09,2.0626018958079757e-13,2.8273790880399331e-15,1.2364547572083309e-09,8.3327991894654209e-12,8.5132501291530234e-13,1.0587840553504462e-11,1.3381319954236398e-13,3.3946686916898419e-21,2.0278991063962245e-16,1.4669302996704511e-21,6.4676960003442123e-17,1.7118778018689495e-21,1.71190891826752e-21,2.7514782001770083e-26,3.6016165684350489e-27,2.5343398659702941e-24,5.6282193059534502e-49,5.3344378956021824e-49,5.3344379120950317e-49,5.1003688981647145e-24
2.1778741514839855e-14,0.3649521885337704,154.0,0.0,0.0,0.0,0.99999998818862934,1.0,18.999999999999552,7.6562246362090123e-10,4.7991260867421172e-09,4.7990329894241454e-09,2.7373416630177649e-13,3.260181510002904e-15,1.4210835128617119e-09,1.1041746032926486e-11,9.7927002578715034e-13,1.4029888850222907e-11,1.7746250734625217e-13,4.5089709319838476e-21,2.6912696644647345e-16,1.9459813263195449e-21,8.5835342832925944e-17,2.6119781078850878e-21,2.6120322234627299e-21,4.7838479940744989e-26,6.2770977018348161e-27,3.86721968251877e-24,1.475126807381527e-48,1.398128258536671e-48,1.398128263336149e-48,7.7825985837789788e-24
2.4652728636868817e-14,0.36495218853377026,154.0,0.0,0.0,0.0,0.99999998663004441,1.0,18.999999999999428,8.6665626538416138e-10,5.4324065999694547e-09,5.4322866679633634e-09,3.5073936859547082e-13,3.6929794353570594e-15,1.6048419879790919e-09,1.412615702987494e-11,1.1068285252346549e-12,1.7949010277618758e-11,2.2722437291707825e-13,5.7811462442667306e-21,3.4483393917712312e-16,2.4921843415808004e-21,1.0998276158876299e-16,3.7845163093912283e-21,3.7846044358859384e-21,7.7881879093044662e-26,1.024461561755054e-26,5.6036929140009041e-24,3.4693977854856062e-48,3.2883024959008226e-48,3.288302508432865e-48,1.1276959193622361e-23
2.752671575889778e-14,0.36495218853376993,154.0,0.0,0.0,0.0,0.99999998507147769,1.0,18.999999999999282,9.6769006663440981e-10,6.0656810118451556e-09,6.0655308107634186e-09,4.372753465353671e-13,4.1257733772267888e-15,1.7877342269761162e-09,1.7584287301960284e-11,1.2340016628350986e-12,2.2342987754460363e-11,2.830856199441216e-13,7.2111871762310564e-21,4.2991021925914279e-16,3.1053945917352643e-21,1.371191359486122e-16,5.2648995419793756e-21,5.2650357542182813e-21,1.2034198712254505e-25,1.5870251782184695e-26,7.7962753881847131e-24,7.4917486839994774e-48,7.1006952432337383e-48,7.1006952733681963e-48,1.5689115957868063e-23
3.040070288092674e-14,0.3649521885337696,154.0,0.0,0.0,0.0,0.99999998351292885,1.0,18.999999999999126,1.0687238673716482e-09,6.6989493355922216e-09,6.6987654182767151e-09,5.3334164777973179e-13,4.5585629950224943e-15,1.9697642798473985e-09,2.1414389563903665e-11,1.3607905934008147e-12,2.7209601141219339e-11,3.4503302578834642e-13,8.799086235243894e-21,5.2435519532702848e-16,3.7854668141059811e-21,1.6724438515733656e-16,7.0887238025846109e-21,7.0889255435333844e-21,1.7818219940072615e-25,2.3558749373173533e-26,1.0497775067429382e-23,1.4997210305365168e-47,1.4214387905197361e-47,1.4214387971780024e-47,2.1125320085941318e-23
3.3274690002955705e-14,0.36495218853376926,154.0,0.0,0.0,0.0,0.99999998195439788,1.0,18.999999999998948,1.1697576675958778e-09,7.332211584558842e-09,7.3319904909607657e-09,6.3893781488789337e-13,4.9913488683450561e-15,2.1509362269572339e-09,2.5614703428063149e-11,1.4871964819786633e-12,3.2546613650213466e-11,4.1305324170577664e-13,1.0544835844618046e-20,6.2816825053494741e-16,4.5322543606381625e-21,2.0035842755007778e-16,9.2919864327947474e-21,9.2922748244000564e-21,2.5463703700830582e-25,3.3754568298372808e-26,1.3761606762355496e-23,2.8176600526245311e-47,2.670584255616532e-47,2.6705842692900358e-47,2.7693042003730838e-23
3.902266424701363e-14,0.3649521885337684,154.0,0.0,0.0,0.0,0.99999997883738923,1.0,18.999999999998554,1.3718252665053197e-09,8.5987179111886195e-09,8.5984120336641955e-09,8.787179238948318e-13,5.8569074591233819e-15,2.5107219587426559e-09,3.5118996291602065e-11,1.7388637566505805e-12,4.4622980215411006e-11,5.672590678904394e-13,1.4509856521106569e-20,8.6389615006250401e-16,6.2253927790772067e-21,2.7555256648454974e-16,1.4980274540407167e-20,1.4980816131543215e-20,4.7790989155781389e-25,6.3681244484571251e-26,2.2189199948422136e-23,8.6496529297468373e-47,8.1981599784318968e-47,8.1981600282521757e-47,4.4651448808364173e-23
