Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122)
0.0,0.36495218853377137,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.542697983884298e-22,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,3.0031494692982245e-17,1.8825251707493957e-16,1.8825251707548838e-16,8.4241667018769362e-28,8.4241115423154036e-28,5.6745814265815487e-17,3.4384993114684781e-26,3.8853838791650973e-20,4.3690339348862237e-26,5.4910730216912866e-28,1.9720649596600512e-40,8.2827906562123763e-31,2.5708048357324465e-40,2.6414440013345772e-31,9.4254674423344874e-43,9.4254674423655128e-43,2.7492822177870622e-54,3.5337464319632355e-55,6.9744459394949525e-46,5.1988212358897228e-98,4.9274528653040458e-98,4.927452865304051e-98,2.8070771164306129e-45
2.3919554354876036e-21,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999999999867,1.0,19.0,8.4088185140350147e-17,5.2710704780532175e-16,5.2710704780863674e-16,5.0881966878626617e-27,5.0881312028103526e-27,1.5888827968605453e-16,2.076853581310445e-25,1.0879074850340714e-19,2.6388964930925505e-25,3.3166081030032178e-27,2.3412062622752097e-39,5.002805556234155e-30,3.051944491508581e-39,1.5954321767936114e-30,1.1189914947426821e-41,1.1189914947496224e-41,6.1500343239268466e-53,7.904849411772053e-54,1.053978270418075e-44,5.5397474553055707e-96,5.2505833982644445e-96,5.2505833982644536e-96,3.3325619527238931e-44
5.4673267096859516e-21,0.36495218853377137,154.0,0.0,0.0,0.0,0.999999999999997,1.0,19.0,1.9220156603508536e-16,1.2048161092480501e-15,1.20481610926401e-15,2.449747676799301e-26,2.4496833839897089e-26,3.6317320949361727e-16,9.9991559555025845e-25,2.4866456747405708e-19,1.2705150628968203e-24,1.5968040315603474e-26,2.2985482200785082e-38,2.4086355226493779e-29,2.9961736153921864e-38,7.6813191556938533e-30,1.0986324850435754e-40,1.0986324850572886e-40,1.2151431342342622e-51,1.5618650327755003e-52,1.1338217276290866e-43,1.2607169066009757e-93,1.1949099328293827e-93,1.1949099328293872e-93,3.2719290871980925e-43
1.1618069258082646e-20,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999999999367,1.0,19.0,4.0842832782455347e-16,2.5602342320613655e-15,2.5602342321310626e-15,1.0698691710283079e-25,1.0698123061948861e-25,7.7174306497708165e-16,4.3668940819089558e-24,5.2841220360390747e-19,5.5486730418352036e-24,6.9736627050239965e-26,2.0329296373208006e-37,1.0519144131558854e-28,2.6496484195906162e-37,3.3546338815015752e-29,9.7172799136155728e-40,9.7172799138595931e-40,2.1622822423666879e-50,2.7792553653802537e-51,1.0421775081434415e-42,2.13055583766026e-91,2.0193449612189976e-91,2.0193449612190131e-91,2.8939842245444837e-42
2.3919554354876038e-20,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999999998701,1.0,19.0,8.4088185140348031e-16,5.2710704773994441e-15,5.2710704776903933e-15,4.4664931843445843e-25,4.4660152251867372e-25,1.5888827594173653e-15,1.8230922956501765e-23,1.0879074686178105e-18,2.3164617423534059e-23,2.9113668868291942e-25,1.7086144402437306e-36,4.3915356042760356e-28,2.2264607133901516e-36,1.4004936093335878e-28,8.1679592767170435e-39,8.1679592771286206e-39,3.6470049120556416e-49,4.687620363406432e-50,8.9160480011538038e-42,3.1196030587883458e-89,2.9567658384807806e-89,2.9567658384808256e-89,2.432568116923858e-41
4.852252454846282e-20,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999999997369,1.0,19.0,1.705788898561296e-15,1.0692742966921535e-14,1.0692742968109958e-14,1.8247082034546753e-24,1.8243163830624876e-24,3.2231620821913559e-15,7.447926715954376e-23,2.2068979696624253e-18,9.4635018416372759e-23,1.1893883560072237e-24,1.4005213826973976e-35,1.7940855859031432e-27,1.8241935712810869e-35,5.7214733631775014e-28,6.6965865011949153e-38,6.6965865018709316e-38,5.9902160741324245e-48,7.6994304085740578e-49,7.3719609116419096e-41,4.265793306508478e-87,4.0431271815752382e-87,4.0431271815753596e-87,1.9943663127535275e-40
9.772846493563639e-20,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999999994704,1.0,19.0,3.435602992876778e-15,2.1536087941350482e-14,2.1536087946152695e-14,7.3757623005961975e-24,7.3725898754862437e-24,6.4917204633130529e-15,3.0105709215189195e-22,4.4448788558188943e-18,3.8252985759303655e-22,4.8076977981344637e-24,1.1336865065031192e-34,7.2519807819901676e-27,1.4753499124641054e-34,2.3127110112686206e-27,5.4230693674999104e-37,5.4230693685957615e-37,9.710396948742592e-47,1.2481108112496581e-47,5.994756190766976e-40,5.6419200085427938e-85,5.3474227426909206e-85,5.347422742691244e-85,1.6150895490029282e-39
1.9614034570998352e-19,0.3649521885337714,154.0,0.0,0.0,0.0,0.99999999999989364,1.0,19.0,6.8952311815071405e-15,4.3222777871755882e-14,4.32227778910526e-14,2.9657615784670067e-23,2.9632091612056051e-23,1.3028836167851476e-14,1.2105372146483656e-21,8.9208401644008499e-18,1.5381355908961032e-21,1.933154056225108e-23,9.1169848007394915e-34,2.9159895723751471e-26,1.1843958960950537e-33,9.2993092546288484e-27,4.3649580202817523e-36,4.3649580220465862e-36,1.5638290282104734e-45,2.0100438649781459e-46,4.8349880554726128e-39,7.3402926017317405e-83,6.9571435853706765e-83,6.9571435853715178e-83,1.2999645810620306e-38
3.9296410725867774e-19,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999999978684,1.0,19.0,1.3814487558765459e-14,8.6596157658823959e-14,8.6596157736110151e-14,1.189403037630807e-22,1.1873565289471244e-22,2.6103063346109814e-14,4.8547947590223787e-21,1.7872760926641204e-17,6.1686105267877838e-21,7.7528117209589799e-23,7.3031426814538469e-33,1.1694422355803781e-25,9.4547490381310767e-33,3.7294389289024351e-26,3.5026039109201683e-35,3.5026039137531155e-35,2.5102904336343805e-44,3.2265651774428305e-45,3.88372536443338e-38,9.4722587354469862e-81,8.977825227986243e-81,8.9778252279884172e-81,1.0431397112592937e-37
7.866116303560663e-19,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999999957334,1.0,19.0,2.7653000313272468e-14,1.7334291693852584e-13,1.7334291724725619e-13,4.7638160256987413e-22,4.7474453578090481e-22,5.2251500779363379e-14,1.9444494319969368e-20,3.5776595031430753e-17,2.4706608271609933e-20,3.1051679977915174e-22,5.8312105917945173e-32,4.6838686905005042e-25,7.4975107810586214e-32,1.493720833392442e-25,2.8063454178354905e-34,2.8063454223755872e-34,4.0230053687077403e-43,5.1709161648953912e-44,3.1132866210073077e-37,1.2173812777568694e-78,1.153836339661738e-78,1.1538363396622972e-78,8.3578116544233642e-37
1.5739066765508432e-18,0.36495218853377137,154.0,0.0,0.0,0.0,0.99999999999914635,1.0,19.0,5.5330025822247983e-14,3.468364343244585e-13,3.4683643555367217e-13,1.9067678820566743e-21,1.8937033187408761e-21,1.0454830795290576e-13,7.7828593528105774e-20,7.1584233562269814e-17,9.8890747220644442e-20,1.2428760004244649e-21,4.6365062254662986e-31,1.8747681035078947e-24,5.8816467694620387e-31,5.9787760569122914e-25,2.2467826998471378e-33,2.2467827071171926e-33,6.4420348607645584e-42,8.2801991378141406e-43,2.4931543357025825e-36,1.5614124268446655e-76,1.4799097310333129e-76,1.4799097310347479e-76,6.6913313300536759e-36
3.1484967689403973e-18,0.3649521885337713,154.0,0.0,0.0,0.0,0.99999999999829237,1.0,19.0,1.1068407684004503e-13,6.9382346443616339e-13,6.9382346930299937e-13,7.6295550923402761e-21,7.5256637406821477e-21,2.091416515288325e-13,3.1141528986970384e-19,1.431993919091846e-16,3.9569121469514921e-19,4.973119491285568e-21,3.6603889777363187e-30,7.5015142200277343e-24,4.5244689185962975e-30,2.3922891740080186e-24,1.7981089828764433e-32,1.7981089945132152e-32,1.0311402086660116e-40,1.3253698475512586e-41,1.9955340407994785e-35,2.0006355950984198e-74,1.896206303125009e-74,1.8962063031286857e-74,5.3550988550788018e-35
6.297676953719505e-18,0.36495218853377137,154.0,0.0,0.0,0.0,0.9999999999965844,1.0,19.0,2.2139217887502312e-13,1.3877975062823602e-12,1.3877975253476358e-12,3.0523187509149301e-20,2.9702344513521299e-20,4.1832725560166153e-13,1.2458602549095712e-18,2.8642923374553499e-16,1.5830178338768184e-18,1.9895688816031463e-20,2.8515727615727247e-29,3.0010940037348356e-23,3.3586956572014874e-29,9.5707142979459861e-24,1.4387603497080759e-31,1.4387603683305385e-31,1.650144346656767e-39,2.1210192269524476e-40,1.5968316617304422e-34,2.5621120150906059e-72,2.428374744822588e-72,2.4283747448320064e-72,4.2848929650822221e-34
