Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159)
0.0,0.4632034008695547,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.194455394095761e-22,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999999978,1.0,19.0,1.7035797842718602e-17,9.8061322282160036e-17,9.8061322282160036e-17,5.2103325576591009e-29,5.2103246930135133e-29,1.4310012513353108e-16,1.3211122267280375e-26,2.9985534670853705e-19,2.0850529039893623e-26
3.3444751034681307e-22,0.4632034008695547,154.0,0.0,0.0,0.0,0.999999999999999,1.0,19.0,4.7700233959612038e-17,2.7457170238987899e-16,2.7457170238987899e-16,3.1470408648141973e-28,3.1470315279194179e-28,4.0068035026148305e-16,7.9795178475694477e-26,8.3959497062987888e-19,1.2593719537147724e-25
7.64451452221287e-22,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999999767,1.0,19.0,1.0902910619339877e-16,6.2759246260464068e-16,6.2759246260464068e-16,1.5151647077494174e-27,1.5151555407571524e-27,9.15840800067771e-16,3.8417943525232813e-25,1.9190742178564641e-18,6.0633338403790272e-25
1.624459335970235e-21,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999999512,1.0,19.0,2.3168685066097171e-16,1.3336339830314592e-15,1.3336339830314592e-15,6.6171223480426205e-27,6.6170412675037352e-27,1.9461616978818834e-15,1.6778125250493601e-24,4.0780327098452404e-18,2.6480171834970509e-24
3.344475103468131e-21,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999999001,1.0,19.0,4.7700233959611508e-16,2.7457170238742782e-15,2.7457170238742779e-15,2.7625183219048628e-26,2.7624501696163916e-26,4.0068034863162528e-15,7.0045370000548264e-24,8.3959496839652133e-18,1.1054950455826643e-23
6.784506638463922e-21,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999997979,1.0,19.0,9.6763331746639325e-16,5.5698831055166486e-15,5.5698831055166415e-15,1.1285788731786532e-25,1.1285229991103513e-25,8.1280870344095759e-15,2.8615819055202119e-23,1.7031783592774856e-17,4.5163079573379888e-23
1.3664569708455506e-20,0.46320340086955464,154.0,0.0,0.0,0.0,0.99999999999995925,1.0,19.0,1.9488952732069119e-15,1.1218215268628317e-14,1.1218215268628271e-14,4.5618962490372698e-25,4.561443787325487e-25,1.637065401549455e-14,1.1566971497396813e-22,3.4303451252672906e-17,1.8255638713405361e-22
2.742469584843867e-20,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999991818,1.0,19.0,3.9114191846878045e-15,2.2514879594159503e-14,2.2514879594159137e-14,1.8343184173164394e-24,1.8339542705356622e-24,3.2855787517257824e-14,4.6510282914879364e-22,6.884678594158408e-17,7.3405119182959791e-22
5.494494812840501e-20,0.4632034008695548,154.0,0.0,0.0,0.0,0.99999999999983602,1.0,19.0,7.8364670076490019e-15,4.5108208242454207e-14,4.5108208242451285e-14,7.3564372686104339e-24,7.3535157618173505e-24,6.5826052679157818e-14,1.8652703076748855e-21,1.3793345279586682e-16,2.943873497692904e-21
1.0998545268833768e-19,0.4632034008695547,154.0,0.0,0.0,0.0,0.99999999999967171,1.0,19.0,1.5686562653569059e-14,9.0294865527980705e-14,9.0294865527957304e-14,2.9464120017109622e-23,2.9440721088303528e-23,1.3176657563645227e-13,7.4708099520509953e-21,2.761067764102746e-16,1.1790848400711867e-20
