Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327)
0.0,0.8897127550853305,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.176105573823807e-22,0.8897127550853305,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,3.497381580375049e-17,1.061378829055322e-16,1.061375589596262e-16,5.3834474175574473e-29,5.3834484132943342e-29,3.3353531862631563e-16,5.6510770341021874e-26,7.6923802657997492e-19,9.0868475337506954e-26,3.1968524408007425e-29,6.1337401746723891e-42,3.2103012579402365e-31,7.2846553800144512e-42,2.2362560951484765e-31,4.337796477064208e-43,4.3377964770656943e-43,1.3065358809519414e-55,1.7930452690415829e-56,7.5344580722717835e-33,1.1505579475800986e-99,1.0759213211959812e-99,1.075921321195983e-99,4.261093860477887e-47,3.2394593774777644e-22,1.5378476817577368e-40,4.1873253804443522e-47,3.1780173188204983e-42,1.9763972728342357e-42,9.5027757546390981e-62,5.2701749760069104e-49,3.3234832886696999e-78,5.3392174467286921e-63,4.0935499760633356e-58,1.0644630421156346e-71,1.3316027924580994e-84,1.4559248031235355e-97,4.0066118446722194e-98,1.3445011978542983e-72,1.4038876773266966e-111,1.1523907631158349e-115,4.8226497432347393e-112,1.1862267368380785e-103,1.4905933703163248e-100,1.5206293321991534e-39,7.7128474892982302e-52,7.4747382691369746e-52,3.4998927972675183e-52
6.093095606706659e-22,0.8897127550853305,154.0,0.0,0.0,0.0,0.99999999999999845,1.0,19.0,9.7926684250501234e-17,2.9718607213521171e-16,2.9718516508677774e-16,3.2516022401818334e-28,3.2515938398367072e-28,9.3389889166742284e-16,3.413250527114755e-25,2.1538664736888645e-18,5.4884559080008337e-25,1.9308988737499807e-28,7.2819096653550827e-41,1.9390219594224222e-30,8.648114462152606e-41,1.3506986814664433e-30,5.1498319775577693e-42,5.1498319775610932e-42,2.9226684998633319e-54,4.0109705436681926e-55,4.550812675652933e-32,1.2260087764398283e-97,1.1464776592256292e-97,1.146477659225633e-97,5.0587776212130706e-46,9.0704862574259647e-22,9.2885999983810033e-40,4.9711924477995273e-46,3.7729421594013593e-41,2.3463788413744874e-41,2.1257329252154328e-60,6.2567517315086339e-48,1.3714446848259166e-76,1.1943631605084971e-61,4.8599185809795745e-57,4.3925421986729355e-70,1.0023986176790054e-82,1.98733268545994e-95,5.4690123142338837e-96,3.0076285358929266e-71,3.4633827930189529e-109,2.8429498646200709e-113,1.1897448863928159e-109,1.6191956903736996e-101,2.0346551684607789e-98,9.1846011664652807e-39,9.1566925392248757e-51,8.8740092660741074e-51,4.1550727285621214e-51
1.3927075672472364e-21,0.8897127550853305,154.0,0.0,0.0,0.0,0.99999999999999634,1.0,19.0,2.2383242114400223e-16,6.7928245059345692e-16,6.7928037734037863e-16,1.5655065089914082e-27,1.565493295970716e-27,2.1346260358045948e-15,1.6433331992924668e-24,4.9231233649663799e-18,2.6424552592378217e-24,9.2964468904435473e-28,7.1492808745247253e-40,9.3355560524880008e-30,8.490286294735439e-40,6.503032724643226e-30,5.056135573626178e-41,5.0561355736327452e-41,5.7747004249779114e-53,7.925001882032527e-54,2.1910204074177958e-31,2.7901091243043548e-95,2.6091149095243738e-95,2.6091149095243901e-95,4.9667409296772971e-45,2.0732540019275268e-21,4.4720610593937025e-39,4.880745707467595e-45,3.7042969821599272e-40,2.3036886583192025e-40,4.2000900436121024e-59,6.1429159520126567e-47,5.4252987880757159e-75,2.3598618491397555e-60,4.7716156052014351e-56,1.7376471504407773e-68,7.9256697194761001e-81,3.1395006728208444e-93,8.6397048495643401e-94,5.9427104452558056e-70,1.0932877111611786e-106,8.9743645952476386e-111,3.7556732581318653e-107,2.5579340578433035e-99,3.2142586478376464e-96,4.42199009800873e-38,8.9900950333090746e-50,8.7125549046655951e-50,4.0794750433980046e-50
2.959503580400377e-21,0.8897127550853305,154.0,0.0,0.0,0.0,0.99999999999999212,1.0,19.0,4.7564389493100215e-16,1.4434752075054927e-15,1.4434708018447712e-15,6.8369782199435503e-27,6.8368399593954322e-27,4.5360803162987625e-15,7.1768678103237956e-24,1.046163713576036e-17,1.154029633090228e-23,4.0600025921650989e-27,6.3232067737248473e-39,4.0770825917951537e-29,7.5087016415405822e-39,2.8400452407884041e-29,4.4720946559104052e-40,4.4720946559220904e-40,1.0275770797306897e-51,1.4102117396716794e-52,9.568761751797165e-31,4.7151610735810996e-93,4.4092888520837021e-93,4.4092888520837591e-93,4.3930273222603964e-44,4.405664755078549e-21,1.9530665567006433e-38,4.3169633866687194e-44,3.276408725230961e-39,2.0375865263187787e-39,7.4738358227326535e-58,5.4333395932199886e-46,1.9362506012399601e-73,4.1992492761106796e-59,4.2206511648072376e-55,6.2015410823197961e-67,5.6649390075595882e-79,4.4909547074409886e-91,1.2358819828019169e-91,1.0575247990191994e-68,3.1288501562319713e-104,2.5683503759224634e-108,1.0748257607374739e-104,3.6590423765691468e-97,4.5978935856066286e-94,1.9311992518656379e-37,7.951637247111333e-49,7.7061561200844861e-49,3.6082494759671917e-49
6.093095606706659e-21,0.8897127550853305,154.0,0.0,0.0,0.0,0.99999999999998379,1.0,19.0,9.792668425049937e-16,2.9718607213117459e-15,2.9718516508423197e-15,2.8543038204699902e-26,2.8541787785541026e-26,9.3389888461664075e-15,2.996201022793595e-23,2.1538664630304119e-17,4.8178465291296247e-23,1.6949711572258979e-26,5.3146137620007173e-38,1.7021017217498619e-28,6.3100691539553734e-38,1.185662981602578e-28,3.7590650221283336e-39,3.7590650221480432e-39,1.7331589158808724e-50,2.378528212705085e-51,3.9947696699292998e-30,6.9040344540030765e-91,6.4561701450702075e-91,6.4561701450703753e-91,3.6926046465242961e-43,9.0704862645052396e-21,8.1536684164859754e-38,3.6286662972112925e-43,2.7540189424686279e-38,1.7127142432465628e-38,1.260571651410002e-56,4.5670493113279684e-45,6.5421531672021806e-72,7.0826485613788839e-58,3.5480669116965874e-54,2.0953608403900144e-65,3.8312014972455725e-77,6.0769151094800721e-89,1.6723281315863947e-89,1.7838430239681609e-67,8.46927991235835e-102,6.9521017995799979e-106,2.9093751291162444e-102,4.9512166947141004e-95,6.2216189703199727e-92,8.0623767190743264e-37,6.6838302278394805e-48,6.4774885050096385e-48,3.0329510956476499e-48
1.2360279659319222e-20,0.8897127550853305,154.0,0.0,0.0,0.0,0.99999999999996703,1.0,19.0,1.9865127376529431e-15,6.028631748852982e-15,6.0286133487924695e-15,1.1660762441625535e-25,1.1659701487138209e-25,1.8944805781418916e-14,1.2240458723793506e-22,4.3692719431214818e-17,1.9682474950361737e-22,6.9245102025650534e-26,4.3565487000696855e-37,6.9536408926371052e-28,5.1710045413520262e-37,4.8438201519531848e-28,3.0819086181497152e-38,3.0819086181820891e-38,2.8467186484254719e-49,3.9067397082099614e-50,1.631993756295501e-29,9.440683129564404e-89,8.8282665702627253e-89,8.8282665702631858e-89,3.0274205791005614e-42,1.8400129295857205e-20,3.3310395992005201e-37,2.9749973301966605e-42,2.2579111042345682e-37,1.4041866047370648e-37,2.0704927227834922e-55,3.7443429548534288e-44,2.1509168276063787e-70,1.1633271974376935e-56,2.9095022710953482e-53,6.8890882868537747e-64,2.5202924174248149e-75,7.9968789543624857e-87,2.2006898894808179e-87,2.9305354712313729e-66,2.2292538298394844e-99,1.8299078619683795e-103,7.6579517088143523e-100,6.5155230797614406e-93,8.1873011077623757e-90,3.2937439585087279e-36,5.4798078400687192e-47,5.3106363565401755e-47,2.4865965477202469e-47
2.4894647764544348e-20,0.8897127550853304,154.0,0.0,0.0,0.0,0.9999999999999335,1.0,19.0,4.0010045279487101e-15,1.2142173803650406e-14,1.2142136744512984e-14,4.7134666173261388e-25,4.7125930713803592e-25,3.8156439153992839e-14,4.9477890509764744e-22,8.8000828280328967e-17,7.9559709528057625e-22,2.7989977128760555e-25,3.5269245533609807e-36,2.8107728095015783e-27,4.1837777344918658e-36,1.9579495512806515e-27,2.495809502637945e-37,2.4958095026904247e-37,4.6146533585317184e-48,6.3329933438840056e-49,6.5967796963366108e-29,1.2486207192539077e-86,1.1676227666435252e-86,1.1676227666436466e-86,2.4516837529825619e-41,3.705941540855547e-20,1.3464594675001728e-36,2.4092258640359052e-41,1.8285149272125474e-36,1.1371467027809877e-36,3.3563579274890971e-54,3.0322660033730481e-43,6.9764471728322312e-69,1.8858034696938842e-55,2.3571340886945276e-52,2.234459219577982e-62,1.6352516743497506e-73,1.0378406187548584e-84,2.8560709368685686e-85,4.7523656444177195e-65,5.7865923974943997e-97,4.7499892476057351e-101,1.9878139193755486e-97,8.4558920616968324e-91,1.0625537408685288e-87,1.3313839703772721e-35,4.4376904613218422e-46,4.3006908904483822e-46,2.0137103477546817e-46
4.99633839749946e-20,0.8897127550853305,154.0,0.0,0.0,0.0,0.99999999999986655,1.0,19.0,8.0299881085397117e-15,2.4369257912105281e-14,2.436918353523486e-14,1.8952641953389452e-24,1.8945554208292916e-24,7.657970390741641e-14,1.9894841573008495e-21,1.7661704296772839e-16,3.1990608337332362e-21,1.1254646502911047e-24,2.8369719534189611e-35,1.1301993696313408e-26,3.3613098724210666e-35,7.8728290306638295e-27,2.0088446178939536e-36,2.0088446179784701e-36,7.431756186166686e-47,1.0199090300332377e-47,2.6525361022365322e-28,1.6244897874857787e-84,1.5191092305345008e-84,1.5191092305348174e-84,1.9733284071077717e-40,7.4377987833929327e-20,5.4140543215937035e-36,1.9391479635991491e-40,1.4717478499043304e-35,9.1527457060144247e-36,5.4053109723366759e-53,2.4406314805112469e-42,2.2475553871854062e-67,3.0370280429401912e-54,1.898745757761138e-51,7.1986073034413519e-61,1.0537497169487404e-71,1.3376328786271857e-82,3.681080042792238e-83,7.6594692883097133e-64,1.4916634939861847e-94,1.2244487500793259e-98,5.1241656767370358e-95,1.0898474303145584e-88,1.3694846719393921e-85,5.3534363877932111e-35,3.5718393517198559e-45,3.4615699893264429e-45,1.6208092671223494e-45
1.0010085639589512e-19,0.8897127550853308,154.0,0.0,0.0,0.0,0.99999999999973255,1.0,19.0,1.6087955269719599e-14,4.8823426124457066e-14,4.8823277113802037e-14,7.6008570936512277e-24,7.5951484245154528e-24,1.5342622544736724e-13,7.9787208166417631e-21,3.5384946029921254e-16,1.2829663998149381e-20,4.5136164666884104e-24,2.2736018445889225e-34,4.532604847203729e-26,2.6874082668546093e-34,3.1573565611493582e-26,1.6119712926855334e-35,1.6119712928212016e-35,1.1929612041393247e-45,1.6371797904262925e-46,1.0637856145982687e-27,2.096318013624358e-82,1.9603299874137844e-82,1.960329987414602e-82,1.583471783782404e-39,1.4901513348458636e-19,2.1712779502748692e-35,1.5560335098861801e-39,1.1809848967559858e-34,7.344501602867592e-35,8.6767212091833839e-52,1.9584530572137279e-41,7.2164289951320557e-66,4.875101495894194e-53,1.5260619829130599e-50,2.3113213181261258e-59,6.7671031729627529e-70,1.7180824473141024e-80,4.7280528994342489e-81,1.2314185434679837e-62,3.8318967118884315e-92,3.1454555617341838e-96,1.316330758158541e-92,1.3998218755152827e-86,1.7589935287956626e-83,2.1469674292386901e-34,2.8661761301261909e-44,2.7776916079076642e-44,1.3005973464703188e-44
