Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065)
1.143145106346284e-17,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999947276,1.0,19.0,7.2108006143116143e-14,2.1674408179966992e-13,2.167440201477775e-13,4.5942080583688566e-21,4.4749137620409523e-21,2.166768893000364e-14,1.0546161860180435e-19,3.8240331300587516e-18,1.0316472437763051e-19,3.3237181645826267e-21,3.8565507672915339e-30,2.0916675847681323e-24,5.2487279834240514e-30,3.665654158638173e-25,4.2919782252958269e-33,4.2919782842844629e-33,5.2669225027923343e-41,6.3194058542392191e-42,1.4847624829042841e-25,2.4052955886643173e-75,2.3147040961621184e-75,2.3147040961639647e-75,2.8052090312950927e-35,6.4856246679139922e-20,2.8284955684411073e-34,1.045830733912191e-35,4.2536312707567662e-33,4.3483355520911504e-33,4.7408176336599667e-48,1.2243775278499833e-38,1.7658289378332763e-61,7.9397795224246725e-49,8.9321600837959051e-49,9.3365433814932455e-54,1.496556011176314e-62,5.6708772511586896e-71,8.1868246512915719e-73,7.9400265718157035e-59,1.0727978566518795e-81,3.0423134927519418e-85
2.2872833882845283e-17,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999894507,1.0,19.0,1.442786604229898e-13,4.3367645781023843e-13,4.3367634041159092e-13,1.8388804294360117e-20,1.7456374969736669e-20,4.3353775498139258e-14,4.221177478847199e-19,7.651342241866328e-18,4.1292426280560425e-19,1.3303495897187079e-20,3.0002403764076843e-29,8.3721210383383479e-24,3.8651414035472343e-29,1.4672169164047976e-24,3.4361921431275252e-32,3.4361922375841857e-32,8.4337410606057197e-40,1.0119241938408412e-40,5.9429191796009566e-25,3.0850303609124533e-73,2.9688377790863766e-73,2.9688377790911126e-73,2.2458729716136992e-34,1.297694355172067e-19,1.1321399126402425e-33,8.3657500259500728e-35,3.4054645402955718e-32,3.4812849513349305e-32,7.5914850924935756e-47,9.8024645929220299e-38,5.6554073391930976e-60,1.2713842824448458e-47,1.3508577935073085e-47,2.9901733265400009e-52,9.5860378350268697e-61,7.2648953917112808e-69,1.0488046612483008e-70,2.3975303766047523e-57,2.7487072885635253e-79,7.7949725405630476e-83
4.575559952161017e-17,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999788958,1.0,19.0,2.8861996898082006e-13,8.6754116682532593e-13,8.6754095333404082e-13,7.3579163384753565e-20,6.6455586964321427e-20,8.6724665738308459e-14,1.6889922772884921e-18,1.53058212816192e-17,1.6522069836643285e-18,5.3231003283276221e-20,2.2722068513114911e-28,3.3499386671870426e-23,2.6631305304756543e-28,5.8707784512867993e-24,2.7499978135796444e-31,2.7499979647653705e-31,1.3498846761655948e-38,1.6197245941750424e-39,2.3779416532818555e-24,3.9528446961438879e-71,3.8039673185952562e-71,3.8039673186073924e-71,1.797381039125263e-33,2.595975972297804e-19,4.530070807333434e-33,6.683559313899173e-34,2.7253636211271467e-31,2.7860420357307424e-31,1.2151320227501984e-45,7.8449502646610776e-37,1.8104915258734357e-58,2.0349950800246447e-46,2.0986703128656775e-46,9.5723580075578003e-51,6.1375454898697081e-59,9.302859277809956e-67,1.3430175843364727e-68,7.442570193542661e-56,7.0395732918882283e-77,1.9963307156227752e-80
9.152113079913994e-17,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999577871,1.0,19.0,5.7730258608881216e-13,1.7352704273053176e-12,1.7352700687582659e-12,2.9436451497418953e-19,2.4212677508473764e-19,1.7346131493780184e-13,6.7568405038723814e-18,3.0614222645921682e-17,6.6096803508946861e-18,2.1295620540617889e-19,1.641065074959212e-27,1.3401933983863917e-22,1.6633056850695927e-27,2.3486933803089077e-23,2.2004157038453591e-30,2.2004159457711158e-30,2.1600529107553165e-37,2.5920446690951835e-38,9.5133141360332366e-24,8.8626056227087268e-69,8.5288101971385825e-69,8.5288101971929129e-69,1.4381780691783742e-32,5.1926105679976943e-19,1.8123524891919029e-32,5.3294187971333998e-33,2.1806361629211518e-30,2.2291865813980782e-30,1.9446068969136446e-44,6.2771512421741735e-36,5.7947911719342028e-57,3.256501823903785e-45,3.3076822198768993e-45,3.0636571065549234e-49,3.928688237383746e-57,1.1909680000896505e-64,1.7193541758620779e-66,2.3448757191538891e-54,1.8024382102831805e-74,5.1114798869675881e-78
1.8305219335419948e-16,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999999155686,1.0,19.0,1.1546678202741228e-12,3.4707284024246768e-12,3.4707278579242776e-12,1.177553488357017e-18,8.19813040024634e-19,3.4691409064162547e-13,2.702773444542785e-17,6.1228798675668736e-17,2.6439085722216925e-17,8.5187441384368899e-19,1.0974836031620461e-26,5.3612083947906901e-22,9.2096719575873817e-27,9.3955358809566724e-23,1.760499120687095e-29,1.7604995077416942e-29,3.4557897894524553e-36,4.1475589186731504e-37,3.8056347105823139e-23,1.1384302062686219e-66,1.0955531102986455e-66,1.0955531103126262e-66,1.1506519469044462e-31,1.038616520512286e-18,7.2502334746317697e-32,4.2347192974174382e-32,1.7445644744401923e-29,1.7834060453543115e-29,3.1116877166875088e-43,5.0221964701396191e-35,1.8545281785713238e-55,5.2104439193267357e-44,5.2521286087575768e-44,9.8038276050584364e-48,2.514398510098669e-55,1.5244638630862339e-62,2.2008092585922453e-64,7.4447905562234515e-53,4.614319881113412e-72,1.3085616921086112e-75
3.6611431846431857e-16,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999998311329,1.0,19.0,2.3093982885220496e-12,6.9416425560296545e-12,6.9416416695286365e-12,4.7104024176822354e-18,2.4939357776537603e-18,6.937375706897621e-13,1.0810072108998145e-16,1.2244904523518372e-16,1.0574634871098877e-16,3.4074786423357426e-18,6.5907915711076333e-26,2.1445695471062478e-21,4.5363915438943347e-26,3.7583654743201635e-22,1.4084652170052255e-28,1.4084658361130155e-28,5.5274772493915616e-35,6.6360015362842873e-36,1.5223153757397566e-22,1.4573661793992511e-64,1.4024768870280515e-64,1.4024768870638469e-64,9.2056565394863717e-31,2.0774416261777267e-18,2.9003982126506691e-31,3.3420970192538214e-31,1.3955417009661676e-28,1.4266125104915925e-28,4.9789540722956051e-42,4.0179459308347323e-34,5.9348025265393038e-54,8.3355696655172892e-43,8.3712734071057651e-43,3.1368101884225579e-46,1.6090059628372412e-53,1.9510622385684733e-60,2.8166729597458427e-62,2.3729223767641644e-51,1.1811143831559715e-69,3.3494918803124821e-73
7.322385686845568e-16,0.6278673652978647,154.0,0.0,0.0,0.0,0.99999999996622602,1.0,19.0,4.6188592245271257e-12,1.3883464919401043e-11,1.3883462225843403e-11,1.8841967473166913e-17,6.6753118612052537e-18,1.387056400643625e-12,4.3229479618495023e-16,2.4485392671490365e-16,4.2287966076891992e-16,1.3628932166531036e-17,3.5015940509014845e-25,8.5784450519388454e-21,2.0436358318997303e-25,1.5033753303027752e-21,1.1267974130902766e-27,1.1267984030132279e-27,8.8375791347408438e-34,1.0616495829887239e-34,6.0893822800742037e-22,1.8655133807912142e-62,1.7952519000333762e-62,1.7952519001250167e-62,7.3647064048203069e-30,4.1555485501035029e-18,1.1603323426390459e-30,2.6031985403808194e-30,1.1161781407279616e-27,1.1410291047124672e-27,7.9665306718795641e-41,3.2144301179077541e-33,1.899186997973263e-52,1.3332246479628291e-41,1.3368338069150704e-41,1.0034349336957777e-44,1.0294138797340273e-51,2.496514603974445e-58,3.6041219139499539e-60,7.5782981477464792e-50,3.0226325372595823e-67,8.5718242492615811e-71
1.098362818904795e-15,0.6278673652978649,154.0,0.0,0.0,0.0,0.99999999994933875,1.0,19.0,6.9283201600414235e-12,2.0825281838382322e-11,2.0825275715280918e-11,4.0039383010949701e-17,1.1191195770944999e-17,2.080047255677249e-12,9.1846031612565687e-16,3.6722320691290624e-16,8.9845677149274847e-16,2.8959805081341055e-17,8.192910008971799e-25,1.8229294134057381e-20,4.5040844773263447e-25,3.1946895699972151e-21,3.2219535213512173e-27,3.2219571637524707e-27,3.2516655595195747e-33,3.9073540133908931e-34,1.2940010520460175e-21,9.6253737716771697e-62,9.2628499688706807e-62,9.2628499694333081e-62,2.1058600463970987e-29,6.2341121862700002e-18,2.4659413048225692e-30,7.331100681917376e-30,3.191128709443056e-27,3.2621770656995562e-27,2.9322294973412615e-40,9.191312515161945e-33,8.6710557211229944e-52,4.9062952597504469e-41,4.9183272123857251e-41,4.580661603337931e-44,5.6552178302059275e-51,1.6104254245494397e-57,2.3249092159716617e-59,3.4586493893096073e-49,2.2444523760362733e-66,6.3650021342307153e-70
1.4644870691250333e-15,0.6278673652978649,154.0,0.0,0.0,0.0,0.9999999999324517,1.0,19.0,9.2377810950649456e-12,2.7767093514000717e-11,2.7767082137857895e-11,6.8302632323272837e-17,1.5841385687038652e-17,2.7727102909393762e-12,1.5665206602146013e-15,4.8955689618377195e-16,1.5324027289408285e-15,4.9399271991252084e-17,1.4770586015264136e-24,3.1097112374711078e-20,7.8353953235660761e-25,5.449778317717011e-21,6.7960513073720177e-27,6.7960605425860896e-27,8.2442763235280036e-33,9.9093700577261588e-34,2.2074198388964153e-21,5.2510219542428638e-61,5.0532508869195218e-61,5.0532508872327266e-61,4.4418877650998842e-29,8.3131325343281078e-18,4.2069656016355296e-30,1.5253248274944376e-29,6.7301524273223061e-27,6.8799947864083506e-27,7.4367970504135857e-40,1.9387196754931525e-32,2.5846045742264213e-51,1.2441442562930691e-40,1.2470812342334311e-40,1.3651835831806639e-43,1.9441591655066522e-50,6.2885140093476745e-57,9.0784860497825457e-59,1.0306793612662243e-48,9.8284632550298248e-66,2.7872395157315414e-69
2.19673556956551e-15,0.6278673652978647,154.0,0.0,0.0,0.0,0.99999999989867727,1.0,19.0,1.3856702963960167e-11,4.1650704772024493e-11,4.1650678397574632e-11,1.4141215839489231e-16,2.5246894494705574e-17,4.1572674695207082e-12,3.2423610502184398e-15,7.341407771070808e-16,3.1717442659809069e-15,1.0226520346145889e-16,3.238775360534489e-24,6.4382764937832308e-20,1.6541639451337117e-24,1.1283097123509247e-20,1.8562166417786122e-26,1.8562198697764023e-26,2.8814937823607223e-32,3.4650374791721961e-33,4.570194354107736e-21,7.2928159638101792e-60,7.0181441013511403e-60,7.0181441018459163e-60,1.2132244052951934e-28,1.2472245104216065e-17,8.7112167554828027e-30,4.073400795493372e-29,1.8378172649166146e-26,1.87873503976871e-26,2.6006980050239758e-39,5.2952590860549475e-32,1.1313374492584158e-50,4.3496558012797122e-40,4.359923609650592e-40,5.9743010165665385e-43,1.0453956404432834e-49,4.0895519111920664e-56,5.9039293743227817e-58,4.5102534380076034e-48,7.6243834839468732e-65,2.1621991111026272e-68
