Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119)
2.0143330936379883e-17,0.36270426695717306,154.0,0.0,0.0,0.0,0.99999999999951183,1.0,19.0,4.6810979982784775e-14,2.1827840027001355e-13,2.1827837739726605e-13,1.3392080607086253e-20,1.2972628544476364e-20,4.8123779620931121e-15,3.8821250676434193e-20,3.8966903355450993e-19,3.2683195145405894e-20,1.0289443387559562e-20,1.3041613479784273e-29,3.9940100715042416e-24,1.8960918879337168e-29,2.0301693647358777e-25,2.5719451438979379e-33,2.5719452521263032e-33,9.70200732935414e-41,1.1208288005797313e-41,2.7516718841258425e-25,2.6346444811501675e-75,2.5579473465836286e-75,2.557947346584635e-75,1.5156827589912241e-34,3.2743086130033378e-20,2.6663114286256251e-34,4.1040398228975015e-35,8.7481758476608813e-34,1.0391123818235745e-33,4.718391318910742e-48,1.4730559997843964e-38,1.1409157684719638e-61,1.6850853275295365e-48,1.7157450881316008e-48,2.1564210080410712e-53,4.8862992562312547e-62,5.5105413833465531e-70,2.0855361648088815e-72,4.2544709546190426e-58,8.3361458901401231e-81
4.0304162594685384e-17,0.3627042669571729,154.0,0.0,0.0,0.0,0.99999999999902323,1.0,19.0,9.3662629800032137e-14,4.3674639795655321e-13,4.3674637036414503e-13,5.3603219160005175e-20,5.0340708093060946e-20,9.6287902341605826e-15,1.5538414421253686e-19,7.7966953229238192e-19,1.3081624675433655e-19,4.1184434002325023e-20,1.0184464527065762e-28,1.5986447547780991e-23,1.4081032515846322e-28,8.125967701064006e-25,2.0591197554136425e-32,2.0591199287148567e-32,1.5535343779362313e-39,1.7947769403602886e-40,1.1013857667424944e-24,3.3791927474605521e-73,3.2808210686548931e-73,3.2808210686574732e-73,1.2134678557471489e-33,6.5515721396505127e-20,1.0672349891925666e-33,3.2815459150124955e-34,7.0037745520928476e-33,8.319115874044805e-33,7.5555736220676198e-47,1.1793403674680185e-37,3.6540024623956375e-60,2.6982976018729473e-47,2.7228961837080543e-47,6.9062669214756307e-52,3.1298663026713889e-60,7.0594838743243509e-68,2.6717536289538694e-70,1.3500129586041862e-56,2.1358732018205467e-78
8.062582591129639e-17,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999999804601,1.0,19.0,1.8736592943318047e-13,8.7368226680469058e-13,8.7368227583700588e-13,2.1448266578268513e-19,1.8978357139994306e-19,1.9261174417653494e-14,6.2172273263868564e-19,1.559649272007925e-18,5.234217095819039e-19,1.6479014532592896e-19,7.7677572014542511e-28,6.3966602568518015e-23,9.8356213938554015e-28,3.2514451110468589e-24,1.6479212728094509e-31,1.6479215501876684e-31,2.4865038930984462e-38,2.8727816208361451e-39,4.4069769734622757e-24,4.3297536548604385e-71,4.2037101980411583e-71,4.2037101980477705e-71,9.7114316006188086e-33,1.3106429823761392e-19,4.2704545907364783e-33,2.6195659400516563e-33,5.6050115583225242e-32,6.657658706588088e-32,1.2093838015516993e-45,9.4383054412086321e-37,1.1697725457940666e-58,4.318923213296205e-46,4.3387759025360232e-46,2.2108793979997386e-50,2.003920533999468e-58,9.039807134214784e-66,3.4212327686684911e-68,4.3017497501979679e-55,5.4700643381362694e-76
1.612691525445184e-16,0.3627042669571729,154.0,0.0,0.0,0.0,0.99999999999609157,1.0,19.0,3.747725286940914e-13,1.7475535461035312e-12,1.7475537649393085e-12,8.5807006792696943e-19,6.7980025240709514e-19,3.8524181503111082e-14,2.4871658289810623e-18,3.1195237250328696e-18,2.0939182723686321e-18,6.5925801586975001e-19,5.679472683658984e-27,2.5590798200023551e-22,6.2609921792735815e-27,1.3007894252041128e-23,1.3185868509603926e-30,1.3185872948027656e-30,3.9786946522781734e-37,4.5972888287502971e-38,1.763077224780671e-23,9.7076611083859095e-69,9.4250613908759381e-69,9.4250613909055387e-69,7.7706220347955932e-32,2.6217467714690938e-19,1.7085595246972548e-32,2.0854578661534387e-32,4.4846421403648774e-31,5.3268787185891784e-31,1.9354077204850505e-44,7.5520757182702211e-36,3.7440590062444681e-57,6.9113305549444124e-45,6.9277472578767454e-45,7.0759462142269827e-49,1.282719172014124e-56,1.157286966435679e-63,4.3799032968743065e-66,1.3736315152682979e-53,1.4005697394648476e-73
3.2255580581096235e-16,0.362704266957173,154.0,0.0,0.0,0.0,0.9999999999921827,1.0,19.0,7.4958572719437051e-13,3.4952945339842061e-12,3.495295455771576e-12,3.4325575579550065e-18,2.2415363196502411e-18,7.7043151835996934e-14,9.9484335369654288e-18,6.2389325625314373e-18,8.3754796410319855e-18,2.6371679254523852e-18,3.8714553190525795e-26,1.0237146691041356e-21,3.5415376913663603e-26,5.2035784485819758e-23,1.0549687715821971e-29,1.0549694816324244e-29,6.3648919804902274e-36,7.3560998305226532e-37,7.0528791188564263e-23,1.2469790843906947e-66,1.2106782771466672e-66,1.2106782771542847e-66,6.2170898983985826e-31,5.2444833583280535e-19,6.8355912922746131e-32,1.6518203039642866e-31,3.5877044616398417e-30,4.2614919856886226e-30,3.0969670538824878e-43,6.0422303908929668e-35,1.1982246921328871e-55,1.1058125272288485e-43,1.1072959400579392e-43,2.2643133518131675e-47,8.2094606658348521e-55,1.4813395432328725e-61,5.6063225332652627e-64,4.3909348967527381e-52,3.5854903611865409e-71
6.451291123438504e-16,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999998436506,1.0,19.0,1.4992121241087584e-12,6.9907713317974529e-12,6.9907736879574868e-12,1.3730772513618515e-17,6.5873110119674594e-18,1.5405292745055256e-13,3.9787039708034892e-17,1.2476390259844622e-17,3.3496282586953771e-17,1.0548472750928238e-17,2.3837323350153666e-25,4.0950214470997563e-21,1.7773300698947538e-25,2.0815138968362347e-22,8.4401369133566349e-29,8.440148269307909e-29,1.0179014326243182e-34,1.1769364514241675e-35,2.821263890276319e-22,1.5963223580499111e-64,1.5498518196200156e-64,1.5498518196395185e-64,4.973911260617172e-30,1.0492072563765602e-18,2.7349853829619317e-31,1.2955514911639755e-30,2.8697401037466067e-29,3.4086905922457885e-29,4.955398269394086e-42,4.8340083393472937e-34,3.8345196588770716e-54,1.7690289836853811e-42,1.7707592978167277e-42,7.2447281400024644e-46,5.2532874361651392e-53,1.8958397868786667e-59,7.1750528250390358e-62,1.4043499402919936e-50,9.1775305231251897e-69
1.2902757254096264e-15,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999996872968,1.0,19.0,2.998464917592851e-12,1.3981707366506194e-11,1.3981709554500629e-11,5.49240763865937e-17,1.7020481433368101e-17,3.0795990082177539e-13,1.5908492452146779e-16,2.494586811487181e-17,1.339318940590544e-16,4.218973695663445e-17,1.2997385683633025e-24,1.6380392913278515e-20,8.1107160877201986e-25,8.3262075439118545e-22,6.7522475323429558e-28,6.7522656849762744e-28,1.6269804282001861e-33,1.8828282447258465e-34,1.1285267714767019e-21,2.0433773792508153e-62,1.9838926241377056e-62,1.9838926241876356e-62,3.9792286373755494e-29,2.0995715079494461e-18,1.0945265083582365e-30,9.9719769025473291e-30,2.2949515055053832e-28,2.7259540288471765e-28,7.9288354975880542e-41,3.8672907121777211e-33,1.2270779708789467e-52,2.8293636659197331e-41,2.8324861178771363e-41,2.3174430024683242e-44,3.3608530845281216e-51,2.4257759408953403e-57,9.1806655579013651e-60,4.4927251041703326e-49,2.3485795607682093e-66
1.9354223384754022e-15,0.362704266957173,154.0,0.0,0.0,0.0,0.9999999999530943,1.0,19.0,4.4977177107322611e-12,2.097262696481568e-11,2.0972624823300912e-11,1.1671416835837187e-16,2.8074036630879517e-17,4.6175437862189576e-13,3.3795990313344199e-16,3.7409910800402937e-17,2.845248226936517e-16,8.9646373476230876e-17,3.0732669803033188e-24,3.4808507572739127e-20,1.7951499584148293e-24,1.7693271288121704e-21,1.9307288925210514e-27,1.9307355708658637e-27,5.9853910307784203e-33,6.9295348958922389e-34,2.3981313509157025e-21,1.0543083920369819e-61,1.0236164226881134e-61,1.0236164227187676e-61,1.1378188486980711e-28,3.1507821678679191e-18,2.3266332182506323e-30,2.7896022809194803e-29,6.560697377187955e-28,7.7928267297884269e-28,2.9183544466763322e-40,1.1058089667383349e-32,5.6024285585446915e-52,1.0411955894515942e-40,1.0424837177022991e-40,1.0578945711928333e-43,1.8463073361084753e-50,1.5647789781116436e-56,5.9221102645444609e-59,2.0511132206813752e-48,1.7439203056790779e-65
3.225715564606954e-15,0.362704266957173,154.0,0.0,0.0,0.0,0.99999999992182365,1.0,19.0,7.4962232956323499e-12,3.4954402385925568e-11,3.4954372970616532e-11,3.2268081810315358e-16,5.071883642499402e-17,7.6889400927037878e-13,9.3367011544619829e-16,6.2316274437783862e-17,7.8604687002531789e-16,2.477948975458966e-16,9.566842408629949e-24,9.6235595393611759e-20,5.1672059034378131e-24,4.8916787597861755e-21,8.8729241986859139e-27,8.8729754987961303e-27,4.5969968445825079e-32,5.3301395238872191e-33,6.6301495992455142e-21,7.1072244085039165e-60,6.9003260227849437e-60,6.900326023133982e-60,5.2290480504745618e-28,5.2565891041887819e-18,6.4378397604878393e-30,1.2037938186337543e-28,3.0130352268556308e-27,3.5788971899204974e-27,2.2454259877853022e-39,5.0819067036260256e-32,7.2931640024199625e-51,8.0055139927034842e-40,8.0203347514520558e-40,1.3762052701974619e-42,4.1138960276190809e-49,6.0486684103145938e-55,2.2891976204976029e-57,2.6698594041967349e-47,1.1840982925587417e-63
4.38697946812535e-15,0.36270426695717306,154.0,0.0,0.0,0.0,0.99999999989368005,1.0,19.0,1.0194878320928751e-11,4.7537949100763359e-11,4.7537879752427339e-11,5.7459849119026201e-16,7.1201405378911682e-17,1.0449572031888213e-12,1.6617735530979729e-15,8.4714469437402999e-17,1.3990293557597787e-15,4.4118840633251181e-16,1.7809893039977797e-23,1.7136715702937706e-19,9.3357563984848684e-24,8.7106268194670311e-21,1.9972844171900232e-26,1.9972985349006406e-26,1.2649960094640493e-31,1.4677499043382009e-32,1.1806337627193364e-20,4.0644139846042798e-59,3.9460948439601006e-59,3.9460948441776394e-59,1.1770594127173546e-27,7.154550087595602e-18,1.1470226825805675e-29,2.6179494723935631e-28,6.7797820595262235e-27,8.0530565053359217e-27,6.1840137809921335e-39,1.1439326459537056e-31,2.3843384684676415e-50,2.2040515578683406e-39,2.2087879916599973e-39,4.4980461863384459e-42,1.5526504045872632e-48,2.5706037467640671e-54,9.7287859945102648e-57,8.7283264623403989e-47,5.5393372563651957e-63
