Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571),S(1345)
0.0,0.5668282846570081,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.026562879599889e-21,0.5668282846570081,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,6.8645597704353883e-17,2.7590421265108884e-16,2.7590394217552394e-16,1.8820669937795335e-27,1.8820399963153595e-27,1.2466617454130291e-16,1.7879679572618964e-25,8.2877013054601436e-20,2.2589135876310272e-25,1.2295595581682846e-27,1.0288019606815519e-39,1.8633258891992867e-30,1.344149685994302e-39,8.7947144784364517e-31,7.3088956869198155e-42,7.3088956869565675e-42,3.2571892880281277e-53,4.1801203544747653e-54,1.30252591167394e-31,4.7747661469388555e-96,4.5270215517324595e-96,4.5270215517324703e-96,9.39284427339733e-45,2.7047679381243653e-22,8.1721106121647705e-40,5.8864013787658943e-45,1.5506447338522739e-41,1.2273612910232045e-41,8.5049309904064855e-60,1.7882533946315231e-47,5.8382607126995032e-76,1.089490675190085e-60,1.4985832290560015e-57,9.7659943032338169e-69,7.9588141874534523e-81,1.2239264965142476e-92,6.0942402631606625e-94,5.9709569051408698e-71,3.1214263271642645e-106,6.108258484274194e-110,4.3694432560760646e-107,3.7718348637320699e-99,1.302300715013458e-95,1.6353052871982971e-39,1.1155165386600452e-50,1.548324498869406e-51,1.3565619340577619e-51,3.8626477843700801e-56,1.8825052643584016e-48,3.9765189607516988e-36,4.1260927563062566e-47,2.4812990042259223e-47,1.1057840922673613e-58,8.4630376978324581e-59,7.4909463037553021e-60,1.1039363389112595e-62,1.666081527588346e-70,6.3365870674280277e-50,3.0432243332045728e-60,1.9237909851631055e-60,6.2152020047743157e-112,6.0977495599230145e-63
5.674376062879689e-21,0.5668282846570081,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,1.9220767357219021e-16,7.7253179541296555e-16,7.7253103808536444e-16,1.1367684642099873e-26,1.1367353372548074e-26,3.4906528737709028e-16,1.0799326427306067e-24,2.3205563598349219e-19,1.3643838025633726e-24,7.4265397203626176e-27,1.2213584124103595e-38,1.1254488369678904e-29,1.5956353947436038e-38,5.3120075448973581e-30,8.6771209593555588e-41,8.6771209594377695e-41,7.2862020773906039e-52,9.3507620096853567e-53,7.8672565064525027e-31,5.0878838513134542e-94,4.8238927601461875e-94,4.8238927601462078e-94,1.1151186848979378e-43,7.5733502351885819e-22,4.9359548148044488e-39,6.9883333063679371e-44,1.8409254226329772e-40,1.4571233204313314e-40,1.9025190428667184e-58,2.1230144300776967e-46,2.4091746302681762e-74,2.4371474865306952e-59,1.7802617153888494e-56,4.0299655809648247e-67,5.991197676002921e-79,1.6706539151594982e-90,8.3186093156885586e-92,1.3364994328001965e-69,7.7005323412931194e-104,1.5069028209672488e-107,1.0779377920655186e-104,5.1485368646984444e-97,1.7776343550550343e-93,9.8772439344930534e-39,1.3243412346463205e-49,1.8381708376850179e-50,1.6105102091245207e-50,4.7250757080091083e-55,2.2349102077461293e-47,2.4018174522281989e-35,4.8984973189569322e-46,2.9457981777218409e-46,2.4735947702491174e-57,1.8931476703753939e-57,1.6756947240509786e-58,2.4693757549526015e-61,6.8747999012678162e-69,7.5227961657454483e-49,6.3411486423095431e-59,4.3034429719859896e-59,1.1983156084166298e-109,1.3639962354332136e-61
1.2970002429439289e-20,0.5668282846570081,154.0,0.0,0.0,0.0,0.99999999999999523,1.0,19.0,4.3933182530785997e-16,1.765786960896388e-15,1.7657852298806362e-15,5.4730508174181198e-26,5.4727200089135884e-26,7.9786350769443338e-16,5.1994107678839142e-24,5.3041287956370619e-19,6.5689206473445066e-24,3.5755591786926402e-26,1.1990622185431575e-37,5.4185516841643466e-29,1.5663097043244928e-37,2.557502970211932e-29,8.5192488121912298e-40,8.5192488123536659e-40,1.4396307161979031e-50,1.8475529913146164e-51,3.7877453510606677e-30,1.1578833226153372e-91,1.097805126903053e-91,1.0978051269030619e-91,1.0948302306869943e-42,1.7310514863078442e-21,2.37644977358957e-38,6.8611819745358266e-43,1.8074314850492392e-39,1.4306123075752553e-39,3.7590570269634797e-57,2.0843881566930724e-45,9.530455254124334e-73,4.8153930876579598e-58,1.7502940998541054e-55,1.5942144264240491e-65,4.7370602120605166e-77,2.639223931924687e-88,1.3141364939392151e-89,2.6442445889497898e-68,2.430829300015244e-101,4.7568453590230083e-105,3.402728235998336e-102,8.1334270396563857e-95,2.8082268203887654e-91,4.7554677748956543e-38,1.3002460773044045e-48,1.8047270130266818e-49,1.5812082214723355e-49,4.9342570371757066e-54,2.1942480056256449e-46,1.1563717136878533e-34,4.8093737126280171e-45,2.892202119030696e-45,4.8874063743399905e-56,3.7405407286818043e-56,3.3108903946582192e-57,4.8786999219402713e-60,2.7193120884973329e-67,7.3859258837195028e-48,1.0892454990491025e-57,8.5028759144792807e-58,5.4378663711955586e-107,2.6948280332240875e-60
2.756125516255849e-20,0.5668282846570081,154.0,0.0,0.0,0.0,0.9999999999999899,1.0,19.0,9.335801287791881e-16,3.752297291701918e-15,3.7522936133735386e-15,2.39022508159082e-25,2.3899301002773818e-25,1.6954599269121929e-15,2.270719252161137e-23,1.1271273576138645e-18,2.8688201886219985e-23,1.5615406218643077e-25,1.0604240689138618e-36,2.3664238776016816e-28,1.3848594355136347e-36,1.1169287386401282e-28,7.5351790963735845e-39,7.5351790966626359e-39,2.5617458284402444e-49,3.2876218051277753e-50,1.6542079077358471e-29,1.9567716267423672e-89,1.855242131966204e-89,1.855242131966234e-89,9.6836497764051637e-42,3.6784844253903862e-21,1.0378580555631585e-37,6.0686286731124e-42,1.5986526596814999e-38,1.2653603687863589e-38,6.6890411343196749e-56,1.8436177195415079e-44,3.4013517849957943e-71,8.5687347774101353e-57,1.5524248906882324e-54,5.6896381014569693e-64,3.3858525985809926e-75,3.7753238261719524e-86,1.8798294288353965e-87,4.7179727153752368e-67,6.9567217650059253e-99,1.361348260978404e-102,9.7381653098856362e-100,1.163460235753766e-92,4.0170769506755506e-89,2.0768377144556168e-37,1.1500529303657018e-47,1.5962605773578623e-48,1.398560316919112e-48,4.889340307539601e-53,1.9407873532708971e-45,5.0501790791343515e-34,4.2538365793841396e-44,2.5581200207771803e-44,8.6968783123016983e-55,6.6560922083660164e-55,5.8915525522680438e-56,8.680061751915226e-59,9.7029528746390617e-66,6.5327677990015423e-47,1.5336535964696451e-56,1.5130405496729497e-56,1.8393384188576846e-104,4.7945923661769569e-59
5.67437606287969e-20,0.5668282846570081,154.0,0.0,0.0,0.0,0.99999999999997913,1.0,19.0,1.9220767357217991e-15,7.7253179526678056e-15,7.7253103799687856e-15,9.9787191964364161e-25,9.9762300811619739e-25,3.4906526796800115e-15,9.4798056273493431e-23,2.3205562772731043e-18,1.1976759232595072e-22,6.5191246243236838e-25,8.9112685852248617e-36,9.8793538494020143e-28,1.1631776583170011e-35,4.6629576153752953e-28,6.3337720581153596e-38,6.3337720586028865e-38,4.3207583948054629e-48,5.5450546069405583e-49,6.9059923828847457e-29,2.8651446930220972e-87,2.7164831480754832e-87,2.7164831480755711e-87,8.1396912698111827e-41,7.5733503575737548e-21,4.3328531169071872e-37,5.1010327821103504e-41,1.3437638523032586e-37,1.0636116065703484e-37,1.1282045565468254e-54,1.5496717793926327e-43,1.1492398939114741e-69,1.4452422953881072e-55,1.3121565582912678e-53,1.9224000348327353e-62,2.2898536496702308e-73,5.1085615065600223e-84,2.543682264523069e-85,8.000345141981493e-66,1.8830691954286425e-96,3.684944099661631e-100,2.6359562620798794e-97,1.5743307019410559e-90,5.4356885992132623e-87,8.6703886301494894e-37,9.6668878353719557e-47,1.3417531504488242e-47,1.1755734616876992e-47,4.9930559904165632e-52,1.6313484447638678e-44,2.1083503520722999e-33,3.5756059494240166e-43,2.1502540151540487e-43,1.4668555768910278e-53,1.1226471837590541e-53,9.9369644905606294e-55,1.4635726363364096e-57,3.2770044080764888e-64,5.4911849605771322e-46,1.8210296959988132e-55,2.5519613764776899e-55,5.3888621334550972e-102,8.0843853269358299e-58
1.151087715612737e-19,0.5668282846570082,154.0,0.0,0.0,0.0,0.9999999999999577,1.0,19.0,3.8990699496068409e-15,1.5671359272019586e-14,1.5671343911597034e-14,4.0766323873262578e-24,4.0745881184892353e-24,7.0810378425448771e-15,3.8728097060091769e-22,4.7074139708272845e-18,4.8928966717114783e-22,2.6632750557635128e-24,7.3023343893133833e-35,4.0360383962291476e-27,9.522031298157749e-35,1.9049703339629325e-27,5.1928090020145458e-37,5.1928090028153095e-37,7.0968573977175445e-47,9.1077685262480435e-48,2.8213232250360713e-28,3.9178430142040399e-85,3.7145609263036742e-85,3.7145609263039142e-85,6.6734107445995017e-40,1.5363082438013627e-20,1.7701119065786682e-36,4.1821098086302654e-40,1.1016987368127758e-36,8.7201301137018822e-37,1.853079372450414e-53,1.2705145516715251e-42,3.7784493333699061e-68,2.3738145171886724e-54,1.0876744213288125e-52,6.3204299538852656e-61,1.5063420338806857e-71,6.722578913840042e-82,3.3473424435667053e-83,1.3281180756527379e-64,4.9565471666268926e-94,9.6993778442008943e-98,6.9382507096830171e-95,2.0717304645643547e-88,7.1530597246298598e-85,3.5421366621022669e-36,7.9254986909117872e-46,1.1000502214068222e-46,9.6380491212467416e-47,5.5420951365459348e-51,1.3374775792944167e-43,8.6132991219725238e-33,2.931497772525965e-42,1.762908153509669e-42,2.4093144705304057e-52,1.8439511908166813e-52,1.6321493961251489e-53,2.4024564292191542e-56,1.0764853150698469e-62,4.5020051892279504e-45,1.8741069178933341e-54,4.1915954817486462e-54,1.4741212108450126e-99,1.3270764323815735e-56
2.3183879342622733e-19,0.5668282846570081,154.0,0.0,0.0,0.0,0.99999999999991473,1.0,19.0,7.8530563773761963e-15,3.1563441900408638e-14,3.1563410968604571e-14,1.6478399890781586e-23,1.6461836463896594e-23,1.4261806797591781e-14,1.5654514333180395e-21,9.4811287748785134e-18,1.977786849667045e-21,1.0765383054198194e-23,5.9076970410709183e-34,1.6314312450980154e-26,7.6879631719164493e-34,7.700194664562828e-27,4.2052713598757813e-36,4.2052713611738536e-36,1.1504307645238822e-45,1.4764084235600729e-46,1.14042395634999e-27,5.1817224356944458e-83,4.9128624145622843e-83,4.9128624145629186e-83,5.404301070236853e-39,3.0942547463185898e-20,7.1550755919902975e-36,3.3867403667468978e-39,8.9218410967856694e-36,7.0617867315288252e-36,3.0039215190911153e-52,1.0288956237721826e-41,1.2255309848960111e-66,3.8480546234903779e-53,9.0008377044969039e-52,2.0500157796210682e-59,9.77365858577256e-70,8.7246085453812875e-80,4.3442037448481718e-81,2.1985176748794297e-63,1.2865969386988346e-91,2.5177183988598917e-95,1.8009883702056956e-92,2.6887059217183387e-86,9.2832894656902875e-83,1.4317882718023631e-35,6.4182743137651966e-45,8.9084906588706587e-46,7.8051220274175482e-46,6.8342292756267756e-50,1.083123311312471e-42,3.4816332166541374e-32,2.3740028780133682e-41,1.4276487275904716e-41,3.905601870449392e-51,2.9891237592595817e-51,2.6457844879405725e-52,3.8897409196155108e-55,3.4855885198706661e-61,3.6458405171081951e-44,1.7356294310836069e-53,6.7947285616776437e-53,3.8998194735189676e-97,2.1487032980372614e-55
4.652988371561346e-19,0.5668282846570081,154.0,0.0,0.0,0.0,0.99999999999982891,1.0,19.0,1.5761029232912014e-14,6.3347607115972699e-14,6.3347545057623812e-14,6.6258921083947333e-23,6.6125664572501403e-23,2.8623339224956385e-14,6.2946099891427871e-21,1.9028556050753025e-17,7.952592201421769e-21,4.3287127421525579e-23,4.7455219902735695e-33,6.5599132404868271e-26,6.150880041196898e-33,3.0962144048243856e-26,3.3847682365491981e-35,3.384768238639701e-35,1.8527319853814606e-44,2.3777099205911406e-45,4.5855945685092316e-27,6.7415629373770701e-81,6.3917686795592483e-81,6.3917686795608999e-81,4.3498516840255574e-38,6.210148097070058e-20,2.8770246266629715e-35,2.7258779564647998e-38,7.1810724346612165e-35,5.6839391653596912e-35,4.8377230063530573e-51,8.281447091265827e-41,3.948211319563246e-65,6.1971700670535974e-52,7.5546502790702952e-51,6.6043954729788158e-58,6.2981043384531801e-68,1.1244807892023174e-77,5.5990748831345774e-79,3.6874590990127692e-62,3.3165786617996996e-89,6.490153166199118e-93,4.6425222662742602e-90,3.4653684249157525e-84,1.1964869959673909e-80,5.7571576612503709e-35,5.1659855311809739e-44,7.1703263051128256e-45,6.2822089873637574e-45,9.2774797733937375e-49,8.7179072945395468e-42,1.3999494010233303e-31,1.9108040137650995e-40,1.1490958960187141e-40,6.2898491202737035e-50,4.8138897891649312e-50,4.2609542972599728e-51,6.2490809466879366e-54,1.119104390380947e-59,2.9344896173056106e-43,1.5032416013057045e-52,1.0942609591602761e-51,1.0148184836407612e-94,3.4522523574331664e-54
9.322189246159491e-19,0.566828284657008,154.0,0.0,0.0,0.0,0.99999999999965727,1.0,19.0,3.1576974943972042e-14,1.2691593738259499e-13,1.2691581313567892e-13,2.6572790752655008e-22,2.646603546649034e-22,5.7346382148785514e-14,2.5244190375491111e-20,3.8123401273594825e-17,3.1893437696317287e-20,1.7360070662568481e-22,3.7928139324515346e-32,2.6308185741626118e-25,4.8772374884888632e-32,1.241720455414099e-25,2.7160633378024074e-34,2.7160633411581238e-34,2.9740409970035097e-43,3.8167499450799459e-44,1.8390285158543776e-26,8.6996298071079739e-79,8.2482388493614146e-79,8.2482388493656789e-79,3.4904820518292861e-37,1.2441936181441046e-19,1.1538157140135938e-34,2.1872405502688757e-37,5.762356033275452e-34,4.56100136019504e-34,7.7656168371991609e-50,6.6453397308850761e-40,1.2676878559039768e-63,9.94781987482007e-51,6.5596315054092985e-50,2.1205306665828423e-56,4.0445929909960386e-66,1.4443044657165582e-75,7.1915580424969822e-77,6.3905273187102823e-61,8.5198683498622985e-87,1.6672377404192585e-90,1.1925790454555149e-87,4.450985383398861e-82,1.5367906055766597e-78,2.3088777114569531e-34,4.1453780242631374e-43,5.7537320814387864e-44,5.0410253152689993e-44,1.3505696133927408e-47,6.9955532562682778e-41,5.6144232198233885e-31,1.5332998249725182e-39,9.2207708488741179e-40,1.0096593480532923e-48,7.727353205984707e-49,6.8397751279222535e-50,9.982622969305315e-53,3.5688983352560321e-58,2.3547430913469046e-42,1.2533672873402442e-51,1.7565018752746201e-50,2.6192221410305086e-92,5.5155883898216108e-53
