Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19)
0.0,0.9363065932544963,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
4.019177537342769e-21,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,5.4143107206900251e-17,1.1879076928352708e-16,1.1879076928352708e-16,9.2645631730031826e-28,9.2643623084395763e-28,3.6688284332439388e-17
1.1253697104559754e-20,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999999911,1.0,19.0,1.5160070017932012e-16,3.3261415399087418e-16,3.3261415399087388e-16,5.595796156319899e-27,5.595557694481558e-27,1.0272719611583598e-16
2.5722736238993724e-20,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,3.4651588612415747e-16,7.6026092339356206e-16,7.6026092339355969e-16,2.6941349704482891e-26,2.6939008568842486e-26,2.3480501962265186e-16
5.466081450786167e-20,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999999556,1.0,19.0,7.3634625801382249e-16,1.6155544621509203e-15,1.6155544621508996e-15,1.1765995227016655e-25,1.1763924691285017e-25,4.9896066639637462e-16
1.1253697104559755e-19,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999999079,1.0,19.0,1.5160070017931143e-15,3.3261415394736268e-15,3.3261415394734529e-15,4.9120713918986387e-25,4.9103312715248037e-25,1.0272719589841833e-15
2.2828928412106933e-19,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999998135,1.0,19.0,3.0753284893515438e-15,6.747315693351482e-15,6.7473156933500557e-15,2.0067414394697707e-24,2.0053152584539675e-24,2.0838945403212545e-15
4.597939102720129e-19,0.9363065932544962,154.0,0.0,0.0,0.0,0.99999999999996247,1.0,19.0,6.1939714644677892e-15,1.3589663998040786e-14,1.3589663998029245e-14,8.1115697400891791e-24,8.1000278393318178e-24,4.1971396876412131e-15
9.228031625738998e-19,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999992462,1.0,19.0,1.2431257414697821e-14,2.7274360595184317e-14,2.7274360595091544e-14,3.2616265095946708e-23,3.2523489276401481e-23,8.4236299208643896e-15
1.848821667177674e-18,0.9363065932544963,154.0,0.0,0.0,0.0,0.9999999999998489,1.0,19.0,2.4905829315148055e-14,5.4643753740774337e-14,5.4643753740031842e-14,1.3080581046117932e-22,1.3006331635688329e-22,1.6876610141643798e-14
3.700858676385223e-18,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999969758,1.0,19.0,4.9854973116009201e-14,1.0938253983909287e-13,1.0938253983317525e-13,5.2390551688605676e-22,5.179879092678123e-22,3.3782569600534892e-14
7.40493269480032e-18,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999939493,1.0,19.0,9.9753260717574219e-14,2.1886011127939532e-13,2.1886011123251336e-13,2.0969873691561964e-21,2.0501053773386391e-21,6.759448458764664e-14
1.4813080731630514e-17,0.9363065932544962,154.0,0.0,0.0,0.0,0.99999999999878963,1.0,19.0,1.9954983592007508e-13,4.3781525125090846e-13,4.3781525088339505e-13,8.3906806445199204e-21,8.023167237698868e-21,1.3521829883919199e-13
2.96293768052909e-17,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999757894,1.0,19.0,3.9914298632256036e-13,8.7572552041870813e-13,8.7572551759398135e-13,3.3568183983676528e-20,3.0743457066382648e-20,2.7046586445159946e-13
5.926196895261167e-17,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999999515765,1.0,19.0,7.983292871174646e-13,1.7515460215930618e-12,1.751546000650457e-12,1.3428364585679228e-19,1.1334104113905699e-19,5.4096074411391542e-13
1.1852715324725322e-16,0.9363065932544962,154.0,0.0,0.0,0.0,0.99999999999031497,1.0,19.0,1.5967018886670084e-12,3.5031869113027433e-12,3.5031867653047189e-12,5.3715629471096681e-19,3.9115826998290445e-19,1.0819494971904231e-12
2.3705752183653633e-16,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999998062972,1.0,19.0,3.1934470916050359e-12,7.0064684158677964e-12,7.0064674887792456e-12,2.1486677274816777e-18,1.2215791765164928e-18,2.1639229783659135e-12
4.741182590151024e-16,0.9363065932544963,154.0,0.0,0.0,0.0,0.9999999999612591,1.0,19.0,6.3869374968368521e-12,1.4013030942396254e-11,1.4013025712398441e-11,8.5947490103288965e-18,3.3647511962881372e-18,4.3278538409265797e-12
9.482397333722347e-16,0.9363065932544963,154.0,0.0,0.0,0.0,0.9999999999225182,1.0,19.0,1.2773918304723536e-11,2.8026155452065158e-11,2.8026129266366378e-11,3.4379096261883419e-17,8.1933974819628128e-18,8.6556511678449023e-12
1.896482682086499e-15,0.9363065932544963,154.0,0.0,0.0,0.0,0.9999999998450364,1.0,19.0,2.5547879910189094e-11,5.6052404112341429e-11,5.605228480161234e-11,1.375161376445058e-16,1.8205408541519259e-17,1.7310988236535299e-11
2.844725630800764e-15,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999976755483,1.0,19.0,3.832184150534684e-11,8.4078652710269573e-11,8.4078388764560231e-11,2.9222113404569212e-16,2.8275424710035881e-17,2.5966067727745001e-11
3.792968579515029e-15,0.9363065932544962,154.0,0.0,0.0,0.0,0.99999999969007347,1.0,19.0,5.1095803090196799e-11,1.1210490129436942e-10,1.1210444115560194e-10,4.9849369360747065e-16,3.835492612499329e-17,3.4620889649139338e-11
5.689454476943558e-15,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999953511154,1.0,19.0,7.6643726235704946e-11,1.6815739844930949e-10,1.6815642490279461e-10,1.0320635107234379e-15,5.8516995853593597e-17,5.1929929015118205e-11
7.585940374372088e-15,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999938015027,1.0,19.0,1.0219164934330764e-10,2.2420989558773167e-10,2.2420821900495001e-10,1.7552623943526736e-15,7.8679612732859326e-17,6.9238021268695211e-11
9.482426271800617e-15,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999922519045,1.0,19.0,1.2773957241029741e-10,2.8026239270863866e-10,2.8025980991861344e-10,2.6816326586431514e-15,9.8842633447278302e-17,8.6545098810215683e-11
1.1378912169229147e-14,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999907023129,1.0,19.0,1.5328749543593422e-10,3.363148898124243e-10,3.3631119394434223e-10,3.8148734343356022e-15,1.1900535227742919e-16,1.0385114320967249e-10
1.5171883964086206e-14,0.9363065932544963,154.0,0.0,0.0,0.0,0.99999999876031642,1.0,18.999999999999996,2.0438334136322732e-10,4.4841988396771483e-10,4.4841334174146174e-10,6.7015570884023726e-15,1.5933083530324135e-16,1.3846013489047784e-10
2.2757827553800325e-14,0.9363065932544963,154.0,0.0,0.0,0.0,0.999999998140499,1.0,18.999999999999986,3.0657503272289637e-10,6.7262987206990329e-10,6.7261516144222936e-10,1.4950609352087501e-14,2.3998167825098276e-16,2.0766575682719279e-10
3.792971473322856e-14,0.936306593254496,154.0,0.0,0.0,0.0,0.99999999690091346,1.0,18.999999999999961,5.1095841346286581e-10,1.1210498474403664e-09,1.1210088995750003e-09,4.1349148735357668e-14,4.012833689857438e-16,3.4602757875184051e-10
6.827348909208503e-14,0.9363065932544956,154.0,0.0,0.0,0.0,0.99999999442194021,1.0,18.999999999999872,9.1972516702634389e-10,2.0178897948463106e-09,2.0177567822505215e-09,1.3373648253747545e-13,7.238867479873849e-16,6.225536895368477e-10
9.86172634509415e-14,0.9363065932544947,154.0,0.0,0.0,0.0,0.99999999194322997,1.0,18.999999999999726,1.3284919100346796e-09,2.9147297378059589e-09,2.9144518825410977e-09,2.7890175498776091e-13,1.0464901263776852e-15,8.9881659528548829e-10
1.2896103780979798e-13,0.9363065932544938,154.0,0.0,0.0,0.0,0.99999998946478297,1.0,18.999999999999527,1.7372586424881037e-09,3.8115696763198132e-09,3.8110942132997304e-09,4.7683211358675498e-13,1.3690935031638346e-15,1.1748165376023109e-09
1.5930481216865445e-13,0.9363065932544925,154.0,0.0,0.0,0.0,0.99999998698659842,1.0,18.999999999999275,2.1460253643867641e-09,4.7084096103883576e-09,4.7076837873627548e-09,7.2751472248107176e-13,1.6916968783478947e-15,1.4505537638164775e-09
2.1999236088636738e-13,0.9363065932544887,154.0,0.0,0.0,0.0,0.99999998203101692,1.0,18.999999999998614,2.9635587765202129e-09,6.5020894651912394e-09,6.5007047123140094e-09,1.3870897808533398e-12,2.3369036239193752e-15,2.0012409804772959e-09
