Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997)
0.0,0.7033592202419854,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7212708726367275e-21,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999999999944,1.0,19.0,6.43903858615068e-17,2.1089134006866728e-16,2.1089111806025984e-16,9.8990708165270686e-28,9.8989476605100929e-28,1.3001403143794188e-16,1.5934355298775861e-25,9.3528043000343581e-20,2.0440777541423292e-25,6.4280375416172438e-28,4.7941073324861142e-40,1.0617564553654633e-30,6.2258084543445461e-40,6.4102741439564786e-31,4.7531123358478393e-42,4.753112335864194e-42,1.4487642903532991e-53,1.8669724525682224e-54,7.1657814394975064e-32,1.382191445066014e-96,1.3093228288054143e-96,1.3093228288054174e-96,3.563723650403202e-45,2.2200904977467674e-22,4.835565234552749e-40,2.3006525464719487e-45,1.316189553200004e-41,1.0260192861413519e-41,4.033578746907215e-60,9.2281486377068495e-48,2.5972369191581341e-76,4.0701497153324279e-61,8.8931726334985756e-58,3.2469044031061734e-69,2.2986809338156439e-81,2.4255768695298376e-93,1.6229934057822054e-94
4.8195584433828375e-21,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999999999822,1.0,19.0,1.8029308041221851e-16,5.9049575218697734e-16,5.9049513056551695e-16,5.9790387730344045e-27,5.9788864866185385e-27,3.6403928682327446e-16,9.624350573922571e-25,2.6187851984618093e-19,1.2346229600976343e-24,3.8825346701181072e-27,5.6914145248658744e-39,6.4130089895083445e-30,7.3906946689618789e-39,3.8718055829040224e-30,5.6428949650404053e-41,5.6428949650769898e-41,3.2408277390050125e-52,4.1763426902841108e-53,4.3281319894377906e-31,1.4728322427509536e-94,1.3951850775219857e-94,1.3951850775219918e-94,4.2308536337805873e-44,6.2162533983343676e-22,2.9206814036907478e-39,2.7313338885727205e-44,1.5625802336117911e-40,1.2180900934299485e-40,9.0229543137980384e-59,1.0955658062576562e-46,1.0717570869664027e-74,9.1047639290067474e-60,1.0562247239458817e-56,1.3398444548695473e-67,1.7303899652574993e-79,3.3109011068151931e-91,2.2153784244428935e-92
1.1016133584875057e-20,0.7033592202419854,154.0,0.0,0.0,0.0,0.999999999999996,1.0,19.0,4.120984695136395e-16,1.3497045764024345e-15,1.3497031555631893e-15,2.878649793224155e-26,2.8784971322092872e-26,8.3208979278208879e-16,4.6337104810769478e-24,5.9857947131873159e-19,5.9441780579809153e-24,1.8692733095742356e-26,5.5875474615822995e-38,3.0875877708541901e-29,7.2549887391633088e-38,1.864107720994008e-29,5.5402277384219768e-40,5.5402277384942616e-40,6.4033293652584401e-51,8.2517493508770997e-52,2.0838092425778162e-30,3.3518215838892886e-92,3.1751148030441427e-92,3.1751148030441692e-92,4.1538775878024041e-43,1.4208579218083248e-21,1.4061823732335458e-38,2.6816380829130738e-43,1.5341505309734397e-39,1.1959280703874604e-39,1.782783722665122e-57,1.0756330051773166e-45,4.239764453838832e-73,1.7989480790729396e-58,1.037912735707219e-55,5.3002918913264145e-66,1.3681674375260017e-77,5.2304127640275319e-89,3.4997552674199326e-90
2.3409283867859495e-20,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999999999156,1.0,19.0,8.7570924771647223e-16,2.8681222247487014e-15,2.8681192055071676e-15,1.257181993469625e-25,1.2570456167580929e-25,1.7681907854523136e-15,2.0236630818105591e-23,1.2719813653873367e-18,2.5959786949936153e-23,8.1636076000639906e-26,4.9415585083587224e-37,1.3484306969206111e-28,6.4147522006069173e-37,8.1410481621165228e-29,4.9002686932569311e-39,4.9002686933855592e-39,1.1394382044906825e-49,1.4683546969101872e-50,9.1005424278718863e-30,5.6644302973728305e-90,5.3658036497089878e-90,5.365803649709075e-90,3.6740578449608067e-42,3.0193230931875719e-21,6.141167879119869e-38,2.3718754462826245e-42,1.3569387560704571e-38,1.0577848232085994e-38,3.1723683808653903e-56,9.513852118820574e-45,1.5131418183242542e-71,3.2011320420339601e-57,9.1963204623739909e-55,1.891636562231416e-64,9.7790889476581369e-76,7.4819350767385092e-87,5.0062859046166934e-88
4.819558443382837e-20,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999999998268,1.0,19.0,1.8029308041221001e-15,5.9049575211026848e-15,5.9049513051896552e-15,5.2484873448588462e-25,5.2473355370519975e-25,3.6403926938031523e-15,8.4483948092051901e-23,2.6187851180185629e-18,1.0837699777558356e-22,3.4081454345546065e-25,4.1527292826224438e-36,5.6294327138059834e-28,5.3882830845660669e-36,3.3987273504883411e-28,4.1189710995253329e-38,4.118971099742281e-38,1.9218289298744269e-48,2.4765947779421527e-49,3.7992973189606294e-29,8.2939736986381813e-88,7.8567185059043281e-88,7.8567185059045893e-88,3.0882670610191104e-41,6.2162534656639488e-21,2.5638167154625059e-37,1.9936990651477843e-41,1.1405887611492647e-37,8.8913186071831125e-38,5.3506629579506543e-55,7.9969659577709964e-44,5.1125642174161971e-70,5.399176874865651e-56,7.7571458406511565e-54,6.3914121845229988e-63,6.6136023598706604e-74,1.012414501669543e-84,6.7742320637288476e-86
9.776818556576612e-20,0.7033592202419853,154.0,0.0,0.0,0.0,0.99999999999996492,1.0,19.0,3.6573739169332076e-15,1.1978628112456768e-14,1.1978615503732754e-14,2.1441783333956892e-24,2.143231935692373e-24,7.3847962025464102e-15,3.4514447816951725e-22,5.3123924812570849e-18,4.4275537764968513e-22,1.3923385843887052e-24,3.4031041090917415e-35,2.2998069419612325e-27,4.4115800744196209e-35,1.3884910201378978e-27,3.3769813643303595e-37,3.3769813646866984e-37,3.1566093092623055e-47,4.0678142358913112e-48,1.5521369226999934e-28,1.134130747325622e-85,1.0743397983169223e-85,1.0743397983169932e-85,2.531947947893795e-40,1.2610114329488231e-20,1.0474027958538971e-36,1.6345464799289726e-40,9.3512353682755864e-37,7.289639865141446e-37,8.7884799771463189e-54,6.5563958473799944e-43,1.6808992586852571e-68,8.8681632752925807e-55,6.4041928309054701e-53,2.1013562689382989e-61,4.350648079780186e-72,1.3322804231930691e-82,8.9145075920719504e-84
1.9691338782964163e-19,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999999992939,1.0,19.0,7.3662601425548277e-15,2.4125969289751956e-14,2.4125943897531451e-14,8.66711164089561e-24,8.6594414935804674e-24,1.4873601988199454e-14,1.3951290334828872e-21,1.0699606639638472e-17,1.7896878587360057e-21,5.628054925898688e-24,2.7534078614978922e-34,9.2961873224779456e-27,3.5628356755329923e-34,5.612502701753737e-27,2.7347670616732723e-36,2.7347670622509126e-36,5.1169981650348313e-46,6.594101769579733e-47,6.2739856059721156e-28,1.4999964823683327e-83,1.4209172285896239e-83,1.4209172285898116e-83,2.0504371048528701e-39,2.5397836532622925e-20,4.2337696656452882e-36,1.3236844027466732e-39,7.5728721837713942e-36,5.9033388413760303e-36,1.4246504769703926e-52,5.3095393414145127e-42,5.4519564558489261e-67,1.4375671500044021e-53,5.2582215872797469e-52,6.8156971388068783e-60,2.8228482795391625e-70,1.7290426261847167e-80,1.1569308797525181e-81
3.952037923573926e-19,0.7033592202419856,154.0,0.0,0.0,0.0,0.99999999999985845,1.0,19.0,1.4784032593795689e-14,4.842065162271075e-14,4.8420600671978833e-14,3.4850074655838939e-23,3.4788353050626772e-23,2.9851208632173266e-14,5.6097514290647927e-21,2.1474032684019101e-17,7.1962548138365303e-21,2.2630159331902203e-23,2.2121457698715814e-33,3.7379560005273722e-26,2.8520668709273753e-33,2.2567626498758737e-26,2.2011784484737066e-35,2.2011784494039789e-35,8.2407627950127457e-45,1.0619596324071728e-45,2.5227420174274167e-27,1.9515365444345299e-81,1.8486522674017186e-81,1.8486522674022069e-81,1.650370172295804e-38,5.0973282840836825e-20,1.7023802417819891e-35,1.0653942874742699e-38,6.0953052886159975e-35,4.7515198443962492e-35,2.2943556753851679e-51,4.2735791784995581e-41,1.7564203965354384e-65,2.3151564883874629e-52,4.3480822717569438e-51,2.1957666059064063e-58,1.8190316195504054e-68,2.2284957735950252e-78,1.4911232017773723e-79
7.917846014128946e-19,0.7033592202419853,154.0,0.0,0.0,0.0,0.99999999999971645,1.0,19.0,2.9619577496267862e-14,9.7010016202264484e-14,9.7009914168273609e-14,1.3976438597531731e-22,1.3926978085350237e-22,5.9806402210804779e-14,2.2497603794624221e-20,4.3022875683255604e-17,2.8860189556357157e-20,9.0757044511388365e-23,1.7686638513039115e-32,1.499087511728145e-25,2.2639388282186897e-32,9.0506275732041884e-26,1.7663070761241209e-34,1.7663070776174132e-34,1.3228233282604866e-43,1.7046799841251543e-44,1.0117323807875502e-26,2.5183545217811599e-79,2.3855878129165425e-79,2.3855878129178027e-79,1.3243181318879416e-37,1.0212418306504266e-19,6.8273068195635978e-35,8.5487638950661532e-38,4.8910969081821711e-34,3.8127940963700519e-34,3.6829489877507487e-50,3.4292781453909586e-40,5.6394975462088782e-64,3.7163353831011302e-51,3.6749198195527728e-50,7.0501395233249208e-57,1.1681679082861021e-66,2.8623225861354721e-76,1.9152271557775602e-77
