Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997)
1.5849462195238986e-18,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999999943245,1.0,19.0,5.9290667301174098e-14,1.9418874501720741e-13,1.941885409504631e-13,5.5978654729180802e-22,5.5583616147286728e-22,1.1971671053090704e-13,9.0107694299983732e-20,8.6120525323660285e-17,1.1559120525561604e-19,3.6350143614881806e-22,1.4068656635855909e-31,6.0041690163767197e-25,1.7755940059949336e-31,3.6249717998913928e-25,1.4151950635671401e-33,1.4151950659602955e-33,2.1199613753323043e-42,2.7319315153008177e-43,4.0522066864660983e-26,3.236606733363833e-77,3.0659740365023861e-77,3.0659740365056261e-77,1.0610660665969265e-36,2.0442601394456643e-19,2.7344843462993295e-34,6.8488463793681249e-37,3.9188267206096997e-33,3.0548728977202929e-33,5.9023215066590552e-49,2.7475955760084134e-39,1.8076780892683082e-62,5.9558155108697354e-50,3.242232484074802e-49,2.2598394417263347e-55,7.4890530718968661e-65,3.6700847557448309e-74,2.4557141225194993e-75
3.1712694557459067e-18,0.7033592202419856,154.0,0.0,0.0,0.0,0.99999999999886446,1.0,19.0,1.1863284691083405e-13,3.8854620128063601e-13,3.8854579367324178e-13,2.240605004798008e-21,2.2091827251819049e-21,2.3953701182329855e-13,3.6066506222186832e-19,1.7231567917244162e-16,4.6266536459172184e-19,1.4549520310695665e-21,1.1103251802512839e-30,2.4032321545062798e-24,1.3638284444103733e-30,1.4509334055329686e-24,1.1330165413155321e-32,1.1330165451476814e-32,3.3946838252101979e-41,4.3746456156942406e-42,1.6219387063268285e-25,4.151269655075975e-75,3.9324162711376569e-75,3.9324162711459665e-75,8.4949803663150683e-36,4.0902979742806191e-19,1.0945067772915815e-33,5.4823327439350695e-36,3.1374397853272163e-32,2.4457523773327073e-32,9.4514046293914747e-48,2.1997471044057811e-38,5.7894373132737602e-61,9.5370285937527785e-49,3.0726390548300133e-48,7.2375441597017909e-54,4.7970742953393573e-63,4.7017396129888176e-72,3.1460113780901567e-73
6.343915928189923e-18,0.7033592202419853,154.0,0.0,0.0,0.0,0.99999999999772848,1.0,19.0,2.3731720612954389e-13,7.7726110842129165e-13,7.7726029575239851e-13,8.9653383007557644e-21,8.7171090627785602e-21,4.7917635302346883e-13,1.4431256962389219e-18,3.4470540514385527e-16,1.851258539679265e-18,5.8216950806820459e-21,8.6398326949284152e-30,9.6160575040436926e-24,1.0092077328053531e-29,5.8056234756792438e-24,9.0675756594830789e-32,9.0675757208218856e-32,5.4336521332998862e-40,7.0022683397341107e-41,6.4898674680905157e-25,5.3190160634276292e-73,5.0385995259461384e-73,5.0385995259674343e-73,6.7985662442826028e-35,8.1823785129284287e-19,4.3794560640145442e-33,4.38607853108274e-35,2.5108983086934414e-31,1.9573397189226308e-31,1.5128402790353511e-46,1.7604662121948904e-37,1.8533991601707948e-59,1.5265341194919219e-47,3.2223456316594215e-47,2.3169709751435003e-52,3.0714169476197115e-61,6.0207747968203985e-70,4.0285995567931632e-71
1.2689208873077955e-17,0.7033592202419856,154.0,0.0,0.0,0.0,0.99999999999545663,1.0,19.0,4.7468592456452348e-13,1.5546909017646309e-12,1.5546892864451104e-12,3.5867189150203766e-20,3.3931103157873814e-20,9.5844998993847474e-13,5.7734077614351206e-18,6.8948253019779055e-16,7.4061950731433658e-18,2.329050553717851e-20,6.5494001464980086e-29,3.8470479877139297e-23,7.0112980571220951e-29,2.3226273699726956e-23,7.2554379859430958e-31,7.2554380841034217e-31,8.6954435830247273e-39,1.12058654944598e-39,2.5963695581375569e-24,1.1925678987164332e-70,1.1296961653341422e-70,1.1296961653436752e-70,5.4398861797614528e-34,1.6366559066135415e-18,1.7520702340883074e-32,3.507204840908729e-34,2.0090888556365134e-30,1.5661603666457117e-30,2.421037044277876e-45,1.408640415250169e-36,5.9321244943694394e-58,2.4429146159572881e-46,3.7998790019606114e-46,7.4157556235021469e-51,1.9660977705520239e-59,7.7081377829702794e-68,5.157641972911665e-69
2.537979476285402e-17,0.7033592202419853,154.0,0.0,0.0,0.0,0.99999999999091294,1.0,19.0,9.4942336142472188e-13,3.1095504091148462e-12,3.109547213968138e-12,1.4348041777720574e-19,1.2873657804989063e-19,1.9169770822520634e-12,2.3095232720067082e-17,1.3790274728757247e-15,2.9626834939174526e-17,9.3169079381895046e-20,4.7389148620044819e-28,1.5389434986230655e-22,4.4301200584136236e-28,9.2912651343009522e-23,5.8049011628199064e-30,5.8049013198868599e-30,1.3913584690865981e-37,1.7931069296934812e-38,1.0386323295423253e-23,1.5318926661128433e-68,1.4511318584839886e-68,1.4511318585085202e-68,4.352322555534341e-33,3.2734998076193274e-18,7.0088724090972653e-32,2.802318038995884e-33,1.607405640534011e-29,1.253033184655583e-29,3.874053540199543e-44,1.1270192851870283e-35,1.8984794759242923e-56,3.9089427091517387e-45,4.9947983331338086e-45,2.3732205636439611e-49,1.2583997858386212e-57,9.8671878760104878e-66,6.6022981047804382e-67
5.076096654240615e-17,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999998182554,1.0,19.0,1.898898235106076e-12,6.2192691359311186e-12,6.2192628535646903e-12,5.739449022384905e-19,4.6639853222124982e-19,3.8339505442127332e-12,9.2382467128448889e-17,2.7580801295168661e-15,1.1850931047402724e-16,3.7268728457352785e-19,3.1784921015738299e-27,6.1560170116665742e-22,2.4850044610602602e-27,3.7166569029166913e-22,4.6441408226271108e-29,4.644141073929282e-29,2.2261138582316409e-36,2.8690723724480953e-37,4.1546982303825994e-23,1.9610609196996222e-66,1.8576745238071792e-66,1.8576745238699883e-66,3.4820239699997934e-32,6.547218771087187e-18,2.8036799143898756e-31,2.2360436673542385e-32,1.2859566689207433e-28,1.0024516146880061e-28,6.1988015538116816e-43,9.016581539743951e-35,6.0754541613692298e-55,6.2542478598976613e-44,7.1235480347505519e-44,7.5942525020629403e-48,8.0537126405616215e-56,1.2629936018846172e-63,8.4508988171781722e-65
1.0152331010151042e-16,0.7033592202419856,154.0,0.0,0.0,0.0,0.99999999996365074,1.0,19.0,3.7978479823126119e-12,1.2438705606631927e-11,1.2438693270960415e-11,2.295825338600313e-18,1.5653435783345254e-18,7.6675746046592322e-12,3.695196043177608e-16,5.5160365359799785e-15,4.7402407486666941e-16,1.4907459088400787e-18,1.9160506628144668e-26,2.4624509554857424e-21,1.2379330118143984e-26,1.486692701888364e-21,3.7153999309953724e-28,3.7154003330323196e-28,3.561319505817079e-35,4.590489682469005e-36,1.6619129957960572e-22,2.5102773642742832e-64,2.3779364869016505e-64,2.3779364870624499e-64,2.7856863066460793e-31,1.3094781343838474e-17,1.121508278043884e-30,1.7794815948076133e-31,1.028743530340149e-27,8.0194429371786699e-28,9.9183366596062643e-42,7.2134352397985644e-34,1.9441967614159545e-53,1.0005839754515118e-42,1.0703126586151422e-42,2.4299351378271984e-46,5.1539043917634283e-54,1.6164847982277195e-61,1.0816167765510276e-62
1.5228565366061466e-16,0.7033592202419853,154.0,0.0,0.0,0.0,0.99999999994547595,1.0,19.0,5.6967977293629771e-12,1.8658141215015367e-11,1.8658122826559402e-11,4.8786566024240357e-18,2.9673174012079994e-18,1.1500875828819797e-11,7.8520774127041484e-16,8.2738440436632204e-15,1.0072736839546641e-15,3.1678047430234438e-18,4.7324884147024306e-26,5.2327308846430032e-21,2.8255648255325098e-26,3.1592404462392594e-21,1.0623784938233649e-27,1.0623786417904553e-27,1.3107116036967956e-34,1.689589343743453e-35,3.5315860962272119e-22,1.2952125065633983e-63,1.2269293916119385e-63,1.2269293917106613e-63,7.9653729247840754e-31,1.9642468562396134e-17,2.3832394564034051e-30,5.072893107591605e-31,2.9415055414150553e-27,2.2930142583416532e-27,3.6506276863298513e-41,2.0626040168938397e-33,8.8765549661821272e-53,3.6826203207054011e-42,3.8824178466706638e-42,1.1093736674659207e-45,2.8316086473538612e-53,1.0428229826758664e-60,6.977701643712893e-62
2.0304799721971893e-16,0.7033592202419853,154.0,0.0,0.0,0.0,0.99999999992730115,1.0,19.0,7.5957474762571723e-12,2.4877576047366742e-11,2.4877551520362289e-11,8.3224380544849491e-18,4.5860566889737347e-18,1.5333854243881032e-11,1.3394352103598387e-15,1.1031502660605454e-14,1.7182431703709614e-15,5.4038417919007673e-18,8.8529001984943929e-26,8.9264376238145958e-21,5.0160934136954629e-26,5.3893087223994098e-21,2.2408711992032157e-27,2.2408715744580107e-27,3.3240349625709029e-34,4.285120646909392e-35,6.0244890620856331e-22,7.0659040898510284e-63,6.6933922910890839e-63,6.6933922916386551e-63,1.6801341694771623e-30,2.6190280426751226e-17,4.0655706664055767e-30,1.0671015763997176e-30,6.2043627718905718e-27,4.8365342495922866e-27,9.2588147943364009e-41,4.3506435440321654e-33,2.6458578032923617e-52,9.3394632802406274e-42,9.7618646412036352e-42,3.3065932796380776e-45,9.7353163323177606e-53,4.072377319610601e-60,2.7248953173828123e-61
3.0457268433792743e-16,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999989095156,1.0,19.0,1.1393646969679033e-11,3.7316444067915072e-11,3.7316406885387354e-11,1.72305963576813e-17,8.1551934204406033e-18,2.2999053545136207e-11,2.7729972894598306e-15,1.6546470481971721e-14,3.5572333900394996e-15,1.1187735330253639e-17,2.027832034593819e-25,1.8481065332091473e-20,1.0815293534913975e-25,1.1157911205639141e-20,6.120534051298881e-27,6.1205353634518881e-27,1.1623028223868338e-33,1.4984986043445062e-34,1.2472977145373119e-21,9.8134171108168554e-62,9.2960574662446552e-62,9.2960574671128285e-62,4.5889878350106554e-30,3.9286196691489581e-17,8.4173848872902321e-30,2.9013834814359557e-30,1.6945436712178773e-26,1.3209605565130049e-26,3.2378660422908064e-40,1.1882996179255562e-32,1.1581483328720783e-51,3.2657787132016997e-41,3.3816952910410869e-41,1.447256695418561e-44,5.2355099701146884e-52,2.6486773965421272e-59,1.7722741259885648e-60
4.0609737145613597e-16,0.7033592202419856,154.0,0.0,0.0,0.0,0.99999999985460197,1.0,19.0,1.5191546462526594e-11,4.9755309647347648e-11,4.9755259081286103e-11,2.9304770261278344e-17,1.2109005789017929e-17,3.066306598800961e-11,4.7159209940104167e-15,2.2060890845753712e-14,6.0496386666142e-15,1.9027008492672445e-17,3.6763285668370727e-25,3.1431430769779972e-20,1.8837481184892945e-25,1.8976713858671242e-20,1.2806228012690138e-26,1.280623129112975e-26,2.9040110833832263e-33,3.7442772056828923e-34,2.1213303230479461e-21,4.511102864441109e-61,4.2732792269713282e-61,4.2732792274215185e-61,9.6017254747197356e-30,5.2382571323209028e-17,1.4315973206796187e-29,6.0462932386955778e-30,3.5454367265330338e-26,2.7638013402858688e-26,8.0905663859973003e-40,2.4863250045518238e-32,3.3742956838852955e-51,8.1597140147070413e-41,8.4034411255010004e-41,4.2163737278844307e-44,1.744808776989257e-51,9.9435366811978042e-59,6.6533860814039214e-60
5.076220585743445e-16,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999981825238,1.0,19.0,1.8989445954758837e-11,6.2194172803482494e-11,6.2194107881696629e-11,4.4771099469047237e-17,1.6282934086223788e-17,3.8325806978570879e-11,7.2045113310011802e-15,2.7574724701561583e-14,9.2420314881387842e-15,2.906832719641765e-17,5.8743958162470167e-25,4.802006093601044e-20,2.9241748838550807e-25,2.8992158207626148e-20,2.3313277152146163e-26,2.3313284107120699e-26,6.1605975777489241e-33,7.9437524303538509e-34,3.2409169645836773e-21,1.6655111892375981e-60,1.5777060696429418e-60,1.5777060698235499e-60,1.747961462319831e-29,6.5479437062351466e-17,2.1871880778504118e-29,1.0962187051555238e-29,6.45411414731481e-26,5.0312248391610282e-26,1.7165053357371077e-39,4.5262654842626057e-32,8.1926180597730558e-51,1.7310469641243848e-40,1.7756730914468883e-40,1.0236533097876048e-43,4.7766732628431763e-51,3.0328500973315761e-58,2.0293305999384308e-59
7.106714328107616e-16,0.7033592202419856,154.0,0.0,0.0,0.0,0.99999999974555331,1.0,19.0,2.6585244937338713e-11,8.707189219175424e-11,8.7071795082797068e-11,8.609327036150754e-17,2.4807847564981202e-17,5.3647395968346247e-11,1.385243927412183e-14,3.8600596412253074e-14,1.7770071289774431e-14,5.5894425607078028e-17,1.1962463649874172e-24,9.2340476266722215e-20,5.7345227303388183e-25,5.5750943156155425e-20,6.1554017798499066e-26,6.155404327221874e-26,2.2563543522500157e-32,2.9101698676480222e-33,6.2321763687389437e-21,2.0417943296067438e-59,1.9341517116080201e-59,1.9341517119792227e-59,4.6151525713494178e-29,9.1674672711041138e-17,4.2060171009085259e-29,2.8625499846106663e-29,1.7039162115218655e-25,1.3282668020822849e-25,6.2887669966964946e-39,1.1950695599355249e-31,4.2382910581958487e-50,6.3405030104121969e-40,6.4609239392073283e-40,5.2944386299263768e-43,3.5671853002792146e-50,3.3557639220249501e-57,2.2453980231491257e-58
9.137208070471787e-16,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999967285436,1.0,19.0,3.4181043917419451e-11,1.1194960250340166e-10,1.1194946849308457e-10,1.4119271746988249e-16,3.3463313297441888e-17,6.8963823657737488e-11,2.2715432125559865e-14,4.9624086813995172e-14,2.9139622290646998e-14,9.1661981202570695e-17,2.029368526252704e-24,1.5143742597681451e-19,9.5121330124657403e-25,9.1431434039488294e-20,1.2761697350716138e-25,1.276170396384562e-25,5.8574933023735641e-32,7.5563454882337455e-33,1.0220760285889344e-20,1.0178683204103403e-58,9.6420669250260467e-59,9.6420669272468671e-59,9.5683948893748281e-29,1.178719030064368e-16,6.8980635640589044e-29,5.8760998985249708e-29,3.532342257729169e-25,2.7535937028991993e-25,1.6329832775484976e-38,2.4776804520054683e-31,1.3647174656845858e-49,1.6460884720578321e-39,1.6716621415972404e-39,1.7045015889443863e-42,1.4087057600115977e-49,1.6063337426626434e-56,1.0748250049086518e-57
1.3198195555200127e-15,0.7033592202419853,154.0,0.0,0.0,0.0,0.99999999952745677,1.0,19.0,4.9372641870084577e-11,1.6170499628792835e-10,1.6170477394724534e-10,2.9271742149158941e-16,5.0785819984007173e-17,9.9581206276257676e-11,4.7081831238952088e-14,7.1663927346645374e-14,6.0397124364268337e-14,1.9001044271061174e-16,4.3684951404918586e-24,3.1395343383916023e-19,1.9967936317524306e-24,1.8955370615310449e-19,3.8345217948595667e-25,3.8345247243836083e-25,2.594628387814305e-31,3.3489493008670734e-32,2.1189479385123911e-20,1.5500602240791637e-57,1.4683416521755331e-57,1.4683416527325691e-57,2.8750409778714098e-28,1.7027234669373441e-16,1.43018268165112e-28,1.7254169086218308e-28,1.0611509560519319e-24,8.272070968834842e-25,7.2383254690330227e-38,7.4447178472642429e-31,9.1230948533387938e-49,7.2925909737243468e-39,7.3757035936091053e-39,1.1388778538851552e-41,1.4544050592046925e-48,2.6270286836888889e-55,1.7577898796479899e-56
2.132017052465681e-15,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999923666283,1.0,19.0,7.9755837745429653e-11,2.6121567660292255e-10,2.6121521939255641e-10,7.6106742387272746e-16,8.542352715896834e-17,1.6075413849473043e-10,1.2235138170923801e-13,1.1571506457977903e-13,1.5695378499534392e-13,4.9391336103230719e-16,1.1738018058707218e-23,8.1626437544176529e-19,5.2476742862537157e-24,4.9284214969594221e-19,1.6485822341722278e-24,1.6485843917938477e-24,1.9106960621524496e-30,2.4692502373551699e-31,5.5093017467334344e-20,5.4250578175062428e-56,5.1390509570571295e-56,5.1390509608186557e-56,1.2360838685195944e-27,2.7509716624996711e-16,3.7189910656203161e-28,7.0608349410590103e-28,4.5601626822048253e-24,3.5548183737526794e-24,5.3386602995879988e-37,3.2007226880218645e-30,1.1982051943579482e-47,5.3721604842231346e-38,5.417940286050191e-38,1.4939752241568223e-40,3.5111404397665053e-47,1.1983606092764161e-53,8.0184434510641198e-55
2.9442145494113494e-15,0.7033592202419854,154.0,0.0,0.0,0.0,0.99999999894587055,1.0,19.0,1.1013903358079478e-10,3.6072621398313059e-10,3.6072544422360241e-10,1.4498151380589979e-15,1.2004323288726857e-16,2.218447031578093e-10,2.3297045029261017e-13,1.5972816608768378e-13,2.9885722135471921e-13,9.4069524102677144e-16,2.2695822304306031e-23,1.5549351024099826e-18,1.0044173606854932e-23,9.3885439308870632e-19,4.2601705320101552e-24,4.2601779008933027e-24,6.5249593265657553e-30,8.4392199620403515e-31,1.0495124645797256e-19,3.8559074992869434e-55,3.6526256299537781e-55,3.6526256330777875e-55,3.1942435081866306e-27,3.799538951716963e-16,7.0854571084797959e-28,1.7573294543782637e-27,1.1779987471600252e-23,9.1829433886968454e-24,1.8249847613370662e-36,8.2711277392564777e-30,5.2637859037258385e-47,1.834987859156151e-37,1.8495169376796064e-37,6.5588315781028396e-40,1.9239892646292652e-46,7.9755001416773527e-53,5.3365505468780965e-54
