Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429),S(1505),S(1507),S(1506),S(1344),S(1550),S(1436),S(1669),S(1668),S(571)
0.0,0.3556901048454458,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.19170888022022e-22,0.3556901048454458,154.0,0.0,0.0,0.0,0.99999999999999922,1.0,19.0,3.8305903353816216e-17,2.6745769523259606e-16,2.6745723497819526e-16,7.7643395577365119e-28,7.764312568943359e-28,1.5957953354698034e-16,6.149918024873039e-26,1.9725627750261494e-19,8.7607055117420393e-26,4.8366844429796199e-28,1.5142649872716284e-40,1.1276009741650407e-30,1.886526401326459e-40,5.4148308334581181e-31,1.697670232110548e-42,1.6976702321140248e-42,3.0700538148815472e-54,4.0717744263403001e-55,7.6426175022859859e-32,1.0516838969566233e-97,9.9026455150257582e-98,9.9026455150257725e-98,2.3967570214063818e-45,4.6025488403081276e-22,8.559719152067886e-40,1.8892455418509189e-45,3.3558673864386355e-42,2.3557816549455499e-42,1.331224529546814e-60,5.8551473482400069e-48,5.0993758171021513e-77,2.2647548719190033e-61,1.480469726359708e-57,7.4920716325362223e-70,1.8681664937325154e-82,1.1956798673766283e-94,6.9925543018923471e-96,2.632884957468012e-71,1.462174962027202e-108,3.6909186859677903e-112,1.6038035660194838e-109,5.9560175725005443e-101,1.2479824281514924e-97,1.9233642709167227e-39,5.5835667686417373e-51,1.026901886732181e-51,6.569511059545464e-52,4.0946088925464683e-56,1.1808524211356967e-48,4.4234203904466646e-36,1.4916995876959139e-47,9.91336257176379e-48,1.7927248799206713e-59,1.4389349570751212e-59,1.2557344904299961e-60,1.880199647945227e-63,1.0503385520759038e-71,2.985133641189903e-50,6.920670832597818e-61,2.8362718744999299e-61,7.5865956409090215e-114
1.4536784864616615e-21,0.3556901048454458,154.0,0.0,0.0,0.0,0.99999999999999789,1.0,19.0,1.0725652939068519e-16,7.4888154664718453e-16,7.4888025793642764e-16,4.6896610928153385e-27,4.6896212596456533e-27,4.468226934389723e-16,3.7145504836063933e-25,5.5231757661239422e-19,5.2914661242247058e-25,2.9213574021474654e-27,1.7977124662198598e-39,6.810709883641059e-30,2.2395998476044547e-39,3.270557823389474e-30,2.0154740995471396e-41,2.0154740995549182e-41,6.867587560955845e-53,9.1083965148836722e-54,4.6161409713663542e-31,1.1206508028685744e-95,1.0552037241466654e-95,1.0552037241466684e-95,2.8454313984907133e-44,1.2887136757815159e-21,5.1700703698211309e-39,2.2429120792854679e-44,3.9840857578219722e-41,2.7967839783940613e-41,2.9778960236580977e-59,6.9512309317949263e-47,2.104271709208216e-75,5.0661685319465294e-60,1.7578514049050969e-56,3.091625809932867e-68,1.4063097681633302e-80,1.6320978882954391e-92,9.5448066169868105e-94,5.8904193922859712e-70,3.6071743377558243e-106,9.1054780091006703e-110,3.956570852692628e-107,8.1299384325858085e-99,1.7034906593270939e-95,1.1617120196245325e-38,6.6288104676253233e-50,1.2191379182239581e-50,7.7993233717137614e-51,4.8974106104455703e-55,1.401907983490057e-47,2.6717459158024389e-35,1.7709457503332482e-46,1.1769144045052483e-46,4.0102538406089395e-58,3.2188399351785657e-58,2.8090278255318427e-59,4.2058693119459862e-62,4.3341196025456706e-70,3.5439506586834632e-49,1.4933253191286128e-59,6.3446265230567342e-60,1.4627257431662979e-111
3.3226936833409403e-21,0.3556901048454458,154.0,0.0,0.0,0.0,0.99999999999999523,1.0,19.0,2.4515778146442238e-16,1.7117292494600252e-15,1.711726303842817e-15,2.2578699433035064e-26,2.2578267974067228e-26,1.0213090112526656e-15,1.7883961565076974e-24,1.2624401732522413e-18,2.547613155513357e-24,1.4065078339001366e-26,1.7649561983944432e-38,3.2790636323982597e-29,2.1986738762956267e-38,1.5746328063407772e-29,1.9788044225030981e-40,1.9788044225184672e-40,1.356919564310315e-51,1.7996656591972845e-52,2.2224731696431916e-30,2.5503390271575689e-93,2.4013967887275583e-93,2.401396788727572e-93,2.7936620612784169e-43,2.9456312612638818e-21,2.4891663323705559e-38,2.2021038967817592e-43,3.9115990152231503e-40,2.7458990896969195e-40,5.8838207245162936e-58,6.8247597489981604e-46,8.3242896197862808e-74,1.0009897634597546e-58,1.7263725248891645e-55,1.2230167178589373e-66,1.1119271166464927e-78,2.5783152864185791e-90,1.5078458824738323e-91,1.1641767040602853e-68,1.1386779714656077e-103,2.8743307136409494e-107,1.2489719790529138e-104,1.284331332488774e-96,2.6910983947346481e-93,5.5931432996883091e-38,6.5082054251997569e-49,1.1969568338911203e-49,7.6574216006525065e-50,4.8851780161525674e-54,1.3764015483408187e-46,1.2863306495008715e-34,1.7387250388624013e-45,1.1555015413196857e-45,7.9235857741627087e-57,6.3598852633169766e-57,5.5501656207984029e-58,8.3098205247838847e-61,1.714419340733722e-68,3.4794717717607443e-48,2.7381902645618257e-58,1.2535911943446269e-58,6.6377397352450163e-109
7.060724077099498e-21,0.3556901048454458,154.0,0.0,0.0,0.0,0.9999999999999899,1.0,19.0,5.2096028561189341e-16,3.6374246550203611e-15,3.6374183956152927e-15,9.8607112374338989e-26,9.8603122275358596e-26,2.1702816389988889e-15,7.8103958386264719e-24,2.6826853602130908e-18,1.1126095924466357e-23,6.1425892206946432e-26,1.5609973906605214e-37,1.4320532367001346e-28,1.9443846215962748e-37,6.8768351581937568e-29,1.7502301024022815e-39,1.7502301024296297e-39,2.4145658326288027e-50,3.2024088757111738e-51,9.7061242276802741e-30,4.3099602091336918e-91,4.0582544107066685e-91,4.0582544107067138e-91,2.4709627107989146e-42,6.2594664401524559e-21,1.0870843353559532e-37,1.9477350995479445e-42,3.4597650188623557e-39,2.4287166396366764e-39,1.0469944608530695e-56,6.0364227099096916e-45,2.9708798375041366e-72,1.7812079743543144e-57,1.5278527939155907e-54,4.3648602326528941e-65,7.9475909018993948e-77,3.688196335206811e-88,2.1569245961285543e-89,2.0727667993520216e-67,3.2587506504203857e-101,8.2259685544402549e-105,3.574397349979567e-102,1.8371942898929376e-94,3.8495289112030496e-91,2.4426726239221354e-37,5.7564339951078827e-48,1.0586947580491999e-48,6.7729020922063446e-49,4.4576319467107304e-53,1.2174115412506674e-45,5.6177438954434094e-34,1.5378826057634718e-44,1.022028027603847e-44,1.4099597424768334e-55,1.1317075919762986e-55,9.8762231752213675e-57,1.4785921849849774e-59,6.1178154408499643e-67,3.077553377911159e-47,4.2551761616220557e-57,2.2306982276589076e-57,2.2451911976064206e-106
1.4536784864616613e-20,0.3556901048454457,154.0,0.0,0.0,0.0,0.99999999999997935,1.0,19.0,1.0725652939068222e-15,7.4888154658796644e-15,7.4888025789990326e-15,4.1166528327095787e-25,4.1163102756343627e-25,4.468226862966686e-15,3.2606864891216273e-23,5.5231757088594099e-18,4.6449259944241983e-23,2.5644100719672776e-25,1.311967073629337e-36,5.9785403606178554e-28,1.6338385252081066e-36,2.8709433076312462e-28,1.4711738602520027e-38,1.4711738602981292e-38,4.0725180886679558e-49,5.4013306122223046e-50,4.0521157995113947e-29,6.3107311315414232e-89,5.9421783976333387e-89,5.9421783976334713e-89,2.0769931464942041e-41,1.2887136829624964e-20,4.5383631217984207e-37,1.6371872657360311e-41,2.9081409435484908e-38,2.0414826618273281e-38,1.7659091903547832e-55,5.0739770092066208e-44,1.0037931519608061e-70,3.0042676780957401e-56,1.2857593923528189e-53,1.4747876652915703e-63,5.3749597390658646e-75,4.990665731400278e-86,2.9186324937655015e-87,3.4999947706842788e-66,8.8208981679966628e-99,2.2266336666708785e-102,9.6752980448839767e-100,2.4859909241352661e-92,5.2089721570036273e-89,1.0197677363121554e-36,4.8386296233829656e-47,8.8989672448022761e-48,5.6930313037781031e-48,3.9769547123474045e-52,1.0233076859873149e-44,2.3452974906333558e-33,1.2926829933856856e-43,8.5907613891710018e-44,2.3781031543711937e-54,1.9087902343359188e-54,1.6657693914793258e-55,2.4935379936871228e-58,2.0665138753787134e-65,2.5868690499779218e-46,5.7198709343268948e-56,3.7623975148572442e-56,6.577922640552434e-104
2.9488906439650845e-20,0.35569010484544583,154.0,0.0,0.0,0.0,0.99999999999995826,1.0,19.0,2.1757753104966279e-15,1.5191597086552887e-14,1.5191570945121671e-14,1.6817870048846633e-24,1.6815032648693863e-24,9.0641171848036817e-15,1.332096803502338e-22,1.1204156305050531e-17,1.8976037991754948e-22,1.0476451804074025e-24,1.0753916857482471e-35,2.4424288103507318e-27,1.3386448041042225e-35,1.1728740176232458e-27,1.2061572150646361e-37,1.2061572151403992e-37,6.6891228334526328e-48,8.87170164927342e-49,1.6554215212952865e-28,8.6293910202551099e-87,8.1254263311980044e-87,8.125426331198367e-87,1.7028445090792774e-40,2.6142477735351424e-20,1.854069430382073e-36,1.3422626650157003e-40,2.3842696130889787e-37,1.6737308028484621e-37,2.9005111485031375e-54,4.1599529085560705e-43,3.300252267402696e-69,4.9345185665035933e-55,1.056614677284067e-52,4.8487790726979405e-62,3.5358279709727054e-73,6.567435367750737e-84,3.8407561831206335e-85,5.761796246412817e-65,2.3218053923945949e-96,5.8608661477561799e-100,2.5466956686316391e-97,3.2714242365855377e-90,6.854714344020654e-87,4.1660839442936765e-36,3.9670009018345049e-46,7.2959108230568337e-47,4.6674893769840015e-47,3.6378037790858211e-51,8.3896935349424629e-44,9.5813054992934162e-33,1.0598196167301335e-42,7.0432252172714364e-43,3.9060414558713603e-53,3.1351935819373357e-53,2.7360312244378818e-54,4.0945801561580142e-57,6.7905811646539678e-64,2.1208715382910409e-45,6.6691196122535601e-55,6.1797456295607139e-55,1.7993882661376264e-101
5.93931495897193e-20,0.3556901048454458,154.0,0.0,0.0,0.0,0.99999999999991607,1.0,19.0,4.3821953436760304e-15,3.0597160323718593e-14,3.0597107674787567e-14,6.7980519655093704e-24,6.7957427969891219e-24,1.8255897324083314e-14,5.384548094870525e-22,2.2566117093026719e-17,7.6704177164941255e-22,4.234749253477756e-24,8.7049452727998673e-35,9.8726877466029149e-27,1.0826551577425243e-34,4.7409443047043738e-27,9.7677738425274101e-37,9.7677738437555622e-37,1.0843355212081679e-46,1.4381410355273251e-47,6.6914784674942918e-28,1.1413195710224344e-84,1.0746654164757043e-84,1.0746654164758003e-84,1.3790076499672953e-39,5.2653160053930163e-20,7.4944451746964396e-36,1.0869952677926126e-39,1.9308432925046587e-36,1.355430558857882e-36,4.7018535653481042e-53,3.3688377188116858e-42,1.0704289126060113e-67,7.9990665590502853e-54,8.5967693719472143e-52,1.5726897389418735e-60,2.2941656397110083e-71,8.5232636621365567e-82,4.9845603009662592e-83,9.3824113975138268e-64,6.0268330385016908e-94,1.5213360638705519e-97,6.6105831951518901e-95,4.2456773668908063e-88,8.8960963324346969e-85,1.6839977397819711e-35,3.2125801799624759e-45,5.9084174567854776e-46,3.7798512470333177e-46,3.5570256810909775e-50,6.7941895098250431e-43,3.8729168733582426e-32,8.5826940028762082e-42,5.7037863864422264e-42,6.3318611460499114e-52,5.0822835453296598e-52,4.4352245085105727e-53,6.634045563215125e-56,2.2001354847331351e-62,1.7175367576947649e-44,6.8247269331459771e-54,1.0017622342414315e-53,4.7603204902517049e-99
1.1920163588985623e-19,0.3556901048454458,154.0,0.0,0.0,0.0,0.99999999999983158,1.0,19.0,8.795035410033997e-15,6.1408286781333184e-14,6.1408181123801905e-14,2.7334667941271735e-23,2.7316040584738909e-23,3.6639455585065348e-14,2.165102971063291e-21,4.5290037051355006e-17,3.0842410346559292e-21,1.7027739936013591e-23,7.0002988623383146e-34,3.9697643087028635e-26,8.6914724783117341e-34,1.9063128527269359e-26,7.8619541616542786e-36,7.8619541636321766e-36,1.746288556744008e-45,2.3160816973680839e-46,2.6906140610166655e-27,1.4848880511239162e-82,1.3981691687431123e-82,1.3981691687433616e-82,1.1099453360906676e-38,1.0567452671959081e-19,3.0134835209004423e-35,8.7490217832439783e-39,1.5541105703623374e-35,1.0909683696696717e-35,7.5721902237330167e-52,2.7115336773923631e-41,3.4485293319787132e-66,1.2882247664497055e-52,6.9838671259629794e-51,5.0666285453791599e-59,1.4783511456127701e-69,1.0985305956989095e-79,6.4244076149963983e-81,1.5246302673399257e-62,1.5535924153470297e-91,3.9216885456110605e-95,1.7040662250287858e-92,5.4720900339211177e-86,1.1465835615093002e-82,6.7712808431100313e-35,2.5857640141164663e-44,4.755607927934817e-45,3.0423488359419246e-45,3.8466411250953797e-49,5.4685518490896793e-42,1.5572828399837379e-31,6.9080987624098421e-41,4.590903498066897e-41,1.0197265962075035e-50,8.1848598261397584e-51,7.1427923087916015e-52,1.0672845665036649e-54,7.0727870381623916e-61,1.3824230029340784e-43,6.3132041253416931e-53,1.6133034510113049e-52,1.2387397058801927e-96
2.388186084901301e-19,0.3556901048454457,154.0,0.0,0.0,0.0,0.99999999999966271,1.0,19.0,1.7620715542746582e-14,1.2303053962974432e-13,1.2303032798056057e-13,1.0962424399024448e-22,1.0947467795184322e-22,7.3406564036722258e-14,8.6830301908460556e-21,9.0737870497516106e-17,1.2369184458054733e-20,6.8288848485101813e-23,5.6073768067123251e-33,1.5920530297740361e-25,6.9382373793285508e-33,7.6451671525683636e-26,6.3087230798407948e-35,6.308723083015757e-35,2.8031786839942307e-44,3.7178237221238505e-45,1.0790565786647696e-26,1.9161693662114691e-80,1.8042632425512125e-80,1.8042632425518571e-80,8.9066123613493163e-38,2.117172681649249e-19,1.2085417357265439e-34,7.0204398132713147e-38,1.2470757121822864e-34,8.7543330733199386e-35,1.2155042318121971e-50,2.1758350081327924e-40,1.1072504481723236e-64,2.0678852491509718e-51,5.7075305278806682e-50,1.6267875501173021e-57,9.493860843445147e-68,1.4109744703116367e-77,8.251636476883735e-79,2.4911013921337598e-61,3.9909837394444954e-89,1.0074325321723714e-92,4.3775070853359216e-90,7.0284612813847092e-84,1.4726946526102652e-80,2.7155864681046998e-34,2.0749127709836359e-43,3.8160751230100643e-44,2.4412864598546861e-44,4.6653007896044084e-48,4.3881637278813164e-41,6.2454006913969984e-31,5.5433141219623573e-40,3.683910925869135e-40,1.636886632786211e-49,1.3138509016281129e-49,1.146576344348666e-50,1.7096817302876349e-53,2.2611978785888078e-59,1.1093073948097144e-42,5.4681179840071827e-52,2.5896973100770694e-51,3.1971574474122494e-94
