Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73)
0.0,1.0168345563132986,154.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6927902649497138e-21,1.0168345563132986,154.0,0.0,0.0,0.0,0.99999999999999956,1.0,19.0,5.9707150523199591e-17,1.3438071042336153e-16,1.3438071042363992e-16,4.2775352016990496e-28,4.2774796348426478e-28,1.1321969526322878e-16,1.3597327897879357e-25,7.772618741178768e-20,1.7285876314690958e-25,2.7876351774423792e-28,1.9870209864760969e-40,4.7608183452209925e-31,2.5897045945967385e-40,3.7508162880820802e-31
4.739812741859198e-21,1.0168345563132986,154.0,0.0,0.0,0.0,0.99999999999999878,1.0,19.0,1.6718002146495834e-16,3.7626598918312283e-16,3.7626598918480424e-16,2.583631261768855e-27,2.5835652935546835e-27,3.1701514571560532e-16,8.2127860282383224e-25,2.1763332430396513e-19,1.0440669266002671e-24,1.6837316450774373e-27,2.358932764332056e-39,2.8755342798463377e-30,3.0742672242877426e-39,2.2654930379943794e-30
1.0833857695678168e-20,1.0168345563132986,154.0,0.0,0.0,0.0,0.99999999999999722,1.0,19.0,3.8212576334847402e-16,8.6003654669348794e-16,8.6003654670158293e-16,1.2439072365680275e-26,1.2438424701891687e-26,7.2460604253461736e-16,3.9541029195821039e-24,4.9744759629215845e-19,5.0267327902061275e-24,8.1064430645360509e-27,2.3158901637843601e-38,1.3844459737895518e-29,3.017846569300074e-38,1.0907373765634733e-29
2.3021947603316107e-20,1.0168345563132986,154.0,0.0,0.0,0.0,0.999999999999994,1.0,19.0,8.1201724711549729e-16,1.8275776616775897e-15,1.8275776617129397e-15,5.4324697052685449e-26,5.4318968825316317e-26,1.539787819829677e-15,1.726860608805425e-23,1.0570761330838984e-18,2.195306248456214e-23,3.5402966428365641e-26,2.0481580500595472e-37,6.0462392880899639e-29,2.6683847966429437e-37,4.7635366857526864e-29
4.739812741859198e-20,1.0168345563132986,154.0,0.0,0.0,0.0,0.99999999999998768,1.0,19.0,1.6718002146495131e-15,3.7626598914992975e-15,3.7626598916468524e-15,2.267949163140516e-25,2.2674677191361756e-25,3.1701513090479413e-15,7.209302943428361e-23,2.1763331779287945e-18,9.1649712304633073e-23,1.4780041418162402e-25,1.7212293032841599e-36,2.5241858773295558e-28,2.2414821924996568e-36,1.9886827958407192e-28
9.615048704914373e-20,1.0168345563132986,154.0,0.0,0.0,0.0,0.99999999999997491,1.0,19.0,3.3913661497174194e-15,7.6328243505568641e-15,7.6328243511594718e-15,9.2653123415122288e-25,9.2613659599660517e-25,6.4308780259970733e-15,2.9452353511958457e-22,4.414847152664252e-18,3.7441896217246584e-22,6.0381290519815811e-25,1.4105598322954702e-35,1.0312122889686662e-27,1.8353192895648488e-35,8.1244181117872631e-28
1.9365520631024725e-19,1.0168345563132986,154.0,0.0,0.0,0.0,0.99999999999994948,1.0,19.0,6.8304980198527351e-15,1.5373153266329655e-14,1.5373153268763887e-14,3.745187385203503e-24,3.7419927775187678e-24,1.2952330413945916e-14,1.1905111101071829e-21,8.891874642317888e-18,1.51346117083695e-21,2.4407082005326297e-24,1.141324474616055e-34,4.1683249157059361e-27,1.4824435368903288e-34,3.2840196986984578e-27
3.886646448324543e-19,1.0168345563132986,154.0,0.0,0.0,0.0,0.99999999999989864,1.0,19.0,1.3708761760121369e-14,3.0853811088514344e-14,3.0853811098289429e-14,1.5059233733782268e-23,1.5033541243360367e-23,2.5995231006047269e-14,4.786991935715573e-21,1.7845927782356404e-17,6.0855596880258737e-21,9.813979494503761e-24,9.1705804190867394e-34,1.6760650891362539e-26,1.1870552141912146e-33,1.3204898769172945e-26
7.786835218768683e-19,1.0168345563132986,154.0,0.0,0.0,0.0,0.99999999999979683,1.0,19.0,2.7465289240650657e-14,6.1815126695507726e-14,6.1815126734607371e-14,6.0394262496551739e-23,6.0188424544450196e-23,5.2081015455075338e-14,1.9197971658789741e-20,3.5754026705361432e-17,2.4405807235004754e-20,3.935844049652037e-23,7.3335953119718387e-33,6.7217704332401776e-26,9.4282220732922229e-33,5.2957550076768691e-26
